"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"32","12","  Gross national income \2\","A023RX1","4,699,641.0","4,730,702.0","4,764,051.0","4,755,687.0","4,723,180.0","4,724,012.0","4,762,050.0","4,715,151.0","4,813,770.0","4,847,085.0","4,885,221.0","4,948,768.0","5,020,539.0","5,083,769.0","5,169,017.0","5,300,619.0","5,400,386.0","5,432,789.0","5,458,309.0","5,515,409.0","5,482,668.0","5,457,464.0","5,423,452.0","5,351,736.0","5,283,421.0","5,328,318.0","5,438,402.0","5,502,039.0","5,613,964.0","5,650,994.0","5,692,894.0","5,711,337.0","5,770,457.0","5,915,115.0","6,027,107.0","6,055,273.0","6,100,799.0","6,269,344.0","6,314,858.0","6,379,305.0","6,439,752.0","6,413,927.0","6,435,453.0","6,461,202.0","6,467,424.0","6,341,615.0","6,382,927.0","6,528,640.0","6,583,444.0","6,579,978.0","6,675,003.0","6,608,789.0","6,551,819.0","6,586,665.0","6,548,841.0","6,519,429.0","6,590,654.0","6,705,949.0","6,798,088.0","6,954,504.0","7,139,860.0","7,254,439.0","7,332,781.0","7,404,042.0","7,455,402.0","7,511,815.0","7,594,112.0","7,641,913.0","7,713,325.0","7,721,678.0","7,776,512.0","7,826,655.0","7,908,222.0","8,039,090.0","8,157,955.0","8,267,364.0","8,375,358.0","8,468,596.0","8,538,738.0","8,659,494.0","8,715,267.0","8,696,349.0","8,733,072.0","8,749,207.0","8,837,232.0","8,889,547.0","8,873,464.0","8,864,590.0","8,835,798.0","8,842,431.0","8,860,379.0","8,904,737.0","9,058,657.0","9,131,172.0","9,156,137.0","9,246,899.0","9,219,611.0","9,323,059.0","9,346,601.0","9,506,604.0","9,566,842.0","9,710,713.0","9,799,510.0","9,910,259.0","9,968,824.0","10,029,366.0","10,133,133.0","10,212,637.0","10,332,042.0","10,475,652.0","10,569,803.0","10,708,243.0","10,819,399.0","10,956,128.0","11,128,839.0","11,265,005.0","11,396,582.0","11,555,527.0","11,702,503.0","11,813,338.0","11,982,618.0","12,063,603.0","12,170,616.0","12,381,413.0","12,629,400.0","12,702,656.0","12,790,840.0","12,797,683.0","12,926,184.0","12,914,985.0","12,841,348.0","12,852,266.0","12,971,308.0","13,027,099.0","13,060,276.0","13,154,057.0","13,159,082.0","13,299,269.0","13,424,613.0","13,582,810.0","13,706,956.0","13,823,803.0","13,987,940.0","14,025,741.0","14,201,200.0","14,293,519.0","14,425,837.0","14,587,537.0","14,866,832.0","14,882,830.0","14,927,797.0","14,994,761.0","14,958,363.0","15,002,431.0","14,979,174.0","15,018,665.0","15,030,156.0","15,022,051.0","14,975,942.0","14,608,966.0","14,383,879.0","14,378,261.0","14,494,479.0","14,714,762.0","14,738,006.0","14,840,564.0","15,021,311.0","15,095,940.0","15,200,495.0","15,285,670.0","15,386,400.0","15,482,366.0","15,660,542.0","15,646,586.0","15,669,054.0","15,861,018.0","15,936,284.0","16,069,381.0","16,153,142.0","16,274,363.0","16,138,574.0"
"33","13","  Net domestic product","A362RX1","4,260,387.0","4,268,704.0","4,291,992.0","4,263,876.0","4,249,042.0","4,251,491.0","4,288,590.0","4,232,670.0","4,357,709.0","4,380,990.0","4,414,838.0","4,424,451.0","4,509,108.0","4,622,103.0","4,663,170.0","4,743,275.0","4,867,556.0","4,921,683.0","4,882,858.0","4,926,925.0","4,872,406.0","4,879,997.0","4,818,765.0","4,790,116.0","4,717,252.0","4,753,718.0","4,839,525.0","4,909,760.0","5,032,922.0","5,070,685.0","5,093,818.0","5,130,641.0","5,191,812.0","5,301,628.0","5,401,441.0","5,392,686.0","5,404,933.0","5,639,144.0","5,692,307.0","5,769,557.0","5,771,018.0","5,767,451.0","5,804,308.0","5,810,765.0","5,821,873.0","5,673,393.0","5,653,318.0","5,767,072.0","5,898,365.0","5,838,094.0","5,906,913.0","5,815,191.0","5,689,191.0","5,715,843.0","5,681,930.0","5,679,798.0","5,760,334.0","5,907,557.0","6,034,756.0","6,171,012.0","6,303,847.0","6,421,192.0","6,481,285.0","6,526,612.0","6,586,180.0","6,640,946.0","6,746,732.0","6,791,299.0","6,850,979.0","6,873,566.0","6,940,331.0","6,967,826.0","7,010,272.0","7,088,364.0","7,149,918.0","7,275,018.0","7,309,802.0","7,409,958.0","7,446,761.0","7,549,123.0","7,624,908.0","7,681,801.0","7,735,769.0","7,741,802.0","7,828,252.0","7,851,544.0","7,842,477.0","7,753,474.0","7,701,000.0","7,761,989.0","7,796,702.0","7,827,926.0","7,928,153.0","8,021,761.0","8,103,582.0","8,188,567.0","8,195,778.0","8,241,899.0","8,277,742.0","8,395,766.0","8,480,284.0","8,603,306.0","8,649,226.0","8,749,952.0","8,770,075.0","8,790,842.0","8,863,579.0","8,921,611.0","8,974,270.0","9,141,028.0","9,222,259.0","9,317,664.0","9,381,353.0","9,526,551.0","9,646,472.0","9,710,674.0","9,798,251.0","9,885,309.0","10,013,236.0","10,182,860.0","10,272,240.0","10,345,197.0","10,464,251.0","10,634,202.0","10,673,476.0","10,866,342.0","10,847,178.0","10,888,879.0","10,832,262.0","10,883,924.0","10,829,892.0","10,845,726.0","10,947,742.0","11,001,687.0","11,047,604.0","11,038,652.0","11,090,364.0","11,200,344.0","11,408,082.0","11,543,083.0","11,604,993.0","11,692,477.0","11,794,539.0","11,891,595.0","12,023,823.0","12,081,277.0","12,176,509.0","12,234,741.0","12,388,384.0","12,411,414.0","12,402,698.0","12,496,040.0","12,484,110.0","12,578,131.0","12,659,995.0","12,697,260.0","12,581,126.0","12,639,102.0","12,549,025.0","12,215,094.0","12,005,382.0","11,987,677.0","12,033,321.0","12,171,870.0","12,224,936.0","12,359,032.0","12,453,341.0","12,549,221.0","12,494,479.0","12,603,585.0","12,645,643.0","12,815,432.0","12,943,618.0","12,978,166.0","13,073,575.0","13,067,923.0","13,099,886.0","13,183,007.0","13,329,978.0","13,419,909.0","13,289,338.0"
"34","14","  Net domestic income \3\","W256RX1","4,233,296.0","4,259,442.0","4,288,006.0","4,272,662.0","4,231,848.0","4,225,457.0","4,259,253.0","4,208,162.0","4,299,456.0","4,326,788.0","4,364,346.0","4,422,940.0","4,489,791.0","4,549,004.0","4,626,187.0","4,753,812.0","4,841,827.0","4,863,258.0","4,873,478.0","4,923,985.0","4,872,661.0","4,843,013.0","4,806,695.0","4,734,139.0","4,665,471.0","4,705,652.0","4,810,907.0","4,862,608.0","4,974,739.0","5,004,703.0","5,040,746.0","5,051,191.0","5,096,364.0","5,239,424.0","5,347,379.0","5,374,397.0","5,403,504.0","5,579,542.0","5,611,300.0","5,658,216.0","5,707,711.0","5,660,677.0","5,656,427.0","5,672,994.0","5,666,721.0","5,532,226.0","5,570,374.0","5,728,310.0","5,771,789.0","5,762,600.0","5,847,425.0","5,758,892.0","5,692,686.0","5,709,635.0","5,673,641.0","5,637,051.0","5,704,004.0","5,810,688.0","5,895,554.0","6,044,543.0","6,231,067.0","6,336,865.0","6,404,877.0","6,471,277.0","6,522,104.0","6,562,043.0","6,641,210.0","6,670,658.0","6,736,263.0","6,742,993.0","6,781,360.0","6,829,689.0","6,896,032.0","7,010,774.0","7,120,201.0","7,216,495.0","7,305,846.0","7,392,637.0","7,456,313.0","7,563,639.0","7,608,559.0","7,577,593.0","7,598,352.0","7,592,096.0","7,672,542.0","7,711,665.0","7,691,917.0","7,638,245.0","7,616,731.0","7,630,994.0","7,645,839.0","7,670,891.0","7,820,624.0","7,886,864.0","7,906,944.0","7,988,058.0","7,939,056.0","8,043,208.0","8,048,235.0","8,221,613.0","8,261,865.0","8,402,269.0","8,481,725.0","8,582,001.0","8,614,493.0","8,657,923.0","8,767,065.0","8,816,997.0","8,913,767.0","9,054,155.0","9,136,551.0","9,251,572.0","9,356,147.0","9,464,850.0","9,628,167.0","9,751,761.0","9,848,755.0","9,989,594.0","10,131,779.0","10,218,225.0","10,356,513.0","10,403,779.0","10,480,786.0","10,639,223.0","10,898,573.0","10,925,426.0","10,984,533.0","10,935,113.0","11,061,567.0","11,023,883.0","10,962,259.0","10,881,967.0","11,030,267.0","11,092,194.0","11,092,475.0","11,151,754.0","11,158,188.0","11,269,095.0","11,380,071.0","11,491,435.0","11,576,753.0","11,706,375.0","11,840,854.0","11,888,383.0","12,006,782.0","12,092,764.0","12,194,320.0","12,368,097.0","12,625,199.0","12,624,723.0","12,662,939.0","12,698,357.0","12,639,749.0","12,641,501.0","12,541,115.0","12,516,675.0","12,529,228.0","12,503,414.0","12,425,995.0","12,125,701.0","11,893,807.0","11,889,234.0","11,959,037.0","12,166,976.0","12,180,121.0","12,274,563.0","12,454,077.0","12,507,434.0","12,575,608.0","12,653,643.0","12,725,481.0","12,812,180.0","13,003,835.0","12,968,558.0","12,991,738.0","13,163,916.0","13,246,213.0","13,358,544.0","13,415,679.0","13,505,404.0","13,387,247.0"
"35","15","  Net domestic purchases","W367RX1","4,380,001.0","4,382,589.0","4,409,597.0","4,368,828.0","4,350,443.0","4,346,086.0","4,384,539.0","4,328,657.0","4,452,789.0","4,497,107.0","4,526,630.0","4,540,987.0","4,639,188.0","4,752,524.0","4,783,866.0","4,867,419.0","4,986,951.0","5,014,899.0","4,963,349.0","4,990,847.0","4,914,308.0","4,922,821.0","4,878,225.0","4,833,146.0","4,709,539.0","4,727,062.0","4,853,819.0","4,921,521.0","5,075,740.0","5,128,744.0","5,157,846.0","5,206,561.0","5,300,490.0","5,403,548.0","5,492,709.0","5,506,950.0","5,544,973.0","5,732,884.0","5,788,126.0","5,852,654.0","5,851,723.0","5,849,998.0","5,856,732.0","5,841,032.0","5,835,809.0","5,624,477.0","5,557,013.0","5,707,465.0","5,853,106.0","5,791,008.0","5,865,296.0","5,790,207.0","5,673,996.0","5,686,827.0","5,707,434.0","5,707,114.0","5,792,610.0","5,982,540.0","6,149,553.0","6,306,908.0","6,482,749.0","6,616,757.0","6,683,836.0","6,739,922.0","6,781,655.0","6,873,622.0","6,980,486.0","7,038,635.0","7,080,485.0","7,129,905.0","7,205,941.0","7,218,528.0","7,255,549.0","7,330,338.0","7,382,144.0","7,503,579.0","7,496,956.0","7,566,457.0","7,610,131.0","7,717,615.0","7,775,026.0","7,802,199.0","7,846,595.0","7,857,178.0","7,938,149.0","7,949,420.0","7,930,259.0","7,808,277.0","7,740,413.0","7,786,719.0","7,826,388.0","7,858,074.0","7,948,806.0","8,057,340.0","8,134,916.0","8,238,222.0","8,264,503.0","8,320,130.0","8,371,661.0","8,500,764.0","8,600,440.0","8,731,212.0","8,771,804.0","8,881,243.0","8,907,107.0","8,924,407.0","8,954,714.0","9,012,430.0","9,091,241.0","9,267,661.0","9,380,585.0","9,431,121.0","9,527,698.0","9,669,738.0","9,811,046.0","9,907,119.0","10,041,438.0","10,175,206.0","10,329,020.0","10,501,808.0","10,634,617.0","10,742,460.0","10,887,261.0","11,060,682.0","11,148,641.0","11,354,986.0","11,365,603.0","11,422,710.0","11,350,838.0","11,395,034.0","11,364,571.0","11,395,447.0","11,520,305.0","11,596,724.0","11,661,558.0","11,697,121.0","11,738,008.0","11,876,424.0","12,073,266.0","12,221,630.0","12,304,622.0","12,448,043.0","12,567,217.0","12,684,489.0","12,820,896.0","12,870,125.0","12,970,358.0","13,058,009.0","13,204,562.0","13,225,501.0","13,240,459.0","13,266,531.0","13,271,517.0","13,346,406.0","13,371,042.0","13,324,787.0","13,211,159.0","13,191,394.0","13,069,101.0","12,744,665.0","12,453,973.0","12,348,596.0","12,412,551.0","12,551,936.0","12,638,678.0","12,836,164.0","12,962,245.0","13,009,226.0","12,954,443.0","13,043,770.0","13,081,804.0","13,273,462.0","13,384,148.0","13,414,634.0","13,510,743.0","13,478,974.0","13,521,645.0","13,607,254.0","13,748,955.0","13,799,955.0","13,731,044.0"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
