"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","2","  Adjustment for misreporting on income tax returns","B1633C1","664.0","609.0","408.0","341.0","421.0","553.0","531.0","640.0","667.0","476.0","609.0","566.0","676.0","724.0","776.0","453.0","359.0","1,062.0","1,148.0","1,171.0","1,277.0","1,215.0","1,295.0","1,443.0","1,530.0","1,743.0","2,018.0","2,331.0","2,861.0","3,013.0","2,907.0","3,045.0","3,135.0","3,591.0","4,242.0","3,831.0","3,924.0","4,251.0","5,040.0","5,387.0","6,499.0"
"22","3","  Posttabulation amendments and revisions \1\","B1175C1","84.0","116.0","142.0","171.0","465.0","225.0","189.0","357.0","320.0","391.0","397.0","501.0","501.0","-2,560.0","-3,968.0","-2,928.0","-1,394.0","-544.0","-976.0","-835.0","-802.0","-1,024.0","-1,074.0","-1,252.0","-1,432.0","-450.0","-1,901.0","-2,152.0","-2,097.0","-194.0","610.0","1,274.0","569.0","227.0","150.0","248.0","444.0","95.0","138.0","309.0","461.0"
"23","4","  Income of organizations not filing corporation income tax returns","A1629C1","81.0","31.0","29.0","77.0","80.0","80.0","52.0","50.0","59.0","63.0","57.0","81.0","58.0","87.0","109.0","146.0","214.0","243.0","249.0","408.0","412.0","390.0","568.0","512.0","519.0","467.0","467.0","662.0","851.0","839.0","990.0","1,197.0","1,017.0","1,089.0","1,137.0","1,336.0","1,573.0","1,959.0","2,199.0","2,771.0","3,380.0"
"24","5","    Federal Reserve banks","B1630C1","38.0","6.0","0.0","21.0","7.0","8.0","6.0","5.0","9.0","1.0","9.0","14.0","8.0","14.0","26.0","55.0","94.0","89.0","89.0","228.0","235.0","190.0","294.0","346.0","394.0","322.0","296.0","468.0","625.0","595.0","734.0","942.0","773.0","863.0","954.0","1,135.0","1,342.0","1,685.0","1,953.0","2,502.0","3,075.0"
"25","6","    Federally sponsored credit agencies \2\","B1631C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","15.0","14.0","20.0","19.0","41.0","27.0","26.0","31.0","31.0","32.0","34.0","41.0","45.0","57.0","69.0","73.0","81.0","97.0","118.0","91.0","106.0","103.0"
"26","7","    Other \3\","B1632C1","43.0","25.0","29.0","56.0","73.0","72.0","46.0","45.0","50.0","62.0","48.0","67.0","50.0","73.0","83.0","91.0","120.0","154.0","153.0","165.0","163.0","180.0","255.0","125.0","98.0","119.0","140.0","163.0","194.0","210.0","215.0","210.0","187.0","157.0","110.0","120.0","134.0","156.0","155.0","163.0","202.0"
"27","8","  Depletion on domestic minerals","B1176C1","559.0","463.0","268.0","246.0","246.0","312.0","349.0","437.0","524.0","437.0","438.0","475.0","544.0","578.0","644.0","712.0","693.0","596.0","944.0","1,454.0","1,229.0","1,409.0","1,576.0","1,582.0","1,720.0","1,836.0","2,122.0","2,350.0","2,560.0","2,373.0","2,474.0","2,685.0","2,679.0","2,765.0","2,865.0","3,274.0","3,435.0","3,595.0","3,862.0","4,276.0","4,236.0"
"28","9","  Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1177C1","88.0","47.0","-43.0","-22.0","-58.0","-36.0","4.0","52.0","132.0","99.0","91.0","107.0","117.0","36.0","63.0","206.0","250.0","275.0","339.0","636.0","581.0","697.0","857.0","1,002.0","1,080.0","1,120.0","1,200.0","1,204.0","1,061.0","776.0","824.0","612.0","543.0","608.0","370.0","434.0","385.0","339.0","269.0","240.0","321.0"
"29","10","  State and local taxes on corporate income","B1179C1","145.0","98.0","75.0","57.0","59.0","100.0","131.0","157.0","165.0","134.0","156.0","199.0","277.0","350.0","458.0","465.0","455.0","462.0","604.0","671.0","605.0","770.0","883.0","826.0","809.0","773.0","968.0","1,044.0","1,019.0","1,004.0","1,162.0","1,249.0","1,290.0","1,502.0","1,653.0","1,844.0","1,977.0","2,230.0","2,625.0","3,310.0","3,610.0"
"30","11","  Interest payments of regulated investment companies","B1181C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-52.0","-237.0"
"31","12","  Bad debt expense","B1182C1","942.0","980.0","1,183.0","1,313.0","1,249.0","1,182.0","965.0","901.0","756.0","672.0","715.0","617.0","736.0","544.0","418.0","336.0","277.0","346.0","685.0","712.0","825.0","755.0","757.0","941.0","1,144.0","1,350.0","1,653.0","1,920.0","1,894.0","2,083.0","2,331.0","2,849.0","3,144.0","3,507.0","3,540.0","3,908.0","4,230.0","4,273.0","4,422.0","4,910.0","5,875.0"
"32","13","  Adjustment to depreciate expenditures for intellectual property products \4\","Y371RC1","321.0","272.0","208.0","136.0","106.0","140.0","158.0","180.0","183.0","163.0","154.0","203.0","424.0","433.0","298.0","335.0","375.0","631.0","695.0","630.0","440.0","552.0","597.0","1,057.0","1,472.0","1,456.0","1,563.0","2,169.0","2,122.0","2,078.0","2,234.0","2,323.0","2,453.0","2,335.0","2,597.0","2,624.0","3,242.0","4,090.0","4,462.0","4,980.0","5,394.0"
"33","14","  Disaster adjustments (net) \5\","W779RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"  Tax-return measures of:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","    Gains, net of losses, from sale of property","B1183C1","745.0","-242.0","-1,288.0","-1,565.0","-1,355.0","-54.0","187.0","372.0","143.0","44.0","37.0","-720.0","-994.0","-203.0","-196.0","19.0","569.0","1,064.0","666.0","694.0","570.0","959.0","1,132.0","1,055.0","811.0","1,792.0","1,697.0","1,676.0","1,577.0","2,846.0","1,794.0","2,603.0","4,019.0","3,422.0","3,610.0","3,910.0","5,211.0","5,391.0","7,542.0","8,919.0","7,775.0"
"37","16","    Dividends received from domestic corporations","B1184C1","2,593.0","2,571.0","1,969.0","1,260.0","1,026.0","2,217.0","3,014.0","2,676.0","2,682.0","1,791.0","1,906.0","2,021.0","2,235.0","1,344.0","1,334.0","1,429.0","1,418.0","1,713.0","1,882.0","2,194.0","2,162.0","2,460.0","2,377.0","2,350.0","2,389.0","2,332.0","2,572.0","2,688.0","2,681.0","2,829.0","2,948.0","3,082.0","3,275.0","3,641.0","3,592.0","4,022.0","4,521.0","4,435.0","4,420.0","4,856.0","5,031.0"
"38","17","    Income on equities in foreign corporations and branches (to U.S. corporations)","B1185C1","417.0","334.0","150.0","67.0","90.0","173.0","290.0","343.0","357.0","369.0","328.0","356.0","338.0","309.0","266.0","385.0","393.0","640.0","961.0","1,147.0","1,174.0","1,504.0","1,920.0","1,841.0","1,901.0","1,829.0","2,393.0","2,487.0","2,667.0","2,694.0","2,814.0","2,945.0","3,477.0","3,556.0","4,308.0","5,162.0","5,246.0","5,714.0","6,454.0","7,138.0","7,808.0"
"39","18","  Costs of trading or issuing corporate securities \6\","B1186C1","320.0","180.0","97.0","41.0","44.0","35.0","99.0","150.0","97.0","60.0","70.0","70.0","58.0","33.0","46.0","76.0","144.0","181.0","144.0","159.0","131.0","161.0","194.0","206.0","191.0","233.0","291.0","286.0","317.0","322.0","396.0","386.0","504.0","416.0","446.0","487.0","569.0","729.0","1,023.0","1,254.0","1,411.0"
"40","19","  Excess of employer expenses over actual employer contributions for defined benefit employee pension plans \7\","Y372RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-828.0","-414.0"
"41","20","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","B1187C1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","272.0","301.0","324.0","266.0","391.0","378.0","372.0","423.0","342.0","691.0","986.0","1,261.0","1,125.0","1,269.0","1,744.0","1,888.0","1,798.0","1,962.0","2,354.0","2,821.0","3,092.0","2,523.0","2,718.0","3,137.0","3,316.0","3,772.0","4,081.0","4,469.0","4,706.0","4,528.0","4,775.0","5,636.0","6,595.0"
"42","21","Equals: Profits before taxes, NIPAs","A053RC1","10,911.0","4,559.0","562.0","-1,346.0","1,832.0","3,215.0","4,371.0","7,107.0","7,629.0","4,603.0","7,778.0","10,636.0","18,762.0","22,476.0","25,846.0","24,786.0","20,393.0","25,563.0","32,636.0","36,502.0","30,042.0","43,781.0","45,380.0","41,282.0","43,149.0","40,793.0","51,441.0","52,625.0","51,194.0","45,030.0","55,954.0","53,853.0","53,904.0","59,204.0","64,416.0","71,446.0","83,110.0","90,384.0","87,604.0","97,906.0","96,652.0"
"43","22","Federal income and excess profits taxes, IRS","B1188C1","1,193.0","712.0","399.0","286.0","423.0","596.0","779.0","1,192.0","1,276.0","860.0","1,232.0","2,549.0","7,168.0","12,256.0","15,926.0","14,884.0","10,795.0","8,875.0","10,982.0","11,920.0","9,817.0","17,317.0","22,082.0","19,148.0","19,869.0","16,861.0","21,741.0","21,364.0","20,582.0","18,814.0","22,525.0","21,866.0","22,188.0","23,930.0","26,298.0","27,857.0","31,662.0","34,449.0","33,301.0","39,694.0","39,374.0"
"44",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","23","  Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","B1189C1","62.0","61.0","43.0","47.0","58.0","76.0","73.0","96.0","100.0","78.0","99.0","146.0","228.0","-1,123.0","-2,230.0","-2,307.0","-465.0","-71.0","-163.0","-59.0","-142.0","108.0","-36.0","-280.0","-92.0","440.0","39.0","181.0","332.0","-308.0","227.0","-92.0","109.0","139.0","420.0","290.0","272.0","197.0","53.0","-55.0","-432.0"
"46","24","  Amounts paid to U.S. Treasury by Federal Reserve banks","B1190C1","4.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75.0","167.0","193.0","197.0","255.0","292.0","343.0","276.0","252.0","402.0","543.0","524.0","911.0","897.0","687.0","799.0","880.0","1,582.0","1,297.0","1,649.0","1,907.0","2,464.0","3,019.0"
"47","25","  State and local taxes on corporate income","B1179C1","145.0","98.0","75.0","57.0","59.0","100.0","131.0","157.0","165.0","134.0","156.0","199.0","277.0","350.0","458.0","465.0","455.0","462.0","604.0","671.0","605.0","770.0","883.0","826.0","809.0","773.0","968.0","1,044.0","1,019.0","1,004.0","1,162.0","1,249.0","1,290.0","1,502.0","1,653.0","1,844.0","1,977.0","2,230.0","2,625.0","3,310.0","3,610.0"
"48","26","  Taxes paid by domestic corporations to foreign governments on income earned abroad","B1199C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","81.0","86.0","109.0","123.0","140.0","170.0","189.0","223.0","248.0","263.0","303.0"
"49",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","27","  U.S. tax credits claimed for foreign taxes paid","B1191C1","35.0","29.0","19.0","7.0","19.0","28.0","32.0","36.0","39.0","43.0","46.0","60.0","63.0","68.0","80.0","93.0","96.0","162.0","230.0","278.0","270.0","467.0","625.0","587.0","642.0","726.0","959.0","998.0","1,053.0","1,070.0","1,179.0","1,224.0","1,493.0","1,564.0","1,915.0","2,270.0","2,616.0","2,861.0","3,160.0","3,664.0","3,988.0"
"51","28","  Investment tax credit \8\","B1192C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","834.0","1,105.0","1,318.0","1,716.0","2,006.0","2,075.0","2,384.0","1,909.0"
"52","29","  Other tax credits \8\","B1193C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"53","30","Equals: Taxes on corporate income, NIPAs","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"54","31","Profits after tax, NIPAs (21-30)","A055RC1","9,542.0","3,717.0","64.0","-1,731.0","1,311.0","2,471.0","3,420.0","5,698.0","6,127.0","3,574.0","6,337.0","7,802.0","11,152.0","11,061.0","11,772.0","11,837.0","9,704.0","16,459.0","21,368.0","24,081.0","19,839.0","25,856.0","22,821.0","21,883.0","22,862.0","23,169.0","29,400.0","30,632.0","29,771.0","26,066.0","32,227.0","31,071.0","31,014.0","35,109.0","38,045.0","43,291.0","52,045.0","56,503.0","54,705.0","58,278.0","56,675.0"
"55","32","Dividends paid in cash or assets, IRS","B1194C1","8,520.0","8,184.0","6,151.0","3,886.0","3,127.0","4,859.0","5,941.0","7,379.0","7,514.0","5,013.0","5,747.0","6,089.0","6,701.0","5,607.0","5,728.0","6,057.0","6,081.0","7,497.0","8,365.0","9,386.0","9,569.0","11,553.0","11,300.0","11,263.0","11,601.0","11,913.0","13,592.0","14,498.0","14,914.0","14,952.0","16,242.0","17,193.0","18,038.0","19,565.0","21,105.0","23,305.0","25,998.0","27,033.0","28,239.0","31,563.0","32,951.0"
"56",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","33","  Posttabulation amendments and revisions \9\","B1195C1","22.0","18.0","13.0","5.0","13.0","18.0","20.0","21.0","26.0","38.0","38.0","44.0","39.0","40.0","49.0","30.0","-5.0","-85.0","-46.0","-37.0","-31.0","-58.0","-126.0","-117.0","-102.0","-178.0","-290.0","-377.0","-359.0","-347.0","-588.0","-590.0","-512.0","-693.0","-522.0","-89.0","-716.0","-1,557.0","-1,838.0","-2,686.0","-2,710.0"
"58","34","  Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","B1196C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","4.0","9.0","9.0","10.0","10.0","10.0","9.0","9.0","11.0","10.0","6.0","13.0","20.0","29.0","43.0","60.0","75.0","84.0","91.0","110.0","104.0","111.0","117.0"
"59","35","  U.S. receipts of dividends from abroad, net of payments to abroad","B1197C1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","122.0","247.0","184.0","234.0","231.0","225.0","238.0","293.0","228.0","425.0","689.0","836.0","832.0","984.0","1,162.0","1,099.0","1,135.0","1,422.0","1,579.0","1,813.0","1,886.0","1,734.0","1,862.0","1,956.0","2,395.0","2,671.0","2,674.0","3,203.0","3,331.0","2,842.0","3,180.0","3,368.0","3,836.0"
"60","36","  Earnings remitted to foreign residents from their unincorporated U.S. affiliates","B1634C1","24.0","23.0","19.0","12.0","10.0","10.0","16.0","24.0","24.0","22.0","23.0","12.0","10.0","9.0","7.0","6.0","31.0","7.0","23.0","41.0","74.0","77.0","65.0","66.0","83.0","76.0","75.0","63.0","59.0","85.0","85.0","66.0","51.0","65.0","57.0","45.0","56.0","94.0","114.0","110.0","124.0"
"61","37","  Interest payments of regulated investment companies","B1635C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-52.0","-237.0"
"62",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","38","  Dividends received by U.S. corporations","B1198C1","2,830.0","2,760.0","2,061.0","1,303.0","1,080.0","2,318.0","3,177.0","2,869.0","2,891.0","2,103.0","2,156.0","2,266.0","2,418.0","1,500.0","1,468.0","1,574.0","1,552.0","1,967.0","2,223.0","2,576.0","2,614.0","3,104.0","3,007.0","2,898.0","2,965.0","2,945.0","3,344.0","3,446.0","3,453.0","3,754.0","3,988.0","4,154.0","4,790.0","5,076.0","5,474.0","6,506.0","6,734.0","6,312.0","6,601.0","6,948.0","7,935.0"
"64","39","  Earnings of U.S. residents remitted by their unincorporated foreign affiliates","B1636C1","167.0","134.0","52.0","22.0","30.0","62.0","115.0","136.0","135.0","52.0","70.0","97.0","132.0","127.0","108.0","196.0","184.0","303.0","491.0","623.0","601.0","624.0","834.0","863.0","875.0","1,015.0","1,145.0","1,281.0","1,311.0","1,117.0","1,063.0","1,134.0","1,324.0","1,565.0","1,679.0","1,848.0","1,821.0","1,540.0","1,688.0","1,931.0","1,907.0"
"65","40","Equals: Net corporate dividend payments, NIPAs","B056RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","payments written off, of adjustments for insurance carriers and savings and loan associations,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","of amortization of intangible assets, and of tax-exempt interest income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Consists of the Farm Credit System beginning with 1947 and the Federal Home Loan banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","beginning with 1952.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","3. Consists of nonprofit organizations serving business and of credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
