"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","3","  Posttabulation amendments and revisions \1\","B1175C1","461.0","314.0","1,204.0","910.0","580.0","1,375.0","1,424.0","997.0","-605.0","-2,267.0","-608.0","2,103.0","4,561.0","14,234.0","11,777.0","3,296.0","-1,048.0","1,158.0","-19,025.0","-20,778.0","-20,420.0","-20,561.0","-7,793.0","-1,587.0","1,877.0","-5,480.0","1,603.0","984.0","6,028.0","11,680.0","16,687.0","30,483.0","42,427.0","38,313.0","29,908.0","30,240.0","2,785.0","11,616.0","68,033.0","71,716.0","80,016.0","78,566.0",".....","....."
"23","4","  Income of organizations not filing corporation income tax returns","A1629C1","3,380.0","3,844.0","3,649.0","3,729.0","5,043.0","6,413.0","6,200.0","6,622.0","6,979.0","8,817.0","10,606.0","12,809.0","15,950.0","17,398.0","16,470.0","19,032.0","18,160.0","15,890.0","17,617.0","20,308.0","23,373.0","25,013.0","24,629.0","24,479.0","23,389.0","24,523.0","28,849.0","29,564.0","30,471.0","33,392.0","34,728.0","40,234.0","37,751.0","33,549.0","27,602.0","33,657.0","37,374.0","45,996.0","47,904.0","45,966.0","59,452.0","84,919.0",".....","....."
"24","5","    Federal Reserve banks","B1630C1","3,075.0","3,526.0","3,312.0","3,344.0","4,476.0","5,681.0","5,610.0","5,872.0","6,109.0","7,645.0","9,433.0","11,798.0","14,393.0","15,245.0","14,586.0","16,433.0","16,346.0","15,516.0","16,247.0","18,087.0","20,671.0","21,851.0","20,776.0","18,358.0","16,770.0","18,610.0","23,055.0","22,664.0","24,424.0","25,753.0","26,837.0","31,418.0","29,185.0","23,913.0","20,537.0","20,541.0","27,138.0","34,381.0","36,537.0","35,355.0","47,617.0","71,957.0",".....","....."
"25","6","    Federally sponsored credit agencies \2\","B1631C1","103.0","71.0","90.0","88.0","239.0","376.0","318.0","328.0","392.0","614.0","822.0","819.0","1,002.0","1,621.0","1,182.0","1,356.0","702.0","-18.0","645.0","1,495.0","2,207.0","2,035.0","2,023.0","1,886.0","2,137.0","2,077.0","2,581.0","2,673.0","3,066.0","3,388.0","3,710.0","3,855.0","3,912.0","3,537.0","3,940.0","3,974.0","4,715.0","5,109.0","5,752.0","6,708.0","8,256.0","7,532.0",".....","....."
"26","7","    Other \3\","B1632C1","202.0","247.0","247.0","297.0","328.0","356.0","272.0","422.0","478.0","558.0","351.0","192.0","555.0","532.0","702.0","1,243.0","1,112.0","392.0","725.0","726.0","495.0","1,127.0","1,830.0","4,235.0","4,482.0","3,836.0","3,213.0","4,227.0","2,981.0","4,251.0","4,181.0","4,961.0","4,654.0","6,099.0","3,125.0","9,142.0","5,521.0","6,506.0","5,615.0","3,903.0","3,579.0","5,430.0",".....","....."
"27","8","  Depletion on domestic minerals","B1176C1","4,236.0","3,959.0","4,216.0","4,529.0","5,828.0","9,341.0","4,526.0","4,809.0","4,990.0","5,683.0","6,755.0","7,612.0","6,691.0","5,845.0","6,218.0","6,548.0","6,411.0","7,577.0","6,883.0","6,887.0","7,312.0","7,550.0","6,794.0","7,268.0","6,875.0","7,588.0","8,076.0","8,216.0","8,368.0","8,047.0","8,028.0","8,423.0","7,933.0","7,507.0","7,935.0","9,229.0","12,300.0","11,570.0","14,395.0","16,330.0","16,145.0","17,655.0",".....","....."
"28","9","  Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1177C1","321.0","231.0","46.0","281.0","634.0","1,731.0","2,740.0","3,485.0","4,314.0","6,753.0","9,762.0","13,448.0","19,609.0","19,867.0","10,185.0","11,215.0","7,538.0","-3,939.0","-7,163.0","-5,079.0","-7,661.0","-4,886.0","-8,092.0","-7,431.0","-6,270.0","-3,777.0","-2,098.0","630.0","6,438.0","3,652.0","534.0","5,058.0","10,673.0","3,356.0","6,606.0","11,529.0","16,176.0","33,936.0","44,330.0","51,384.0","25,118.0","25,087.0",".....","....."
"29","10","  State and local taxes on corporate income","B1179C1","3,610.0","3,740.0","4,284.0","5,252.0","6,028.0","6,679.0","7,347.0","9,636.0","11,429.0","12,106.0","13,568.0","14,466.0","15,442.0","14,034.0","15,896.0","18,799.0","20,247.0","22,661.0","23,901.0","26,032.0","24,239.0","22,486.0","23,641.0","24,380.0","26,906.0","29,970.0","31,656.0","33,023.0","34,145.0","34,934.0","35,796.0","35,231.0","28,853.0","30,864.0","33,997.0","41,708.0","54,943.0","59,242.0","57,879.0","47,434.0","45,596.0","47,663.0",".....","....."
"30","11","  Interest payments of regulated investment companies","B1181C1","-237.0","-408.0","-294.0","-424.0","-817.0","-1,054.0","-1,036.0","-958.0","-1,479.0","-1,824.0","-4,379.0","-8,703.0","-18,339.0","-23,218.0","-17,541.0","-21,708.0","-24,439.0","-28,457.0","-45,077.0","-53,480.0","-67,499.0","-68,043.0","-60,286.0","-64,685.0","-70,462.0","-78,025.0","-97,918.0","-105,404.0","-121,448.0","-138,214.0","-154,125.0","-187,881.0","-151,761.0","-98,590.0","-82,490.0","-91,280.0","-142,758.0","-202,808.0","-248,579.0","-201,804.0","-134,427.0","-129,747.0",".....","....."
"31","12","  Bad debt expense","B1182C1","5,875.0","6,480.0","7,808.0","8,252.0","10,501.0","12,756.0","13,781.0","13,812.0","14,249.0","15,661.0","17,432.0","18,770.0","22,287.0","26,691.0","30,543.0","33,803.0","43,334.0","53,419.0","54,578.0","58,645.0","68,806.0","83,692.0","100,876.0","89,582.0","80,671.0","67,852.0","67,769.0","74,657.0","83,565.0","86,371.0","100,203.0","107,680.0","142,197.0","168,046.0","151,141.0","139,664.0","119,041.0","105,860.0","130,037.0","253,945.0","379,382.0","316,320.0",".....","....."
"32","13","  Adjustment to depreciate expenditures for intellectual property products \4\","Y371RC1","5,394.0","4,941.0","4,587.0","5,413.0","6,088.0","7,272.0","7,613.0","9,443.0","10,496.0","11,752.0","15,260.0","17,516.0","21,882.0","23,922.0","25,515.0","30,301.0","31,739.0","30,133.0","27,980.0","30,340.0","35,782.0","38,712.0","39,830.0","36,444.0","32,386.0","29,503.0","36,535.0","46,090.0","60,830.0","64,148.0","80,354.0","89,170.0","66,512.0","41,118.0","34,884.0","37,351.0","49,403.0","60,369.0","73,003.0","83,723.0","55,003.0","55,309.0",".....","....."
"33","14","  Disaster adjustments (net) \5\","W779RC1",".....",".....","16.0","414.0","123.0","17.0","0.0","36.0","96.0","0.0","213.0","46.0","0.0","70.0","101.0","0.0","29.0","0.0","0.0","0.0","3,900.0","0.0","1,284.0","13,227.0","2,641.0","12,728.0","1,966.0","0.0","0.0","0.0","1,826.0","0.0","7,376.0","0.0","0.0","17,982.0","28,657.0","0.0","0.0","7,330.0","0.0","0.0",".....","....."
"34",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"  Tax-return measures of:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","    Gains, net of losses, from sale of property","B1183C1","7,775.0","5,228.0","7,383.0","10,121.0","9,492.0","7,710.0","8,903.0","10,637.0","13,994.0","16,742.0","20,982.0","27,130.0","28,773.0","29,143.0","42,037.0","46,669.0","75,248.0","124,030.0","82,850.0","80,058.0","82,877.0","62,830.0","62,204.0","70,878.0","90,750.0","70,984.0","115,541.0","132,767.0","200,818.0","200,964.0","269,362.0","286,349.0","156,590.0","96,393.0","123,323.0","170,757.0","246,148.0","281,493.0","324,507.0","69,390.0","59,320.0","152,275.0",".....","....."
"37","16","    Dividends received from domestic corporations","B1184C1","5,031.0","5,238.0","5,500.0","6,501.0","9,442.0","13,792.0","8,818.0","11,969.0","13,032.0","13,321.0","16,825.0","18,655.0","17,441.0","18,156.0","19,697.0","21,194.0","16,967.0","15,157.0","13,862.0","22,349.0","24,800.0","23,382.0","23,519.0","25,262.0","28,796.0","33,011.0","38,712.0","47,222.0","57,678.0","64,164.0","67,319.0","69,647.0","67,617.0","68,069.0","76,053.0","98,702.0","122,297.0","156,203.0","197,018.0","206,682.0","155,378.0","176,078.0",".....","....."
"38","17","    Income on equities in foreign corporations and branches (to U.S. corporations)","B1185C1","7,808.0","8,450.0","10,723.0","13,253.0","20,599.0","43,633.0","41,886.0","49,830.0","52,310.0","53,557.0","77,808.0","52,187.0","44,132.0","44,781.0","41,614.0","44,763.0","45,695.0","41,741.0","48,410.0","64,939.0","54,971.0","61,919.0","54,195.0","67,160.0","77,063.0","79,226.0","92,324.0","107,089.0","113,784.0","107,276.0","123,515.0","131,528.0","115,675.0","108,221.0","132,267.0","167,915.0","514,009.0","250,163.0","286,255.0","287,991.0","282,921.0","336,074.0",".....","....."
"39","18","  Costs of trading or issuing corporate securities \6\","B1186C1","1,411.0","1,652.0","2,137.0","1,994.0","1,543.0","1,676.0","1,978.0","2,451.0","2,108.0","1,547.0","1,819.0","3,221.0","3,842.0","5,280.0","6,975.0","5,551.0","8,014.0","12,911.0","8,252.0","11,120.0","12,290.0","14,324.0","21,769.0","22,241.0","27,225.0","21,203.0","30,496.0","35,297.0","37,491.0","39,883.0","57,328.0","70,157.0","51,788.0","40,787.0","43,814.0","41,846.0","43,976.0","52,180.0","40,772.0","-115.0","52,126.0","62,291.0",".....","....."
"40","19","  Excess of employer expenses over actual employer contributions for defined benefit employee pension plans \7\","Y372RC1","-414.0","-1,029.0","-2,442.0","-3,155.0","-6,036.0","-7,751.0","-3,190.0","-8,453.0","-8,663.0","-13,858.0","-15,937.0","-14,422.0","-14,291.0","-13,624.0","-8,549.0","-4,891.0","-6,574.0","6,159.0","16,947.0","26,083.0","28,982.0","37,509.0","26,052.0","32,344.0","25,662.0","19,925.0","10,577.0","20,326.0","22,457.0","20,422.0","23,827.0","30,834.0","38,212.0","17,519.0","-32,617.0","-5,902.0","-5,785.0","-9,201.0","19,625.0","26,194.0","3,461.0","-14,879.0",".....","....."
"41","20","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","B1187C1","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,587.0","35,056.0","36,569.0","38,098.0","39,474.0","48,009.0","56,985.0","67,131.0","76,087.0","76,471.0","73,090.0","76,931.0","77,966.0","92,947.0","101,970.0","107,554.0","102,761.0","122,003.0","146,179.0","170,400.0","158,757.0","166,628.0","205,032.0","239,077.0","256,164.0","353,383.0","406,695.0","352,801.0","395,183.0",".....","....."
"42","21","Equals: Profits before taxes, NIPAs","A053RC1","96,652.0","86,263.0","99,271.0","115,885.0","146,131.0","161,527.0","154,773.0","196,214.0","228,493.0","270,410.0","301,142.0","282,758.0","276,625.0","232,327.0","263,887.0","298,240.0","289,649.0","266,194.0","330,791.0","388,356.0","389,404.0","404,051.0","429,317.0","462,561.0","505,944.0","601,704.0","685,251.0","738,740.0","796,887.0","728,077.0","766,147.0","747,086.0","690,639.0","788,941.0","969,441.0","1,254,609.0","1,653,323.0","1,851,423.0","1,748,416.0","1,382,443.0","1,468,163.0","1,834,833.0","1,847,355.0","2,190,029.0"
"43","22","Federal income and excess profits taxes, IRS","B1188C1","39,374.0","33,293.0","37,510.0","42,890.0","52,439.0","66,113.0","66,146.0","83,005.0","96,340.0","107,888.0","120,047.0","105,142.0","102,260.0","86,763.0","92,219.0","107,972.0","111,341.0","111,138.0","118,485.0","131,505.0","127,899.0","128,324.0","121,291.0","131,406.0","154,635.0","172,777.0","198,787.0","223,713.0","239,394.0","231,400.0","241,988.0","266,282.0","220,872.0","209,689.0","243,820.0","299,555.0","419,209.0","453,082.0","437,076.0","342,381.0","313,464.0","358,414.0",".....","....."
"44",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","23","  Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","B1189C1","-432.0","-756.0","-120.0","-171.0","-138.0","-1,566.0","-1,516.0","-951.0","-1,057.0","7.0","-739.0","-4,362.0","-6,771.0","-13,231.0","-4,747.0","-4,809.0","-4,880.0","-7,852.0","-1,539.0","-2,264.0","-724.0","-2,024.0","-3,589.0","332.0","2,358.0","733.0","-463.0","-83.0","-1,840.0","-3,865.0","-5,475.0","-9,947.0","-29,134.0","-27,651.0","-1,724.0","7,769.0","7,404.0","12,875.0","-3,134.0","-26,734.0","-52,050.0","-3,570.0",".....","....."
"46","24","  Amounts paid to U.S. Treasury by Federal Reserve banks","B1190C1","3,019.0","3,494.0","3,357.0","3,231.0","4,341.0","5,550.0","5,382.0","5,870.0","5,937.0","7,006.0","9,279.0","11,706.0","14,024.0","15,205.0","14,229.0","16,054.0","17,796.0","17,804.0","17,739.0","17,364.0","21,646.0","23,608.0","20,778.0","16,774.0","15,987.0","20,470.0","23,389.0","20,083.0","20,659.0","26,561.0","25,410.0","25,344.0","27,089.0","24,495.0","22,022.0","18,078.0","21,468.0","29,052.0","34,598.0","31,689.0","47,430.0","79,268.0",".....","....."
"47","25","  State and local taxes on corporate income","B1179C1","3,610.0","3,740.0","4,284.0","5,252.0","6,028.0","6,679.0","7,347.0","9,636.0","11,429.0","12,106.0","13,568.0","14,466.0","15,442.0","14,034.0","15,896.0","18,799.0","20,247.0","22,661.0","23,901.0","26,032.0","24,239.0","22,486.0","23,641.0","24,380.0","26,906.0","29,970.0","31,656.0","33,023.0","34,145.0","34,934.0","35,796.0","35,231.0","28,853.0","30,864.0","33,997.0","41,708.0","54,943.0","59,242.0","57,879.0","47,434.0","45,596.0","47,663.0",".....","....."
"48","26","  Taxes paid by domestic corporations to foreign governments on income earned abroad","B1199C1","303.0","401.0","425.0","482.0","685.0","991.0","740.0","1,075.0","1,397.0","1,352.0","2,020.0","2,405.0","3,196.0","3,418.0","3,407.0","3,494.0","2,894.0","3,188.0","3,352.0","4,472.0","4,615.0","4,818.0","5,013.0","5,540.0","5,659.0","6,448.0","6,862.0","7,824.0","8,281.0","9,190.0","10,021.0","10,421.0","9,773.0","11,014.0","11,965.0","14,103.0","16,483.0","19,107.0","24,813.0","28,016.0","23,456.0","24,253.0",".....","....."
"49",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","27","  U.S. tax credits claimed for foreign taxes paid","B1191C1","3,988.0","4,549.0","5,657.0","6,316.0","9,620.0","20,753.0","19,988.0","24,250.0","26,844.0","27,492.0","38,203.0","26,427.0","23,774.0","21,164.0","21,534.0","23,054.0","26,714.0","24,388.0","23,480.0","29,386.0","26,791.0","28,183.0","24,566.0","25,262.0","27,619.0","29,194.0","33,476.0","43,303.0","44,922.0","39,789.0","39,875.0","49,945.0","42,330.0","43,213.0","51,123.0","57,814.0","82,935.0","78,764.0","86,589.0","100,446.0","93,574.0","118,087.0",".....","....."
"51","28","  Investment tax credit \8\","B1192C1","1,909.0","866.0","1,634.0","3,025.0","3,753.0","4,221.0","6,460.0","9,088.0","11,038.0","12,897.0","14,635.0","15,103.0","18,888.0","17,314.0","16,145.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"52","29","  Other tax credits \8\","B1193C1",".....",".....",".....","2.0","9.0","8.0","5.0","9.0","1,723.0","3,112.0","1,321.0","637.0","1,150.0","1,212.0","2,677.0","20,925.0","21,278.0","12,876.0","8,017.0","6,093.0","4,816.0","3,605.0","3,977.0","4,482.0","6,892.0","8,063.0","8,917.0","9,788.0","10,296.0","10,065.0","9,081.0","12,294.0","11,827.0","12,862.0","15,190.0","17,306.0","24,188.0","21,235.0","19,113.0","13,240.0","14,878.0","17,371.0",".....","....."
"53","30","Equals: Taxes on corporate income, NIPAs","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,360.0","445,530.0","309,100.0","269,444.0","370,571.0","374,224.0","434,798.0"
"54","31","Profits after tax, NIPAs (21-30)","A055RC1","56,675.0","51,506.0","61,106.0","73,544.0","96,158.0","108,742.0","103,127.0","130,926.0","154,052.0","185,552.0","211,126.0","195,568.0","192,286.0","165,828.0","183,239.0","200,709.0","190,243.0","156,519.0","200,350.0","246,726.0","243,336.0","258,627.0","290,726.0","313,873.0","334,910.0","408,563.0","467,413.0","507,271.0","551,466.0","479,711.0","507,363.0","481,994.0","487,343.0","596,605.0","725,674.0","948,516.0","1,240,939.0","1,378,063.0","1,302,886.0","1,073,343.0","1,198,719.0","1,464,262.0","1,473,131.0","1,755,231.0"
"55","32","Dividends paid in cash or assets, IRS","B1194C1","32,951.0","32,013.0","32,593.0","36,039.0","41,830.0","49,281.0","44,585.0","53,397.0","61,537.0","68,643.0","82,607.0","97,379.0","120,295.0","131,179.0","128,298.0","144,931.0","161,462.0","190,715.0","197,457.0","223,957.0","263,178.0","283,172.0","290,721.0","304,135.0","341,705.0","380,887.0","445,102.0","530,828.0","655,101.0","718,333.0","769,846.0","910,343.0","724,945.0","581,456.0","614,496.0","785,026.0","976,043.0","1,275,065.0","1,529,626.0","1,420,862.0","854,077.0","878,670.0",".....","....."
"56",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","33","  Posttabulation amendments and revisions \9\","B1195C1","-2,710.0","-1,068.0","-518.0","-749.0","23.0","761.0","255.0","1,106.0","-125.0","615.0","1,006.0","-735.0","-4,454.0","-6,388.0","-1,692.0","-5,127.0","-9,538.0","-30,956.0","-13,987.0","-3,083.0","-10,308.0","-14,020.0","-21,223.0","-16,960.0","-27,927.0","-39,058.0","-44,899.0","-66,980.0","-130,942.0","-151,697.0","-189,064.0","-239,783.0","-128,588.0","-19,939.0","-2,915.0","-29,771.0","-28,157.0","-197,696.0","-319,147.0","-290,751.0","22,682.0","11,014.0",".....","....."
"58","34","  Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","B1196C1","117.0","103.0","95.0","92.0","158.0","201.0","199.0","189.0","209.0","267.0","301.0","376.0","342.0","656.0","583.0","724.0","898.0","697.0","490.0","575.0","709.0","646.0","512.0","848.0","968.0","1,072.0","1,262.0","1,428.0","1,638.0","1,881.0","1,508.0","1,788.0","1,833.0","1,616.0","1,525.0","1,245.0","1,852.0","2,540.0","3,041.0","3,129.0","2,681.0","2,718.0",".....","....."
"59","35","  U.S. receipts of dividends from abroad, net of payments to abroad","B1197C1","3,836.0","3,936.0","4,690.0","4,894.0","6,800.0","9,765.0","6,556.0","8,959.0","11,079.0","11,184.0","16,041.0","16,748.0","15,445.0","16,385.0","12,145.0","12,292.0","11,837.0","17,883.0","16,705.0","31,894.0","31,600.0","24,974.0","24,327.0","28,034.0","20,582.0","38,166.0","32,772.0","40,391.0","47,210.0","42,270.0","41,526.0","29,240.0","40,667.0","47,901.0","32,094.0","62,318.0","260,861.0","77,902.0","140,430.0","180,513.0","111,872.0","121,416.0",".....","....."
