"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Current receipts","W023RC1","104,348.0","118,890.0","133,569.0","156,897.0","172,784.0","186,407.0","207,737.0","231,858.0","257,911.0","285,313.0","305,772.0","335,323.0","367,008.0","388,144.0","424,849.0","475,621.0","516,914.0","556,793.0","584,950.0","629,853.0","680,784.0","729,577.0","779,513.0","835,556.0","877,066.0","934,081.0","979,844.0","1,032,564.0","1,085,825.0","1,148,742.0","1,221,793.0","1,303,094.0","1,352,633.0","1,388,425.0","1,474,603.0","1,575,080.0","1,708,789.0","1,810,894.0","1,900,586.0","1,909,086.0","1,919,237.0","1,998,527.0","2,029,882.0","2,039,447.0","2,099,216.0"
"20","2","Current tax receipts","W070RC1","82,460.0","91,289.0","101,687.0","115,582.0","126,275.0","136,040.0","147,439.0","165,724.0","183,736.0","198,176.0","212,017.0","230,024.0","255,772.0","273,158.0","300,899.0","337,295.0","363,688.0","389,541.0","422,106.0","452,763.0","488,004.0","519,123.0","544,278.0","579,766.0","604,740.0","644,222.0","672,115.0","709,596.0","749,921.0","794,930.0","840,435.0","893,244.0","914,278.0","928,511.0","978,623.0","1,057,849.0","1,166,515.0","1,254,459.0","1,321,318.0","1,328,920.0","1,268,148.0","1,305,645.0","1,366,266.0","1,405,182.0","1,457,019.0"
"21","3","  Personal current taxes","W071RC1","12,806.0","14,217.0","15,902.0","20,883.0","22,826.0","24,523.0","26,877.0","31,074.0","35,366.0","40,450.0","44,032.0","48,891.0","54,615.0","59,147.0","66,105.0","76,023.0","81,360.0","87,205.0","96,600.0","102,094.0","114,639.0","122,559.0","125,311.0","135,305.0","141,067.0","147,990.0","158,109.0","168,673.0","181,998.0","201,221.0","214,486.0","236,708.0","243,018.0","221,850.0","226,803.0","247,446.0","276,435.0","302,500.0","323,482.0","333,537.0","287,771.0","297,629.0","327,004.0","348,841.0","375,682.0"
"22","4","    Income taxes","B245RC1","9,769.0","10,903.0","12,440.0","17,197.0","18,864.0","20,351.0","22,453.0","26,259.0","30,385.0","34,981.0","38,214.0","42,594.0","47,912.0","51,887.0","58,285.0","67,471.0","72,122.0","77,449.0","85,959.0","90,599.0","102,270.0","109,594.0","111,720.0","120,377.0","126,225.0","132,241.0","141,737.0","152,326.0","164,667.0","183,020.0","195,532.0","217,354.0","223,336.0","201,328.0","204,698.0","223,644.0","251,511.0","276,152.0","296,376.0","307,019.0","259,505.0","267,149.0","296,136.0","317,255.0","343,548.0"
"23","5","    Other","B247RC1","3,037.0","3,314.0","3,462.0","3,686.0","3,962.0","4,172.0","4,424.0","4,815.0","4,981.0","5,469.0","5,818.0","6,297.0","6,703.0","7,260.0","7,820.0","8,552.0","9,238.0","9,756.0","10,641.0","11,495.0","12,369.0","12,965.0","13,591.0","14,928.0","14,842.0","15,749.0","16,372.0","16,347.0","17,331.0","18,201.0","18,954.0","19,354.0","19,682.0","20,522.0","22,105.0","23,802.0","24,924.0","26,348.0","27,106.0","26,518.0","28,266.0","30,480.0","30,868.0","31,586.0","32,134.0"
"24","6","  Taxes on production and imports","W072RC1","66,044.0","73,332.0","81,501.0","89,447.0","97,421.0","104,838.0","113,215.0","125,014.0","136,941.0","145,620.0","154,417.0","166,667.0","185,715.0","199,977.0","218,898.0","242,473.0","262,081.0","279,675.0","301,605.0","324,637.0","349,126.0","374,078.0","395,326.0","420,081.0","436,767.0","466,262.0","482,350.0","507,900.0","533,778.0","558,775.0","590,153.0","621,305.0","642,407.0","675,797.0","717,823.0","768,695.0","835,137.0","892,717.0","939,957.0","947,949.0","934,781.0","960,353.0","988,526.0","1,004,941.0","1,026,546.0"
"25","7","    Sales taxes","B248RC1","28,562.0","31,645.0","35,364.0","39,801.0","44,080.0","48,160.0","51,703.0","57,760.0","64,018.0","71,000.0","77,281.0","82,858.0","90,747.0","96,199.0","107,650.0","121,000.0","131,124.0","139,850.0","150,326.0","162,392.0","172,319.0","184,291.0","190,661.0","204,306.0","216,393.0","231,421.0","242,735.0","256,186.0","268,650.0","283,870.0","301,568.0","316,814.0","321,803.0","331,105.0","348,853.0","371,051.0","402,469.0","431,811.0","448,916.0","444,780.0","423,902.0","445,953.0","463,704.0","474,875.0","492,540.0"
"26","8","    Property taxes","B249RC1","32,763.0","36,674.0","40,445.0","43,227.0","46,355.0","48,980.0","53,384.0","58,247.0","63,200.0","63,748.0","64,403.0","68,826.0","77,080.0","85,300.0","91,877.0","99,700.0","107,491.0","116,158.0","126,422.0","136,496.0","149,864.0","161,533.0","176,071.0","184,678.0","187,258.0","199,369.0","202,579.0","212,352.0","223,530.0","231,008.0","242,802.0","254,669.0","268,018.0","289,268.0","306,982.0","326,181.0","351,318.0","375,020.0","403,828.0","413,772.0","435,104.0","435,042.0","436,888.0","440,017.0","443,273.0"
"27","9","    Other","W073RC1","4,719.0","5,013.0","5,692.0","6,419.0","6,986.0","7,698.0","8,128.0","9,007.0","9,723.0","10,872.0","12,733.0","14,983.0","17,888.0","18,478.0","19,371.0","21,773.0","23,466.0","23,667.0","24,857.0","25,749.0","26,943.0","28,254.0","28,594.0","31,097.0","33,116.0","35,472.0","37,036.0","39,362.0","41,598.0","43,897.0","45,783.0","49,822.0","52,586.0","55,424.0","61,988.0","71,463.0","81,350.0","85,886.0","87,213.0","89,397.0","75,775.0","79,358.0","87,934.0","90,049.0","90,733.0"
"28","10","  Taxes on corporate income","B102RC1","3,610.0","3,740.0","4,284.0","5,252.0","6,028.0","6,679.0","7,347.0","9,636.0","11,429.0","12,106.0","13,568.0","14,466.0","15,442.0","14,034.0","15,896.0","18,799.0","20,247.0","22,661.0","23,901.0","26,032.0","24,239.0","22,486.0","23,641.0","24,380.0","26,906.0","29,970.0","31,656.0","33,023.0","34,145.0","34,934.0","35,796.0","35,231.0","28,853.0","30,864.0","33,997.0","41,708.0","54,943.0","59,242.0","57,879.0","47,434.0","45,596.0","47,663.0","50,736.0","51,400.0","54,791.0"
"29","11","Contributions for government social insurance","B104RC1","1,026.0","1,089.0","1,174.0","1,320.0","1,492.0","1,665.0","1,843.0","2,187.0","2,775.0","3,410.0","3,880.0","3,572.0","3,860.0","4,043.0","4,140.0","4,677.0","4,886.0","5,957.0","7,207.0","8,377.0","8,974.0","10,035.0","11,619.0","13,123.0","14,129.0","14,515.0","13,600.0","12,453.0","10,823.0","10,351.0","9,752.0","10,822.0","13,691.0","15,826.0","19,932.0","24,654.0","24,615.0","21,486.0","18,885.0","18,681.0","18,567.0","18,128.0","18,301.0","17,522.0","17,527.0"
"30","12","Income receipts on assets","W074RC1","4,337.0","5,153.0","5,495.0","5,928.0","7,760.0","10,190.0","11,185.0","10,433.0","11,665.0","14,658.0","20,128.0","26,270.0","31,963.0","36,721.0","41,443.0","47,674.0","55,612.0","58,959.0","58,535.0","61,195.0","66,559.0","68,468.0","67,245.0","64,048.0","61,115.0","63,502.0","69,114.0","73,698.0","78,093.0","81,254.0","85,240.0","93,926.0","89,161.0","78,589.0","73,820.0","76,817.0","88,591.0","107,176.0","117,942.0","105,708.0","87,804.0","82,599.0","79,966.0","78,477.0","81,448.0"
"31","13","  Interest receipts \1\","B112RC1","3,570.0","4,332.0","4,590.0","4,941.0","6,599.0","8,903.0","9,817.0","9,044.0","10,369.0","13,271.0","18,113.0","23,061.0","28,502.0","33,078.0","37,007.0","42,585.0","50,099.0","52,571.0","53,038.0","56,587.0","62,275.0","64,080.0","62,367.0","58,825.0","55,991.0","58,215.0","63,626.0","67,714.0","71,785.0","74,982.0","78,597.0","86,317.0","81,274.0","70,455.0","64,476.0","66,389.0","76,844.0","94,725.0","104,235.0","91,008.0","74,429.0","69,103.0","66,282.0","64,198.0","66,875.0"
"32","14","  Dividends","B081RC1",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,720.0","1,956.0","1,970.0","2,079.0","2,174.0","2,597.0","2,144.0","2,301.0","2,260.0","2,362.0","2,328.0"
"33","15","  Rents and royalties","S230541","767.0","821.0","905.0","987.0","1,134.0","1,255.0","1,330.0","1,346.0","1,250.0","1,322.0","1,932.0","3,112.0","3,335.0","3,489.0","4,260.0","4,925.0","5,357.0","6,238.0","5,335.0","4,432.0","4,107.0","4,150.0","4,535.0","4,758.0","4,538.0","4,531.0","4,525.0","4,631.0","4,783.0","4,642.0","5,146.0","6,254.0","6,465.0","6,583.0","7,624.0","8,472.0","9,777.0","10,372.0","11,533.0","12,103.0","11,231.0","11,195.0","11,424.0","11,917.0","12,245.0"
"34","16","Current transfer receipts","W075RC1","15,257.0","20,095.0","24,130.0","32,846.0","36,076.0","37,945.0","47,205.0","53,314.0","59,640.0","69,021.0","70,292.0","76,867.0","77,971.0","75,876.0","78,735.0","84,664.0","89,798.0","99,786.0","94,436.0","103,135.0","111,642.0","126,386.0","150,659.0","172,810.0","189,767.0","204,053.0","214,446.0","224,387.0","236,108.0","253,496.0","277,398.0","299,692.0","333,139.0","365,359.0","405,019.0","422,442.0","436,408.0","438,879.0","460,927.0","477,826.0","566,098.0","611,956.0","581,833.0","552,553.0","558,560.0"
"35","17","  Federal grants-in-aid","B089RC1","13,660.0","18,342.0","22,142.0","30,513.0","33,489.0","34,908.0","43,626.0","49,077.0","54,760.0","63,482.0","63,980.0","69,690.0","69,410.0","66,261.0","67,940.0","72,339.0","76,169.0","82,425.0","78,382.0","85,737.0","91,841.0","104,357.0","124,022.0","141,681.0","155,713.0","166,849.0","174,477.0","181,457.0","188,142.0","200,799.0","219,155.0","233,106.0","261,258.0","287,179.0","321,711.0","332,201.0","343,353.0","340,783.0","358,970.0","371,005.0","458,060.0","505,292.0","472,479.0","443,224.0","443,993.0"
"36","18","  From business (net)","W076RC1","530.0","560.0","598.0","682.0","880.0","1,084.0","1,211.0","1,365.0","1,582.0","1,866.0","2,169.0","2,457.0","2,869.0","3,249.0","3,645.0","4,185.0","4,399.0","6,720.0","4,889.0","5,381.0","6,394.0","7,090.0","7,949.0","9,237.0","10,527.0","11,955.0","13,495.0","15,168.0","17,687.0","21,607.0","24,010.0","28,562.0","29,841.0","32,554.0","33,839.0","36,497.0","36,547.0","38,820.0","40,511.0","43,564.0","44,021.0","43,428.0","44,183.0","41,854.0","44,580.0"
"37","19","  From persons","B246RC1","1,067.0","1,193.0","1,390.0","1,651.0","1,707.0","1,953.0","2,368.0","2,872.0","3,298.0","3,673.0","4,143.0","4,720.0","5,692.0","6,366.0","7,150.0","8,140.0","9,230.0","10,641.0","11,165.0","12,017.0","13,407.0","14,939.0","18,688.0","21,892.0","23,527.0","25,249.0","26,474.0","27,762.0","30,279.0","31,090.0","34,233.0","38,024.0","42,040.0","45,626.0","49,469.0","53,744.0","56,508.0","59,276.0","61,446.0","63,257.0","64,017.0","63,236.0","65,171.0","67,475.0","69,987.0"
"38","20","Current surplus of government enterprises","B115RC1","1,268.0","1,264.0","1,083.0","1,221.0","1,181.0","567.0","65.0","200.0","95.0","48.0","-545.0","-1,410.0","-2,558.0","-1,654.0","-368.0","1,311.0","2,930.0","2,550.0","2,666.0","4,383.0","5,605.0","5,565.0","5,712.0","5,809.0","7,315.0","7,789.0","10,569.0","12,430.0","10,880.0","8,711.0","8,968.0","5,410.0","2,364.0","140.0","-2,791.0","-6,682.0","-7,340.0","-11,106.0","-18,486.0","-22,049.0","-21,380.0","-19,801.0","-16,484.0","-14,287.0","-15,338.0"
"39","21","    Current expenditures","W024RC1","100,242.0","115,929.0","132,986.0","148,479.0","163,141.0","184,089.0","213,302.0","229,059.0","249,469.0","271,869.0","297,572.0","329,945.0","362,871.0","393,245.0","423,572.0","454,697.0","496,652.0","536,362.0","572,875.0","612,865.0","673,358.0","736,030.0","804,609.0","873,066.0","914,284.0","961,048.0","1,011,389.0","1,045,017.0","1,084,147.0","1,133,338.0","1,212,563.0","1,293,185.0","1,417,922.0","1,509,351.0","1,596,011.0","1,683,444.0","1,775,390.0","1,850,301.0","1,973,314.0","2,074,143.0","2,191,154.0","2,235,826.0","2,242,975.0","2,292,119.0","2,320,160.0"
"40","22","Consumption expenditures","A991RC1","80,438.0","92,111.0","104,211.0","115,382.0","126,811.0","144,485.0","165,615.0","177,180.0","193,005.0","209,856.0","229,448.0","252,784.0","276,089.0","297,414.0","316,726.0","339,961.0","371,807.0","399,890.0","428,347.0","458,937.0","501,325.0","546,179.0","580,130.0","619,042.0","646,476.0","682,237.0","716,823.0","748,080.0","785,931.0","835,680.0","902,002.0","969,116.0","1,039,740.0","1,091,037.0","1,127,138.0","1,187,569.0","1,256,607.0","1,325,906.0","1,411,371.0","1,488,743.0","1,508,360.0","1,518,304.0","1,517,436.0","1,536,356.0","1,548,132.0"
"41","23","Government social benefit payments to persons","B109RC1","13,217.0","16,101.0","19,332.0","21,953.0","24,084.0","25,276.0","30,802.0","34,138.0","37,039.0","40,767.0","44,316.0","51,201.0","57,090.0","61,197.0","66,906.0","71,169.0","77,260.0","84,344.0","90,726.0","98,501.0","109,348.0","127,655.0","156,517.0","179,996.0","195,210.0","206,707.0","217,636.0","224,255.0","227,558.0","235,779.0","252,349.0","271,434.0","305,070.0","333,035.0","353,566.0","385,019.0","406,619.0","403,923.0","433,271.0","455,399.0","492,629.0","523,826.0","532,044.0","544,324.0","561,436.0"
"42","24","Interest payments \1\","B111RC1","6,562.0","7,693.0","9,409.0","11,091.0","12,165.0","14,212.0","16,727.0","17,552.0","19,215.0","21,007.0","23,481.0","25,606.0","29,290.0","34,180.0","39,498.0","43,182.0","47,258.0","51,822.0","53,527.0","55,075.0","62,309.0","61,822.0","67,550.0","73,640.0","72,235.0","71,764.0","76,620.0","72,351.0","70,222.0","61,433.0","57,783.0","52,101.0","65,447.0","84,370.0","115,223.0","110,487.0","111,792.0","120,099.0","121,540.0","127,032.0","188,758.0","192,130.0","192,949.0","210,982.0","210,121.0"
"43","25","Subsidies","B114RC1","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","7,665.0","909.0","84.0","369.0","372.0","373.0","7,132.0","2,969.0","1,407.0","1,566.0","546.0","457.0","471.0"
"44","26","    Net state and local government saving","A924RC1","4,106.0","2,961.0","583.0","8,418.0","9,643.0","2,318.0","-5,565.0","2,799.0","8,442.0","13,444.0","8,200.0","5,378.0","4,137.0","-5,101.0","1,277.0","20,924.0","20,262.0","20,431.0","12,075.0","16,988.0","7,426.0","-6,453.0","-25,096.0","-37,510.0","-37,218.0","-26,967.0","-31,545.0","-12,453.0","1,678.0","15,404.0","9,230.0","9,909.0","-65,289.0","-120,926.0","-121,408.0","-108,364.0","-66,601.0","-39,407.0","-72,728.0","-165,057.0","-271,917.0","-237,299.0","-213,093.0","-252,672.0","-220,944.0"
"45","27","Social insurance funds","B118RC1","159.0","180.0","228.0","260.0","307.0","377.0","466.0","605.0","986.0","1,487.0","1,772.0","1,318.0","1,304.0","1,224.0","1,209.0","1,427.0","1,315.0","1,864.0","2,192.0","2,523.0","2,330.0","1,977.0","2,359.0","3,140.0","4,192.0","4,639.0","4,045.0","2,817.0","1,173.0","1,693.0","1,707.0","1,980.0","2,603.0","1,419.0","3,249.0","7,299.0","7,240.0","4,641.0","2,661.0","1,746.0","2,155.0","3,194.0","4,195.0","3,940.0","4,831.0"
"46","28","Other","B119RC1","3,947.0","2,781.0","355.0","8,158.0","9,335.0","1,940.0","-6,031.0","2,193.0","7,456.0","11,957.0","6,428.0","4,061.0","2,833.0","-6,325.0","68.0","19,497.0","18,946.0","18,567.0","9,882.0","14,464.0","5,096.0","-8,429.0","-27,455.0","-40,651.0","-41,410.0","-31,607.0","-35,590.0","-15,271.0","505.0","13,711.0","7,523.0","7,929.0","-67,892.0","-122,346.0","-124,658.0","-115,663.0","-73,841.0","-44,048.0","-75,391.0","-166,802.0","-274,069.0","-240,493.0","-217,288.0","-256,612.0","-225,775.0"
"47",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","29","  Total receipts","W077RC1","111,191.0","125,102.0","140,572.0","164,167.0","180,096.0","195,577.0","218,711.0","243,879.0","270,998.0","299,023.0","321,990.0","353,922.0","384,791.0","405,090.0","442,809.0","495,688.0","538,893.0","579,811.0","607,279.0","652,944.0","704,183.0","754,567.0","805,318.0","862,455.0","905,276.0","964,004.0","1,012,194.0","1,066,404.0","1,121,046.0","1,184,657.0","1,261,818.0","1,347,283.0","1,404,354.0","1,441,314.0","1,526,553.0","1,627,517.0","1,765,586.0","1,868,655.0","1,959,925.0","1,972,311.0","1,986,954.0","2,075,249.0","2,103,807.0","2,113,543.0","2,170,081.0"
"49","30","    Current receipts","W023RC1","104,348.0","118,890.0","133,569.0","156,897.0","172,784.0","186,407.0","207,737.0","231,858.0","257,911.0","285,313.0","305,772.0","335,323.0","367,008.0","388,144.0","424,849.0","475,621.0","516,914.0","556,793.0","584,950.0","629,853.0","680,784.0","729,577.0","779,513.0","835,556.0","877,066.0","934,081.0","979,844.0","1,032,564.0","1,085,825.0","1,148,742.0","1,221,793.0","1,303,094.0","1,352,633.0","1,388,425.0","1,474,603.0","1,575,080.0","1,708,789.0","1,810,894.0","1,900,586.0","1,909,086.0","1,919,237.0","1,998,527.0","2,029,882.0","2,039,447.0","2,099,216.0"
"50","31","    Capital transfer receipts","AD06RC1","6,843.0","6,212.0","7,003.0","7,270.0","7,312.0","9,170.0","10,974.0","12,021.0","13,087.0","13,710.0","16,218.0","18,599.0","17,783.0","16,946.0","17,960.0","20,067.0","21,979.0","23,018.0","22,329.0","23,091.0","23,399.0","24,990.0","25,805.0","26,899.0","28,210.0","29,923.0","32,350.0","33,840.0","35,221.0","35,915.0","40,025.0","44,189.0","51,721.0","52,889.0","51,950.0","52,437.0","56,797.0","57,761.0","59,339.0","63,225.0","67,717.0","76,722.0","73,925.0","74,096.0","70,865.0"
"51","32","  Total expenditures","W079RC1","120,387.0","135,416.0","153,093.0","168,151.0","183,996.0","208,132.0","238,835.0","253,628.0","271,505.0","298,985.0","329,278.0","364,682.0","394,193.0","421,196.0","451,824.0","490,432.0","540,169.0","585,959.0","625,132.0","669,835.0","735,590.0","807,225.0","876,885.0","944,499.0","983,026.0","1,033,129.0","1,089,657.0","1,128,613.0","1,178,962.0","1,232,909.0","1,326,652.0","1,418,475.0","1,554,841.0","1,654,823.0","1,741,800.0","1,832,930.0","1,925,303.0","2,005,280.0","2,141,170.0","2,246,628.0","2,358,316.0","2,385,517.0","2,368,649.0","2,405,894.0","2,423,501.0"
"52","33","    Current expenditures","W024RC1","100,242.0","115,929.0","132,986.0","148,479.0","163,141.0","184,089.0","213,302.0","229,059.0","249,469.0","271,869.0","297,572.0","329,945.0","362,871.0","393,245.0","423,572.0","454,697.0","496,652.0","536,362.0","572,875.0","612,865.0","673,358.0","736,030.0","804,609.0","873,066.0","914,284.0","961,048.0","1,011,389.0","1,045,017.0","1,084,147.0","1,133,338.0","1,212,563.0","1,293,185.0","1,417,922.0","1,509,351.0","1,596,011.0","1,683,444.0","1,775,390.0","1,850,301.0","1,973,314.0","2,074,143.0","2,191,154.0","2,235,826.0","2,242,975.0","2,292,119.0","2,320,160.0"
"53","34","    Gross government investment","A799RC1","28,818.0","29,336.0","30,711.0","31,342.0","33,988.0","40,500.0","44,550.0","44,891.0","43,960.0","50,825.0","58,356.0","65,699.0","66,916.0","66,993.0","68,827.0","77,588.0","87,347.0","96,200.0","102,194.0","110,412.0","119,214.0","132,163.0","137,295.0","139,723.0","141,203.0","148,812.0","159,979.0","170,159.0","185,827.0","193,738.0","213,609.0","232,878.0","249,789.0","263,295.0","268,902.0","277,455.0","290,762.0","314,298.0","340,784.0","358,842.0","363,046.0","351,858.0","337,221.0","334,907.0","331,453.0"
"54","35","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"55","36","    Net purchases of nonproduced assets","AD09RC1","981.0","1,098.0","1,628.0","1,656.0","1,723.0","1,876.0","1,944.0","1,746.0","1,558.0","1,782.0","1,997.0","2,178.0","2,245.0","2,214.0","2,223.0","2,561.0","3,063.0","3,674.0","4,166.0","4,341.0","4,884.0","5,730.0","5,848.0","5,850.0","5,886.0","6,207.0","6,574.0","6,020.0","5,844.0","7,586.0","8,628.0","8,590.0","10,118.0","11,199.0","11,423.0","11,345.0","10,006.0","10,986.0","13,647.0","13,797.0","12,303.0","10,566.0","10,126.0","10,225.0","9,487.0"
