"","Table 5#4#4B# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"21","14","  Manufacturing","B307RG3",89.04,92.681,96.396,100,103.502,106.635,108.466,114.166,122.938,130.94
"22","15","  Power and communication","W003RG3",95.511,96.574,96.926,100,102.893,105.224,107.731,115.864,125.253,134.294
"23","16","    Power","W028RG3",92.814,94.573,96.081,100,102.827,105.599,108.015,117.133,128.149,135.94
"24","17","      Electric","B571RG3",93.292,95.17,96.176,100,103.08,106.057,108.152,114.35,121.716,130.15
"25","18","      Other power","W029RG3",91.879,93.431,95.815,100,101.882,103.961,107.333,125.222,147.361,153.332
"26","19","    Communication","B314RG3",99.4,99.36,98.041,100,102.992,104.616,107.318,113.23,119.803,130.678
"27","20","  Mining exploration, shafts, and wells","B318RG3",88.58,100.57,96.78,100,122.364,145.169,157.775,167.3,209.848,264.531
"28","21","    Petroleum and natural gas","B319RG3",88.514,101.025,96.834,100,123.175,147.167,160.339,170.001,214.673,272.412
"29","22","    Mining","B320RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.557,125.583,134.636
"30","23","  Other structures","W004RG3",89.559,92.504,95.978,100,104.23,106.467,109.341,115.278,123.36,131.26
"31","24","    Religious","C309RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.296,125.332,134.503
"32","25","    Educational and vocational","W044RG3",88.637,92.282,96.05,100,103.693,106.808,109.249,115.187,124.161,132.493
"33","26","    Lodging","W045RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.492,125.502,134.757
"34","27","    Amusement and recreation","W046RG3",89.115,91.828,95.736,100,104.456,106.387,109.625,116.32,125.377,134.6
"35","28","    Transportation","W047RG3",92.691,94.874,96.97,100,104.316,106.661,109.529,113.011,115.808,119.436
"36","29","      Air","W048RG3",89.053,91.828,95.736,100,104.456,106.387,109.625,116.305,125.32,134.249
"37","30","      Land \3\","W049RG3",93.649,95.715,97.388,100,104.255,106.751,109.528,112.388,114.224,117.191
"38","31","    Farm","B316RG3",88.604,91.828,95.736,100,104.456,106.387,109.625,116.066,125.639,134.352
"39","32","    Other \4\","W050RG3",91.962,93.354,95.718,100,103.297,105.771,108.07,114.309,124.553,133.389
"40","33","    Brokers' commissions on sale of structures","B321RG3",96.147,98.307,98.066,100,104.678,105.816,106.318,106.929,107.379,106.883
"41","34","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RG3",89.642,92.086,95.708,100,104.709,107.369,112.629,121.02,129.175,134.863
"43","36","  Permanent site","B943RG3",88.614,91.521,95.57,100,104.797,107.753,113.538,122.899,131.315,137.271
"44","37","    Single-family structures","B944RG3",89.091,91.429,95.584,100,105.042,107.945,113.939,123.673,132.033,137.431
"45","38","    Multifamily structures","B292RG3",84.966,92.278,95.448,100,102.789,106.163,110.228,116.35,125.276,135.797
"46","39","  Other structures","A863RG3",91.151,92.929,95.917,100,104.575,106.786,111.248,118.113,125.85,131.113
"47","40","    Manufactured homes","B945RG3",94.379,95.639,98.212,100,101.74,103.271,105.17,114.697,124.542,129.284
"48","41","    Dormitories","B295RG3",89.091,91.429,95.584,100,105.042,107.945,113.939,123.354,132.207,137.494
"49","42","    Improvements","B946RG3",90.839,92.571,95.906,100,104.014,106.102,110.538,118.651,126.051,132.125
"50","43","    Brokers' commissions on sale of structures","B758RG3",90.819,92.882,95.387,100,106.166,108.715,113.558,118.259,126.375,130.421
"51","44","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RG3",89.391,92.61,95.969,100,104.901,108.399,113.189,121.545,131.751,141.133
"54","46","    Nonresidential structures","A771RG3",89.327,93.433,96.242,100,105.41,110.062,113.924,121.017,135.216,151.128
"55","47","    Residential structures","A756RG3",89.467,91.963,95.754,100,104.497,107.175,112.509,121.527,129.692,135.654
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
