"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"36","27","    Publicly administered government employee retirement plans","B4935C0",107523,108087,109102,110531,119372,138461,149733,161453,170809
"37","28","      Federal civilian \2\","B4945C0",39079,39996,41260,42334,43887,41248,47534,48572,52238
"38","29","      Federal military \3\","B1583C0",26298,26574,28222,29404,33707,41142,46762,51885,55314
"39","30","      State and local","S251100",42146,41517,39620,38793,41778,56071,55437,60996,63257
"40","31","  Private insurance funds","B4936C0",319261,346396,387356,411921,448865,490127,533574,575454,610244
"41","32","    Group insurance","B4922C0",279075,305688,343779,366335,398766,434843,475678,513345,552468
"42","33","      Group health insurance","B4923C0",267633,294125,331416,353291,386450,423415,463083,500167,537026
"43","34","      Group life insurance","B4924C0",11442,11563,12363,13044,12316,11428,12595,13178,15442
"44","35","    Workers' compensation","B4925C0",38106,38768,41734,43835,48401,53552,56129,60386,56079
"45","36","    Supplemental unemployment","B4926C0",2080,1940,1843,1751,1698,1732,1767,1723,1697
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","  Benefits paid by pension and insurance funds","B4928C0",760699,816319,885442,944200,1018554,1090000,1161785,1211797,1285322
"48","38","    Pension and profit-sharing","B4937C0",397546,424466,453414,484583,518900,547802,573766,581417,613009
"49","39","      Private pension and profit-sharing","B4929C0",236428,252896,270135,288675,308808,320359,331773,321807,331783
"50","40","      Publicly administered government employee retirement plans","B4938C0",161118,171570,183279,195908,210092,227443,241993,259610,281226
"51","41","        Federal civilian \2\","B4946C0",45871,47274,49779,51682,53028,54664,58283,62170,67166
"52","42","        Federal military \3\","B1593C0",31452,32172,33220,34640,36421,40892,43129,46286,48616
"53","43","        State and local","S121000",83795,92124,100280,109586,120643,131887,140581,151154,165444
"54","44","    Private insurance funds","B4939C0",363153,391853,432028,459617,499654,542198,588019,630380,672313
"55","45","      Group insurance","B4940C0",327878,354899,392980,417274,456972,499329,544856,587709,630075
"56","46","        Group health insurance","B4930C0",309610,334755,375962,400409,439194,480878,527085,568210,609894
"57","47","        Group life insurance","B4931C0",18268,20144,17018,16865,17778,18451,17771,19499,20181
"58","48","      Workers' compensation","B4932C0",33246,35071,37282,40501,40803,41046,41413,41000,40598
"59","49","      Supplemental unemployment","B4933C0",2029,1883,1766,1842,1879,1823,1750,1671,1640
"60","50","  Employee contributions for publicly administered government employee retirement plans","B4941C0",32391,34722,36755,38623,42027,45143,47773,49938,52780
"61","51","    Federal civilian","B4947C0",9547,10254,10934,11526,13457,15010,16625,17748,19074
"62","52","    State and local","S251200",22844,24468,25821,27097,28570,30133,31148,32190,33706
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Consists of civil service, foreign service, Public Health Service officers, Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Valley Authority, Thrift Savings Fund, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Includes the Coast Guard.  Beginning with October 2002, includes the Uniformed Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
