"","Table 5#4#2B# Contributions to Percent Change in Real Private Fi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"49","40","    Manufactured homes","A945RW2",0.2,-0.12,-0.51,-0.3,-0.12,-0.2,-0.02,0.09,-0.17
"50","41","    Dormitories","C295RW2",0.02,0.04,0,0.02,-0.01,0.02,-0.03,-0.02,0.04
"51","42","    Improvements","A946RW2",0.08,0.51,0.39,0.2,0.81,0.78,0.43,0.45,0.87
"52","43","    Brokers' commissions on sale of structures","A758RW2",1.05,0.53,-0.05,0.11,0.86,1.04,1.41,0.69,-1.03
"53","44","    Net purchases of used structures","A759RW2",-0.11,-0.03,0.28,-0.02,-0.16,-0.02,0.13,-0.01,-0.04
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","  Private fixed investment in new structures \5\","W040RW2",5.81,2.81,2.9,-1.19,-4.47,2.94,5.5,3.96,0.48
"56","46","    Nonresidential structures","A771RW2",2.33,-0.18,2.72,-1.31,-6.59,-1.45,0.34,0.09,2.65
"57","47","    Residential structures","A756RW2",3.48,2.98,0.17,0.12,2.11,4.39,5.16,3.86,-2.17
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
