"","Table 2#3#1# Percent Change From Preceding Period in Real Person","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","  Furniture and household equipment","A166RL1",-10.2,-8.6,-18.9,-8.3,9.1,13.5,24.6,4.5,-9.9,13,10.6,17.3,-17.5,-24.5,-14.1,10.5,85.3,16.3,4.3,-1.7,19.9,-5.1,1.7,5,2.1,12.6,4.6,-2.8,-1.5,7.6,-1.2,1.8,6.3,7.6,12.6,9.5,12.8,4.7,6.4,2.6,1.1,4,10.7,10.9,1.1,-2.3,6.6,8.6,5.9,5.6,-1.8,0.1,-2.1,13.6,11.9,8.8,12.5,7.1,6.8,5.3,0.6,1,5.5,10.4,11.1,10.6,11.6,11.8,13.1,14.7,11.5,6,9.8,9.2,11.9,10.6,11.9,7.8
"12","5","  Other","A167RL1",-10.1,-18.9,-24.3,-13.6,20.3,14.9,13.5,20.9,-2.9,6.4,7,17.6,4.6,17.1,2.4,13.3,30.5,-4.8,0.8,-5.4,5.9,2.4,5.8,4.6,4.9,10.4,7.4,2,1.7,5.6,-1.1,-0.4,6.8,6.3,11.5,10.7,19,4.5,8.9,4.5,5,1.6,12.9,12.2,3,3.9,7.8,7.2,6.6,3.9,-7.4,1.3,-1.6,5.8,14.4,4.9,10,6.4,5.4,2,1.1,-4.3,1.7,7.5,7.5,6.7,7.6,6.4,8.1,10.3,8,-0.4,5.6,6.3,6.5,5.3,4.1,3.9
"13","6","Nondurable goods","B004RL1",-4.7,-0.5,-8.2,-1.5,8.6,6,11.7,3.6,1.4,5.2,4.5,6.7,1.7,3.3,4,7.2,5.5,-2.7,0.3,1.5,3.1,2.6,4,3.1,1.3,4.8,3.4,1.8,1,4.1,1.5,1.8,3.1,2.1,4.9,5.3,5.5,1.6,4.6,2.7,2.4,1.8,4.4,3.3,-2,1.5,4.9,2.4,3.7,2.7,-0.2,1.2,1,3.3,4,2.7,3.6,2.4,3.3,2.8,1.6,-0.2,2,2.7,3.5,2.2,2.6,2.7,4,4.6,3.8,2,2.5,3.2,3.5,3.6,3.6,2.4
"14","7","  Food","A168RL1",-1.7,0.5,-6.2,1.5,10.3,5.6,13.8,4.7,1.9,2.8,4.6,5.2,2.3,2.6,7.2,7.5,4.7,-3.6,-1.3,0.7,1.9,2.8,3.3,3.8,1.9,4.2,3.2,2,0,3.5,0.7,1.1,1.3,1.1,4,5.6,4.2,1.3,4.9,2.6,3.1,0.9,3.2,0.3,-1.6,2.5,5.2,1.9,1,2,0.8,0.1,1.6,2.9,2.2,2.4,2.3,1.4,3.9,1.8,2.7,-0.1,0.6,1.8,2.5,0.6,0.9,1.3,2.4,3.2,3.5,1.6,1.5,2.4,3.2,4,4,2.3
"15","8","  Clothing and shoes","A169RL1",-10.1,-1.4,-11.1,-10.2,5.5,8.2,8.8,-1,1.4,8,3.3,7.5,4.3,9.1,-3.2,3.4,2.3,-4.5,1,0.5,2.5,-0.4,5.4,1,0.2,4.9,2.6,-0.7,1,5.1,0.9,1.9,4.5,1.8,7.9,4.1,6.7,0.6,4.2,1.8,-1.2,4.8,6.7,7,-1.4,3.4,4.7,5.4,10,5.2,2.4,6.1,1.6,7.4,8.5,4.7,8,3.6,3,5.7,-0.7,0.3,5.5,4.1,5.4,4.1,5,3,7,7.4,5.3,2,4.8,5,4.9,6.2,5,4.6
"16","9","  Gasoline, fuel oil, and other energy goods","A173RL1",-0.6,-2.3,-6.3,2.3,5.1,5.1,8.1,4,-1.2,7.2,6.7,8.1,-13.9,-18.3,0.6,16.8,40.7,5.9,3.8,0.2,5.1,5.3,4.2,2.5,2.8,8,4.3,2.5,4.5,2.4,1.4,-0.4,3.2,3.5,5.1,4.7,5.5,2.5,4.2,4.3,3.8,3.4,5,5.8,-8.1,2.1,5.5,1.8,1.7,-2.4,-8.7,-1.3,0,2,2.7,1.9,4.7,2.2,2.8,1.6,-1.8,-1.1,3.9,2.5,1.7,1.9,1.9,2,3.7,3.4,-0.6,1,2.1,0.6,1.3,-1,-0.3,-1.2
"17","10","    Gasoline and oil","C170RL1",1,4.1,-7.9,0.2,6.6,6.1,8,7.6,2.9,6.6,6,11.5,-24.6,-36.6,3.2,31.7,81.5,6.4,6.4,8.7,3.7,8.7,8.2,5.5,3.2,8.7,6,3.9,4.7,5.1,3.4,1,4.2,3.1,5.5,4.7,6.2,3.2,7,6.7,6.2,4.8,4.1,5.2,-4.9,3,4,3.1,2.3,-1.3,-5.7,1.5,1.2,2.2,3.1,2,4.9,2.7,2.6,2.1,-0.9,-1.1,4,2.5,1.3,1.8,2.2,3.1,4.6,3.5,-0.3,1.5,2.1,0.7,1.9,-0.3,0.4,-2
"18","11","    Fuel oil and coal","A171RL1",-2.3,-9.2,-4.3,5.2,3.3,3.7,8.2,-1,-7.2,8.3,7.7,3.1,2.8,1.9,-1,6.8,7.6,5.3,0.5,-11.8,7.5,-0.2,-2.8,-3.4,1.9,6.3,0.2,-0.8,3.8,-4.5,-4.2,-4.8,-0.2,4.9,3.9,4.7,2.9,0,-5.3,-5.2,-7,-3.4,10,8.6,-21.1,-1.9,12.3,-3.2,-0.8,-7.1,-22.7,-16.1,-7.2,0.1,-0.4,1.2,3.7,-1.3,3.7,-2.4,-9.2,-1,2.4,2.2,4.8,2.8,-1.4,-8.1,-5.3,2.3,-3.5,-4.2,2.5,-0.7,-5.6,-9,-9.7,9.2
"19","12","  Other","A172RL1",-8.7,-1.1,-11.2,-1.4,9.4,4.8,10.7,5.3,1.2,9,4.3,10.5,6.5,8.5,4.5,8.4,0.2,-0.6,4.1,7.1,7.3,4.5,4.5,3.9,-0.6,5,4.5,3.6,2,6.1,4.5,5.2,7.2,4.4,4.6,6,8,2.8,4.3,2.9,3.2,0.7,5.2,6.7,-0.2,-3.3,3.8,1.5,7.2,5.8,1.7,2.1,-0.5,2.3,5.9,2.4,2.8,4,2.1,3.2,2.1,-0.5,1.9,3.5,4.9,4.1,4.5,5.5,5.4,5.7,4.8,3.1,3.2,4.6,4.2,3.4,4.2,3.1
"20","13","Services","B005RL1",-2.5,-3.2,-6.3,-2.9,3.8,3.1,5,3.4,-1.1,3,3.6,5.1,4.5,5.5,3.4,3.3,9.1,4.2,3.8,2.6,5,5.1,4.4,4.3,4,5.2,5,3.9,3.8,5.3,4.5,4.2,5,4.6,6.1,5.3,5,4.9,5.2,4.8,4,3.9,5.7,4.7,2.3,3.7,4.1,4.3,4.7,3.1,1.8,1.7,2.1,5.5,4.1,5.6,2.9,4.3,4,3,2.9,1.7,3.5,2.8,2.9,2.6,2.9,3.3,4.2,4,4.5,2.4,1.9,1.9,3.2,2.7,2.7,2.8
"21","14","  Housing","A174RL1",-1.2,-1.1,-1.9,-1.9,5.6,1,1.7,1.7,1.5,2.3,3.1,5.7,4.9,4,4,2.3,8.6,8.6,5.4,6.2,6.8,7.3,6.4,5.3,4.8,5,5,5.1,4.7,5.4,5.2,4.8,5.7,4.6,4.8,5.5,4.6,4.5,5.1,5.4,3.7,4.4,5.8,5,5.2,2.9,3,2.5,4.9,4,3.1,2.6,0.4,2.1,4.3,3.9,2.6,3.1,3.1,2.6,2.5,2.2,1.5,1.1,3.3,2.1,1.5,2.4,2.9,3.1,2.9,2.7,0.8,0.9,3,3.2,2.7,2.4
"22","15","  Household operation","A186RL1",0.2,-3.5,-7.7,-4.3,6.9,4.5,6.7,5.6,-1.2,5.8,5.7,2.9,6.3,-0.9,3.3,4.4,3.2,7.2,4.9,3.8,8.8,6.4,3,4.7,3.8,9.8,7,3.9,3.5,4.2,4.9,3.6,4.9,4.2,4.8,5,5.1,5.1,4.3,5.2,3.6,1.7,5.3,4.9,1.1,4.7,4.1,5.3,5.3,3.1,2.6,-0.9,0.8,3.2,2.6,4.1,1.7,4.6,4.5,4.1,1,1.3,2.8,4.9,4.2,3.2,4.6,4,4.9,4.1,4.9,0.2,0.6,1.4,2.4,1.9,-0.8,3.2
"23","16","    Electricity and gas","A175RL1",8.2,3.8,0.2,-3.5,4.1,5,5.7,6,3.3,4.7,7.9,4.7,7,3.7,6.1,6.8,13.2,12.8,10.5,8.6,13.7,12.1,8.8,7.7,9.8,7.7,8.9,6.3,5.5,5.9,5.5,5.1,6.9,4.8,5.4,4.8,5.5,5.6,5.8,6,4.7,3.1,5.8,2.9,1.2,5.6,3.6,4.9,4.4,0.7,2.8,-1.7,1.3,2.9,0.6,2.7,-1.1,3.5,5,2.1,-1.7,3.1,-0.5,5.3,1.6,1.1,3.5,-0.7,2.2,1.1,3.7,-1.7,2.8,1.8,1.1,2.8,-3.1,5.8
"24","17","    Other household operation","A176RL1",-3,-7,-12.1,-4.8,8.8,4.2,7.2,5.4,-3.7,6.4,4.4,1.9,5.9,-3.1,2,3.3,-0.8,4.8,2.4,1.5,6.3,3.4,-0.2,3,0.3,11.2,5.8,2.4,2.1,3,4.4,2.5,3.4,3.8,4.4,5.2,4.8,4.7,3.3,4.7,2.8,0.7,4.9,6.4,1,3.9,4.5,5.6,6.1,5.3,2.4,-0.2,0.3,3.5,4.8,5.5,4.4,5.5,4.1,5.9,3.2,-0.1,5.5,4.7,6.2,4.7,5.3,7.3,6.6,5.9,5.6,1.4,-0.8,1.2,3.3,1.4,0.8,1.3
"25","18","  Transportation","A177RL1",-11.6,-11.1,-11.7,-0.2,5.9,2.7,11.6,5.6,-4.4,7.9,6.7,11.4,8.1,21.9,8.5,7.8,18,-1.2,0.2,-3.9,-1.1,9,1.2,2.8,-1.4,4.2,3.8,1.7,-1.6,4.1,3.3,1.3,3.7,4.3,5.1,4.3,5.6,5.5,6,5.4,2.8,3.6,6.2,2.8,0.8,0.9,3,7.2,3.3,3,-5,-2.9,-1.3,6.5,9.6,9.1,3.8,4,5,1.4,0,-4.8,4.2,4.3,7.9,6.1,6.8,6.3,3.3,4.2,2.8,-1.1,-2.7,0.1,1.4,1.1,1.2,3.1
"26","19","  Medical care","A494RL1",-2.2,-1.5,-6,-7.8,2.7,1.1,6.7,3.3,-1.6,5.7,3.2,5.2,5.2,1.4,7.2,1.7,15.3,6.8,9.6,4,6,5.2,4.9,5,6.5,3.8,6.4,5.8,6.8,7.4,4,4.3,8.7,6.5,11.2,4.6,5.2,4,7.9,7,5.4,6.5,6.9,7.1,3.6,5.1,4.6,4.8,4.8,4.1,3.6,5,1.5,4.1,2.9,4.1,4.1,5.2,5,2.7,5,3.4,4.7,1.6,1.1,2.2,1.8,2.2,3,1.9,3.8,4.7,5.7,3.9,3,3.4,3.3,2.7
"27","20","  Recreation","A490RL1",-0.7,-2.4,-18.3,-4.4,8,6,9.7,6.5,-5.2,2.9,8,5.4,8.3,6.9,-1.4,6.1,15.6,-5.1,-2.8,-1.6,-0.1,0.8,1.7,1.1,2.1,4.6,4.8,-2.7,-0.4,6.5,5.7,4.9,5.2,4.3,3.7,2.7,4.8,2.6,6.3,5.6,4,3.7,5.2,8.2,7.1,5.5,7.1,6.2,4.8,4.7,4.8,8.8,7,7.5,5,7.3,3.8,3.9,9.3,7.1,4.8,0.6,7.2,6.2,4.8,7,4.3,3.1,3.9,5.3,4.1,2.5,2.3,3.4,4.9,2.2,3.1,3.9
"28","21","  Other","A178RL1",-3.2,-4.5,-8,-2.7,-1.6,5.6,5,3.1,-2.4,0.2,1.2,3.2,0.4,7.2,0.7,1.9,5.6,1.4,2.1,0.4,3.6,0.7,4.1,3.3,4.5,4.1,3.7,3.3,4.1,4.8,3.4,4.3,2.2,3.6,6.6,6.6,5.2,6.2,3.7,1.8,4.1,2.6,4.8,2,-2.3,3.6,4.6,4.3,4.4,0.4,-0.6,-1.4,6.2,12.5,3.9,9,2.4,5.2,2.4,2.8,2.3,1.5,3.5,4.2,2.2,1.2,3.7,4.7,7.5,6.8,7.8,1.5,0.7,0.9,3.7,2.2,3.5,3
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","22","  Energy goods and services \1\","BA02RL1",1.7,-0.6,-4.3,0.5,4.9,5,7.4,4.5,0.1,6.5,7,7.2,-8.6,-11.9,2.5,13.4,32.1,7.7,5.4,2.2,7.3,7.1,5.5,4,4.8,7.9,5.7,3.7,4.8,3.5,2.8,1.5,4.5,4,5.2,4.7,5.5,3.6,4.8,4.9,4.1,3.3,5.3,4.7,-4.8,3.4,4.7,3,2.8,-1.2,-4.7,-1.4,0.5,2.4,1.8,2.2,1.9,2.8,3.9,1.9,-1.8,0.8,1.8,3.8,1.6,1.5,2.6,0.7,3,2.3,1.3,-0.2,2.4,1.1,1.2,0.5,-1.4,1.4
"31","23","  Personal consumption expenditures excluding food and energy.","BA03RL1",-7.3,-4.6,-10.2,-3.8,6,6.5,8.8,3.1,-3.4,6.7,5.3,8,-3.7,4.4,0.7,4.9,14.9,4.3,3.7,3.8,8.4,0.6,2.9,5.3,1.8,8.5,2.5,2.5,0.7,6.6,3.5,2.5,6.3,5.2,6.7,6.7,6.2,3.5,6.1,4,1.9,4.8,7.1,6.3,-0.1,2.1,5.7,5,5.5,3,-0.1,2.2,1.5,6.9,6.5,6.2,4.7,3.8,4.1,3.1,2.2,0.2,3.9,3.6,4.1,3.2,3.9,4.4,5.6,5.6,5.1,2.9,3,2.9,3.9,3.3,3.3,3.1
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Consists of gasoline, fuel oil, and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
