"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"27","18","    Medical care","A494RY2",-0.05,-0.04,-0.17,-0.24,0.08,0.03,0.17,0.08,-0.04,0.15,0.08,0.12,0.11,0.02,0.12,0.03,0.26,0.15,0.22,0.1,0.15,0.13,0.11,0.12,0.16,0.11,0.17,0.16,0.2,0.24,0.13,0.15,0.31,0.24,0.42,0.18,0.21,0.16,0.33,0.31,0.25,0.32,0.36,0.38,0.19,0.28,0.27,0.29,0.3,0.26,0.23,0.33,0.1,0.31,0.23,0.32,0.33,0.42,0.42,0.24,0.46,0.33,0.49,0.17,0.12,0.23,0.19,0.24,0.31,0.2,0.4,0.5,0.63,0.49,0.49,0.56
"28","19","    Recreation","A490RY2",-0.01,-0.05,-0.39,-0.09,0.15,0.11,0.17,0.11,-0.09,0.05,0.14,0.09,0.12,0.09,-0.02,0.07,0.2,-0.08,-0.04,-0.02,0,0.01,0.02,0.01,0.03,0.06,0.06,-0.03,-0.01,0.08,0.07,0.07,0.07,0.06,0.05,0.04,0.06,0.03,0.08,0.08,0.06,0.05,0.07,0.12,0.1,0.08,0.11,0.1,0.07,0.07,0.07,0.14,0.11,0.13,0.09,0.13,0.07,0.07,0.18,0.14,0.1,0.01,0.16,0.14,0.12,0.17,0.11,0.08,0.1,0.14,0.11,0.07,0.06,0.1,0.11,0.06
"29","20","    Other","A178RY2",-0.25,-0.38,-0.71,-0.26,-0.15,0.45,0.38,0.23,-0.18,0.01,0.08,0.2,0.02,0.34,0.03,0.08,0.24,0.07,0.11,0.02,0.19,0.04,0.19,0.16,0.22,0.22,0.2,0.18,0.22,0.28,0.2,0.26,0.13,0.22,0.4,0.4,0.32,0.38,0.24,0.12,0.26,0.17,0.31,0.13,-0.15,0.23,0.3,0.28,0.29,0.03,-0.04,-0.09,0.39,0.85,0.29,0.65,0.18,0.41,0.2,0.22,0.18,0.12,0.29,0.36,0.19,0.1,0.32,0.4,0.65,0.61,0.72,0.15,0.06,0.14,0.26,0.21
"30","21","Gross private domestic investment","A006RY2",-5.23,-4.32,-5.34,1.15,2.78,4.51,2.53,2.58,-4.24,2.43,4.01,2.93,-6.54,-2.59,0.75,1.16,7.46,-0.57,4,-4.22,5.74,0.05,-1.65,0.7,-0.69,3.45,-0.23,-0.71,-1.25,2.8,0,-0.1,1.81,1,1.25,2.16,1.44,-0.76,0.9,0.9,-1.04,1.67,1.87,1.96,-1.3,-2.98,2.84,2.43,2.16,0.61,-2.12,1.59,-2.55,1.45,4.63,-0.17,-0.12,0.51,0.39,0.64,-0.53,-1.2,1.07,1.21,1.93,0.48,1.35,1.95,1.63,1.33,0.99,-1.39,-0.41,0.58,1.82,1
"31","22","  Fixed investment","A007RY2",-3.37,-3.75,-3.85,-0.72,1.63,1.9,2.52,1.58,-2.21,1.78,2.01,1.58,-4.76,-1.19,0.79,1.47,4.62,2.37,1.49,-1.37,2.9,-0.7,-0.28,0.98,0.22,1.91,0.06,-0.17,-1.07,1.94,0.13,-0.04,1.24,1.08,1.37,1.5,0.87,-0.28,1,0.9,-0.31,1.1,1.81,1.46,-1.04,-1.71,1.42,2.18,2.04,1.02,-1.21,0.39,-1.22,1.17,2.68,0.89,0.2,0.09,0.52,0.47,-0.32,-0.94,0.79,1.14,1.3,0.94,1.34,1.42,1.6,1.36,1.09,-0.5,-0.84,0.54,1.47,1.29
"32","23","    Nonresidential","A008RY2",-1.86,-3.33,-2.79,-0.48,1.21,1.34,2.04,1.39,-2.22,0.74,1.59,1.36,-3.18,-0.63,0.9,1.36,2.24,1.31,0.51,-0.93,0.86,0.44,-0.18,0.8,-0.2,1.01,0.55,0.16,-1.12,0.73,0.52,-0.06,0.78,0.5,1.07,1.65,1.29,-0.15,0.46,0.78,-0.06,0,0.92,1.5,0.09,-1.14,0.52,1.19,1.69,1.23,-0.04,0.74,-0.51,-0.16,2.05,0.82,-0.36,-0.01,0.57,0.61,0.05,-0.57,0.32,0.83,0.91,1.08,1.01,1.33,1.28,1.09,1.06,-0.52,-1.06,0.13,0.92,0.88
"33","24","      Structures","A009RY2",-0.76,-1.76,-1.31,-0.53,0.24,0.21,0.61,0.63,-0.59,0.14,0.33,0.47,-0.99,-0.38,0.28,0.38,1.43,-0.32,0.18,-0.12,0.25,0.26,-0.01,0.3,0.12,0.26,0.39,0,-0.22,0.09,0.28,0.05,0.16,0.04,0.36,0.57,0.27,-0.1,0.06,0.2,0.01,-0.06,0.12,0.31,-0.09,-0.43,0.09,0.15,0.54,0.52,0.27,0.4,-0.09,-0.57,0.6,0.32,-0.5,-0.11,0.02,0.07,0.05,-0.39,-0.18,-0.02,0.05,0.17,0.16,0.21,0.16,-0.01,0.21,-0.07,-0.55,-0.11,0.06,0.05
"34","25","      Equipment and software","A010RY2",-1.1,-1.57,-1.48,0.06,0.97,1.14,1.43,0.76,-1.62,0.61,1.26,0.88,-2.2,-0.25,0.62,0.98,0.8,1.63,0.33,-0.81,0.62,0.18,-0.17,0.5,-0.32,0.75,0.16,0.16,-0.9,0.64,0.24,-0.11,0.61,0.46,0.71,1.07,1.02,-0.05,0.41,0.58,-0.07,0.07,0.81,1.19,0.18,-0.7,0.43,1.04,1.15,0.71,-0.3,0.34,-0.42,0.41,1.44,0.5,0.15,0.1,0.55,0.54,0,-0.18,0.5,0.85,0.87,0.91,0.85,1.12,1.12,1.11,0.85,-0.44,-0.51,0.24,0.86,0.82
"35","26","        Information processing equipment and software","A679RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.02,-0.07,0.07,0.06,0.09,0.07,-0.07,0.09,0.11,0.1,-0.09,0.07,0.18,0.09,0.11,0.18,0.15,0.2,0.37,0.1,0.09,0.28,0.19,0.1,0.22,0.27,0.24,-0.01,0.23,0.37,0.54,0.43,0.37,0.38,0.19,0.43,0.73,0.34,0.25,0.19,0.33,0.41,0.16,0.15,0.45,0.4,0.4,0.56,0.67,0.83,0.83,0.85,0.75,-0.08,-0.2,0.19,0.49,0.48
"36","27","          Computers and peripheral equipment","B935RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.03,0.04,0.11,0.06,0.07,0.15,0.07,0.04,0.08,0.06,0.08,0.12,0.02,0.08,0,0.09,0.11,0.23,0.18,0.2,0.23,0.12,0.27,0.38,0.19,0.11,0.18,0.1,0.15,-0.01,0.05,0.21,0.18,0.16,0.34,0.35,0.37,0.38,0.37,0.2,0.02,0.04,0.09,0.19,0.24
"37","28","          Software \1\","B985RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0.01,0.04,0.02,0.02,0.05,0.02,0.02,0.05,0.05,0.01,0.04,0.03,0.04,0.04,0.02,0.01,0.05,0.07,0.06,0.06,0.06,0.08,0.12,0.1,0.06,0.08,0.12,0.19,0.13,0.11,0.15,0.11,0.09,0.1,0.17,0.32,0.24,0.3,0.2,-0.02,-0.04,0.06,0.11,0.17
"38","29","          Other","A937RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.02,-0.07,0.07,0.06,0.09,0.07,-0.07,0.09,0.11,0.1,-0.09,0.07,0.12,0.05,0.06,0.03,0.08,0.12,0.16,0,0.03,0.15,0.08,0.01,0.06,0.22,0.12,-0.05,0.12,0.25,0.26,0.18,0.12,0.09,0.01,0.09,0.23,0.06,0.07,-0.07,0.11,0.07,0.04,-0.01,0.09,0.12,0.15,0.12,0.16,0.14,0.21,0.18,0.35,-0.08,-0.19,0.05,0.19,0.08
"39","30","        Industrial equipment","A680RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,-0.14,-0.4,0.22,0.19,0.07,0.17,0.05,-0.01,0.19,0.03,-0.35,0.03,0.13,-0.09,0.08,0.13,0.21,0.31,0.29,0.01,-0.04,0.13,0.03,-0.16,0.13,0.31,0.14,-0.33,0.01,0.11,0.22,0.15,-0.1,-0.03,-0.18,-0.15,0.24,0.08,-0.01,-0.04,0.08,0.11,-0.1,-0.1,0.03,0.12,0.14,0.16,0.06,0.04,0.06,0,0.12,-0.14,-0.11,0,0.04,0.09
"40","31","        Transportation equipment","A681RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0.08,-0.01,0.23,-0.09,-0.35,0.3,-0.22,0.42,-0.19,0.12,-0.48,0.43,0.05,-0.09,0.34,-0.05,0.2,0.4,0.18,-0.06,0.34,0.08,-0.34,0.13,0.26,0.35,-0.18,-0.24,0.17,0.36,0.21,0.09,-0.39,-0.05,-0.18,0.18,0.29,0.06,-0.06,-0.08,0.08,-0.14,-0.01,-0.03,0.02,0.22,0.23,0.12,0.06,0.13,0.11,0.25,-0.07,-0.18,-0.16,-0.03,0.15,0.17
"41","32","        Other equipment","A862RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.37,-0.32,0.1,0.01,0.02,-0.04,-0.09,0.24,0.05,-0.09,0.02,0.11,-0.12,-0.01,0.09,0.21,0.15,0.16,0.19,-0.09,0.02,0.1,0.06,0,0.19,0.25,-0.02,-0.13,0.01,0.21,0.18,0.04,-0.19,0.05,-0.24,-0.06,0.19,0.01,-0.03,0.04,0.06,0.16,-0.06,-0.2,-0.01,0.11,0.1,0.07,0.05,0.12,0.12,0.01,0.05,-0.04,-0.04,0.08,0.18,0.09
"42","33","    Residential","A011RY2",-1.51,-0.42,-1.06,-0.24,0.41,0.56,0.48,0.19,0.01,1.04,0.43,0.22,-1.58,-0.56,-0.1,0.11,2.39,1.06,0.98,-0.44,2.03,-1.14,-0.1,0.18,0.42,0.9,-0.49,-0.32,0.05,1.21,-0.39,0.01,0.46,0.58,0.3,-0.15,-0.43,-0.13,0.53,0.13,-0.26,1.1,0.89,-0.04,-1.13,-0.57,0.9,0.99,0.35,-0.21,-1.17,-0.35,-0.71,1.33,0.64,0.07,0.55,0.1,-0.05,-0.14,-0.37,-0.37,0.47,0.31,0.39,-0.14,0.33,0.08,0.32,0.27,0.03,0.02,0.22,0.41,0.55,0.41
"43","34","  Change in private inventories","A014RY2",-1.86,-0.57,-1.49,1.87,1.16,2.61,0.01,1,-2.04,0.66,2,1.36,-1.78,-1.39,-0.05,-0.3,2.84,-2.93,2.5,-2.85,2.84,0.75,-1.37,-0.28,-0.91,1.54,-0.29,-0.54,-0.18,0.86,-0.13,-0.05,0.57,-0.08,-0.13,0.66,0.58,-0.49,-0.1,0,-0.73,0.58,0.06,0.5,-0.27,-1.27,1.41,0.25,0.12,-0.41,-0.91,1.2,-1.34,0.29,1.95,-1.06,-0.32,0.42,-0.14,0.17,-0.21,-0.26,0.29,0.07,0.63,-0.46,0.02,0.54,0.03,-0.03,-0.1,-0.88,0.43,0.05,0.35,-0.29
