"","Table 5#4#4BU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37"
"38","30","      Land\3\","W049RG3",93.401,93.506,93.747,93.942,94.856,95.509,96.008,96.488,96.946,97.086,97.496,98.025,98.901,99.59,100.375,101.134,102.305,103.595,105.04,106.079,106.129,106.437,106.801,107.635,108.573,109.197,109.84,110.621,111.82,112.309,112.811,112.96,113.135,113.383
"39","31","    Farm","B316RG3",87.377,87.976,88.993,89.959,90.52,91.257,92.257,93.304,94.311,95.296,96.177,97.077,98.449,99.434,100.412,101.44,102.801,103.898,105.303,106.066,105.789,106.04,106.215,107.424,109.124,109.112,109.501,110.882,112.747,114.961,116.92,118.402,119.696,121.307
"40","32","    Other\4\","W050RG3",90.212,91.619,92.448,93.567,92.93,92.991,93.488,94.005,94.618,95.252,95.944,97.06,98.274,99.606,100.552,101.568,102.423,103.01,103.512,104.244,104.922,105.508,106.079,106.576,107.413,107.972,108.34,108.373,108.559,110.371,111.508,113.493,115.886,117.828
"41","33","    Brokers' commissions on sale of structures","B321RG3",95.045,96.385,96.574,96.576,97.815,98.592,98.623,98.188,97.631,98.068,98.227,98.355,98.545,98.737,98.96,103.847,104.078,103.808,105.522,105.396,105.518,105.703,105.796,106.232,106.299,106.331,106.33,106.329,106.325,106.851,107.254,107.253,107.253,107.253
"42","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","Residential","B012RG3",88.734,89.187,89.979,90.667,90.924,91.565,92.484,93.369,94.312,95.368,96.19,96.96,98.665,99.624,100.424,101.286,102.665,103.956,105.732,106.483,106.252,106.84,107.262,109.121,111.639,111.752,112.521,114.637,116.913,119.699,121.765,123.05,123.509,124.262
"44","36","  Permanent site","B943RG3",87.594,87.888,89.034,89.938,90.239,90.887,91.939,93.02,94.131,95.213,96.061,96.873,98.799,99.672,100.353,101.176,102.56,103.699,105.88,107.049,106.64,107.174,107.481,109.717,112.809,112.575,113.15,115.62,118.373,121.586,123.702,124.574,124.574,125.431
"45","37","    Single-family structures","B944RG3",88.162,88.41,89.5,90.277,90.293,90.758,91.713,92.783,94.015,95.199,96.122,96.957,98.802,99.671,100.373,101.226,102.717,103.938,106.166,107.34,106.858,107.339,107.625,109.878,113.043,112.873,113.52,116.074,118.945,122.238,124.411,125.311,125.311,126.173
"46","38","    Multifamily structures","B292RG3",83.256,83.874,85.422,87.224,89.529,91.581,93.462,94.681,94.866,95.195,95.509,96.214,98.912,99.855,100.381,100.912,101.316,101.731,103.476,104.574,104.766,105.674,106.097,108.121,110.443,109.623,109.551,111.287,113.089,115.609,117.242,117.886,117.886,118.697
"47","39","  Other structures","A863RG3",90.399,91.078,91.37,91.755,91.946,92.577,93.3,93.894,94.584,95.601,96.388,97.095,98.458,99.553,100.534,101.455,102.824,104.35,105.504,105.623,105.661,106.332,106.929,108.221,109.86,110.503,111.569,113.137,114.658,116.77,118.763,120.719,121.926,122.513
"48","40","    Manufactured homes","B945RG3",93.718,94.313,94.618,94.822,94.893,95.35,95.833,96.404,96.964,98.142,98.738,99.185,99.376,99.918,100.347,100.608,100.562,101.228,102.155,102.868,102.717,103.384,103.549,103.502,103.37,104.535,105.401,107.353,107.471,112.972,117.766,120.92,122.954,124.357
"49","41","    Dormitories","B295RG3",88.137,88.408,89.515,90.303,90.288,90.722,91.656,92.714,93.912,95.09,96.02,96.879,98.805,99.716,100.446,101.32,102.76,103.944,106.15,107.315,106.831,107.317,107.615,109.888,113.103,112.956,113.617,116.177,119.027,122.314,124.481,125.377,125.377,126.24
"50","42","    Improvements","B946RG3",90.036,90.775,91.106,91.44,91.59,92.198,92.888,93.607,94.524,95.554,96.445,97.103,98.705,99.668,100.418,101.21,102.331,103.479,104.829,105.416,105.229,105.678,106.043,107.459,109.59,109.733,110.497,112.397,114.486,117.265,119.326,120.782,121.534,122.677
"51","43","    Brokers' commissions on sale of structures","B758RG3",90.122,90.682,90.916,91.481,91.781,92.501,93.372,93.765,94.101,95.065,95.728,96.599,97.798,99.268,100.797,102.087,104.149,106.544,107.381,106.541,107.051,108.126,109.196,110.442,111.392,112.833,114.4,115.411,116.152,116.967,118.673,121.297,123.141,122.844
"52","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures\5\","W040RG3",88.276,88.876,89.788,90.625,91.36,92.165,93.022,93.892,94.753,95.609,96.365,97.148,98.656,99.54,100.41,101.394,102.771,104.132,105.951,106.749,106.986,107.858,108.505,110.248,112.393,112.354,113.049,114.998,117.352,120.083,122.153,123.424,124.614,126.231
"55","46","    Nonresidential structures","A771RG3",87.993,88.795,89.761,90.759,92.091,93.111,93.886,94.645,95.283,95.863,96.5,97.323,98.481,99.371,100.467,101.681,103.187,104.838,106.535,107.08,108.087,109.485,110.648,112.03,113.142,113.231,114.046,115.346,117.353,119.319,121.26,122.941,126.002,128.952
"56","47","    Residential structures","A756RG3",88.528,88.966,89.835,90.541,90.789,91.417,92.344,93.303,94.337,95.408,96.257,97.013,98.79,99.675,100.368,101.167,102.442,103.572,105.49,106.483,106.141,106.653,106.974,108.932,111.697,111.594,112.228,114.534,117.066,120.193,122.326,123.38,123.605,124.543
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
