"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Durable goods","DDURRA3",4.557,4.652,4.717,5.024,4.998,5.032,5.116,5.044,4.952,5.381,5.638,5.862,6.087,6.138,7.593,6.654,6.864,5.879,5.773,5.754,5.787,5.9,5.55,6.506,6.725,6.686,6.645,6.459,6.258,6.561,6.589,6.994,7.623,8.036,8.296,8.078,7.708,7.719,7.583,7.826,7.97,7.782,7.728,7.638,7.13,7.021,7.166,7.429,7.832,8.127,8.284,7.889,8.142,8.327,8.261,8.054,7.611,7.769,7.959,8.345,8.525,8.754,8.817,9.206,9.39,9.591,9.71,9.863,10.247,10.515,10.862,10.528,11.508,11.526,11.92,12.423,13.013,12.494,12.904,12.899,12.655,13.199,13.093,13.126,13.942,14.239,14.88,14.792,15.071,15.03
"12","4","    Motor vehicles and parts","DMOTRA3",8.73,8.886,8.406,9.571,10.205,9.628,9.902,10.482,10.901,13.241,13.68,13.732,14.734,15.427,18.941,17.558,16.883,14.178,13.029,12.159,12.307,12.828,10.492,15.02,16.387,16.022,15.857,14.706,13.77,15.28,14.76,16.245,19.144,21.039,21.786,20.257,17.975,17.315,16.741,17.953,19.17,18.382,17.829,17.874,15.075,14.861,14.872,15.845,17.469,18.547,19.282,16.98,18.753,19.464,19.825,18.722,16.304,16.752,17.257,18.77,19.652,20.417,20.131,21.83,22.485,23.087,23.12,23.581,24.156,24.418,25.573,23.252,28.084,27.525,28.448,28.772,30.556,27.542,28.366,28.215,26.807,29.198,28.348,27.55,31.111,31.63,33.549,33.13,33.981,33.326
"13","5","    Furnishings and durable household equipment","DFDHRA3",9.037,9.309,9.75,10.23,9.806,10.333,10.53,9.886,9.129,9.363,10.168,11.001,10.803,10.437,13.554,10.918,12.24,10.16,10.363,10.705,10.623,10.616,10.737,11.314,11.055,11.186,11.168,11.196,10.968,10.945,11.106,11.586,12.223,12.379,12.839,12.825,12.99,13.396,13.148,13.182,13.056,13.034,12.963,12.66,12.661,12.451,12.88,13.077,13.327,13.617,13.685,13.757,13.528,13.648,13.238,13.173,13.156,13.332,13.572,13.857,13.902,14.071,14.428,14.536,14.798,14.95,15.341,15.584,16.318,16.864,17.056,17.314,17.323,17.554,18.079,19.018,19.33,19.288,19.889,19.726,19.795,19.995,20.015,20.207,20.545,21.023,21.711,21.545,21.703,21.924
"14","6","    Recreational goods and vehicles","DREQRA3",0.447,0.458,0.477,0.488,0.464,0.471,0.468,0.444,0.454,0.45,0.466,0.489,0.555,0.554,0.679,0.592,0.611,0.552,0.57,0.596,0.614,0.622,0.633,0.667,0.698,0.698,0.696,0.699,0.712,0.733,0.764,0.795,0.812,0.838,0.861,0.875,0.874,0.895,0.895,0.904,0.885,0.865,0.88,0.857,0.86,0.842,0.871,0.897,0.952,0.969,0.971,0.975,0.962,0.976,0.947,0.955,0.959,0.986,1.014,1.031,1.026,1.046,1.08,1.105,1.12,1.159,1.174,1.195,1.275,1.35,1.394,1.436,1.466,1.542,1.604,1.748,1.837,1.904,2.011,2.077,2.081,2.103,2.157,2.265,2.308,2.332,2.44,2.452,2.51,2.543
"15","7","    Other durable goods","DODGRA3",6.297,6.267,6.473,6.496,6.48,6.497,6.524,6.545,6.38,6.35,6.287,6.412,6.436,6.545,6.946,6.693,6.844,6.736,6.848,7.062,7.111,7.281,7.433,7.693,7.702,7.624,7.532,7.48,7.372,7.709,8.132,8.298,8.073,8.382,8.418,8.723,8.565,8.684,8.867,9.04,8.801,8.576,9.072,9.001,8.837,8.783,9.017,9.194,9.058,9.23,9.268,9.425,9.27,9.43,9.28,9.268,9.244,9.351,9.539,9.865,10.03,10.372,10.43,10.68,10.567,10.721,10.897,10.815,11.226,11.487,11.99,12.007,12.445,12.331,12.85,13.887,15.005,14.735,14.861,14.653,14.631,15.043,14.905,15.197,15.568,16.472,16.717,16.856,17.151,17.127
"16","8","  Nondurable goods","DNDGRA3",21.226,21.59,21.69,21.406,21.476,21.687,21.555,21.837,21.921,21.982,21.79,22.147,22.43,22.691,23.083,22.57,22.984,22.648,23.124,23.396,23.202,23.742,24.159,24.514,24.666,24.779,24.552,24.588,24.825,24.759,25.072,25.494,25.759,26.234,26.41,26.947,27.251,27.183,27.201,27.419,27.585,27.689,28.073,27.89,27.638,27.889,28.399,28.789,29.164,29.405,29.518,29.701,29.775,30.1,29.924,29.945,30.122,30.526,30.549,30.964,31.221,31.346,31.59,31.767,31.941,32.05,32.343,32.302,32.855,33.482,34.136,34.201,34.528,34.858,35.38,36.693,36.96,37.31,37.578,37.474,37.895,38.177,38.141,38.314,39.068,39.548,40.178,40.187,40.633,40.723
"17","9","    Food and beverages purchased for off-premises consumption","DFXARA3",34.908,35.606,35.464,34.582,34.65,35.245,34.449,35.088,35.128,35.126,34.968,34.949,35.731,35.881,35.954,35.592,35.786,35.701,36.335,36.094,35.902,36.887,37.389,37.675,38.47,38.516,38.244,38.252,38.916,38.792,39.636,40.28,40.522,41.143,41.473,42.096,42.737,42.541,42.552,42.894,43.21,43.622,44.033,43.927,43.59,43.53,43.933,44.464,45.277,45.552,45.825,46.127,45.969,46.255,45.978,45.886,46.269,46.777,46.688,46.917,46.878,46.82,47.209,46.983,46.984,47.246,47.543,47.655,47.941,48.776,49.49,49.673,50.219,50.596,51.292,53.578,53.329,53.447,53.598,53.339,54.397,54.695,54.397,55.112,55.77,56.773,57.778,57.973,58.698,58.447
"18","10","    Clothing and footwear","DCLORA3",12.412,12.262,12.462,12.449,12.331,12.409,12.526,12.807,12.826,12.664,12.203,12.681,12.659,12.878,13.35,12.756,13.025,12.548,12.813,12.993,12.894,13.352,13.757,14.058,13.569,13.898,13.634,13.442,13.599,13.6,13.547,13.848,14.008,14.392,14.274,14.578,14.585,14.638,14.775,14.756,14.571,14.509,14.819,14.44,14.299,14.573,14.9,15.157,15.214,15.606,15.499,15.648,15.694,15.803,15.546,15.486,15.627,15.789,15.918,16.349,16.434,16.617,16.692,16.827,16.76,16.863,17.162,17.004,17.707,18.173,18.441,18.624,18.643,18.612,19,19.723,20.142,20.217,20.448,20.265,20.277,20.433,20.524,20.403,20.976,21.121,21.484,21.331,21.544,21.626
"19","11","    Gasoline and other energy goods","DGOERA3",31.42,32.487,32.822,32.74,33.487,33.562,33.903,33.517,33.216,33.714,33.732,34.128,34.307,35.606,36.296,35.42,36.824,36.552,37.491,38.293,38.141,38.577,39.158,39.63,39.771,39.638,40.08,39.989,40.212,40.327,41.156,42.24,42.925,43.975,44.433,45.645,46.098,46.19,45.625,46.632,47.275,46.71,47.622,47.507,47.776,49.204,50.081,50.53,50.619,50.718,50.533,50.531,50.96,52.155,51.253,51.26,50.636,51.935,50.778,50.92,52.361,52.478,52.412,53.649,54.954,54.381,54.204,54.659,55.618,56.99,58.729,58.493,58.221,59.703,61.095,61.759,61.807,63.364,64.213,64.536,64.418,65.042,64.892,66.08,67.459,67.556,68.272,68.142,69.642,70.535
"20","12","    Other nondurable goods","DONGRA3",10.68,11.132,11.272,11.287,11.447,11.405,11.564,11.55,11.821,12.122,12.249,12.721,12.838,12.96,13.399,13.056,13.557,13.221,13.582,14.32,14.044,14.107,14.316,14.696,14.955,14.887,14.664,15.03,14.879,14.766,14.8,14.899,15.158,15.353,15.633,16.079,16.306,16.196,16.2,16.354,16.653,16.782,17.012,17.015,16.66,16.871,17.501,17.801,18.091,18.095,18.347,18.45,18.684,19.033,19.249,19.47,19.624,19.914,20.17,20.7,21.123,21.328,21.638,21.98,22.315,22.402,22.712,22.565,22.975,23.277,23.934,23.797,24.317,24.695,24.89,25.76,26.339,26.9,27.14,27.211,27.5,27.774,27.875,27.609,28.343,28.678,29.081,29.132,29.249,29.481
"21","13","Services","DSERRA3",10.889,11.047,11.023,10.965,11.083,11.256,11.316,11.43,11.502,11.56,11.536,11.57,11.713,12.01,12.195,12.272,12.607,12.692,12.851,12.883,13.042,13.246,13.421,13.612,13.752,13.916,14,13.897,14.026,14.269,14.517,14.692,14.865,14.973,15.127,15.428,15.576,15.725,15.89,16.097,16.159,16.297,16.416,16.593,16.573,16.814,17.043,17.153,17.362,17.622,17.859,18.075,18.237,18.439,18.417,18.595,18.782,19.056,19.115,19.452,19.636,19.929,20.101,20.354,20.435,20.66,21.022,21.308,21.651,21.952,22.239,22.544,22.803,23.15,23.468,23.867,24.113,24.373,24.571,24.837,25.067,25.31,25.654,25.867,26.266,26.676,27.017,27.315,27.558,27.897
"22","14","  Household consumption expenditures (for services)","DHCERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.419,18.701,18.959,19.176,19.317,19.519,19.487,19.687,19.904,20.183,20.239,20.588,20.78,21.11,21.307,21.593,21.679,21.903,22.272,22.56,22.898,23.221,23.537,23.87,24.156,24.51,24.823,25.233,25.495,25.794,26.027,26.334,26.569,26.808,27.146,27.348,27.78,28.236,28.611,28.937,29.207,29.572
"23","15","    Housing and utilities","DHUTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.033,20.23,20.594,20.885,21.172,21.381,21.599,21.957,22.134,22.467,22.66,23.078,23.371,23.712,24.014,24.471,24.693,24.747,25.18,25.413,25.766,26.012,26.342,26.763,27.034,27.449,27.806,28.148,28.39,28.701,29.041,29.352,29.553,29.996,30.317,30.817,31.214,31.356,31.842,32.325,32.818,33.142
"24","16","    Health care","DHLCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.499,14.609,14.662,14.623,14.823,14.93,14.542,14.845,15.002,15.424,15.55,15.791,16.175,16.615,17.072,17.468,17.693,17.848,17.97,18.272,18.993,19.73,20.4,20.79,21.136,21.07,20.684,20.668,21.025,21.767,22.364,22.953,23.028,23.064,23.035,23.094,23.71,24.619,25.203,25.845,26.284,26.616
"25","17","    Transportation services","DTRSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.818,22.145,22.604,22.883,23.012,23.06,23.119,23.165,23.126,23.264,23.378,23.717,23.915,24.22,24.289,24.556,24.824,25.105,25.448,25.825,26.151,26.499,26.896,27.197,27.382,27.814,28.28,28.696,28.984,29.616,29.592,30.458,30.822,30.935,31.408,31.793,32.389,32.919,33.556,34.073,34.639,35.168
"26","18","    Recreation services","DRCARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.416,10.668,10.739,10.868,11.12,11.245,11.289,11.397,11.509,11.643,11.769,12.058,12.066,12.513,12.248,12.43,12.605,12.659,13.244,12.752,13.254,13.134,13.248,13.711,13.78,13.756,13.775,14.029,14.099,14.492,14.828,15.26,15.366,14.999,15.62,14.678,15.53,16.046,16.256,16.645,16.905,17.199
"27","19","    Food services and accommodations","DFSARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.047,28.419,29.034,29.361,28.875,29.31,28.922,28.959,29.188,28.959,28.9,29.395,29.685,29.977,30.306,30.658,30.705,30.807,30.858,31.27,31.984,32.395,32.66,32.923,33.677,34.628,35.128,35.817,36.468,36.536,36.752,36.42,36.117,35.803,36.194,36.558,37.946,38.276,38.694,38.738,38.701,39.541
"28","20","    Financial services and insurance","DIFSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.315,11.686,11.912,12.136,12.123,12.279,12.3,12.23,12.797,13.105,12.765,12.91,12.722,12.979,12.871,12.924,12.738,13.057,13.512,14.001,13.919,14.133,14.496,14.513,14.742,14.99,15.266,15.832,15.948,15.855,15.691,15.432,16.048,16.327,16.872,16.808,16.561,17.515,17.643,17.738,17.316,17.532
"29","21","    Other services","DOTSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.674,23.178,23.217,23.455,23.692,23.964,23.791,23.996,24.158,24.59,24.673,25.121,25.313,25.554,25.768,25.806,25.632,26.365,26.845,27.34,27.368,27.733,27.72,28.104,28.267,28.805,29.732,30.453,30.653,30.868,30.948,31.684,32.105,32.777,33.081,33.497,33.62,33.739,33.876,33.845,34.302,34.592
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.192,3.177,3.162,3.248,3.458,3.574,3.622,3.595,3.52,3.639,3.68,3.786,3.838,3.791,3.74,3.692,3.705,3.823,3.97,4.11,4.311,4.345,4.338,4.342,4.327,4.466,4.658,4.8,4.839,4.757,4.669,4.588,4.677,4.818,5.027,5.198,5.225,5.184,5.171,5.173,5.154,5.183
"31","23","    Gross output of nonprofit institutions \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.561,13.231,12.955,12.958,13.545,13.858,13.618,13.808,13.738,14.382,14.432,14.708,14.943,15.014,15.118,15.214,15.426,15.788,16.1,16.445,17.002,17.181,17.273,17.28,17.591,17.993,18.426,18.814,19.161,19.409,19.455,19.561,19.818,20.31,20.83,21.262,21.518,21.932,22.036,22.368,22.655,22.975
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.984,20.255,19.656,19.379,20.072,20.434,19.769,20.266,20.324,21.413,21.406,21.711,22.084,22.377,22.753,23.1,23.531,23.995,24.265,24.633,25.295,25.594,25.815,25.821,26.539,27.036,27.454,27.912,28.563,29.334,29.675,30.127,30.443,31.127,31.694,32.172,32.658,33.664,33.924,34.639,35.306,35.92
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.972,15.283,15.476,15.471,15.658,15.869,15.824,15.847,15.826,16.048,16.19,16.592,16.787,17.064,17.208,17.512,17.625,17.861,18.134,18.322,18.731,19.064,19.418,19.47,19.997,20.204,20.57,21.108,21.53,21.541,21.826,21.952,22.029,22.352,22.536,22.607,23.21,23.59,24.041,24.157,24.395,24.615
"35","26","  Energy goods and services \5\","DNRGRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.811,40.7,40.916,41.028,41.627,42.412,41.898,42.24,41.791,43.245,42.476,42.893,44.106,44.204,44.38,45.488,46.714,45.755,46.376,46.409,47.585,48.333,49.57,49.684,49.54,50.941,51.757,52.239,52.454,53.839,54.484,54.9,54.805,56,55.704,57.014,58.095,57.846,58.833,59.067,60.49,60.55
"36","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
