"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"16","9","            Services","W107RL1",4.5,5.4,7.2,2.6,-1.1,5.2,2.7,-2.9,1.8,1.4,2.2,0.9,0.3,8.5,7.4,4.5,9.7,6.7,3.1,2.7,3.1,5.6,5.4,3.7,0.5,5.7,1,1.7,4.4,3.3,7.2,2.5,9.1,8.8,3,2.6,0.8,1.9,-0.2,2.6,6.4,1.1,-5.8,-1.1,-3.3,0.5
"17","10","        Less: Own-account investment \4\","W108RL1",5.1,-0.2,-0.6,2.5,-0.6,1.3,-2,-2.1,-3.3,4.5,6.8,3.3,-0.4,2.1,5,6.9,7.8,6.8,3.9,2.9,5.5,4,0.5,-0.9,-1,-1,-0.3,-0.5,2.6,1.3,1.6,3.7,9.5,3.6,1.1,0.2,2.9,3.3,3,1.9,0.7,-2.3,0.6,0.8,-3.4,-2.5
"18","11","        Less: Sales to other sectors \5\","W109RL1",4,3.5,7.7,11.6,5,1.2,-1.4,3.7,5.6,5.4,5.4,0.6,2.6,1.8,2.7,0.7,3.4,3.6,2.4,2.6,2.4,2.2,3.6,3.8,3.9,4.5,1.8,2,2.1,3.5,1.8,5.6,4.7,1.9,0.7,1,1.4,1.9,0,-0.4,1.2,2.4,0.8,0,1.4,0.9
"19","12","Federal consumption expenditures \1\","A957RL1",-1.4,-5.9,-4.2,-2.9,-5.1,-0.3,-0.3,-1.6,1.6,1.7,1.2,4.1,4.2,3.4,5.2,0.9,5.4,4.8,1.9,0.3,2.5,2.1,1.3,-1.5,-2.7,-2.8,-3,-1.8,0.4,-2,1.5,0.4,3.9,6.2,6.5,4.2,1.2,1.7,1,6.7,6.5,4.4,-2.6,-1.1,-5.2,-0.7
"20","13","      Gross output of general government","W110RL1",-1.1,-5.7,-4.1,-1.9,-4.7,0,-0.8,-1.8,1.8,1.9,1.5,3.7,3.8,3.1,5.1,1.2,5.4,4.8,2.1,0.4,2.4,2.2,1.3,-1.5,-2.8,-2.3,-3.5,-1.8,-0.2,-1.7,1,0.8,3.8,6,6.4,4,1.6,1.6,0.9,6.5,6.3,4.3,-2.2,-1.3,-5.3,-0.8
"21","14","        Value added","W111RL1",1.1,-3.2,-3.6,-3.7,-2.7,0.2,-0.2,0.4,0.5,1.5,0.4,1.8,1.8,2,2.7,2.7,3.4,2.6,3.3,2,1.6,1.8,0.6,-1.6,-1.6,-2.7,-3.2,-2.3,-1.7,-1,-0.7,0.6,0.4,1.7,2.7,1.6,1.4,0.8,1.4,3.8,5.1,3.4,1.1,0,-1.9,-0.1
"22","15","          Compensation of general government employees","B568RL1",0.3,-5.3,-5,-4.9,-3.7,0.4,-0.5,0.2,0.1,1.3,-0.6,1.3,1.1,1,1.5,1,1.4,-0.2,1.2,-0.1,0.2,1,-0.3,-3.3,-2.8,-4.3,-4.9,-3.7,-2.5,-1.5,-1.4,0.8,0.3,2.3,3.1,0.7,0.1,-0.9,0,3.7,6,3.7,0.2,-1,-3.5,-1
"23","16","          Consumption of general government fixed capital \2\","B995RL1",2.7,1.3,-0.7,-1.2,-0.8,-0.3,0.2,0.9,1.4,1.7,2.1,2.7,3.2,3.8,4.7,5.7,6.7,7,6.5,5.2,3.7,2.9,2,0.9,0,-0.7,-0.9,-0.7,-0.7,-0.5,0.1,0.2,0.5,0.9,2.1,2.9,3.4,3.7,3.7,3.9,3.7,3,2.6,1.6,0.6,1.5
"24","17","        Intermediate goods and services purchased \3\","W113RL1",-6.4,-12.9,-5.9,4.7,-11.2,-0.7,-2.7,-9.2,6.5,3.2,5.3,9.6,9,6.1,11,-2.5,10.5,10.3,-0.5,-3.3,4.5,3.1,2.8,-1.4,-5.7,-1,-4.3,-0.4,3.6,-3.3,5.7,1.3,12.2,15.8,14,8.6,2,3,-0.1,11.3,8.3,5.8,-7.4,-3.5,-11.1,-2.2
"25","18","          Durable goods","W114RL1",-16.3,-10.1,-27,25.3,-8.8,-12.5,5.5,-8.8,25.4,10.4,9.3,5.9,15.8,9.2,19.2,1.9,8.1,7.1,6.5,3.2,-3.4,-2.9,-4.1,-9.2,-8.7,-13.8,-8.5,0.1,0.9,0.8,6.7,-0.2,1.2,5.5,9.3,10.6,1.4,9.1,9.2,16.6,6.3,3.1,-5.2,-2.7,-12.4,-9.3
"26","19","          Nondurable goods","W115RL1",-4.2,-35.5,-10.5,7,-23.8,-2.7,-4.9,-16.2,-0.7,8.2,0.6,18.4,21.7,-6.4,12.6,-20.6,15.7,32.3,-25.8,-37,65.3,-8.9,6,-0.7,1.3,-14.1,-1.6,-2.9,12.3,7.6,-9.6,13.1,15.8,8.5,15,9.9,1.8,-1.3,-0.6,7.3,9.3,0.6,-7.6,-4.3,-11.9,-4.7
"27","20","          Services","W116RL1",-2.1,1.4,5.8,-2.3,-7,4.3,-4.2,-6.7,3,-1.3,5.3,7.5,-0.5,12,6,3.7,10.2,4.6,5.3,2.2,-0.3,9.2,5.2,1.5,-5.9,5.9,-3.5,-0.1,3,-6,8.3,-0.2,14,19.2,14.6,8,2.1,3,-1.5,11.2,8.5,7.3,-7.8,-3.4,-10.7,-0.6
"28","21","      Less: Own-account investment \4\","W117RL1",6.8,-1.5,-1.4,4.1,-0.7,-0.3,-1.4,0,-2.9,3,4.2,2.7,0.3,2.2,7.2,5.9,7.4,5.4,3.8,1.7,3.4,3.3,-1.9,-0.8,-1.6,-2.7,-1.5,-3.1,-2.2,0,-1.2,1.5,11.1,5,2.7,-0.5,2.8,2.5,2.9,1.3,1.2,-0.3,2.8,4.1,-5.6,-6.4
"29","22","      Less: Sales to other sectors","W118RL1",4.6,-5.2,-4.6,85.8,13.8,14.6,-21.5,-16.5,29.6,8.9,11,-7.4,-7.7,-5.7,-6.5,6.2,0.2,4.6,8.3,9.6,-3.2,5.4,8.6,-7.4,-11,30.1,-28.7,4.8,-30.2,20.1,-25.1,32.5,-24.6,-5.7,9.5,6.5,41.5,-7.9,-18.5,14.9,7.8,10,16,-30.3,-9.1,13.3
"30","23","    Defense consumption expenditures \1\","A997RL1",-3.5,-8.1,-7.5,-6.3,-6.9,-2.7,-2.1,-2.1,0.6,0.7,0.9,2.9,5,5.6,4.5,2.5,5.3,5.3,3.6,2.3,0.6,0.4,1.5,-4.1,-3.4,-4.4,-4,-1.8,-1.5,-2.7,1.7,-1.4,2.9,5.4,7.8,5.1,1.1,1,1.6,6.9,6.3,3.7,-1.5,-2.8,-6,-0.7
"31","24","      Gross output of general government","W085RL1",-3.2,-7.9,-7.4,-5.4,-6.2,-2.3,-2.7,-2.7,0.7,0.8,0.9,3,5,5.6,4.4,2.9,5.4,5.4,3.6,2.3,0.6,0.6,1.2,-4,-3.3,-3.8,-4.6,-1.7,-1.7,-2.8,1.6,-1.2,3.2,5.6,7.6,4.9,1.3,1.3,1.6,6.7,6.1,3.5,-1.2,-2.5,-6,-0.9
"32","25","        Value added","W086RL1",0.4,-5,-6,-6.2,-4.3,-1.6,-1.4,-1.5,-0.6,0.5,-0.3,1,2.9,2.9,3,3.5,4.4,3.6,3.7,1.8,1.7,0.8,0.4,-3.3,-2.9,-3.7,-4,-3.3,-2.9,-2.7,-2.1,-1.1,0,1.3,2.8,2.3,1.7,0.6,1.4,4,5.5,3.2,1.4,-0.8,-2.3,-1
"33","26","          Compensation of general government employees","B237RL1",0.1,-7.3,-7.6,-7.6,-5.1,-1.4,-1.4,-2,-0.9,0.7,-0.8,0.6,3.1,2.3,1.5,1.4,1.9,0.4,0.9,-1.2,0,-0.6,-0.4,-5.7,-4.3,-5.2,-5.4,-4.3,-3.7,-3.2,-2.4,-0.7,0.6,2.6,3.5,1.8,0.4,-1.5,-0.3,3.8,6.5,3.2,1,-1.9,-3.6,-2.2
"34","27","          Consumption of general government fixed capital \2\","B432RL1",0.9,-0.5,-2.6,-3.2,-2.7,-2,-1.3,-0.5,0,0.2,0.7,1.6,2.6,4,5.6,7,8.5,8.8,8,6.1,4,2.8,1.4,0,-1.1,-1.9,-2.3,-2.2,-2.1,-2.1,-1.7,-1.6,-0.8,-0.3,1.7,3.1,3.8,4,4.1,4.4,4,3.1,2.1,1,-0.2,0.8
"35","28","        Intermediate goods and services purchased \3\","W087RL1",-10.8,-15.3,-11.8,-2.7,-12.7,-4.7,-7,-7.1,5.2,1.5,4.8,8.9,10.3,12.3,7.6,1.6,7.8,9.5,3.3,3.6,-1.8,0.2,3,-5.5,-4.4,-4.1,-6,2.3,1.2,-3,10.1,-1.3,10,13.8,16.3,9,0.8,2.4,1.9,10.9,6.9,4,-4.9,-4.9,-11.8,-0.8
"36","29","          Durable goods","A998RL1",-16.6,-10.5,-28,24.2,-8.7,-13.4,5.4,-9.4,25.1,10.2,8.9,5.5,17.1,10.1,19.6,1.7,8.3,7.3,6.3,3.1,-3.9,-3.6,-4.6,-10,-9.1,-14.2,-8.9,-0.8,0.4,0.8,6.2,-1,0.7,4.1,9.9,10.6,0.8,8.9,9.8,16.9,6.1,2.5,-5,-2.9,-12.9,-9.7
"37","30","          Nondurable goods","A725RL1",-11.3,-30.4,-18.2,1.9,-25.7,-13.6,-17.2,-19.7,-5.6,1.4,3,9.3,5.8,-0.5,4.7,-5.3,-2.5,26.8,-2,-3.1,-3.2,-10.7,1.8,-7.5,-8.3,-9,-18.1,10.4,0.7,3.3,11.8,4.9,2.9,14.2,8.3,13.7,0.7,-2.2,1.1,3.3,4.6,-3.6,2.4,-4.4,-14.1,-3.6
"38","31","          Services","A489RL1",-6.5,-7.4,1.9,-15.7,-8.1,4.9,-7.7,0,-0.4,-3.7,2.7,11.1,8.3,20.4,0.4,4.1,10.9,7,2.3,5.6,0.1,5.5,7.8,-2.8,-1.5,1.3,-3.5,2.4,1.5,-4.9,11.2,-2.1,13.8,16.3,18.7,8.1,0.9,1.8,0.3,10.8,7.4,5.4,-6,-5.4,-11.1,1.6
"39","32","      Less: Own-account investment \4\","W088RL1",10.9,-1.7,-1.8,6.7,0.5,-2.1,-3.5,-0.9,-2.8,1.3,4.1,1.6,3.1,8.3,14.1,10.9,10.7,7.1,2,1,2.2,0.4,-5.8,-3.5,-4.7,-4.8,-2.2,-3.7,-2.4,-1.5,-1.2,4.7,15,10.4,3.5,-0.9,4,5.7,7.9,1.5,-0.3,0,7.6,8.6,-5.5,-7
"40","33","      Less: Sales to other sectors","W089RL1",-3.5,-6.8,-20.1,397.5,59.4,31.6,-37.1,-67,53.8,-1.3,-7.3,32.2,14.8,6.2,-53.3,34.3,-11.3,-0.3,16.4,17.8,-19.1,71,-11.4,23.4,5.8,66.8,-52,16.5,-23,-17.3,-2.3,10.2,-0.3,3.2,8.6,0.1,25.8,22.2,-26.9,10.1,-1.7,-6.1,5.3,-1.8,-4.4,-5.4
"41","34","    Nondefense consumption expenditures \1\","A542RL1",9.4,3.9,8.8,9,0.1,6.6,4.4,-0.4,4,3.9,1.8,6.9,2.4,-1.9,6.9,-3.2,5.8,3.4,-2.6,-5.7,8.4,7.1,0.6,5.9,-1,1,-1,-2,4.3,-0.5,1.2,4,5.7,7.6,4.3,2.4,1.3,3.1,-0.1,6.2,6.9,5.9,-4.6,2.1,-3.7,-0.7
"42","35","      Gross output of general government","W128RL1",8.6,3.1,7.6,9.2,-0.3,6,3.8,0.3,4.4,4.3,2.7,5.3,1.3,-2.3,6.7,-2.9,5.5,3.5,-1.7,-4.6,7.8,6.4,1.4,4.6,-1.5,1.1,-1.1,-2,2.7,0.5,0.1,4.4,4.8,6.8,4.2,2.4,2.1,2.3,-0.4,6.1,6.8,5.8,-4.1,0.8,-3.9,-0.5
"43","36","        Value added","W129RL1",3.7,3.4,4.2,3.7,1.7,4.8,2.5,4.7,3,3.5,1.7,3.5,-0.3,0.1,2,1.1,1.2,0.2,2.2,2.7,1.5,4.3,1.2,2.3,1,-0.8,-1.5,-0.6,0.5,1.8,1.5,3.2,1.1,2.3,2.5,0.4,0.9,1.3,1.5,3.5,4.5,3.8,0.5,1.2,-1.4,1.4
"44","37","          Compensation of general government employees","W130RL1",0.9,1.3,3.3,2.9,0.2,5,1.8,5,2.2,2.6,-0.1,2.7,-2.9,-1.9,1.4,0.1,0.2,-1.5,1.8,2.5,0.6,5,-0.3,1.8,-0.1,-2.8,-4,-2.7,-0.6,1.2,0.2,3.1,-0.1,1.9,2.4,-1,-0.2,0,0.6,3.7,5.4,4.3,-1.1,0.5,-3.3,0.7
"45","38","          Consumption of general government fixed capital \2\","B546RL1",10.6,8.3,6.4,5.4,5,4.4,4.2,4.3,4.6,5.4,5.4,5.1,4.5,3.5,2.9,2.9,2.8,2.8,2.9,2.9,2.9,3.2,3.4,3,2.7,2.4,2.3,2.7,2.2,2.8,3.6,3.4,2.8,2.8,2.6,2.6,2.8,3.4,3.1,3,3,2.8,3.3,2.6,1.9,2.6
"46","39","        Intermediate goods and services purchased \3\","W131RL1",33.8,1.7,23.4,32.5,-6.9,10.6,8.2,-13.8,9.7,7.3,6.3,11.1,6,-9.3,21.6,-13.8,19.4,12.5,-11.5,-26.6,36.6,13.6,2.2,12.3,-9,7.7,0.3,-6.8,10.2,-3.8,-5,8.8,17.9,20.6,8.8,7.6,4.9,4.5,-4.7,12.4,11.9,10.1,-13,-0.1,-9.5,-5.3
"47","40","          Durable goods","A543RL1",2.1,14.2,29.4,58.3,-9.4,8.3,7.2,4.7,30.4,13.7,17.5,12.1,-5.5,-8.9,8.2,8.2,2.9,-1.4,13.2,6.2,12.3,14.5,5.6,8.8,-2.3,-5.8,-2.2,13.8,7.9,0,12.3,10.1,7.3,22.6,3.2,10.5,9.4,12.1,2.1,13.5,7.9,10.6,-7.1,-0.2,-6.1,-3.9
"48","41","          Nondurable goods","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RL1",3.4,26.9,22.8,21.9,-4,5.5,-9.3,-0.9,-1.2,47.4,-1.8,-2.8,87.2,-25.3,24.9,4.2,-13.1,-14.7,16,-0.5,-10.6,6.3,-12.4,24.3,9,-16.1,12.9,-13.8,22.1,8.8,-25.6,13.7,32.8,9.5,23.2,11.7,0.5,-2.6,-2.7,13,13.4,5.6,-18.4,-4.3,-9,-4.9
"51","44","          Services","A544RL1",21.6,37,16.5,31.4,-5.2,3.5,1.1,-16.2,8.7,2.7,9.3,2,-15,-5.5,20.8,2.8,8.6,-0.6,12.5,-5.7,-1.1,18.7,-0.9,12.7,-15.4,17.6,-3.6,-5.8,6.4,-8.5,1.5,4.8,14.7,26.4,5.5,7.8,5.3,5.8,-5.7,12.3,11.2,11.9,-11.7,1.1,-9.7,-5.2
"52","45","      Less: Own-account investment \4\","W136RL1",2.9,-1.4,-1,1.5,-1.8,1.6,0.7,0.8,-2.9,4.7,4.3,3.8,-2.2,-3.7,-0.4,-0.2,3,2.9,6.5,2.7,5.1,7.3,3.1,2.3,1.6,-0.6,-0.8,-2.5,-1.9,1.4,-1.2,-1.3,7.6,-0.4,1.9,0,1.4,-1.1,-3,1,3.2,-0.6,-3.3,-2.3,-5.7,-5.4
"53","46","      Less: Sales to other sectors","W137RL1",6.5,-4.8,-1.2,38,-6.4,1.6,-4.7,20.5,25.1,11.1,14.5,-13.3,-12.8,-9.4,11.8,1.4,3,5.8,6.5,7.7,0.9,-8.4,16.7,-17.5,-19.4,6.8,-6,-1,-34.3,46.1,-34.2,45.8,-35.5,-12.1,10.3,11.8,53.2,-26,-10.1,18.8,15.1,20.7,21.5,-42.6,-12.5,28.1
"54","47","State and local consumption expenditures \1\","A991RL1",6.5,6.1,5,3.8,3.4,4.5,4.9,1.4,1.9,2,0.6,-0.3,-0.4,1.6,1.3,2.1,4.5,4.5,2,3.5,3.6,3.3,2.2,2.2,1.7,2.8,2.4,1.9,2.7,4.1,3.4,2.1,3.4,2.7,-0.6,0.1,0.6,0.7,1.6,0.2,2.1,-2.6,-2.7,-0.2,1.2,1.1
"55","48","      Gross output of general government","W138RL1",6,5.8,5.3,4.1,3.4,3.9,4.3,1.8,2,2.5,1.3,0,0.1,1.7,1.6,1.9,4.4,4.5,2.1,3.3,3.6,3.1,2.4,2.6,2.2,2.8,2.6,1.9,2.9,3.9,3.3,2.7,3.9,2.6,-0.4,0.3,0.6,1.1,1.4,0.1,1.9,-1.7,-2,0,1.3,1
"56","49","        Value added","W139RL1",4.6,4.5,4.1,3.5,3.5,3.6,3,1.3,1.5,2.4,1.8,1.4,0,0.7,-0.4,0.6,2.9,2.9,2,3.4,3.1,3,1.3,1.7,1.4,1.7,2,1.5,2,2.1,1.6,2.1,2.4,2,0.6,0.3,0.7,0.8,1.4,1.3,0.4,-0.7,-1.1,-0.5,0.7,0.7
"57","50","          Compensation of general government employees","B251RL1",4.4,4.4,4.1,3.4,3.5,3.6,3,1.1,1.4,2.4,1.7,1.2,-0.3,0.5,-0.7,0.3,2.8,2.8,1.7,3.3,2.9,2.7,0.9,1.4,1.1,1.5,1.8,1.3,1.7,1.8,1.3,1.8,2.1,1.7,0.4,0,0.5,0.6,1.2,1.1,0.1,-1,-1.5,-0.8,0.7,0.6
"58","51","          Consumption of general government fixed capital \2\","B986RL1",5.6,5,4.3,3.8,3.7,3.7,3.3,2.9,2.5,2.3,2.6,2.7,2.3,1.9,2,2.7,3.6,4.1,4.1,4.3,5,5.4,4.9,4.4,3.9,3.6,3.7,3.7,4.1,4.7,4.9,4.8,4.4,3.8,2.9,2.9,2.7,2.7,3,2.9,2.4,1.9,1.5,1.2,1.1,1.1
"59","52","        Intermediate goods and services purchased \3\","W140RL1",11.2,10.1,9.4,6,3.2,4.5,8,3.2,3.4,2.8,0,-3.6,0.5,4.5,6.9,5.2,8.3,8.3,2.3,3.1,4.8,3.3,5.2,4.8,4.4,5.6,4,2.7,5,7.9,6.9,4,7,3.9,-2.6,0.1,0.4,1.6,1.5,-2.5,5.1,-3.8,-4,1.1,2.5,1.6
"60","53","          Durable goods","B989RL1",14.3,13.1,15.6,11.3,7.9,5.1,2.5,4.3,3.5,2.5,2.2,-1,3.8,3.4,4.6,5.9,5.1,8,3.6,2.7,4.6,2.5,3.6,3,3.1,4.4,6.7,2.8,6.9,11.4,9.2,7.2,7.6,1.3,-1.6,2.2,1.8,2.7,3.3,-0.5,3.9,-3.8,-3.1,0.3,0.8,1.3
"61","54","          Nondurable goods","B337RL1",9,10.7,10,3.7,1.4,2.3,9.5,8.5,6.6,2.5,-0.8,-4.3,-0.4,2.4,5,5.3,6.9,9,3,3,4,3.2,4.8,4.6,4.5,5.9,4.5,2.7,4.4,7.4,7.1,4.1,6.9,3.7,-2.2,1.4,0.9,2.1,2.6,-2.1,5.5,-4.4,-3.9,1.6,2.8,2.1
"62","55","          Services","A988RL1",12.2,9.5,8.5,6.9,3.7,5.9,7.8,-0.3,1.1,3,0.3,-3.3,0.9,6.2,8.4,5.1,9.5,8,1.8,3.1,5.3,3.4,5.5,5,4.4,5.6,3.5,2.7,5.2,7.7,6.7,3.7,7.1,4.2,-2.9,-0.7,0,1.2,0.7,-2.9,4.9,-3.5,-4.2,0.8,2.3,1.3
"63","56","      Less: Own-account investment \4\","W144RL1",1.5,2.7,1.2,-1,-0.3,4.9,-3.1,-6.4,-4.3,7.7,12,4.2,-1.8,1.8,1.1,8.7,8.6,9.3,4,4.8,8.7,5,4,-1,-0.2,1.4,1.2,2.7,8.4,2.8,4.5,5.8,7.9,2.2,-0.6,1,2.9,4.1,3,2.4,0.1,-4.3,-1.6,-2.7,-0.9,1.7
"64","57","      Less: Sales to other sectors","W145RL1",4,4.2,8.5,7,4.1,-0.4,1.3,5.8,3.5,5,4.8,1.6,3.8,2.5,3.5,0.3,3.6,3.6,2,2.1,2.8,2,3.3,4.5,4.7,3.4,3.5,1.9,3.3,3.1,2.7,5,5.5,2,0.5,0.9,0.5,2.2,0.5,-0.7,1.1,2.2,0.4,1,1.6,0.6
"65","58","        Tuition and related educational charges","B1065L1",10,16.5,12.6,6.2,7.9,-0.3,0.1,3.2,4.1,5.4,2.8,3.3,2.2,-0.2,3,-0.1,-0.1,0.8,0.6,3.1,3,2.2,1.6,1.9,-1.2,0.1,0.4,0.3,2.3,2.8,3,3.5,0.6,0.1,0,-3.1,0,1,-0.2,-0.2,1.2,2.3,-0.8,-0.1,2.7,1.1
"66","59","        Health and hospital charges","B1066L1",3.5,1.8,16.6,14.6,11,3.1,2.7,6.3,1.8,7,8.4,0.8,6.3,3,2.6,-2.4,2.3,2.6,0.1,0,0.8,1,4.2,5.8,5.9,4,4.5,-0.4,2.4,2.9,1.7,4.9,8.4,0.5,-1.8,0.4,-2.3,2.8,2.6,2.2,3,2.2,1.6,2.1,0.8,0.7
"67","60","        Other sales \5\","W146RL1",2.6,1.8,2.6,2.5,-2.1,-3,0.7,6.5,4.8,3.1,2.2,1.7,1.9,3.2,4.9,4,7,6.2,5,4.2,5.1,3,3.1,4.1,6.2,4.3,3.7,6.1,5,3.4,3.8,5.9,4.5,5.2,3.8,3.6,4.2,2.1,-1.5,-4.6,-1.4,2.1,-0.4,0.3,2.1,0.2
