"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"46","39","      Domestic","AB73RX1",9.8,4.3,-12.5,4.7,8.9,5.1,-0.6,-3.5,-2.3,-14.6,-12.8,7.7,3,7.2,2.7,3.9
"47","40","      Foreign","AB74RX1",0.5,0.9,-0.6,1.5,0.1,-0.1,0.7,0.8,-0.7,1,-3.7,0.8,-0.2,1,0.2,0.1
"48","41","    Used \1\","W245RX1",0.8,1.7,1.5,0,0.8,0.9,0.5,0.8,1,1.2,1.7,0.3,0,0.6,1,0.2
"49","42","Residual","A974RX1",-6,-1.7,5.9,2,3.1,2.2,0.1,0,0.6,0.2,0.2,-1.2,-1.9,-2.4,-2.2,-1.4
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Final sales of motor vehicles to domestic purchasers","AB75RX1",438.2,444.3,449.3,464.7,472.6,496.7,509.6,509.9,501.3,409.3,323.3,383.9,423.3,472.7,505.4,553.7
"52","44","  Private fixed investment in new autos and new light trucks","AB76RX1",161.6,162.3,152.6,150.4,145.4,159.1,173.2,186.6,187.8,150.5,99.8,140.5,155.9,175.9,197.2,213.6
"53","45","  Domestic output of new autos \2\","B148RX1",113.1,115,106.7,111.1,98.4,97.7,108.8,109.7,106.1,101.8,59.9,77.3,83.8,111.7,116.6,114.9
"54","46","  Sales of imported new autos \3\","B149RX1",75.6,80.5,78.9,85.1,83.3,86.2,87.3,96.1,99.8,89.6,73.9,84.5,91.9,100,104.2,107.6
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Note. Chained (2009) dollar series are calculated as the product of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","series, divided by 100. Because the formula for the chain-type quantity indexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","line and the sum of the most detailed lines, excluding the lines in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
