"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Nonfarm \2\","A358RC1",177.8,184.5,187.4,196.5,202.1,204.8,210.5,212.3,209.4,206,208.2,205.5,214.9,223.7,238.4,246,257.4,262.1,267.1,269.7,273.1,271.8,275.5,290.7,296.6,299.8,299.2,293.8,291.4,291.7,295.4,303.8,316.2,322.4,330.3,336.4,337.5,341.9,344.8,352.5,361,361.1,366.3,360.8,349.1,351.1,363.8,377.2,386.7,399.5,399.1,400.5,412.8,408.8,409.3,401.8,405.1,416.5,425,434.7,445.5,451.7,457.2,457.7,464.5,472.3,483.5,490.3,505.2,512.4,522.2,524.3,542.1,551.5,565.1,582.9,601.3,609.9,618.3,628,635.7,637.9,648.1,659.6,682.5,703.3,712.5,725.6,746.9,756.2
"12","4","  Farm","B359RC1",20.3,17,18.9,20,19.9,23.6,23.2,21.7,18.4,17.9,17.2,16.9,17.7,17.9,19.1,20.2,21.2,21.9,21.5,22,20.3,21.1,22.4,19.4,19.6,18.9,18.3,17.9,19.1,18.2,18.3,17.1,17.4,17.9,17.3,16.5,16.7,16.9,17.3,17.3,16.4,16.8,17.3,17.2,19.6,19.7,19,18.1,18,16.9,16.7,17.6,17,18,18.6,19.1,19,17.7,17.9,18.7,19,18.4,17.9,18.4,19,18.3,18.2,18.4,17.2,17.1,16.9,18.2,19.1,19.9,20.1,20.6,22.8,20.3,20.1,20.1,20.2,19.5,20.5,20.2,20.2,19.8,20.7,21.2,20.9,22.4
"13","5","Households and institutions","A193RC1",12.5,13.3,13.8,14.1,14.2,14.7,15.2,15.4,15.7,16,16.2,16.9,17.3,17.7,18.2,18.9,19.5,19.9,20.4,21,21.5,22.1,22.9,23.3,24,24.8,25.4,25.7,26.2,26.8,27.4,28.4,28.7,29.4,30.3,31.2,31.5,32,32.9,33.6,34.2,34.8,35.6,36.2,37,38.1,38.5,39,39.9,40.7,41.8,43,43.9,44.9,45.7,46.7,47.2,47.6,48.2,49.4,50.4,51.3,52.4,53.4,54,54.7,55.5,56.4,57.4,58.4,59.1,60.1,60.9,62.2,63.7,65.2,66,67,68.8,70.3,71.5,72.7,74,75.4,76.8,78.4,80.1,82.2,84.1,86.3
"14","6","  Households","B701RC1",9.3,9.6,10.1,10.3,10.4,10.6,10.9,11.1,11.3,11.5,11.8,12.3,12.7,12.9,13.3,13.6,14.3,14.6,15.1,15.3,15.6,16.4,17.1,17.3,17.7,18.4,19,19.3,19.6,20,20.5,21.2,21.6,22,22.6,23.3,23.7,24,24.5,24.9,25.4,25.9,26.5,26.9,27.3,28.1,28.6,29,29.5,30.1,30.9,31.7,32.2,32.8,33.4,34.1,34.5,34.7,35.2,36.1,36.7,37.2,38,38.7,39,39.4,40,40.4,41,41.7,42.2,42.7,43.3,44,44.9,45.8,46.2,46.6,47.6,48.6,49.2,49.9,50.6,51.4,52,52.9,53.6,54.6,55.8,57
"15","7","  Nonprofit institutions serving households \3\","B702RC1",3.2,3.6,3.7,3.8,3.9,4.1,4.3,4.3,4.4,4.5,4.5,4.6,4.7,4.8,4.8,5.2,5.3,5.3,5.3,5.7,6,5.7,5.7,6,6.3,6.4,6.4,6.4,6.6,6.8,6.9,7.3,7.1,7.5,7.6,7.9,7.8,8,8.3,8.6,8.8,8.9,9.1,9.3,9.7,9.9,9.9,10,10.4,10.6,10.9,11.3,11.7,12.1,12.3,12.6,12.7,12.8,13,13.4,13.7,14.1,14.4,14.7,15,15.3,15.5,16,16.4,16.6,16.9,17.3,17.7,18.2,18.8,19.4,19.8,20.4,21.2,21.7,22.2,22.8,23.4,24,24.8,25.5,26.5,27.6,28.3,29.3
"16","8","General government \4\","A765RC1",32.4,31.5,30,29.8,30,29.9,30.6,31.2,31.9,31.8,31.7,31.6,31.2,31.4,32.8,35.3,38.3,40.5,42.7,43.8,45.3,46.5,47.4,47.8,48.2,48.8,48.8,49,49.2,50,50.4,51,51.4,52.5,53,53.8,54.8,55.9,57,57.8,59,60.1,61.2,61.5,62.7,64,65.3,66.1,66.5,67,67.6,68.3,69.7,71,72.5,73.4,74.6,75.7,77,78.8,80.3,81.1,82.1,83.6,85.2,86.5,87.7,89.8,91.4,92.9,94.6,95.9,97.1,98.7,101.3,104.4,107.2,110,113.6,116.4,118.7,120.9,124,127.9,131.5,134.8,139,141.2,143.5,146.5
"17","9","  Federal","A766RC1",23.6,22.4,20.6,19.9,19.8,19.4,19.6,19.8,20.3,20.2,19.8,19.6,19.2,19.2,20.3,22.4,25,26.9,28.7,29.4,30.7,31.6,32,32.2,32.3,32.6,32.5,32.4,32.2,32.5,32.5,32.7,32.9,33.7,33.8,34,34.4,35,35.3,35.6,36.3,36.8,37.3,37.1,37.7,38.3,39.2,39.5,39.6,39.8,40,40.3,40.7,41.3,42.1,42.4,42.7,43.1,43.7,44.9,45.8,46.1,46.6,47.4,48,48.6,49,50.2,50.9,51.6,52.5,52.9,53,53.5,54.8,56.9,58.2,59.6,61.7,62.9,64.1,65.1,66.3,68.5,69.8,71.2,73.5,73.8,74.4,75.3
"18","10","  State and local","A767RC1",8.8,9.1,9.4,9.8,10.2,10.5,11,11.4,11.5,11.6,11.9,12,12.1,12.2,12.6,12.9,13.3,13.6,14,14.4,14.6,14.9,15.3,15.6,16,16.2,16.3,16.7,17,17.5,18,18.3,18.5,18.8,19.2,19.8,20.4,21,21.7,22.2,22.7,23.3,23.9,24.5,25,25.7,26.2,26.6,26.9,27.2,27.6,28,29,29.7,30.4,31,31.9,32.6,33.3,33.9,34.5,35,35.5,36.2,37.2,37.9,38.7,39.6,40.5,41.3,42.1,43,44.1,45.2,46.5,47.6,49,50.4,51.9,53.5,54.6,55.8,57.7,59.4,61.7,63.6,65.4,67.4,69.1,71.2
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009C1",11.8,12.1,12.5,12.8,13.2,13.6,13.9,14.3,14.6,15,15.3,15.7,16.1,16.5,17,17.5,18,18.5,19.1,19.7,20.2,20.8,21.4,22.1,22.7,23.3,23.9,24.5,25,25.6,26.1,26.6,27,27.4,27.9,28.4,28.8,29.4,29.9,30.5,31.1,31.8,32.4,33,33.6,34.2,34.9,35.6,36.4,37.2,38,38.9,39.6,40.2,41,41.9,42.5,43.2,43.9,44.8,45.5,46.5,47.3,48.3,48.8,49.4,50.1,51,51.5,52.2,53,54,54.8,55.6,56.6,57.5,58.3,59.1,60.1,61.3,62.3,63.2,64.3,65.4,66.4,67.1,68.3,69.8,71.2,72.8
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
