"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"13","4","    Commercial and health care","W001RZ2",0.82,-0.23,0.92,-0.14,-0.81,1.07,0.87,1.3,0.67,-0.3,0.28,0.5,0.36,0.82,0.75,-0.22,0.55,1.09,-0.16,-0.24,0.58,0.99
"14","5","    Manufacturing","C307RZ2",-1.2,-0.87,0.23,1.62,0.27,-0.19,-0.24,0.32,1.05,0.27,-1.44,-0.36,0.91,-0.07,0.03,0.01,0.6,1.28,1.03,-0.61,-0.17,0.21
"15","6","    Power and communication","W003RZ2",0.97,0.29,-0.03,0.02,0.05,0.59,-0.53,-0.27,0.81,0.22,-0.23,-0.26,0.05,-0.33,0.03,0.3,0.39,0.47,0.63,0.45,0.6,0
"16","7","    Mining exploration, shafts, and wells \1\","E318RZ2",0.55,0.03,0.54,0.15,0.36,0.34,0.38,0.29,-0.12,-0.2,-0.22,0.09,-0.19,0.05,0.14,-0.17,0.16,-0.03,-0.11,-0.08,0.01,0.07
"17","8","    Other structures \2\","W004RZ2",0,0.08,-0.09,-0.13,0.03,0.23,0.31,0.01,-0.06,0,0.25,0.62,0.63,-0.14,0.12,0.33,0.56,0.73,0.23,-0.13,-0.69,-0.04
"18","9","  Equipment","Y033RZ2",2.12,-4.86,3.91,1.02,-1.08,3.32,-2.08,4.73,0.93,0.95,-5.55,4.17,1.33,-0.74,3.94,2.74,4.43,6.51,5.83,-0.41,2.45,3.24
"19","10","    Information processing equipment","Y034RZ2",0.12,-0.43,0.42,0.36,0.6,0.45,-0.45,0.6,0.64,0.61,-0.56,0.47,0.97,0.51,0.62,0.91,0.86,1.12,1.9,0.45,0.43,1.41
"20","11","      Computers and peripheral equipment","B935RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.17,0.23,0.7,0.35,0.41,0.92,0.42,0.27,0.49
"21","12","      Other \3\","A937RZ2",0.12,-0.43,0.42,0.36,0.6,0.45,-0.45,0.6,0.64,0.61,-0.56,0.45,0.72,0.34,0.39,0.21,0.51,0.71,0.98,0.03,0.16,0.92
"22","13","    Industrial equipment","A680RZ2",-0.91,-2.4,1.39,1.1,0.42,1.13,0.36,-0.09,1.12,0.15,-2.14,0.18,0.82,-0.6,0.54,0.82,1.34,1.9,1.71,0.05,-0.25,0.77
"23","14","    Transportation equipment","A681RZ2",0.53,-0.07,1.46,-0.49,-2.2,1.97,-1.42,2.69,-1.12,0.69,-2.97,2.8,0.3,-0.56,2.22,-0.34,1.26,2.47,1.08,-0.37,2.16,0.47
"24","15","    Other equipment \4\","A862RZ2",2.38,-1.96,0.64,0.05,0.11,-0.24,-0.56,1.53,0.29,-0.5,0.13,0.72,-0.76,-0.09,0.56,1.35,0.97,1.01,1.14,-0.54,0.12,0.59
"25","16","  Intellectual property products","Y001RZ2",-0.12,-0.15,0.41,-0.08,1.1,1.16,0.34,0.51,1.03,0.26,0.34,0.74,0.5,0.95,0.45,0.92,0.43,1.16,1.22,0.75,0.79,0.57
"26","17","    Software \5\","B985RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.05,0.07,0.25,0.11,0.14,0.3,0.13,0.11,0.3
"27","18","    Research and development \6\","Y006RZ2",0.04,-0.34,0.42,0.14,0.93,0.91,0.25,0.14,1.07,0.09,0.29,0.44,0.55,0.36,0.51,0.45,0.48,0.72,0.68,0.64,0.55,0.44
"28","19","    Entertainment, literary, and artistic originals","Y020RZ2",-0.17,0.19,-0.01,-0.22,0.17,0.25,0.09,0.37,-0.05,0.16,0.06,0.3,-0.19,0.54,-0.13,0.22,-0.16,0.3,0.24,-0.02,0.14,-0.17
"29","20","Residential","A011RZ2",6.3,-2.59,12.94,-6.52,-0.58,1.3,2.83,5.75,-2.89,-1.89,0.33,8,-2.39,0.14,3.09,3.81,2.02,-0.84,-2.47,-0.67,3.45,0.86
"30","21","  Structures","A012RZ2",6.27,-2.55,12.76,-6.47,-0.58,1.27,2.81,5.66,-2.95,-1.89,0.29,7.89,-2.35,0.13,3.05,3.74,1.98,-0.91,-2.48,-0.68,3.35,0.78
"31","22","    Permanent site","A943RZ2",5.29,-1.39,12.07,-6.37,-1.51,0.82,2.37,4.66,-3.58,-2.01,0.51,5.9,-2.8,-0.12,2.93,2.94,1.55,-0.99,-2.45,-0.78,2.86,0.52
"32","23","      Single family","A944RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97,-2.37,-0.94,1.12,1.12,1.59,-0.38,-1.64,-0.25,1.27,-0.67
"33","24","      Multifamily","C292RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,-0.44,0.82,1.8,1.82,-0.04,-0.61,-0.81,-0.53,1.59,1.2
"34","25","    Other structures \7\","A863RZ2",0.98,-1.16,0.69,-0.1,0.94,0.45,0.44,1,0.63,0.11,-0.22,2,0.46,0.25,0.13,0.8,0.43,0.08,-0.03,0.1,0.49,0.26
"35","26","  Equipment","B013RZ2",0.03,-0.04,0.18,-0.06,0,0.04,0.02,0.09,0.06,0,0.04,0.1,-0.04,0,0.04,0.07,0.04,0.07,0.01,0.01,0.1,0.08
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","27","  Private fixed investment in structures","A349RZ2",7.41,-3.25,14.32,-4.95,-0.67,3.3,3.6,7.32,-0.6,-1.91,-1.06,8.49,-0.59,0.46,4.13,4.01,4.24,2.64,-0.86,-1.29,3.68,2.01
"38","28","  Private fixed investment in new structures","W040RZ2",8.31,-2.91,14.26,-4.94,-0.9,3.24,3.3,6.88,-0.1,-1.69,-0.91,7.69,-0.53,0.54,3.85,3.54,4.12,2.46,-0.74,-1.39,3.37,1.95
"39","29","    Nonresidential structures \8\","A771RZ2",1.76,-0.42,1.68,1.61,-0.1,2.03,0.79,1.32,2.77,-0.1,-1.36,0.72,1.8,0.41,1.18,0.27,2.23,3.39,1.51,-0.68,0.33,1.25
"40","30","    Residential structures \9\","A756RZ2",6.55,-2.48,12.59,-6.55,-0.8,1.22,2.52,5.57,-2.87,-1.59,0.45,6.97,-2.33,0.13,2.67,3.27,1.88,-0.93,-2.26,-0.71,3.04,0.69
"41","31","  Private fixed investment in information processing equipment and software","A679RZ2",0.12,-0.43,0.42,0.36,0.6,0.45,-0.45,0.6,0.64,0.61,-0.56,0.47,1.11,0.56,0.69,1.16,0.96,1.26,2.2,0.58,0.53,1.71
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","6. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Software development expenditures are included in software investment on line 17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","8. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
