"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Farm","B359RC1",8.9,7,5.7,3.9,4.1,4.2,6.4,5.9,7.7,6,5.7,5.9,8.3,12.4,14.6,14.6,15.1,17.8,19.1,22.1,17.6,18.7,21.7,20.8,18.7,18.2,17.3,17.1,16.9,19.1,17.3,18.2,18.3,18.4,18.5,17.3,19.9,20.8,20.1,20.5,22.8
"12","5","Households and institutions","A193RC1",9.1,8.6,7.7,6.6,5.9,5.8,5.9,6.1,6.6,6.7,6.8,7.1,7.5,8.5,9.3,10.3,11.2,11.9,13.4,14.9,16.2,18,20.2,22.5,25,27.2,29.9,32.5,35.2,38.1,41.3,45.3,48.1,51.9,55.2,58.7,63,68,73.4,79.4,87.6
"13","6","  Households","B701RC1",7.5,7,6.2,5.2,4.6,4.5,4.5,4.7,5.1,5.1,5.2,5.4,5.8,6.5,7.1,7.9,8.6,8.9,9.8,10.8,11.7,13.1,14.8,16.6,18.6,20.3,22.4,24.3,26.2,28.3,30.5,33.1,35.2,37.6,39.7,41.9,44.5,47.3,50.3,53.3,57.6
"14","7","  Nonprofit institutions serving households \3\","B702RC1",1.6,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.7,1.8,2,2.2,2.4,2.5,3,3.6,4.1,4.5,4.9,5.4,5.9,6.4,6.9,7.5,8.2,9,9.9,10.8,12.2,13,14.2,15.4,16.8,18.5,20.8,23.1,26.1,30
"15","8","General government \4\","A765RC1",5.5,5.7,5.8,5.4,5.7,6.7,7.2,8.7,8.4,9.2,9.3,9.7,12.6,21.2,34.8,44.3,48.7,36.3,30.9,30.4,31.7,32.7,41.3,46.7,48.7,50.2,52.7,56.4,60.5,64.5,67.3,71.7,76.5,81.8,87.3,93.7,100.4,111.8,122.9,136.6,149.3
"16","9","  Federal","A766RC1",1.3,1.3,1.3,1.2,1.5,2.1,2.2,4.1,3.6,4.1,4.1,4.3,7,15.3,28.7,37.9,41.9,28.5,21.6,19.6,20,20.3,27.5,31.6,32.4,32.5,33.6,35.1,36.9,38.6,39.9,41.6,43.6,46.5,48.9,52,54.5,60.6,66,72.1,76.9
"17","10","  State and local","A767RC1",4.2,4.4,4.5,4.2,4.2,4.6,5,4.6,4.8,5.1,5.2,5.4,5.6,5.8,6.1,6.4,6.8,7.8,9.3,10.8,11.8,12.4,13.8,15.1,16.3,17.7,19.1,21.3,23.6,25.9,27.4,30,32.9,35.3,38.3,41.7,45.8,51.2,56.9,64.5,72.4
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009C1",9.9,9.6,9,8,7,6.6,6.6,6.7,7.2,7.6,7.7,8,8.5,9.3,9.9,10.4,10.8,11.3,12.3,13.7,15.1,16.8,18.8,21.1,23.6,25.8,27.7,29.7,32.1,34.6,37.6,40.7,43.6,46.9,49.8,52.7,56.1,59.7,63.8,67.9,73.6
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
