"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"44","36","    Durable goods","B697RC1",2.7,2.5,2.6,2.7,3,3.2,3.6,3.6,3.4,4.1
"45","37","    Nondurable goods","B698RC1",1.5,1.5,1.5,1.7,1.9,2,2.1,2.2,2.1,2.7
"46","38","  Other","A653RC1",1.9,2,2,2.2,1.9,2.1,2.3,2.1,2,2.4
"47","39","Imports of services \1\","B656RC1",11.7,12.2,12.5,12.1,12.3,12.3,12.8,13.1,13,13.6
"48","40","  Transport","Y804RC1",3.1,3,2.8,3,3.2,3.2,3.4,3.3,3.1,3.6
"49","41","  Travel (for all purposes including education)","Y805RC1",2.8,3.4,3.7,3,3,3,3.2,3,3.3,3.3
"50","42","  Charges for the use of intellectual property n.e.c.","B908RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"51","43","  Other business services \3\","Y806RC1",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6
"52","44","  Government goods and services n.e.c.","Y807RC1",4.9,4.8,5,5,5,5,5.2,5.5,5.4,5.3
"53","45","  Other","B910RC1",0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","  Exports of durable goods","A332RC1",18.8,18.8,18.2,18.7,19.6,21.2,22,22.1,20.7,24.2
"56","47","  Exports of nondurable goods","A339RC1",14.1,13.9,13.7,14,14.4,14.1,15.1,14.4,11.4,16.2
"57","48","  Exports of agricultural goods \4\","B181RC1",6.6,6.5,6.2,6.4,6.8,6.1,6.3,6,4.1,7.1
"58","49","  Exports of nonagricultural goods","A182RC1",26.3,26.1,25.7,26.3,27.2,29.3,30.8,30.4,28,33.4
"59","50","  Imports of durable goods","A333RC1",14.3,14,14.3,15.7,17.9,18.4,19.3,19.7,17.3,22.2
"60","51","  Imports of nondurable goods","A340RC1",13.4,12.8,12.7,13.9,14.2,14.7,16.1,15.4,13.5,16.9
"61","52","  Imports of nonpetroleum goods","A187RC1",25.6,24.6,25.1,27.4,29.9,30.9,32.9,32.6,28.3,36.4
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
