"","Table 5#4#6# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"34","27","    Amusement and recreation","W046RX1",16.8,14.7,12.6,11.8,11.9,12.2,10,11.5,12,12.1,10.1,8.2,8.4,7.6,8.5
"35","28","    Transportation","W047RX1",8.6,8.8,8.7,8.2,7.7,7.8,7.9,9.3,9.4,10,9.1,9.8,9.3,10.4,10.4
"36","29","      Air","W048RX1",2,2.7,2.9,1.9,1.4,1.3,1,0.9,1,0.9,0.6,0.4,0.6,1.1,1.1
"37","30","      Land \3\","W049RX1",6.6,6.2,5.9,6.3,6.3,6.5,6.8,8.3,8.4,9.1,8.5,9.4,8.7,9.4,9.3
"38","31","    Farm","C316RX1",7.4,8.4,6.9,7.4,6.5,6.6,6.5,6,6.2,7.9,6.6,6.3,5.6,7.2,6.8
"39","32","    Other \4\","W050RX1",5.3,6.3,4.6,3.3,3.7,4.2,3.7,4.4,4.6,4.3,3,3.3,3.1,2.6,2.7
"40","33","    Brokers' commissions on sale of structures","C321RX1",2.3,2.4,2.3,1.9,1.9,2,2.1,2.5,3.1,3.6,3.1,2.4,2.4,2.7,2.7
"41","34","    Net purchases of used structures","E322RX1",-2.4,-2.3,2.3,-2.7,-3.1,-2.3,-1.3,-1.8,-3.2,-3.2,-2.9,-2.9,-2.5,-2.3,-2.3
"42","35","Residential","A012RX1",626.5,630.1,635.7,674.5,735.9,809.2,862.5,796.3,644.9,488.4,383.9,373.6,375.3,427.1,478.3
"43","36","  Permanent site","A943RX1",357.7,360.6,362.7,377.3,414.2,462.2,494.8,451.6,336.1,223.1,133.9,128.5,123.9,153.8,192.5
"44","37","    Single-family structures","A944RX1",311.2,314.6,315.1,327.3,362.2,405.7,433,390.7,283.7,178.2,105.3,114.4,109.2,132.1,161.9
"45","38","    Multifamily structures","C292RX1",43.6,42.8,44.7,47.1,48.3,52,57.2,57.6,51,44.9,28.5,14.3,15,21.9,30.8
"46","39","  Other structures","A863RX1",269.4,270.1,273.5,297.2,321.9,347.6,368.3,345.2,309.3,265.6,250.1,245.1,251.3,273.4,286.3
"47","40","    Manufactured homes","A945RX1",20.3,15.3,12.2,12.8,11.2,11.6,13.7,11.5,10,8.1,4.7,4.6,4.4,4.6,4.9
"48","41","    Dormitories","C295RX1",1.8,1.8,2,1.9,2.1,1.8,1.5,1.9,2.7,3.6,2.5,1.7,2.2,2.9,3.6
"49","42","    Improvements","A946RX1",142.7,147.4,150.7,160.5,167.9,171.1,175.8,174.9,169,155.8,151.7,149.5,151.4,158,159.6
"50","43","    Brokers' commissions and other ownership transfer costs \5\","A758RX1",110.7,108.9,112.1,126.6,144,163.7,175.8,157.5,130.8,102.9,95.2,94.4,96.1,111.2,121.7
"51","44","    Net purchases of used structures","A759RX1",-4.6,-1.8,-2.3,-4.1,-4.1,-3.1,-1.4,-2.4,-3.7,-4.9,-4,-5.1,-2.6,-2.6,-2.5
"52","45","Residual","A971RX1",7.6,-3.3,-11.6,12.4,16.9,25.8,28.6,19.9,5.4,0.3,0,0.2,-0.2,-0.8,-1.8
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Private fixed investment in new structures","W040RX1",1012.7,1049.9,1041.3,990.3,1022.8,1076.7,1124.6,1103.6,1030.6,930.5,730.8,651.2,656.9,742.3,780.4
"55","47","    Nonresidential structures \6\","A771RX1",495.3,533.8,520.9,433.5,417.3,414.4,420.3,450.7,509.1,539.8,438,366.7,374.8,423.4,421.3
"56","48","    Residential structures \7\","A756RX1",523.7,526.5,529.1,554,597.3,649.1,688.4,642,518.3,390.6,292.8,284.3,282,318.8,359.4
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Consists of brokers' commissions on the sale of residential structures and adjoining land, title insurance,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","state and local documentary stamp taxes, attorney fees, title abstract and escrow fees, and fees for surveys and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","engineering services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","7. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
