"","Table 4#2#2# Contributions to Percent Change in Real Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","2","Exports of goods \1\","A253RZ2",3.87,8.39,-0.08,7.9,18.41,6.84,-1.7,4.16,1.56,8.35,8.53,9.98,-0.53,-6.76,-2.53,5.48,2.66,4.01,8.78,13.04,8.52,6.33,4.88,5.42,2.33,6.85,8.38,6.46,10.45,1.59,3.03,7.25,-4.47,-2.47,1.33,6.11,5.14,6.67,5.32,4.31,-8.47,9.68,4.52,2.54,1.96,2.78
"12","3","  Foods, feeds, and beverages","B638RZ2",-0.21,1.87,-0.26,1.74,3.72,-1.74,0.8,1.75,-0.01,2.9,0.83,1.65,0.27,-0.72,-0.51,-0.32,-1.37,0.25,0.51,0.74,0.31,0.22,0.12,0.8,-0.03,0.07,0.63,-0.11,0.04,-0.05,0.14,0.23,0.12,-0.1,0.09,-0.33,0.25,0.36,0.42,0.37,-0.26,0.61,-0.02,-0.06,0.13,0.28
"13","4","  Industrial supplies and materials","A639RZ2",1.04,2.71,-2.19,1.3,4.57,0.66,-2.98,1.66,0.18,2.18,3.1,3.15,-1.6,-0.64,-1.04,1.06,0.12,0.86,0.48,2.42,2.12,1.12,1.23,0.33,-0.44,0.84,1.33,0.86,1.43,-0.17,0.47,1.34,-0.63,0.08,0.45,1.16,0.45,1.38,1.03,2.14,-1.36,3.03,1.44,0.38,0.89,0.83
"14","5","    Durable goods","B686RZ2",0.91,1.25,-2.29,0.42,2.4,-0.37,-1.35,0.42,-0.24,1.34,1.26,1.53,-1.66,-0.85,-0.06,0.08,-0.05,0.18,0.51,1.3,0.84,0.51,0.31,-0.15,-0.23,0.35,0.75,0.36,0.54,0.1,0.19,0.79,-0.51,-0.36,0.14,0.48,0.46,0.63,0.39,0.71,-0.9,1.06,0.24,-0.01,0.04,0.26
"15","6","    Nondurable goods","B687RZ2",0.13,1.46,0.1,0.88,2.17,1.03,-1.63,1.24,0.42,0.84,1.84,1.62,0.06,0.21,-0.98,0.98,0.16,0.68,-0.03,1.12,1.28,0.61,0.92,0.48,-0.21,0.49,0.58,0.5,0.89,-0.27,0.28,0.55,-0.12,0.44,0.31,0.68,-0.01,0.75,0.64,1.42,-0.45,1.96,1.19,0.39,0.85,0.57
"16","7","  Capital goods, except automotive","A640RZ2",1.37,2.88,1.07,2.27,6.15,5.49,0.39,-0.37,-0.42,3.51,4.96,4.35,0.11,-3.24,-0.95,2.75,2.5,2.36,3.9,6.78,4.24,4.2,2.6,2.64,1.81,4.22,5.31,4.49,6.51,1.32,1.73,4.67,-3.24,-2.71,0.68,3.31,2.48,3.22,2.18,1.52,-3.69,3.32,2.23,1.38,0.16,0.57
"17","8","    Civilian aircraft, engines, and parts","B688RZ2",-0.39,0.36,0.52,-0.42,0.74,0.73,-0.3,-0.26,-0.47,2.5,1.22,0.87,-0.5,-1.6,0.19,-0.46,1.03,0.56,0.39,1.14,1.03,0.73,0.3,-0.01,-0.93,-0.34,-0.86,0.44,1.09,1.23,-0.19,-0.73,0.16,-0.35,-0.53,-0.21,0.63,0.47,0.37,-0.15,-0.16,-0.29,0.3,0.55,0.4,0.18
"18","9","    Computers, peripherals, and parts","B850RZ2",0.43,1.07,0.35,0.43,0.72,0.92,0.17,0.5,0.73,1.02,1.11,1.5,0.62,0.32,1.37,2.15,1.05,1.11,1.83,1.78,0.52,0.94,0.75,0.89,0.72,1.04,1.45,1.42,1.48,0.21,0.63,1.14,-0.58,-0.61,0.23,0.33,0.52,0.32,0.11,0.13,-0.18,0.44,0.37,0.02,0,0.06
"19","10","    Other","B689RZ2",1.33,1.45,0.2,2.27,4.69,3.84,0.52,-0.61,-0.67,-0.01,2.64,1.97,-0.02,-1.96,-2.51,1.06,0.41,0.69,1.68,3.86,2.68,2.53,1.55,1.76,2.01,3.52,4.73,2.62,3.95,-0.13,1.29,4.26,-2.82,-1.75,0.97,3.19,1.33,2.44,1.71,1.54,-3.35,3.17,1.55,0.81,-0.24,0.33
"20","11","  Automotive vehicles, engines, and parts","B641RZ2",0.59,-0.17,0.89,0.92,1.32,0.81,0.38,0.36,0.06,0.23,0.05,-1.26,-0.07,-1.2,0.21,1.21,0.67,-0.14,0.61,1.39,0.21,0.01,0.48,1.04,0.67,0.83,0.43,0.28,0.99,-0.11,0.24,0.42,-0.48,0.3,0.11,0.76,0.67,0.57,0.85,-0.06,-2.25,1.84,0.99,0.5,0.26,0.28
"21","12","  Consumer goods, except food and automotive","A642RZ2",0.35,0.3,0.01,0.78,1.09,1.15,-0.4,0.62,0.44,0.88,0.32,1.25,-0.26,-0.58,-0.49,-0.03,-0.15,0.52,0.92,1.54,1.73,1.25,0.29,0.61,0.41,0.77,0.49,0.53,0.83,0.25,0.19,0.81,-0.06,-0.34,0.5,1.17,0.9,0.92,0.93,0.71,-0.68,0.86,0.39,0.17,0.43,0.56
"22","13","    Durable goods","B690RZ2",0.35,-0.07,-0.08,0.57,0.54,0.71,-0.34,0.39,0.11,0.64,0.03,0.63,-0.44,-0.47,-0.4,0.01,-0.09,0.3,0.52,0.92,1.24,0.67,0.03,0.3,0.27,0.31,0.26,0.26,0.48,0.14,0.13,0.46,-0.03,-0.23,0.19,0.72,0.63,0.63,0.72,0.37,-0.89,0.81,0.44,0,0.32,0.31
"23","14","    Nondurable goods","B691RZ2",0,0.37,0.1,0.22,0.55,0.44,-0.06,0.23,0.33,0.25,0.29,0.63,0.18,-0.11,-0.08,-0.04,-0.06,0.23,0.4,0.62,0.49,0.58,0.26,0.31,0.14,0.46,0.23,0.27,0.35,0.1,0.06,0.35,-0.03,-0.12,0.31,0.45,0.27,0.29,0.21,0.34,0.2,0.05,-0.04,0.17,0.11,0.24
"24","15","  Other \2\","A643RZ2",0.73,0.82,0.41,0.89,1.56,0.48,0.11,0.13,1.31,-1.35,-0.74,0.84,1.03,-0.38,0.24,0.8,0.89,0.16,2.37,0.17,-0.09,-0.46,0.16,0,-0.08,0.13,0.18,0.4,0.64,0.36,0.25,-0.22,-0.18,0.31,-0.49,0.05,0.4,0.22,-0.08,-0.36,-0.23,0.03,-0.51,0.17,0.1,0.26
"25","16","Exports of services \1\","A646RZ2",1,2.26,1.82,-0.12,0.44,1.06,1.06,0.21,0.85,2.19,1.38,0.79,1.77,-0.88,-0.04,2.67,0.68,3.68,2.11,3.17,3.05,2.5,1.74,1.51,0.95,1.99,1.9,1.72,1.47,0.75,-0.38,1.32,-1.37,0.75,0.43,3.64,1.12,2.36,3.94,1.43,-0.32,2.21,2.33,0.72,1.09,0.43
"26","17","  Transport","Y800RZ2",0.47,0.86,-0.06,0.71,1.24,0.21,-0.19,0.43,0.12,0.42,0.85,0.04,0.11,-0.19,-0.01,1.1,0.26,0.23,0.87,1.03,0.38,0.76,-0.14,-0.15,-0.05,0.3,0.39,0.1,0.27,-0.09,-0.57,-0.01,-0.36,0,-0.29,0.25,0.16,0.26,0.35,0.18,-0.38,0.24,0.11,0.06,0.19,0.18
"27","18","  Travel (for all purposes including education)","Y801RZ2",0.34,0.31,0.17,0.3,0.57,0.3,0.26,0.48,0.01,0.29,0.27,0.43,1.26,-0.41,-0.63,2.08,0.01,0.78,0.68,1.32,1.45,1.07,0.44,0.97,0.47,0.13,0.6,0.61,0.28,-0.25,0.51,0.35,-1.32,-0.49,-0.37,0.81,-0.36,-0.08,0.64,0.52,-0.59,0.81,0.35,0.28,0.47,0.36
"28","19","  Charges for the use of intellectual property n.e.c.","B684RZ2",0.12,0.38,0.13,0.18,0.36,0.35,0.09,-0.16,0.15,0.34,-0.12,0.09,-0.15,-0.72,-0.02,0.05,0.09,0.41,0.53,0.41,0.25,0.42,0.1,0.42,0.05,0.68,0.4,0.19,0.02,0.22,1.21,0.28,-0.31,0.35,0.17,0.79,0.4,0.49,0.77,0.07,-0.2,0.46,0.68,0,0.1,-0.02
"29","20","  Other business services \3\","Y802RZ2",0.16,0.13,0.28,0.23,0.18,1.04,0.37,0.42,0.09,0.57,0.37,0.22,0.45,0.84,-0.14,-0.02,-0.08,2.64,0,0.38,0.96,0.25,1.05,0.07,0.3,0.92,0.38,0.85,1.08,0.78,-1.44,0.62,0.77,0.96,0.87,1.57,0.71,1.46,2.12,0.8,0.64,0.83,0.9,0.39,0.35,0.16
"30","21","  Government goods and services n.e.c.","Y803RZ2",-0.2,0.38,1.23,-1.74,-2.32,-1.03,0.36,-1.05,0.39,0.44,-0.21,0.03,-0.01,0.06,0.26,-0.58,-0.26,-0.25,-0.04,-0.01,-0.02,0.01,0.13,0.07,0.04,-0.15,0.09,0.06,-0.16,0.11,-0.09,0.08,-0.09,-0.07,0.06,0.21,0.2,0.25,0.07,-0.17,0.09,-0.09,0.2,0.01,0,-0.26
"31","22","  Other","B980RZ2",0.11,0.21,0.07,0.2,0.39,0.2,0.17,0.08,0.09,0.13,0.23,-0.02,0.1,-0.47,0.5,0.04,0.66,-0.13,0.07,0.03,0.04,-0.01,0.15,0.13,0.13,0.12,0.05,-0.07,-0.01,-0.02,0,0,-0.07,0,0.01,0.01,0,-0.01,-0.01,0.03,0.12,-0.05,0.09,-0.02,-0.03,0.02
"32",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","23","    Imports of goods and services","A021RL1",5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.5,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.5,5.9,3.9,4.4,3.6,-0.1,7,8.6,11.9,8,8.7,13.5,11.7,10.1,13,-2.8,3.7,4.5,11.4,6.3,6.3,2.5,-2.6,-13.7,12.7,5.5,2.3,1.1,4
"34",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","Imports of goods \1\","A255RZ2",3.99,2.87,6.11,10.19,5.42,-2.24,-10.33,18.21,10.06,7.49,1.44,-6.3,1.74,-2.11,11.2,20.09,5.18,8.34,3.8,3.3,3.53,2.38,0.36,7.55,8.15,10.98,7.49,7.84,12.03,9.9,10.65,11.07,-2.74,3.15,4.12,9.38,5.62,5.01,1.56,-3.14,-13.09,11.98,4.78,1.77,0.78,3.37
"36","25","  Foods, feeds, and beverages","B647RZ2",-0.6,0.72,0.35,0.66,0.25,-0.7,-0.93,1.1,-0.08,0.91,0.19,-0.9,0.24,0.11,0.5,0.77,0.23,0.13,0.13,-0.19,0.1,0.16,-0.19,0.23,0.05,0.09,0.1,0.37,0.38,0.28,0.38,0.22,0.14,0.18,0.27,0.22,0.12,0.21,0.04,-0.04,-0.21,0.1,0.08,0.15,0.16,0.22
"37","26","  Industrial supplies and materials, except petroleum and products","A649RZ2",-1.39,0.24,1.93,2.12,0.14,-0.54,-3.27,4.11,1.43,1.75,-0.73,-2.22,1.35,-1.53,2.79,3.72,0.09,0.75,-0.14,0.15,-0.32,0.2,-0.23,1.2,1.05,1.85,0.62,0.75,1.08,1.41,0.75,0.8,-0.43,0.35,0.17,1.83,0.84,0.57,-0.51,-0.95,-2.9,1.48,0.68,0.26,0.17,0.68
"38","27","    Durable goods","A820RZ2",-1.45,0.09,1.24,1.43,0.3,-0.4,-2.68,1.9,1.3,1.15,-0.6,-1.85,0.5,-1.63,1.79,2.09,-0.16,0.47,-0.44,-0.12,-0.3,0,-0.28,0.56,0.58,1.2,0.24,0.47,0.51,1.01,0.35,0.43,-0.36,0.31,0.05,1.18,0.46,0.66,-0.71,-0.57,-1.84,0.75,0.44,0.29,0.14,0.66
"39","28","    Nondurable goods","B696RZ2",0.06,0.15,0.69,0.69,-0.16,-0.14,-0.59,2.21,0.13,0.6,-0.13,-0.37,0.85,0.11,0.99,1.64,0.24,0.28,0.31,0.27,-0.02,0.2,0.05,0.64,0.47,0.65,0.38,0.28,0.57,0.4,0.39,0.37,-0.07,0.05,0.12,0.65,0.37,-0.08,0.2,-0.38,-1.06,0.73,0.24,-0.03,0.03,0.01
"40","29","  Petroleum and products","B648RZ2",0.58,0.41,0.76,1.28,2.75,-0.57,-0.34,4.6,4.63,-1.3,0.25,-5.29,-3.46,-3.36,-0.2,0.95,-0.86,2.23,0.36,0.8,0.63,0.1,-0.03,0.37,0.71,0.47,-0.12,0.58,0.31,0.4,0.39,0.28,0.24,-0.19,0.55,0.66,0.24,-0.27,-0.35,-0.57,-1.26,0.07,-0.31,-1.41,-1.11,-0.64
"41","30","  Capital goods, except automotive","A650RZ2",1.04,0.29,-0.07,1.93,1.83,0.53,-0.38,1.72,0.54,2.23,1.92,1.62,1.86,1.03,2.65,6.37,1.84,2.02,2.24,2.55,2.37,1.49,1.38,3.02,3.34,4.76,5.13,4.13,5.81,3.57,3.49,4.62,-2.68,-0.33,1.14,3.34,2.12,2.09,1.24,0.29,-3.17,3.89,2.52,1.38,0.42,1.41
"42","31","    Civilian aircraft, engines, and parts","B932RZ2",-0.04,0.01,0.05,0.38,0.15,-0.05,-0.09,-0.16,0.09,0.11,0.18,0.53,0.14,-0.22,-0.16,0.12,0.37,0.16,0.14,0.2,0.21,0.09,0.01,0.09,-0.25,-0.05,-0.1,0.16,0.36,0.48,0.14,0.14,0.27,-0.47,-0.14,-0.04,0.03,0.08,0.19,-0.04,-0.27,-0.01,0.12,0.1,0.22,0.19
"43","32","    Computers, peripherals, and parts","B852RZ2",NA,NA,NA,0.13,0.15,0.12,0.04,0.18,0.12,0.24,0.19,0.19,0.2,0.3,1.21,1.27,0.26,1.02,1.31,0.86,0.83,0.44,0.98,1.5,1.51,1.66,1.77,1.6,1.93,1.53,1.76,1.06,-0.53,0.53,0.45,1.12,0.66,0.75,0.43,0.07,-0.06,1.23,0.35,0.17,-0.01,0.04
"44","33","    Other","B853RZ2",1,0.13,-0.23,1.43,1.53,0.45,-0.33,1.69,0.34,1.88,1.55,0.9,1.52,0.95,1.59,4.98,1.21,0.84,0.78,1.48,1.33,0.97,0.39,1.44,2.07,3.14,3.46,2.36,3.52,1.56,1.59,3.43,-2.41,-0.39,0.82,2.25,1.43,1.25,0.62,0.26,-2.84,2.67,2.06,1.11,0.21,1.17
"45","34","  Automotive vehicles, engines, and parts","B651RZ2",1.9,0.23,2.27,1.03,0.38,0.64,-2.14,3.23,0.66,0.92,-0.38,-0.09,-0.32,0.71,2.62,3.79,1.73,1.35,0.45,-0.42,-0.4,0.02,-0.97,0.71,1.37,1.74,0.25,0.47,1.1,0.88,2.54,1.15,-0.44,0.97,0.36,0.94,0.46,0.78,0,-1.24,-3.13,3.2,0.9,1.39,0.44,0.77
"46","35","  Consumer goods, except food and automotive","A652RZ2",2.08,0.97,0.7,2.97,0.38,-1.32,-2.65,3.09,2.32,2.76,0.1,0.09,1.09,0.55,2.7,3.83,1.4,1.78,0.57,0.26,0.81,-0.31,0.29,1.82,1.53,1.55,1.4,1.37,2.63,2.54,2.39,3.37,0.32,1.98,1.91,2.4,1.67,1.61,1.14,-0.23,-2.23,2.72,0.9,-0.17,0.59,0.84
"47","36","    Durable goods","B697RZ2",1.11,0.52,0.6,1.97,0.52,-0.46,-1.78,1.28,2.14,1.62,-0.04,0.37,0.62,0.15,1.41,2.18,0.96,0.8,-0.01,0.11,0.52,-0.51,0.08,0.9,0.83,0.89,0.67,0.81,1.27,1.52,1.4,2,-0.09,1.26,0.88,1.75,1.18,0.9,0.74,-0.13,-1.6,1.82,0.41,0.12,0.59,0.53
"48","37","    Nondurable goods","B698RZ2",0.97,0.45,0.1,0.99,-0.14,-0.86,-0.87,1.81,0.18,1.14,0.14,-0.29,0.47,0.4,1.29,1.65,0.44,0.98,0.59,0.15,0.3,0.2,0.21,0.93,0.7,0.66,0.73,0.56,1.36,1.02,0.99,1.38,0.41,0.73,1.03,0.65,0.49,0.71,0.39,-0.11,-0.63,0.9,0.5,-0.29,0,0.31
"49","38","  Other","A653RZ2",0.38,0.01,0.17,0.2,-0.31,-0.29,-0.63,0.37,0.57,0.21,0.08,0.49,0.97,0.38,0.16,0.66,0.75,0.08,0.19,0.16,0.34,0.71,0.12,0.19,0.11,0.53,0.11,0.18,0.72,0.82,0.71,0.63,0.11,0.17,-0.29,-0.01,0.17,0.02,0,-0.41,-0.19,0.52,0.02,0.17,0.12,0.1
"50","39","Imports of services \1\","B656RZ2",1.7,1.4,-0.77,1.06,-0.78,-0.02,-0.78,1.34,0.87,1.18,0.22,-0.34,0.9,0.85,1.42,4.25,1.31,0.2,2.11,0.63,0.88,1.2,-0.51,-0.54,0.49,0.94,0.51,0.86,1.43,1.79,-0.51,1.95,-0.1,0.52,0.34,2.03,0.71,1.31,0.96,0.58,-0.64,0.74,0.69,0.56,0.37,0.6
"51","40","  Transport","Y804RZ2",0.5,0.59,0.34,0.7,0.7,0.02,-0.19,0.78,0.51,0.34,0.15,-0.54,0.19,-0.43,0.56,0.69,0.3,0.03,0.69,0.31,0.24,0.52,-0.32,-0.12,0.22,0.42,0.1,0.06,0.37,0.35,-0.37,0.33,-0.34,-0.13,0.1,0.46,0.19,0.12,0.05,-0.13,-0.58,0.21,0.1,0.09,0.18,0.05
"52","41","  Travel (for all purposes including education)","Y805RZ2",0.55,1.01,-0.01,0.57,-0.38,-0.57,-0.17,0.33,0.14,0.14,-0.1,0,0.32,0.67,0.55,3.27,0.6,-0.44,1.02,0.17,0.18,0.4,-0.57,0.19,0.3,0.22,0.06,0.21,0.45,0.68,0.01,0.59,-0.32,-0.22,-0.21,0.52,0.08,0.01,-0.08,-0.1,-0.34,0.17,0.03,0.39,0.1,0.3
"53","42","  Charges for the use of intellectual property n.e.c.","B908RZ2",0.06,-0.02,0,0.06,0.09,0.03,0.06,-0.02,-0.01,0.06,0.04,-0.07,-0.04,-0.02,0.04,0.06,-0.01,0.05,0.09,0.13,-0.03,0.08,0.12,0.16,-0.04,0.1,0.11,0.08,0.12,0.19,0.17,0.23,-0.02,0.18,-0.05,0.24,0.05,-0.07,0.03,0.09,0.07,0.04,0.11,0.1,-0.03,0.07
"54","43","  Other business services \3\","Y806RZ2",0.12,0.06,0.12,0.03,0.12,0.86,0.19,0.38,0.09,0.3,0.23,0.04,0.21,0.25,-0.18,0.25,0.23,0.98,0.44,0.21,0.52,0.28,0.42,-0.29,0.22,0.48,0.37,0.37,0.29,0.46,-0.19,0.67,0.52,0.45,0.46,0.8,0.44,1.32,1.04,0.8,0.06,0.28,0.56,0.06,0.26,0.27
"55","44","  Government goods and services n.e.c.","Y807RZ2",0.43,-0.27,-1.23,-0.35,-1.35,-0.34,-0.68,-0.14,0.13,0.31,-0.12,0.25,0.23,0.37,0.43,-0.03,0.2,-0.42,-0.16,-0.22,-0.04,-0.09,-0.18,-0.5,-0.22,-0.27,-0.15,0.12,0.18,0.1,-0.14,0.1,0.04,0.23,0.03,0,-0.04,-0.06,-0.1,-0.06,0.15,0.05,-0.09,-0.08,-0.13,-0.08
"56","45","  Other","B910RZ2",0.04,0.03,0,0.05,0.04,-0.02,0,0.01,0.01,0.03,0.01,-0.01,-0.01,0,0.01,0.02,0,0.01,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0,0,0.01,-0.02,0,0.01,-0.02,-0.01,-0.01,-0.01,0,0,-0.01
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
