"","Table 3#11#2# Contributions to Percent Change From Preceding Per","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"30","21","      Services","A489RN2",-0.76,0.45,-0.76,0,-0.04,-0.36,0.26,1.06,0.85,2.12,0.04,0.44,1.13,0.76,0.26,0.63,0.01,0.66,1.01,-0.39,-0.22,0.19,-0.55,0.39,0.25,-0.86,1.91,-0.39,2.54,3.32,4.11,1.94,0.21,0.42,0.06,2.48,1.77,1.31,-1.49,-1.29,-2.62,0.36
"31","22","        Installation support","B911RN2",-0.29,0.34,-0.09,0.12,-0.04,-0.28,0.21,0.55,0.38,1.01,-0.28,0.37,0.32,0.02,0.3,-0.02,-0.12,0.58,0.31,-0.05,0.45,0.09,-0.5,0.13,-0.27,-0.4,0.19,-0.06,0.4,0.6,0.75,-0.13,-0.41,0.16,-0.23,0.26,0.4,0.1,-0.48,-0.35,-0.57,0.12
"32","23","        Weapons support","B912RN2",-0.12,0.12,-0.25,0.09,-0.08,-0.02,0.31,0.51,0.22,0.54,0.13,0.01,0.33,0.27,-0.1,0.22,-0.05,0.18,-0.52,-0.24,-0.23,0.09,-0.03,-0.18,0.33,-0.16,0.31,0.01,0.73,0.74,0.83,0.08,0.33,0.11,0.08,0.22,0.15,0.46,-0.32,-0.25,-0.85,0.13
"33","24","        Personnel support","B913RN2",-0.08,-0.02,-0.11,-0.06,0.03,-0.03,-0.17,-0.02,0.15,0.26,0.14,-0.11,0.38,0.27,0.03,0.38,0.04,-0.21,-0.28,0.88,0.14,0.28,0.02,0.44,0.43,-0.33,1.26,-0.25,1.31,2.01,1.29,2.09,0.51,0.45,-0.53,2.15,0.82,0.55,-0.47,-0.07,-0.7,0.06
"34","25","        Transportation of material","B786RN2",-0.28,-0.09,-0.17,-0.07,0.01,-0.1,-0.02,0.06,0.02,0.07,0.15,0.06,0.01,0.12,-0.05,0.09,0.08,0.16,0.87,-0.64,-0.34,-0.21,0.12,0.04,-0.23,0.04,0.05,-0.07,0.08,0.01,0.99,-0.28,-0.27,-0.06,0.61,-0.08,0.26,0.13,-0.1,-0.52,-0.24,0
"35","26","        Travel of persons","B785RN2",0.01,0.09,-0.14,-0.07,0.03,0.07,-0.07,-0.04,0.08,0.24,-0.11,0.11,0.09,0.07,0.08,-0.04,0.07,-0.04,0.64,-0.34,-0.24,-0.06,-0.16,-0.04,-0.01,0,0.09,-0.03,0.02,-0.04,0.24,0.19,0.06,-0.23,0.13,-0.07,0.15,0.06,-0.12,-0.1,-0.27,0.04
"36","27","  Less: Own-account investment \4\","W088RN2",-0.01,0.06,0.09,0.02,0.07,-0.03,-0.1,-0.04,-0.07,-0.18,-0.31,-0.26,-0.27,-0.18,-0.05,-0.03,-0.06,-0.01,0.15,0.09,0.12,0.13,0.06,0.1,0.06,0.04,0.03,-0.12,-0.4,-0.31,-0.1,0.03,-0.1,-0.15,-0.21,-0.04,0.01,0,-0.18,-0.23,0.16,0.21
"37","28","  Less: Sales to other sectors","W089RN2",-0.32,-0.3,0.49,0.57,-0.15,0.01,0.03,-0.12,-0.07,-0.03,0.28,-0.08,0.03,0,-0.04,-0.05,0.06,-0.19,0.05,-0.1,-0.04,-0.45,0.61,-0.1,0.16,0.1,0.01,-0.05,0,-0.02,-0.04,0,-0.12,-0.13,0.19,-0.05,0.01,0.03,-0.02,0.01,0.02,0.03
"38","29","Gross investment \5\","A788RN2",0.67,1.29,0.71,1.22,0.49,0.22,1.99,1.59,2.36,2.93,3.82,3.38,4.94,3.15,2.53,-1.87,-0.7,-0.03,-2.11,-1.32,-2.51,-1.47,-0.91,-0.19,-1.58,0.05,0.22,0.21,1.21,2.75,2.36,2.01,1.1,1.21,1.23,2.18,0.48,0.32,-1.07,-1.07,-1.82,-1.59
"39","30","  Structures","A808RN2",-0.03,-0.18,-0.06,-0.23,0.02,0.02,-0.28,0.26,-0.08,0.27,0.3,-0.06,0.37,0.17,0.15,-0.16,-0.39,-0.12,-0.39,0.12,-0.04,0.06,0.17,-0.15,-0.1,-0.12,-0.18,-0.06,-0.07,0.16,0.16,-0.1,-0.07,0,0.25,0.46,0.49,-0.05,-0.44,-0.66,-0.22,-0.18
"40","31","  Equipment","Y050RN2",0.7,2.07,1.05,1.16,0.2,0.02,1.85,0.79,1.34,1.43,2.11,1.99,2.71,2.37,1.39,-1.3,0.35,0.5,-0.58,-0.8,-1.77,-1.08,-0.77,-0.05,-1.37,0.22,0.64,0.33,0.75,1.52,0.93,1.16,0.61,0.93,0.55,1.72,0.22,0.46,-0.53,-0.32,-0.82,-0.8
"41","32","    Aircraft","B874RN2",-0.31,0.01,1.06,-0.19,0.12,-0.16,0.65,0.59,0.52,0.02,0.48,0.28,1.32,2.07,0.72,-0.81,-0.3,-0.25,-0.85,-0.28,0.16,0,-0.54,-0.07,-0.7,0.01,0.07,0.29,0.32,0.3,0.01,0.35,0.48,0.04,-0.1,0.05,-0.04,0.41,0.39,0,0.25,-0.22
"42","33","    Missiles","B875RN2",0.07,0.16,-0.41,-0.23,-0.26,-0.16,0.75,0.46,0.2,0.37,0.38,0.34,0.27,0.54,0.31,-0.21,0.29,0.66,0.02,-0.03,-0.73,-0.53,-0.23,-0.13,-0.27,0.1,-0.08,-0.04,0.17,0,0.02,0.09,-0.02,0.07,-0.03,-0.02,0.09,0.05,-0.08,0.2,-0.03,-0.01
"43","34","    Ships","B876RN2",-0.28,0.37,-0.21,0.05,0.33,0.3,0.08,-0.33,0.32,0.4,0.28,0.16,0.27,-0.1,-0.07,-0.12,0.25,0.14,-0.28,-0.08,-0.39,-0.22,-0.13,-0.33,-0.2,0.09,0.1,-0.08,0.16,0.34,0.14,0.03,-0.08,0.06,-0.11,0.04,-0.02,0.05,-0.08,0.01,0.06,0.07
"44","35","    Vehicles","B877RN2",-0.09,0,-0.05,0.11,0.09,0.11,0.03,0.06,-0.23,0.31,0.58,0.39,-0.13,0.1,0.05,-0.17,-0.16,0,0.04,-0.18,-0.25,-0.22,0.01,0.02,0.05,0.04,0.05,0.05,0.03,0.17,0.11,-0.07,0.18,0.18,0.16,0.43,-0.04,0.04,-0.3,-0.19,-0.24,-0.14
"45","36","    Electronics","Y051RN2",0.03,-0.05,0.08,0.03,0.1,0.18,0.03,0.21,0.16,0.17,0.25,0.23,0.36,0.15,0.21,-0.02,-0.05,-0.01,-0.07,0.02,0.08,-0.09,-0.08,0.1,0.08,0.04,0.25,0.11,0.05,0.15,0.2,0.16,0.18,0.28,0.38,0.51,0.03,-0.06,-0.25,-0.14,-0.24,-0.17
"46","37","    Other equipment","B879RN2",1.28,1.58,0.58,1.39,-0.18,-0.24,0.31,-0.21,0.38,0.16,0.13,0.59,0.62,-0.4,0.18,0.04,0.31,-0.04,0.56,-0.25,-0.64,-0.01,0.18,0.36,-0.32,-0.07,0.25,0.01,0.02,0.57,0.45,0.59,-0.13,0.3,0.25,0.71,0.2,-0.03,-0.21,-0.2,-0.61,-0.34
"47","38","  Intellectual property products","Y052RN2",0,-0.6,-0.28,0.29,0.27,0.18,0.42,0.54,1.1,1.23,1.41,1.44,1.85,0.61,0.99,-0.42,-0.66,-0.42,-1.13,-0.64,-0.69,-0.45,-0.31,0.01,-0.11,-0.05,-0.24,-0.06,0.52,1.07,1.27,0.96,0.56,0.29,0.42,0,-0.24,-0.09,-0.1,-0.09,-0.78,-0.61
"48","39","    Software","Y053RN2",0.05,0.05,0.06,0.02,0.02,0.07,0.09,0.07,0.1,0.06,0.09,0.2,0.17,0.16,0.11,0.16,0.16,0.1,0.04,0.1,-0.06,-0.02,-0.03,0.07,0.04,0.1,-0.01,-0.02,-0.08,-0.03,-0.03,0.05,0.03,0.03,0.04,0.04,-0.01,0.06,0.04,0.01,-0.01,0.01
"49","40","    Research and development","Y076RN2",-0.05,-0.65,-0.34,0.27,0.26,0.11,0.33,0.47,1,1.17,1.32,1.25,1.69,0.46,0.88,-0.57,-0.82,-0.52,-1.16,-0.74,-0.63,-0.42,-0.29,-0.06,-0.15,-0.15,-0.23,-0.04,0.6,1.1,1.3,0.91,0.53,0.25,0.38,-0.04,-0.23,-0.16,-0.14,-0.1,-0.78,-0.61
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","structures, software, and research and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
