"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Personal consumption expenditures","DPCERY2",NA,4.3,0.93,0.24,1.5,3.11,0.37,1.83,0.17,3.56,0.15,3.27,4.04,4.01,13.39,-7.71,6.32,-6.88,2.88,1.31,0.32,4.48,1.07,8.6,2.86,1.33,-0.71,-1.76,0.65,2.97,3.19,5.1,5.56,4.64,2.96,3.07,0.38,0.79,0.51,3.34,1.64,0.41,1.93,0.12,-3.24,2.11,4.25,3.49,4.59,3.95,2.61,0.32,2.37,3.05,-0.97,0.34,-0.05,3.7,1.22,4.89,2.59,2.95,1.95,3.4,1.65,2.33,3.32,1.99,4.77,4.21,4.44,0.69,5.47,2.7,4.19,6.79,3.58,0.6,2.69,0.98,1.38,3.2,1.22,1.46,5.66,3.64,4.42,1.07,2.67,1.5,1.14,1.88
"13","3","  Goods","DGDSRY2",NA,2.88,1.18,0.82,0.48,1.62,-0.1,0.92,-0.38,3.12,0.45,3.05,2.68,1.41,11.84,-8.28,3.73,-7.48,1.72,1.13,-0.85,2.99,-0.22,7.15,1.83,0.16,-1.3,-0.99,-0.28,1.19,1.36,3.82,4.3,3.89,1.89,0.96,-0.66,-0.25,-0.61,1.93,1.23,-0.48,1.19,-0.98,-3.05,0.46,2.56,2.52,2.93,2.04,1,-1.06,1.41,1.85,-0.82,-0.76,-1.24,1.96,0.84,2.84,1.49,1.24,0.96,1.95,1.18,1.05,1.27,0.42,2.88,2.6,2.91,-0.9,4.09,0.92,2.56,4.8,2.39,-0.61,1.77,-0.25,0.33,2.09,-0.35,0.48,3.83,1.82,2.94,-0.2,1.63,0.09,0.21,0.42
"14","4","    Durable goods","DDURRY2",NA,0.73,0.53,2.34,-0.09,0.34,0.67,-0.47,-0.61,2.99,1.67,1.27,1.22,0.13,9.87,-5.78,1.71,-5.89,-0.56,-0.14,0.03,0.53,-2.1,5.55,1.16,-0.29,-0.32,-1.1,-1.22,1.52,0.08,2.08,3.24,2.05,1.26,-1.01,-1.71,0.06,-0.64,1.14,0.63,-0.86,-0.22,-0.38,-2.23,-0.49,0.68,1.15,1.69,1.25,0.64,-1.67,1.13,0.77,-0.26,-0.84,-1.81,0.65,0.76,1.53,0.7,0.86,0.24,1.43,0.67,0.73,0.43,0.53,1.34,0.9,1.16,-1.07,3.22,0.07,1.22,1.51,1.72,-1.45,1.13,-0.01,-0.65,1.45,-0.28,0.09,2.14,0.76,1.6,-0.21,0.69,-0.1,-0.1,-0.14
"15","5","      Motor vehicles and parts","DMOTRY2",NA,0.19,-0.55,1.4,0.76,-0.63,0.33,0.68,0.5,2.76,0.55,0.08,1.28,0.83,4.03,-1.46,-0.71,-2.73,-1.11,-0.8,0.21,0.57,-2.28,4.5,1.24,-0.36,-0.17,-1.03,-0.86,1.36,-0.43,1.3,2.53,1.61,0.63,-1.2,-1.81,-0.52,-0.46,1,0.97,-0.63,-0.42,0.06,-2.18,-0.16,0.02,0.79,1.28,0.87,0.58,-1.81,1.43,0.54,0.27,-0.82,-1.81,0.33,0.37,1.11,0.63,0.54,-0.2,1.17,0.44,0.41,0.03,0.3,0.38,0.17,0.72,-1.41,2.98,-0.32,0.53,0.19,0.97,-1.57,0.43,-0.08,-0.7,1.18,-0.42,-0.39,1.75,0.25,0.89,-0.19,0.39,-0.29,0.17,-0.26
"16","6","      Furnishings and durable household equipment","DFDHRY2",NA,0.44,0.73,0.8,-0.63,0.86,0.34,-0.95,-1.12,0.34,1.14,1.12,-0.46,-0.61,4.41,-3.55,1.88,-2.76,0.3,0.45,-0.12,-0.03,0.14,0.71,-0.31,0.14,-0.03,0.02,-0.28,-0.04,0.17,0.54,0.71,0.14,0.45,-0.06,0.11,0.37,-0.29,0,-0.15,-0.04,-0.08,-0.29,0,-0.2,0.42,0.19,0.23,0.26,0.06,0.06,-0.2,0.1,-0.35,-0.05,-0.01,0.15,0.2,0.23,0.04,0.13,0.27,0.08,0.2,0.11,0.29,0.17,0.52,0.38,0.13,0.17,0.01,0.15,0.33,0.58,0.19,-0.02,0.34,-0.09,0.04,0.11,0.01,0.1,0.18,0.26,0.36,-0.09,0.08,0.11,-0.21,-0.02
"17","7","      Recreational goods and vehicles","DREQRY2",NA,0.12,0.21,0.13,-0.2,0.1,-0.02,-0.23,0.09,-0.11,0.02,0,0.39,-0.16,1.17,-0.65,0.41,-0.37,0.18,0.13,-0.03,-0.07,-0.02,0.2,0.21,-0.04,-0.07,-0.05,0,0.07,0.16,0.18,0.11,0.16,0.15,0.11,0.03,0.16,0.03,0.08,-0.09,-0.1,0.1,-0.11,0.02,-0.11,0.15,0.11,0.24,0.06,0,0.02,-0.06,0.08,-0.14,0.04,0.02,0.13,0.13,0.08,-0.02,0.09,0.15,0.11,0.06,0.16,0.06,0.08,0.32,0.29,0.17,0.16,0.11,0.27,0.22,0.49,0.29,0.21,0.33,0.2,0.01,0.07,0.16,0.31,0.13,0.07,0.29,0.03,0.15,0.09,-0.02,0.12
"18","8","      Other durable goods","DODGRY2",NA,-0.02,0.14,0.01,-0.02,0.01,0.03,0.03,-0.08,0,-0.03,0.08,0.01,0.07,0.26,-0.11,0.13,-0.04,0.06,0.09,-0.03,0.05,0.06,0.14,0.03,-0.03,-0.05,-0.04,-0.08,0.13,0.18,0.06,-0.11,0.13,0.02,0.14,-0.04,0.06,0.08,0.06,-0.11,-0.1,0.18,-0.04,-0.07,-0.03,0.08,0.06,-0.06,0.06,0.01,0.05,-0.05,0.06,-0.05,0,-0.01,0.04,0.06,0.11,0.05,0.1,0.02,0.07,-0.03,0.05,0.05,-0.02,0.12,0.07,0.14,0.01,0.12,-0.03,0.13,0.26,0.27,-0.06,0.03,-0.05,0,0.09,-0.03,0.06,0.08,0.19,0.05,0.03,0.06,0,-0.04,0.02
"19","9","    Nondurable goods","DNDGRY2",NA,2.15,0.65,-1.52,0.57,1.28,-0.77,1.39,0.24,0.13,-1.23,1.77,1.46,1.29,1.97,-2.51,2.02,-1.59,2.28,1.27,-0.87,2.46,1.88,1.6,0.66,0.44,-0.98,0.11,0.94,-0.34,1.28,1.74,1.06,1.84,0.63,1.97,1.05,-0.31,0.02,0.79,0.6,0.39,1.42,-0.6,-0.83,0.96,1.88,1.36,1.24,0.79,0.35,0.61,0.28,1.07,-0.55,0.08,0.58,1.31,0.08,1.3,0.79,0.37,0.72,0.52,0.51,0.32,0.84,-0.11,1.54,1.7,1.75,0.17,0.87,0.85,1.34,3.29,0.67,0.83,0.64,-0.24,0.98,0.65,-0.08,0.39,1.69,1.06,1.35,0.02,0.94,0.18,0.31,0.56
"20","10","      Food and beverages purchased for off-premises consumption","DFXARY2",NA,1.33,-0.17,-1.45,0.3,1.25,-1.29,1.14,0.1,0.01,-0.27,-0.05,1.35,0.24,0.13,-0.51,0.35,-0.08,1,-0.31,-0.25,1.48,0.76,0.45,1.13,0.09,-0.32,0.05,0.93,-0.12,1.17,0.89,0.34,0.79,0.41,0.75,0.75,-0.2,0.04,0.43,0.4,0.49,0.48,-0.11,-0.38,-0.07,0.48,0.62,0.91,0.32,0.29,0.32,-0.15,0.29,-0.27,-0.09,0.39,0.52,-0.08,0.22,-0.03,-0.05,0.36,-0.2,0,0.24,0.27,0.1,0.26,0.71,0.6,0.15,0.45,0.31,0.56,1.8,-0.17,0.09,0.12,-0.18,0.77,0.21,-0.21,0.5,0.46,0.68,0.66,0.13,0.47,-0.16,-0.03,0.41
"21","11","      Clothing and footwear","DCLORY2",NA,-0.36,0.44,-0.08,-0.32,0.14,0.25,0.62,0.07,-0.33,-0.96,1.07,0.01,0.49,0.95,-1.17,0.45,-0.96,0.44,0.27,-0.22,0.77,0.68,0.52,-0.8,0.54,-0.43,-0.32,0.22,-0.02,-0.09,0.5,0.28,0.61,-0.17,0.44,-0.01,0.06,0.18,-0.04,-0.26,-0.08,0.44,-0.48,-0.16,0.4,0.45,0.33,0.05,0.48,-0.14,0.18,0.07,0.14,-0.31,-0.07,0.17,0.2,0.15,0.51,0.1,0.21,0.08,0.15,-0.07,0.11,0.32,-0.16,0.74,0.47,0.27,0.18,0.02,-0.03,0.37,0.67,0.38,0.07,0.2,-0.16,0.01,0.13,0.08,-0.1,0.49,0.12,0.3,-0.13,0.18,0.07,0.1,-0.09
"22","12","      Gasoline and other energy goods","DGOERY2",NA,0.36,0.12,-0.03,0.28,-0.02,0.04,-0.27,-0.28,0.07,-0.04,0.16,0.15,0.52,0.25,-0.31,0.38,-0.14,0.23,0.19,-0.08,0.08,0.13,0.09,-0.01,-0.07,0.1,-0.03,0.07,0.04,0.24,0.31,0.18,0.27,0.1,0.3,0.09,0,-0.17,0.24,0.14,-0.16,0.23,-0.03,0.08,0.36,0.2,0.08,-0.02,-0.01,-0.06,0,0.11,0.28,-0.2,0,-0.15,0.29,-0.25,0.03,0.31,0.02,-0.01,0.25,0.27,-0.11,-0.03,0.09,0.18,0.25,0.31,-0.04,-0.05,0.26,0.24,0.12,0.01,0.25,0.14,0.05,-0.02,0.1,-0.02,0.18,0.21,0.02,0.1,-0.02,0.21,0.13,0.03,0.2
"23","13","      Other nondurable goods","DONGRY2",NA,0.83,0.26,0.04,0.31,-0.09,0.23,-0.1,0.35,0.37,0.04,0.59,-0.05,0.04,0.64,-0.51,0.84,-0.41,0.6,1.12,-0.32,0.13,0.32,0.54,0.34,-0.11,-0.33,0.41,-0.28,-0.23,-0.04,0.04,0.25,0.17,0.28,0.48,0.22,-0.17,-0.03,0.15,0.32,0.13,0.26,0.02,-0.37,0.27,0.74,0.34,0.31,0,0.26,0.11,0.26,0.37,0.23,0.23,0.16,0.3,0.26,0.53,0.42,0.2,0.29,0.32,0.31,0.08,0.29,-0.13,0.37,0.27,0.57,-0.12,0.44,0.31,0.17,0.7,0.45,0.42,0.18,0.05,0.21,0.2,0.07,-0.19,0.53,0.24,0.28,0.04,0.08,0.15,0.22,0.03
"24","14","  Services","DSERRY2",NA,1.41,-0.24,-0.58,1.02,1.49,0.47,0.91,0.54,0.44,-0.3,0.22,1.36,2.6,1.55,0.57,2.59,0.6,1.16,0.18,1.17,1.48,1.29,1.45,1.04,1.17,0.59,-0.77,0.92,1.78,1.82,1.28,1.26,0.75,1.08,2.11,1.04,1.04,1.13,1.42,0.41,0.89,0.74,1.1,-0.19,1.65,1.69,0.98,1.66,1.91,1.61,1.39,0.96,1.2,-0.16,1.1,1.19,1.74,0.38,2.06,1.1,1.71,0.99,1.46,0.47,1.28,2.04,1.57,1.89,1.61,1.53,1.6,1.38,1.77,1.62,1.99,1.2,1.21,0.92,1.23,1.05,1.11,1.58,0.98,1.83,1.82,1.48,1.27,1.04,1.42,0.93,1.46
"25","15","    Household consumption expenditures (for services)","DHCERY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62,1.45,1.24,0.84,1.15,-0.17,1.14,1.24,1.6,0.32,1.94,1.05,1.76,1.04,1.5,0.46,1.17,1.9,1.44,1.7,1.58,1.53,1.59,1.38,1.66,1.46,1.87,1.16,1.27,0.99,1.29,0.98,1,1.42,0.85,1.8,1.85,1.49,1.27,1.05,1.4,0.88,1.39
"26","16","      Housing and utilities","DHUTRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.72,0.58,0.57,0.4,0.42,0.7,0.35,0.65,0.37,0.79,0.54,0.62,0.54,0.81,0.39,0.1,0.75,0.39,0.59,0.4,0.54,0.67,0.44,0.64,0.55,0.51,0.35,0.43,0.47,0.43,0.28,0.6,0.43,0.66,0.52,0.18,0.6,0.59,0.6,0.39,0.62,0.48
"27","17","      Health care","DHLCRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,-0.03,0.16,0.08,-0.31,0.25,0.13,0.34,0.1,0.19,0.29,0.33,0.34,0.3,0.17,0.12,0.09,0.22,0.53,0.53,0.48,0.27,0.24,-0.04,-0.26,-0.01,0.24,0.48,0.38,0.38,0.05,0.02,-0.02,0.04,0.4,0.58,0.37,0.4,0.27,0.2,0.1,0.18
"28","18","      Transportation services","DTRSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.13,0.08,0.04,0.02,0.02,0.01,-0.01,0.04,0.03,0.1,0.06,0.09,0.02,0.07,0.07,0.08,0.09,0.1,0.08,0.09,0.1,0.07,0.05,0.1,0.11,0.1,0.07,0.14,0,0.19,0.08,0.02,0.1,0.08,0.13,0.11,0.13,0.1,0.11,0.11,0.11,0.12
"29","19","      Recreation services","DRCARY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.03,0.06,0.11,0.05,0.02,0.05,0.05,0.06,0.05,0.12,0,0.18,-0.11,0.07,0.07,0.02,0.23,-0.19,0.19,-0.04,0.04,0.17,0.03,-0.01,0.01,0.09,0.03,0.13,0.11,0.14,0.03,-0.12,0.2,-0.3,0.27,0.16,0.06,0.12,0.08,0.09,-0.06,0.05
"30","20","      Food services and accommodations","DFSARY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.32,0.17,-0.25,0.23,-0.2,0.02,0.12,-0.12,-0.03,0.25,0.15,0.14,0.16,0.17,0.02,0.05,0.03,0.19,0.33,0.19,0.12,0.12,0.34,0.41,0.22,0.29,0.27,0.03,0.09,-0.13,-0.12,-0.13,0.16,0.15,0.55,0.13,0.16,0.02,-0.01,0.31,-0.1,0.08
"31","21","      Financial services and insurance","DIFSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.15,0.18,0.02,0.14,0.03,-0.05,0.47,0.26,-0.28,0.12,-0.15,0.21,-0.08,0.05,-0.14,0.25,0.35,0.36,-0.06,0.16,0.27,0.01,0.17,0.17,0.19,0.39,0.08,-0.07,-0.11,-0.18,0.4,0.18,0.35,-0.04,-0.14,0.61,0.08,0.06,-0.28,0.13,0.06,0.21
"32","22","      Other services","DOTSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.04,0.2,0.2,0.23,-0.14,0.17,0.14,0.37,0.07,0.37,0.15,0.19,0.17,0.03,-0.13,0.56,0.36,0.36,0.02,0.26,-0.01,0.27,0.12,0.38,0.64,0.49,0.13,0.13,0.05,0.47,0.27,0.42,0.19,0.26,0.08,0.07,0.08,-0.02,0.27,0.17,0.15,0.26
"33","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.17,0.14,0.13,0.05,0.01,-0.04,-0.05,0.14,0.05,0.11,0.05,-0.05,-0.05,-0.05,0.01,0.11,0.14,0.13,0.19,0.03,-0.01,0,-0.01,0.12,0.16,0.12,0.04,-0.06,-0.07,-0.06,0.07,0.11,0.16,0.13,0.02,-0.03,-0.01,0,-0.01,0.02,0.05,0.07
"34","24","      Gross output of nonprofit institutions \2\","DNPERY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.21,0.09,0.21,0.07,-0.29,0.13,0.01,0.57,0.07,0.22,0.17,0.04,0.07,0.07,0.16,0.27,0.23,0.25,0.4,0.13,0.06,0.01,0.22,0.27,0.29,0.26,0.22,0.15,0.03,0.06,0.16,0.3,0.32,0.26,0.16,0.25,0.06,0.19,0.17,0.18,0.13,0.21
"35","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.04,-0.05,0.09,0.02,-0.3,0.17,0.06,0.42,0.01,0.11,0.12,0.09,0.12,0.12,0.15,0.16,0.09,0.12,0.21,0.09,0.07,0,0.22,0.15,0.13,0.14,0.19,0.22,0.1,0.13,0.09,0.19,0.16,0.13,0.14,0.28,0.07,0.19,0.18,0.16,0.07,0.14
"36","26","Gross private domestic investment","A006RY2",NA,-4.71,-1.83,10.67,6.26,4.31,0.91,-3.04,-9.95,-7.86,4.98,-2.51,14.11,7.6,6.42,9.62,-8.87,1.66,-5.57,-5.4,1.72,-4.71,3.26,4.66,1.35,0.4,-1.2,-4.24,-0.16,0.07,3.02,2.89,6.4,4.05,1.06,1.54,-2.11,-0.58,-0.61,-0.54,-0.95,-0.06,1.43,-5.17,-4.12,-1.23,4.41,5.26,3.82,5.37,-4.41,2.05,6.61,-6.61,-0.19,-6.92,1.52,4.17,4.81,1.22,3.56,-0.46,1.12,-1.89,3.28,1.07,2.11,0.83,2.6,-0.18,1.56,0.59,6.38,0.17,2.49,0.61,5.71,-1.05,-0.51,0.42,-1.72,-2.45,1.9,1.42,1.43,2.62,-1.84,0.71,3.97,-0.4,1.41,-3.3
"37","27","  Fixed investment","A007RY2",NA,-1.47,2.02,5.3,2.31,0.13,-0.54,-0.74,-3.69,-1.88,-0.02,2.31,4.24,5.94,5.05,-1.42,-2.55,-2.91,-0.84,-0.37,1.06,1.11,-3.15,4.47,2.4,0.49,0.16,-0.44,-0.74,1.04,2.41,1.47,2.53,2.64,1.45,0.21,-1.22,0.59,-0.04,-0.33,-0.06,-0.55,0.68,-1.02,-3.4,-1.46,0.91,3.42,3.46,1.91,0.65,-0.72,2.15,-1.1,-1.3,-0.09,-0.5,0.99,1.42,1.89,1.14,1.68,0.48,-0.19,0.79,2.66,1.52,1.83,2.17,-0.11,1.03,0.56,2.92,1.83,1.77,1.52,2.42,-0.67,0.06,-1.69,-1.14,1.5,0.75,1.85,1.43,-0.15,0.94,1.45,1.77,0.32,0.92,-1.44
