"","Table 5#4#4# Price Indexes for Private Fixed Investment in Struc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Office \1\","W031RG3",3.636,3.588,3.115,2.55,2.35,2.643,2.626,2.778,3.116,3.161,3.133,3.178,3.422,3.892,4.203,4.3,4.415,5.177,6.872,7.624,7.407,7.382,8.371,8.64,8.636,8.385,8.53,9.264,9.643,9.366,9.287,9.261,9.221,9.331,9.513,9.704,10.008,10.366,10.694,11.226,12.071
"12","5","    Health care","W032RG3",4.044,3.813,3.326,2.767,2.634,2.911,2.909,3.094,3.546,3.563,3.554,3.631,3.895,4.36,4.722,4.911,5.104,5.971,7.979,8.874,8.628,8.583,9.733,9.994,10.032,9.76,9.923,10.778,11.211,10.894,10.801,10.783,10.745,10.876,11.079,11.307,11.676,12.11,12.489,13.11,14.096
"13","6","      Hospitals and special care","C311RG3",3.953,3.644,3.184,2.664,2.576,2.807,2.822,3.018,3.515,3.515,3.515,3.604,3.859,4.296,4.656,4.852,5.054,5.908,7.924,8.823,8.583,8.533,9.677,9.927,9.974,9.71,9.87,10.721,11.149,10.835,10.742,10.729,10.695,10.824,11.025,11.253,11.624,12.06,12.436,13.055,14.036
"14","7","        Hospitals","W033RG3",3.953,3.644,3.184,2.664,2.576,2.807,2.821,3.018,3.515,3.515,3.515,3.604,3.859,4.296,4.655,4.852,5.054,5.907,7.924,8.823,8.582,8.532,9.676,9.926,9.974,9.709,9.869,10.72,11.148,10.84,10.746,10.733,10.699,10.828,11.029,11.257,11.628,12.064,12.441,13.06,14.042
"15","8","        Special care","W034RG3",3.958,3.648,3.188,2.667,2.579,2.81,2.825,3.022,3.52,3.519,3.52,3.609,3.864,4.301,4.661,4.858,5.061,5.915,7.934,8.834,8.594,8.543,9.689,9.939,9.987,9.722,9.882,10.735,11.163,10.829,10.735,10.722,10.688,10.818,11.018,11.246,11.617,12.052,12.429,13.047,14.028
"16","9","      Medical buildings","W035RG3",4.305,4.248,3.689,3.019,2.783,3.13,3.11,3.289,3.689,3.743,3.71,3.763,4.052,4.608,4.976,5.092,5.227,6.13,8.137,9.028,8.77,8.741,9.911,10.231,10.226,9.928,10.1,10.969,11.418,11.09,10.996,10.967,10.917,11.051,11.26,11.491,11.848,12.274,12.662,13.291,14.293
"17","10","    Multimerchandise shopping","W036RG3",3.828,3.777,3.28,2.684,2.474,2.782,2.764,2.924,3.28,3.327,3.298,3.346,3.603,4.097,4.424,4.527,4.647,5.449,7.234,8.026,7.797,7.771,8.812,9.096,9.091,8.827,8.98,9.752,10.151,9.859,9.779,9.751,9.71,9.828,10.015,10.219,10.54,10.918,11.261,11.824,12.712
"18","11","    Food and beverage establishments","W037RG3",3.828,3.778,3.28,2.685,2.475,2.783,2.765,2.925,3.281,3.328,3.299,3.347,3.603,4.098,4.425,4.528,4.648,5.451,7.236,8.028,7.798,7.773,8.814,9.098,9.093,8.829,8.982,9.754,10.153,9.861,9.778,9.752,9.709,9.826,10.014,10.222,10.534,10.919,11.255,11.821,12.71
"19","12","    Warehouses","W038RG3",3.887,3.836,3.331,2.726,2.513,2.826,2.807,2.97,3.331,3.379,3.349,3.398,3.659,4.16,4.493,4.597,4.719,5.534,7.346,8.151,7.918,7.892,8.948,9.237,9.232,8.964,9.119,9.904,10.309,10.012,9.928,9.902,9.857,9.977,10.167,10.374,10.695,11.082,11.432,11.997,12.905
"20","13","    Other commercial \2\","W039RG3",4.113,4.059,3.524,2.884,2.659,2.99,2.971,3.142,3.524,3.575,3.544,3.595,3.871,4.402,4.754,4.865,4.994,5.856,7.773,8.625,8.378,8.35,9.469,9.774,9.769,9.485,9.649,10.479,10.908,10.594,10.469,10.421,10.343,10.355,10.425,10.593,10.899,11.204,11.516,12.056,12.963
"21","14","  Manufacturing","B307RG3",3.645,3.273,2.834,2.561,2.596,3.035,3.105,3.273,3.679,3.63,3.495,3.748,4.138,4.783,5.187,4.988,5.256,6.374,7.545,8.401,8.173,8.125,9.214,9.452,9.497,9.246,9.398,10.209,10.616,10.316,10.227,10.215,10.182,10.305,10.497,10.714,11.067,11.482,11.84,12.429,13.364
"22","15","  Power and communication","W003RG3",4.708,4.451,4.208,3.731,3.713,4.051,4.153,4.316,4.624,4.61,4.585,4.687,5.002,5.367,5.581,5.599,5.735,6.567,7.802,8.627,9.015,9.384,10.194,10.413,10.922,11.11,11.383,12.371,13.006,13.147,13.435,13.511,13.48,13.335,13.38,13.421,13.742,14.079,14.507,15.238,15.956
"23","16","    Power","W028RG3",3.639,3.509,3.348,2.989,2.988,3.298,3.382,3.524,3.817,3.847,3.818,3.882,4.145,4.435,4.585,4.599,4.68,5.414,6.347,7.162,7.533,7.91,8.586,8.768,9.256,9.425,9.644,10.572,11.29,11.464,11.704,11.702,11.587,11.55,11.499,11.501,11.766,11.945,12.238,12.949,13.565
"24","17","      Electric","B571RG3",3.811,3.673,3.505,3.134,3.125,3.456,3.541,3.69,3.995,4.028,4,4.066,4.339,4.645,4.803,4.814,4.898,5.095,5.97,6.513,6.873,7.245,8.061,8.199,8.676,8.931,9.202,10.073,10.701,10.959,11.188,11.187,11.004,11.051,11.141,11.416,11.826,11.872,12.329,13.197,13.698
"25","18","      Other power","W029RG3",3.476,3.354,3.199,2.853,2.857,3.149,3.231,3.368,3.65,3.676,3.641,3.705,3.961,4.234,4.376,4.391,4.471,5.951,6.981,8.253,8.637,9.023,9.532,9.782,10.289,10.291,10.415,11.44,12.319,12.319,12.577,12.573,12.575,12.397,12.094,11.618,11.627,12.043,12.025,12.444,13.28
"26","19","    Communication","B314RG3",9.414,8.552,7.909,6.877,6.762,7.125,7.305,7.497,7.675,7.317,7.351,7.691,8.189,8.864,9.413,9.451,9.948,11.026,13.541,14.226,14.571,14.571,15.894,16.262,16.55,16.763,17.254,18.277,18.336,18.246,18.716,19.18,19.591,18.92,19.435,19.644,20.16,21.194,22.231,22.744,23.778
"27","20","  Mining exploration, shafts, and wells","E318RG3",2.021,1.97,2.342,1.865,2.257,1.592,1.964,1.649,2.12,1.981,1.944,1.873,1.924,2.163,2.697,2.985,3.13,2.972,3.194,3.553,3.461,3.441,3.899,3.998,4.023,3.913,3.978,4.325,4.496,4.376,4.536,4.483,4.374,4.459,4.303,4.309,4.398,4.676,4.845,5.074,5.315
"28","21","    Petroleum and natural gas","B319RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.732,2.91,3.237,3.153,3.136,3.552,3.643,3.666,3.565,3.625,3.941,4.096,3.987,4.142,4.091,3.987,4.066,3.91,3.91,3.987,4.246,4.402,4.609,4.816
"29","22","    Mining","B320RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.384,7.924,8.823,8.582,8.532,9.676,9.926,9.974,9.709,9.869,10.72,11.148,10.834,10.74,10.727,10.693,10.822,11.023,11.251,11.622,12.057,12.434,13.053,14.034
"30","23","  Other structures","W004RG3",4.903,4.612,4.096,3.676,3.57,3.696,3.68,3.784,4.193,4.12,4.111,4.176,4.462,4.965,5.203,5.202,5.467,6.108,7.573,8.473,8.362,8.444,9.399,9.685,9.872,9.765,9.985,10.805,11.247,11.06,10.994,10.989,10.947,11.077,11.26,11.47,11.824,12.25,12.619,13.278,14.246
"31","24","    Religious","C309RG3",3.966,3.659,3.196,2.677,2.57,2.796,2.844,3.032,3.527,3.529,3.543,3.614,3.873,4.322,4.676,4.933,5.045,5.923,7.944,8.845,8.604,8.554,9.701,9.952,9.999,9.734,9.894,10.748,11.176,10.861,10.767,10.754,10.72,10.85,11.051,11.28,11.652,12.088,12.466,13.086,14.07
"32","25","    Educational and vocational","W044RG3",3.407,3.147,2.746,2.307,2.215,2.417,2.449,2.614,3.03,3.042,3.039,3.099,3.337,3.719,4.024,4.245,4.373,5.103,6.838,7.613,7.406,7.363,8.35,8.566,8.607,8.379,8.517,9.251,9.62,9.349,9.268,9.257,9.227,9.339,9.512,9.709,10.029,10.405,10.73,11.264,12.111
"33","26","    Lodging","W045RG3",4.195,3.937,3.348,2.87,2.867,3.168,3.159,3.298,3.736,3.704,3.713,3.898,4.19,4.621,4.988,5.087,5.293,6.136,8.019,8.732,8.581,8.563,9.55,9.844,9.974,9.739,10.062,10.775,11.129,10.939,10.819,10.796,10.761,10.907,11.108,11.324,11.694,12.141,12.527,13.206,14.196
"34","27","    Amusement and recreation","W046RG3",4.199,3.941,3.352,2.873,2.87,3.171,3.163,3.301,3.74,3.708,3.717,3.902,4.194,4.626,4.993,5.093,5.299,6.142,8.028,8.741,8.59,8.572,9.56,9.854,9.985,9.75,10.073,10.787,11.141,10.951,10.831,10.808,10.772,10.918,11.12,11.336,11.707,12.154,12.541,13.22,14.212
"35","28","    Transportation","W047RG3",5.638,5.331,4.847,4.553,4.376,4.318,4.28,4.367,4.84,4.688,4.734,4.823,5.093,5.572,5.67,5.519,5.781,6.252,7.512,8.591,8.707,9.161,9.833,10.194,10.692,11.007,11.369,12.267,12.859,13.02,13.259,13.356,13.195,13.195,13.207,13.31,13.531,13.798,14.068,14.81,15.648
"36","29","      Air","W048RG3",4.204,3.945,3.355,2.876,2.873,3.174,3.166,3.305,3.744,3.712,3.721,3.906,4.199,4.63,4.999,5.098,5.305,6.149,8.036,8.75,8.599,8.581,9.57,9.865,9.995,9.76,10.084,10.798,11.153,10.962,10.842,10.819,10.784,10.93,11.132,11.348,11.719,12.166,12.554,13.234,14.226
"37","30","      Land \3\","W049RG3",5.848,5.531,5.038,4.743,4.555,4.484,4.443,4.532,5.02,4.86,4.908,4.997,5.274,5.77,5.868,5.711,5.983,6.462,7.748,8.872,9.001,9.49,10.171,10.547,11.075,11.429,11.805,12.742,13.367,13.566,13.86,13.977,13.791,13.761,13.734,13.817,14.008,14.238,14.485,15.246,16.085
"38","31","    Farm","B316RG3",4.004,3.721,3.199,2.775,2.565,3.162,3.222,3.22,3.312,3.309,3.112,2.865,3.261,4.043,4.791,5.395,5.687,6.553,7.924,8.822,8.582,8.532,9.676,9.926,9.973,9.709,9.869,10.72,11.148,10.833,10.74,10.727,10.692,10.822,11.023,11.251,11.622,12.057,12.434,13.052,14.034
"39","32","    Other \4\","W050RG3",4.68,4.553,4.132,3.522,3.567,4.011,3.972,4.179,4.45,4.508,4.428,4.628,4.92,5.337,5.656,5.709,6.058,6.878,8.3,9.214,9.1,8.632,9.774,10.163,10.182,9.872,9.791,10.704,11.262,11.294,10.995,10.861,10.876,11.122,11.362,11.557,11.844,12.314,12.763,13.683,14.616
"40","33","    Brokers' commissions on sale of structures","B321RG3",5.787,5.482,4.76,4.028,3.881,4.409,4.395,4.668,5.345,5.294,5.199,5.449,5.946,6.774,7.452,7.33,7.703,9.16,11.371,12.663,12.369,12.295,13.896,14.256,14.363,13.947,14.205,15.401,16.068,15.623,15.442,15.432,15.391,15.544,15.834,16.128,16.558,17.27,17.765,18.538,20.294
"41","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RG3",4.911,4.804,4.351,3.543,3.482,3.883,3.833,4.023,4.427,4.572,4.606,4.751,5.193,5.571,6.04,6.633,7.071,7.673,9.207,9.987,10.13,10.385,11.13,11.443,11.527,11.579,11.829,12.147,12.182,12.155,12.181,12.268,12.292,12.318,12.223,12.323,12.68,13.153,13.616,14.345,15.37
"43","36","  Permanent site","B943RG3",4.644,4.543,4.108,3.341,3.294,3.682,3.631,3.813,4.188,4.321,4.355,4.486,4.906,5.268,5.732,6.318,6.73,7.282,8.739,9.49,9.63,9.876,10.586,10.883,10.968,11.022,11.271,11.574,11.618,11.609,11.609,11.687,11.689,11.746,11.636,11.721,12.13,12.644,13.1,13.83,14.7
"44","37","    Single-family structures","B944RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.074,12.074,12.159,12.161,12.223,12.108,12.191,12.611,13.152,13.621,14.381,15.283
"45","38","    Multifamily structures","B292RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.427,10.427,10.473,10.478,10.521,10.422,10.511,10.892,11.339,11.762,12.413,13.2
"46","39","  Other structures","A863RG3",5.29,5.177,4.707,3.841,3.763,4.187,4.138,4.341,4.798,4.973,5.001,5.183,5.655,6.049,6.521,7.133,7.609,8.286,9.941,10.753,10.894,11.158,11.953,12.29,12.366,12.405,12.642,12.98,12.992,12.924,13.015,13.121,13.19,13.142,13.091,13.224,13.432,13.788,14.248,14.951,16.288
"47","40","    Manufactured homes","B945RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.556,36.18,36.624,36.127,37.999,39.35,39.277,38.598,37.012,35.528,35.229,33.89,31.679,30.445,29.298,28.482,24.847,21.939,21.507,21.249,20.154,19.756,19.874,21.273
"48","41","    Dormitories","B295RG3",4.779,4.648,4.288,3.424,3.312,3.8,3.8,3.915,4.309,4.46,4.569,4.733,5.047,5.592,5.613,6.636,6.847,7.454,9.056,9.735,9.941,10.044,10.923,11.227,11.353,11.341,11.64,11.95,12.008,11.949,11.948,12.038,12.042,12.104,11.99,12.085,12.482,13.033,13.468,14.221,15.125
"49","42","    Improvements","B946RG3",4.516,4.417,4.009,3.268,3.22,3.573,3.527,3.706,4.095,4.242,4.27,4.422,4.825,5.163,5.579,6.078,6.499,7.083,8.557,9.285,9.409,9.637,10.333,10.638,10.714,10.765,11.012,11.336,11.388,11.389,11.539,11.686,11.795,11.852,11.958,12.158,12.386,12.837,13.414,14.198,15.458
"50","43","    Brokers' commissions and other ownership transfer costs \5\","B758RG3",4.872,4.78,4.346,3.556,3.467,3.864,3.817,3.993,4.434,4.611,4.606,4.78,5.224,5.575,6.011,6.581,7.022,7.636,9.217,10.009,10.185,10.4,11.146,11.459,11.544,11.629,11.85,12.198,12.242,12.243,12.242,12.319,12.32,12.372,12.283,12.313,12.515,12.929,13.262,13.909,15.281
"51","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures","W040RG3",4.468,4.28,3.901,3.309,3.316,3.449,3.526,3.602,4.033,4.052,4.048,4.146,4.49,4.913,5.337,5.592,5.872,6.481,7.801,8.547,8.611,8.79,9.559,9.822,9.944,9.919,10.128,10.643,10.868,10.774,10.813,10.852,10.835,10.884,10.875,10.995,11.321,11.739,12.132,12.766,13.623
"54","46","    Nonresidential structures \6\","A771RG3",3.834,3.63,3.321,2.882,2.911,2.921,3.058,3.053,3.468,3.402,3.366,3.42,3.661,4.085,4.439,4.538,4.733,5.3,6.405,7.127,7.105,7.195,8.023,8.236,8.398,8.296,8.463,9.187,9.581,9.427,9.48,9.468,9.41,9.483,9.565,9.702,9.983,10.342,10.664,11.2,11.935
"55","47","    Residential structures \7\","A756RG3",4.832,4.726,4.278,3.479,3.428,3.824,3.774,3.962,4.358,4.5,4.535,4.675,5.111,5.486,5.958,6.551,6.985,7.577,9.088,9.857,9.997,10.25,10.985,11.294,11.377,11.426,11.675,11.987,12.022,11.994,12.021,12.107,12.132,12.156,12.062,12.166,12.532,13.006,13.474,14.203,15.177
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","by power utilities for their own use. Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Includes buildings and structures used by the retail, wholesale and selected service industries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Consists of auto dealerships, garages, service stations, drug stores, restaurants, mobile structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","and other structures used for commercial purposes. Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Consists of brokers' commissions on the sale of residential structures and adjoining land, title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","insurance, state and local documentary stamp taxes, attorney fees, title abstract and escrow fees, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","fees for surveys and engineering services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","7. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
