"","Table 1#9#5# Net Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Farm","A365RC1",8.2,6.2,5,3.4,3.6,3.6,5.9,5.3,7.1,5.3,5.1,5.2,7.6,11.6,13.8,13.7,14.3,16.9,17.8,20.6,15.8,16.7,19.3,18.3,16.1,15.5,14.6,14.2,14,16,14.2,15.1,15.2,15.2,15.2,14,16.3,16.9,15.9,16,18.1
"12","5","Households and institutions","W503RC1",7.8,7.3,6.6,5.7,4.9,4.8,4.9,5,5.4,5.4,5.6,5.7,6.1,6.8,7.6,8.4,9.1,9.6,10.4,11.5,12.6,14,15.7,17.5,19.7,21.6,23.8,25.8,28.1,30.8,33.6,37.1,39.6,43,45.9,48.8,52.3,56.5,61,65.7,72.4
"13","6","  Households","W504RC1",6.5,6,5.3,4.5,3.8,3.7,3.7,3.9,4.1,4.1,4.3,4.4,4.6,5.3,5.8,6.4,7,7.1,7.5,8,8.8,10,11.2,12.6,14.4,15.8,17.5,19,20.6,22.4,24.4,26.6,28.5,30.7,32.5,34.3,36.3,38.4,40.8,42.9,46
"14","7","  Nonprofit institutions serving households \3\","W505RC1",1.3,1.3,1.3,1.2,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.6,1.8,2,2.1,2.5,3,3.4,3.8,4.1,4.5,4.9,5.4,5.8,6.3,6.9,7.6,8.4,9.2,10.5,11.2,12.3,13.4,14.6,16.1,18.1,20.2,22.8,26.3
"15","8","General government \4\","A194RC1",4.6,4.8,5,4.7,4.9,5.8,6.2,7.6,7.2,8,8,8.3,10.7,17.8,28.6,35.2,38.3,25.2,19.9,20.3,22.5,24.1,31.9,36.3,37.3,37.8,39.5,41.9,44.7,48,49.8,53.1,56.9,60.7,64.7,70,75.5,85.3,94.5,105.9,116.1
"16","9","  Federal","B568RC1",1.1,1.1,1.1,1,1.3,1.9,2,3.8,3.2,3.7,3.6,3.9,6.2,13.1,23.7,30,32.6,18.6,12.1,11.2,12.4,13.4,20.2,23.4,23.3,22.5,22.9,23.5,24.3,25.3,25.8,26.6,27.7,29.5,30.8,33,34.8,39.8,43.8,48.3,51.4
"17","10","  State and local","B251RC1",3.6,3.7,3.9,3.7,3.6,3.9,4.3,3.8,4,4.3,4.4,4.5,4.6,4.7,4.9,5.2,5.7,6.6,7.8,9.1,10,10.7,11.7,12.9,14,15.4,16.6,18.5,20.5,22.6,24,26.4,29.1,31.2,33.9,37,40.7,45.5,50.6,57.6,64.6
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Equals net domestic product excluding net value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","3. Equals gross value added of nonprofit institutions excluding consumption of fixed capital on fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","assets owned and used by nonprofit instututions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
