"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"13","4","    Net domestic product \2\","A362RC1",215.3,217.5,220.3,229.8,235.4,241.7,247.8,248.7,243.1,239.4,240.9,238.6,248.7,257.9,274.9,285.5,300.1,307.1,313.5,317.5,320.6,321.2,327.1,339.5,346,349,347.9,342.1,341,341,345.3,353.4,366.3,374,381.6,387.2,388.4,393.3,397.2,405.2,413.3,414.4,420.8,415.2,407.3,410.8,423.7,436.6,446.6,459.1,459.4,462.9,476.4,475.1,477.8,472.2,476.4,487.2,497.3,509.8,522.5,529.1,535,537.5,546.2,554.3,566.5,575.3,590.5,599,609.9,614.2,633.7,645.3,661.4,682.6,705,712.8,724.5,736.6,745.8,748.7,762,776.3,801.7,824.4,837.8,852.7,875,887.9,905.7,911.5
"14","5","    Net domestic income \2\","W256RC1",212.6,214.8,218.2,226,234.7,242.9,247.6,249.6,242.3,238.7,238.9,235.2,245.4,257.5,274.3,284.8,296.7,303.7,308.9,315.2,316.9,318.8,325.4,337,343.1,345.8,344.4,336.7,338.2,338.5,341.9,350.5,362.9,372.3,379.6,385.9,389.2,395,399.8,408.3,414.5,416.3,420.2,414.3,408.5,410.3,422.7,434.5,446.6,460.6,457.6,462.7,476.1,476.8,478,476.1,477.8,487.7,497.4,511.9,521,527.8,534.1,541.5,548.5,557.7,566.1,576,588,598.3,609.5,618,635.9,646.9,658.6,678.4,698.5,708.3,719.7,731.9,738.3,745.1,759.9,775.9,796.6,817.7,836.5,853,869.4,886,904.9,913.4
"15",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","6","    Gross national product","A001RC1",244.1,247.4,251.2,261.5,267.6,274.4,281,282.1,276.8,273,274.5,272.1,282.4,292.1,310.1,321.9,337.9,346.3,353.8,358.7,362.2,363.4,370.1,383.2,390.4,394.3,393.5,388.3,387.9,388.7,393.6,402.7,416.2,424.6,433.4,440.3,443.3,449.6,454.9,463.8,473.7,476.2,483.5,478.2,471,475.5,489.3,503,513.6,526.8,528,532.4,546.3,545.7,549.2,544.4,549.5,560.8,571.7,585.2,598.8,606.6,613.6,617.9,627.2,636.2,649.4,659.5,676.2,685.6,697.9,703.1,724.7,738,755.4,777.9,802.3,812.2,825.8,840.1,851.3,856.1,872.3,888.8,917,942.3,958.6,976.4,1001.8,1017.5,1038,1046.8
"17","7","    Gross national income","A023RC1",241.3,244.6,249.1,257.7,266.9,275.5,280.8,283,275.9,272.4,272.5,268.7,279.1,291.6,309.5,321.3,334.5,342.9,349.2,356.4,358.5,361.1,368.4,380.6,387.5,391.1,390,382.9,385.2,386.2,390.2,399.8,412.8,422.9,431.4,439,444.2,451.4,457.5,466.9,474.9,478.1,482.9,477.3,472.2,475,488.2,500.9,513.6,528.3,526.2,532.1,546,547.3,549.4,548.3,550.9,561.3,571.8,587.2,597.3,605.3,612.7,621.8,629.5,639.6,649,660.2,673.6,684.9,697.5,706.9,726.9,739.7,752.6,773.7,795.8,807.7,821,835.5,843.8,852.5,870.2,888.4,911.9,935.6,957.3,976.7,996.2,1015.6,1037.1,1048.6
"18","8","    Net national product \2\","A027RC1",216.3,218.6,221.4,231,236.8,243.2,249.3,250.2,244.5,240.7,242.2,239.7,250,259.3,276.5,287.1,301.6,309,315.5,319.7,322.6,323.2,329.1,341.5,347.9,351.1,349.7,344,343,343,347.4,355.7,368.7,376.4,384,389.7,391.2,396.1,400.1,407.8,416.4,417.8,424.1,417.8,409.9,413.5,426.3,439.2,449.2,461.7,462.3,466,479.3,478.1,481,475.6,480,490.6,500.8,513.4,526.1,533.1,539.1,542.3,550.7,558.7,570.9,579.9,595.6,603.9,614.9,618.9,639.1,650.9,666.7,687.4,710,717.9,729.5,741.8,751,753.8,767.7,781.9,807.5,830.4,844.1,859,881.3,894.1,911.7,917.5
"19","9","    National income \3\","A032RC1",213.6,215.9,219.3,227.2,236.1,244.3,249.1,251,243.6,240.1,240.2,236.3,246.7,258.8,275.9,286.4,298.2,305.6,310.9,317.4,318.9,320.9,327.4,338.9,345,347.8,346.2,338.6,340.2,340.5,343.9,352.9,365.3,374.7,382.1,388.4,392.1,397.9,402.7,410.9,417.6,419.7,423.4,416.9,411.1,413,425.3,437.1,449.2,463.2,460.5,465.7,479.1,479.8,481.2,479.4,481.4,491.1,500.9,515.5,524.6,531.8,538.2,546.2,553,562.1,570.6,580.6,593,603.1,614.5,622.7,641.3,652.6,663.8,683.2,703.5,713.4,724.7,737.2,743.5,750.2,765.6,781.5,802.5,823.7,842.8,859.3,875.7,892.1,910.8,919.4
"20",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10","    Gross domestic purchases","A712RC1",232.2,235,238.3,251,258.9,267.7,274.5,276.2,268.9,265.4,268.1,268,279,289.1,309.3,320.5,336.2,342.5,348,352.4,356.5,359.5,368.1,382.3,389.1,393.5,392.2,386.9,386.3,386.5,391,399.2,412.6,422.4,430.2,437.5,440.1,444.9,449.4,456.8,465.8,468.7,476.3,472.3,467.3,472.3,485.8,500.6,510.7,524.2,524.6,528.7,540.6,538.5,541.8,535.3,540.2,551.9,564.3,577.2,591.2,596.8,605.7,610.3,618.8,625.3,641,649.4,663.9,673.7,686.4,691.5,714.6,724.9,745.3,767.6,792.9,801.9,818.6,831.3,841.5,846.5,863.7,881,910,934.4,951.1,969.1,995.2,1010.1,1031,1037.4
"22","11","    Final sales to domestic purchasers \4\","A713RC1",231.7,236.2,241.3,249.6,255.3,261.8,267.4,270.2,268.5,270.6,269.4,272.7,277,286.3,305.1,306.4,325.8,327.7,338.3,347.7,351.7,361,362.5,377,385.2,389.9,389.9,388.9,388.2,389.8,393.1,399.5,408.8,417.8,425.9,430.3,433.7,441.3,445.8,454.5,463.6,466.1,473.5,476.8,471.3,476.6,484.3,495.4,506.8,516.9,524.2,524.6,529.4,535.3,537.5,541.1,542.7,550.1,557.7,571.2,581.8,591.3,599.5,607,611.9,620.5,635.3,644.4,658.8,669.2,681.7,686.5,703.1,716.3,736,760,779,789.6,806.7,814.8,826.1,840.2,854.5,872.5,901.6,920.3,943.4,963.1,983.8,1000.9,1020.8,1031.6
"23","12","    Final sales to private domestic purchasers \5\","LA0000031",191.6,195.9,201.5,209.6,214.1,218.7,222.6,223.4,219.7,220,218.8,222.6,227.8,236.4,255.1,252.5,263.6,257.7,260,264.1,266.5,271.8,271.4,283.3,289.2,291.8,293.1,291.9,293.1,297,301.7,307.9,316.7,324.9,331.5,336.7,338.5,342.7,347.2,352.8,357.9,359.9,365.7,366.4,361.1,362.5,368.8,377,389.2,398,404.3,405.6,412,416.5,414.6,416.2,415.9,422.3,427.1,437,444.1,452.3,456.8,462.8,467.5,475.7,484.7,492.6,505.5,514.1,524.9,529.5,545.3,555.7,568.4,586.5,601.1,607,616.3,620.1,622.5,635.4,645,658.2,680.7,695.5,714.7,730.4,748.7,762.7,776.9,787.3
"24",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","13","    Disposable personal income","A067RC1",171,170.4,178,179.8,185.4,193.2,199.4,199.9,194.4,194.2,194.3,195.2,209.9,210.2,217.3,222.6,229.9,237,240,242.7,243.6,246.6,253.2,259.1,263.3,267.1,267.3,267.6,270.3,270.2,272.2,277.1,282.5,289.1,295.5,299.8,304.1,309.1,313.7,320.3,324.2,328.5,333,332.7,334.2,337.1,344.1,348.2,353.6,360.7,362.4,366.9,371.8,376.1,378.2,379.7,384.1,390,396.6,404.7,410.3,416.1,419.4,424.3,429.2,433.8,440.7,449.5,460.6,474,481.7,488.8,496.2,504.3,520.1,532.2,541.6,547.5,558.4,569.3,579.5,586.7,597.7,607.2,624.1,640.9,649.1,660.8,668.7,684.8,707.9,721.7
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. The arithmetic average of gross domestic product and of gross domestic income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. In this table, net measures are the corresponding gross measures excluding the depreciation of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","3. Equals gross national income less the depreciation of fixed assets as measured by the consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","4. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","5. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
