"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","Less: Income payments to the rest of the world","A655RX1",4.1,4,3.8,4.5,4.2,4.2,5,4.4,5.1,5,5.1,5.2,5.4,5.5,5.7,5.7,6.1,6.2,6.1,6,5.8,6.2,6.3,6.5,6.4,6.4,6.6,6.9,6.7,6.7,6.6,6.6,6.8,7.4,7.5,7.5,7.5,7.3,7.7,7.7,7.7,7.7,7.9,7.9,8.1,7.5,7.9,8.3,8.7,9.1,9.6,10.2,11.3,10.9,10.8,10.4,10.6,10.6,11,11.3,10.8,11,11.1,11.2,11.4,11.9,12.5,12.9,13.1,13.4,13.4,14.1,14.2,14.5,14.9,15.3,15.5,15.8,16.9,17.3,17.3,17.3,17.2,18,19.1,20.3,20.8,21.1,23.3,25.9,29,30.1
"12","4","Equals: Gross national product","A001RX1",1947,1945.3,1943.3,1974.3,2004.2,2037.2,2048.6,2050.8,2022.4,2015.3,2037,2017.7,2098.4,2162.2,2247.3,2290.3,2320.9,2363.2,2412.2,2418.4,2442.9,2448,2465.4,2545.5,2592.3,2613.3,2597.1,2557.9,2547.3,2549.9,2578.8,2630.7,2705.7,2749.1,2786.1,2803.1,2794.3,2817,2815.2,2858.5,2879.9,2875.1,2902,2868.1,2794.6,2813.2,2877.3,2944,2998.3,3070.8,3066.2,3079.3,3146.8,3135.3,3143.9,3107.2,3129.4,3186,3239.3,3305,3364,3402.1,3434.5,3451.4,3488.2,3532.3,3601.2,3627.6,3707.9,3750.5,3801.9,3813.2,3910.3,3964.3,4042,4133.9,4236.3,4253.6,4283,4320.7,4359.8,4362.8,4403.1,4437.4,4527.7,4604.2,4638.1,4658.4,4730.4,4744.3,4772.4,4751.7
"13","5","Less: Consumption of fixed capital","A262RX1",190.7,192.2,193.2,193.1,192.6,192.4,192.6,192.9,193.8,194.4,195.3,195.9,196.8,198,199.3,201.1,203,205.2,207.5,210,212.6,215.4,218.4,221.5,224.8,228.1,231.2,234.2,237.5,240.3,243.1,245.7,248.5,251.3,254.1,256.7,259.7,262.6,265.5,268.2,271.1,274,277.2,280.6,284.2,287.5,290.4,292.9,295,297.1,299.2,301.5,303.8,306.1,308.8,311.6,314.7,317.8,320.9,324.1,327.7,331.1,334.8,338.7,342.8,346.7,350.8,355,359,363.3,367.8,372.5,377.4,382.7,388.2,393.8,399.8,405.8,411.8,417.9,423.9,430,436,441.9,447.7,453.7,459.7,465.7,472,477.9,483.6,489.1
"14","6","  Private","A024RX1",111.6,113.8,116,118.4,120.8,123.1,125.3,127.2,129,130.7,132.5,134.2,136,137.8,139.6,141.4,143.2,144.9,146.5,147.8,149.1,150.4,151.9,153.6,155.5,157.3,159.1,160.9,162.6,164.4,166.3,168.2,170.1,172.2,174.2,176.4,178.5,180.6,182.7,184.6,186.5,188.5,190.8,193.3,196,198.3,200.2,201.7,202.7,203.8,204.8,205.9,206.9,208.1,209.6,211.2,213.1,214.9,216.8,218.7,220.7,222.7,225,227.4,230,232.6,235.3,237.9,240.6,243.6,246.8,250.2,254,257.9,262.1,266.5,271.1,275.6,280.1,284.4,288.7,293,297.2,301.4,305.5,309.8,314.3,318.9,323.8,328.5,333,337.4
"15","7","  Government","A264RX1",85.8,85.1,83.6,80.8,77.5,74.6,72.2,70.4,69.3,68,66.9,65.4,64.4,63.6,62.9,62.8,62.8,63.3,64.1,65.4,66.9,68.5,70.1,71.8,73.4,75,76.4,77.8,79.5,80.6,81.6,82.4,83.2,84.1,84.8,85.3,86.1,86.9,87.8,88.6,89.7,90.6,91.6,92.6,93.5,94.5,95.6,96.7,97.9,99.1,100.3,101.7,103.1,104.4,105.7,107,108.3,109.7,111,112.5,114.3,115.7,117.3,119,120.5,122,123.5,125.2,126.6,128,129.4,130.6,131.9,133.2,134.6,135.8,137.3,138.7,140.4,142.2,144,145.9,147.8,149.6,151.3,153.1,154.7,156,157.5,158.6,159.8,160.9
"16","8","    General government","A265RX1",80.8,80.1,78.6,75.8,72.6,69.7,67.4,65.6,64.4,63.1,62,60.6,59.5,58.7,57.9,57.8,57.8,58.2,59,60.2,61.6,63.1,64.6,66.2,67.8,69.3,70.6,72,73.5,74.6,75.5,76.2,77,77.8,78.4,78.9,79.6,80.4,81.2,81.9,82.9,83.7,84.6,85.5,86.4,87.3,88.3,89.3,90.4,91.5,92.7,93.9,95.2,96.4,97.6,98.8,100.1,101.3,102.5,103.8,105.5,106.8,108.3,109.8,111.2,112.6,114,115.6,116.9,118.1,119.4,120.5,121.6,122.9,124.1,125.2,126.5,127.8,129.3,131,132.6,134.5,136.2,137.8,139.4,141,142.5,143.6,144.9,145.8,146.9,147.9
"17","9","    Government enterprises","A266RX1",3.9,3.9,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.7,4.7,4.8,4.8,4.9,5,5.1,5.1,5.2,5.2,5.3,5.4,5.4,5.5,5.5,5.6,5.6,5.7,5.8,5.8,5.9,6,6,6.1,6.2,6.3,6.3,6.4,6.5,6.5,6.6,6.7,6.8,6.9,6.9,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.9,9,9.1,9.2,9.3,9.5,9.6,9.7,9.8,9.9,10.1,10.2,10.3,10.5,10.6,10.8,10.9,11.1,11.3,11.4,11.6,11.8,11.9,12.1,12.2
"18","10","Equals: Net national product","A027RX1",1777.4,1773.8,1770.5,1802.7,1834.1,1868.5,1880.1,1881.9,1851.4,1843.3,1864.6,1844,1926.5,1991.2,2077.7,2120.2,2149.5,2190.6,2238.6,2241.8,2263.9,2265.6,2279.7,2359,2403.4,2421,2400,2355.4,2340.1,2339.1,2365.6,2416.1,2490.5,2532,2566.8,2581.1,2568,2587.8,2582.1,2623.7,2642.2,2633.2,2657,2617,2535.5,2550.6,2613.5,2679.8,2733.6,2806.4,2798.8,2809.4,2876.7,2861.6,2867.1,2825.1,2844.2,2899.1,2950.5,3014.6,3071.3,3106.5,3135.3,3147.8,3180.8,3221.5,3287.8,3309.8,3387.9,3426.7,3474.2,3480,3574.4,3623.7,3697.3,3785.5,3883.9,3894.2,3917.1,3948.5,3981.4,3976.9,4011.1,4039.2,4125.4,4197.2,4224.6,4238.2,4304.8,4311.9,4333.9,4305.6
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income (GDI) \1\","A261RX1",1912.5,1910.9,1914,1932,1984.4,2030.2,2031.5,2041.6,2001.5,1995.9,2007.9,1979.6,2060.1,2144.4,2225.9,2268.9,2281,2321.3,2362,2382.7,2398.3,2412.6,2435,2509.5,2554.3,2572.2,2555.7,2504.1,2510.1,2514.5,2537.1,2590.5,2661.6,2716,2751.5,2772.6,2775.4,2803.8,2806.7,2854.9,2862,2859.5,2872.2,2841.1,2779.9,2787.8,2849.4,2909.9,2976.5,3057.4,3032.8,3053.8,3121.9,3120.6,3120.2,3103.1,3109.9,3162.4,3213.2,3289.1,3328.6,3365.7,3399.9,3440,3469.1,3519.8,3567.5,3598.6,3658.6,3712.2,3764.7,3800.7,3885.5,3935.6,3991,4078.5,4167.8,4195.4,4224.3,4261.5,4286.5,4310.1,4355.4,4399.4,4465.6,4533.9,4593.1,4621.4,4665.4,4697.6,4732.4,4723.9
"21","12","  Average of GDP and GDI \2\","LB0000091",1923.5,1921.6,1922.1,1946.3,1987,2026,2032.3,2038.5,2004.5,1998.3,2015.3,1992.1,2072.3,2146,2228.1,2271.2,2292.8,2332.9,2377.3,2390.4,2410.9,2420.5,2440.5,2518,2563.8,2582.8,2567.3,2522,2519.1,2522.6,2548.2,2599.9,2672.7,2721.7,2757.8,2776.7,2772.7,2798.3,2798.6,2845.6,2858.2,2853.8,2874.1,2843.7,2776.3,2789.4,2852.5,2916.1,2976.6,3053.2,3038,3054.5,3122.5,3116,3119.6,3092.2,3106.1,3161.2,3212.8,3283.4,3332.7,3369.1,3402.4,3429,3462.6,3510.5,3568.5,3596.8,3665.7,3714.4,3765.8,3790.5,3879.5,3930.9,3998.6,4089.5,4184.8,4207.3,4236.7,4273.6,4305.7,4319.4,4360.8,4400.3,4478.2,4550.2,4596.2,4620.5,4678.5,4702.2,4734.3,4719.7
"22","13","  Gross national income \3\","A023RX1",1925,1923.9,1926.9,1945.6,1999.2,2045.6,2046.9,2057.1,2016.3,2010.3,2022,1992.7,2074,2159.1,2242.7,2285.8,2297.3,2340,2381.2,2403,2417.7,2432.1,2454.2,2528.7,2573.3,2592.1,2573.7,2522.3,2529.3,2533.5,2556.4,2611.9,2683.4,2737.7,2773.4,2794.9,2799.7,2828.1,2831.4,2877.2,2887.3,2886.4,2898.2,2862.8,2801.9,2810,2871.3,2931.5,2998.2,3079.3,3055.7,3078,3145.4,3144.7,3145.1,3129.2,3137,3188.6,3239.7,3316.5,3355.8,3395,3429.6,3473.3,3501.3,3551.1,3599.2,3631.4,3693.7,3746.4,3799.6,3833.8,3922.3,3973.5,4026.8,4111.7,4202.1,4229.8,4258.1,4296.7,4321.4,4344.2,4392.4,4435.7,4502.8,4571.6,4631.8,4659.9,4704.1,4735.3,4768.7,4760.2
"23","14","  Net domestic product","A362RX1",1764.7,1760.6,1757.3,1788.8,1819.2,1852.8,1864.4,1866.1,1836.3,1828.5,1850.2,1830.7,1912.4,1976.3,2060.5,2102.9,2132.7,2171.5,2218.7,2221,2244,2245.6,2260,2339.4,2384,2400.7,2381.5,2336.8,2320.5,2319.6,2345.8,2394.2,2468.1,2509.8,2544.4,2558.2,2543.1,2563.1,2556.9,2600.9,2616.2,2605.6,2630.3,2595,2513.2,2528,2591.4,2657.7,2711.6,2784.2,2775.3,2784.7,2852.6,2837.1,2841.7,2798.7,2816.5,2872.5,2923.3,2986.7,3043.5,3076.5,3105,3113.7,3148,3189.7,3255.4,3276.4,3352,3391.9,3438.4,3446.4,3536.7,3584.9,3660.7,3751.5,3848.7,3859,3882.6,3912.6,3945.8,3942.1,3973.3,4002.3,4087.6,4158.6,4185.1,4198.8,4265.2,4273.6,4296.9,4268.7
"24","15","  Net domestic income \4\","W256RX1",1742.1,1738.7,1740.4,1759.2,1814,1861.4,1862.6,1872.7,1830,1823.4,1834.8,1804.7,1887,1973,2055.9,2098.3,2108.2,2147.4,2186.6,2204.8,2217.9,2229,2248.4,2321.9,2364.1,2378.5,2357.3,2299.9,2301.9,2302.8,2322.5,2374.7,2445,2498,2531.3,2549.7,2548.7,2574.6,2573.7,2620.4,2623.8,2617.3,2626.4,2589.3,2520.7,2524.7,2585.1,2644.9,2711.4,2793,2764.5,2783.4,2851.3,2846.9,2843,2821.5,2824.4,2875.2,2923.8,2998.7,3035.2,3069.1,3099.8,3136.5,3161.5,3209.1,3253.3,3280.4,3337.3,3387.7,3436.1,3467.7,3549.2,3594.3,3644.9,3728.4,3813.4,3834.5,3856.9,3887.9,3906.1,3923,3962.2,4000.5,4061.8,4124.8,4178.6,4200.4,4238,4264.4,4292.9,4277.5
"25","16","  Net domestic purchases","W367RX1",1716.2,1715.1,1712,1765.5,1811.1,1860.8,1873.7,1878.4,1832.2,1824.2,1853.6,1849.3,1936.2,2004.4,2106.8,2142.8,2168.4,2193.5,2229.3,2230.2,2258.2,2273.8,2304.1,2393.9,2438.3,2460.3,2436,2388.4,2370.1,2364.1,2387.7,2433,2510.4,2562,2591.7,2609.6,2593.4,2604.3,2594.4,2627.1,2642.4,2637.4,2664.6,2633.3,2565.9,2585.6,2648.2,2723,2773,2849.3,2837,2847,2904,2879.1,2883.9,2829.9,2848.7,2909.9,2971.6,3034.9,3097.8,3118.7,3160,3174.4,3202.2,3228.3,3309.7,3321.7,3387.3,3428.4,3481.8,3488.4,3597.6,3630.8,3721.9,3808.6,3917.1,3922.9,3966.8,3992.7,4025.6,4022.2,4062.6,4097,4190.8,4262.5,4289.5,4304.7,4379.9,4382.5,4409.5,4368.8
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","price deflator for GDP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","3. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","4. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated as the product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","of the chain-type quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
