"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","13","  Gross national income \3\","A023RX1",1059.4,981,904.2,791.2,777,862.7,948.1,1051.2,1122.1,1076.5,1155.1,1259.7,1495.2,1790.6,2101.7,2224,2189.2,1960.7,1930.3,2037.2,2010.4,2190.4,2355.4,2458.3,2565.3,2557.7,2747.4,2834.1,2883.6,2853.6,3052.9,3141.1,3220.5,3413.4,3570.7,3768.4,4008.5,4246.7,4373.5,4591.7,4742.3
"22","14","  Net domestic product","A362RX1",963.9,870.4,807.5,691.3,683.8,771.4,849.4,971.6,1023.3,983.2,1070.1,1172.5,1395.8,1669.8,1955.6,2096.1,2054.3,1787.2,1767.9,1850.6,1836.4,2013,2186,2272.2,2375.7,2345,2520.1,2566,2611.8,2572.6,2763.9,2832.6,2899.8,3084.7,3217.4,3407.1,3633.4,3875.7,3965.9,4157.5,4276.1
"23","15","  Net domestic income \4\","W256RX1",956.4,875.1,798.8,687.7,676.7,766.5,852.5,956.5,1024,974.6,1053.6,1158.9,1392,1679.9,1975,2070,2016,1776.4,1745,1852.7,1823.2,2003.6,2161.8,2254.4,2349.9,2325.5,2506,2579.4,2614.1,2568.9,2763,2840.6,2905.5,3085.1,3226,3407.2,3629.1,3848.1,3948.1,4141.7,4268.3
"24","16","  Net domestic purchases","W367RX1",983.7,891,828.8,711.1,704.4,792,880.1,1003.8,1052.1,1000.4,1088.9,1187.8,1426.6,1728.4,2045.7,2190.8,2131.7,1768.9,1727.2,1856,1839.8,2047.6,2205.3,2307.5,2430.7,2388.7,2568.4,2604.8,2644.4,2630.7,2826.6,2874.3,2941.3,3137.8,3265.5,3446.5,3689.7,3949.9,4051.9,4261.9,4385.2
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","price deflator for GDP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","3. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","4. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated as the product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","of the chain-type quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
