"","Table 1#9#4# Price Indexes for Net Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","  Farm","A365RG3",149.265,149.389,150.598,181.172,314.906,297.083,241.116,232.958,215.283,269.672,292.446,234.885,209.963,170.911,206.201,220.251,161.571,154.59,158.445,181.077,193.091,186.459,161.09,155.06,156.499,147.74,152.214,186.437,150.576,138.492,110.715,94.905,109.342,95.046,112.578,140.748,108.681,98.889,150.786,151.316,100,123.903,182.845,188.622,193.267,170.437
"12","5","Households and institutions","W503RG3",13.614,14.598,15.431,16.149,16.971,17.748,18.835,20.248,21.821,23.363,25.058,27.544,30.609,33.205,35.496,37.821,39.636,41.774,44.073,46.346,48.397,51.171,53.653,55.951,56.955,58.811,60.783,62.867,64.617,66.835,69.655,71.724,74.59,78.333,80.608,82.825,84.327,87.716,91.372,95.493,100,100.101,101.966,104.167,105.675,107.887
"13","6","  Households","W504RG3",16.308,17.104,17.841,18.416,19.033,19.472,20.57,22.042,23.801,25.023,26.721,29.201,32.774,36.254,38.927,41.197,42.595,45.268,47.456,49.894,52.276,55.618,57.877,59.862,61.125,62.65,64.881,67.26,69.406,72.147,74.222,75.945,78.671,82.357,83.286,83.741,83.977,86.296,90.435,94.862,100,99.777,101.309,103.41,104.041,105.043
"14","7","  Nonprofit institutions serving households \3\","W505RG3",10.574,11.778,12.729,13.622,14.696,15.886,16.972,18.333,19.701,21.631,23.34,25.856,28.357,29.97,31.849,34.237,36.51,38.065,40.485,42.583,44.292,46.492,49.17,51.751,52.497,54.664,56.367,58.142,59.485,61.17,64.723,67.144,70.155,73.954,77.653,81.787,84.728,89.381,92.467,96.232,100,100.479,102.729,105.044,107.544,111.145
"15","8","General government \4\","A194RG3",11.204,12.386,13.607,14.885,15.849,16.697,18.105,19.175,20.458,21.842,23.411,25.399,27.82,29.888,31.747,33.892,35.839,37.414,39.098,41.068,43.468,45.956,48.765,51.761,53.452,55.308,56.883,58.388,60.131,62.16,65.308,68.353,71.641,75.031,79.205,83.68,87.354,91.078,94.953,98.212,100,103.474,105.438,106.834,109.148,111.584
"16","9","  Federal","B568RG3",11.408,12.927,14.503,16.233,17.376,18.165,19.532,20.556,21.715,23.088,24.505,26.506,29.215,31.453,32.437,34.338,35.953,37.037,37.598,39.83,41.367,42.775,45.472,47.824,48.829,50.497,52.32,53.958,55.726,57.298,59.919,62.754,65.238,71.364,78.196,82.671,88.2,92.259,96.564,98.917,100,103.998,106.087,106.664,107.925,110.326
"17","10","  State and local","B251RG3",11.093,12.03,13.014,14.009,14.865,15.736,17.149,18.229,19.558,20.929,22.552,24.505,26.751,28.707,30.98,33.221,35.311,37.108,39.316,41.136,43.907,46.855,49.682,52.926,54.887,56.804,58.278,59.73,61.462,63.635,66.945,70.054,73.586,76.153,79.516,83.99,87.086,90.706,94.451,97.987,100,103.297,105.218,106.901,109.578,112.026
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Equals net domestic product excluding net value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","3. Equals gross value added of nonprofit institutions excluding consumption of fixed capital on fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","assets owned and used by nonprofit instututions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
