"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225"
"114","106","        Children's and infants' clothing (12)","DCICRC0",283,288,288,293,297,306,305,308,312,314,319,327,324,329,336,347,359,377,389,382,380,372,375,389,416,440,468,495,497,492,493,499,515,536,555,565,577,586,626,662,713,762,817,861,916,964,968,968,901,860,844,879,941,1026,1125,1212,1262,1289,1337,1424,1537,1647,1738,1734,1783,1842,1908,1959,2045,2112,2208,2279,2384,2398,2469,2613,2736,2955,3103,3225,3256,3355,3523,3642,3718,3775,3971,4180,4373,4495,4690,4770,4966,5005,5154,5266,5282,5461,5536,5726,5824,6023,5950,6073,6172,6258,6392,6473,6581,6700,6777,6781,6907,6989,7090,7098,7254,7479,7721,7975,7738,8013,8064,8059,8086,8032,8075,8013,8079,8113,8106,8091,8230,8173,8217,8329,8266,8446,8458,8532,8594,8677,8802,8948,8841,8917,9071,9022,8983,9107,9200,9239,9243,9197,9443,9561,9764,9969,9976,10163,10520,10676,10836,11037,11110,11307,11473,11824,11746,11814,11875,12082,12287,12260,12196,12285,12294,12930,13461,13641,14024,13902,13993,14423,14965,15353,15431,16018,16294,16576,16737,17058,17361,17337,17852,17968,18065,18143,17884,17346,17101,16934,17029,17167,17750,17652,17593,17850,18254,18639,18533,18683,18789,18757,19029,19094,19309,19088,19102,19019,18683,19053
"115","107","      Other clothing materials and footwear (13 and 17)","DOCCRC0",5073,5197,5201,5289,5322,5404,5369,5217,5279,5352,5420,5557,5620,5625,5666,5702,5683,5657,5736,5721,5925,6075,6074,6107,6130,6158,6320,6596,6913,7003,7062,7114,7244,7328,7383,7461,7890,8058,8333,8283,8358,8732,9137,9190,8768,8719,8838,9006,9214,9396,9435,9592,9711,10115,10408,11058,11336,11376,11484,11542,11664,11804,11706,11213,11553,11917,12119,12261,12603,12748,13188,13412,14169,13861,14131,14807,15159,16193,16356,17234,17333,17705,18515,19037,19107,19282,19864,20656,21426,21817,21921,21986,22129,21372,21792,21922,22260,22949,23289,23929,24271,24346,24405,24867,25294,26037,25870,26243,26944,27625,27927,28199,29224,29321,29616,30081,30250,30716,31651,32716,32966,34358,34572,34866,35215,35126,35446,35283,35135,35294,35290,34825,36488,36564,36950,37249,37149,37897,38442,39175,39670,39596,40354,41035,40130,41204,41468,41803,42510,43327,43305,43504,43610,43810,44557,45048,45898,46455,46614,47738,48634,49169,49423,49531,50193,50667,51114,51259,50634,50921,50578,50477,50945,50873,50256,51236,50863,51798,53890,53969,54917,54655,55054,56033,57379,59022,59204,61489,62208,62512,63596,64504,64745,64888,65298,64958,64399,66801,65546,62523,62037,61279,62402,62879,64494,64727,65073,66625,67476,68838,69503,70465,72247,71476,72560,72550,73348,74091,73812,74287,73736,74892
"116","108","        Clothing materials","DCSMRC0",772,790,781,782,775,777,761,759,767,772,783,806,807,823,829,830,829,837,835,799,796,776,763,765,786,805,833,864,877,872,858,833,817,808,803,796,833,857,886,880,886,881,878,871,862,863,889,962,1022,1115,1186,1257,1304,1358,1420,1470,1513,1521,1520,1548,1622,1678,1681,1582,1526,1483,1485,1527,1659,1783,1888,1924,1924,1883,1881,1951,1910,2041,2021,2089,1945,1957,2019,2088,2225,2120,2188,2275,2345,2270,2261,2326,2368,2375,2481,2611,2570,2599,2553,2535,2728,2723,2732,2751,2741,2747,2825,2927,3048,3130,3032,3017,3208,3435,3426,3444,3485,3465,3570,3654,3510,3594,3869,3622,3605,3605,3559,3633,3654,3693,3679,3508,3639,3732,3564,3637,3521,3688,3675,3708,3630,3502,3534,3413,3344,3280,3235,3272,3572,3317,3300,3327,3164,3191,3284,3198,3229,3436,3360,3515,3669,3668,3758,3808,3949,4132,4084,3980,4066,4078,4245,4482,4498,4540,4585,4761,4492,4509,4529,4415,4583,4436,4480,4421,4317,4301,4259,4239,4259,4065,4098,3928,3944,3904,3625,3587,3553,3704,3710,3701,3617,3581,3595,3707,3760,3714,3781,3775,3789,3880,3878,3833,3872,3893,3886,4101,4253,4336,4368,4130,4078,4220
"117","109","        Standard clothing issued to military personnel","DMICRC0",56,52,48,48,48,48,48,48,48,48,52,72,84,84,60,48,56,60,68,72,72,68,60,56,60,56,80,108,144,164,172,176,180,188,196,204,213,221,202,180,180,177,171,168,164,160,160,160,152,140,100,80,63,67,72,78,89,88,86,85,87,93,100,107,113,113,115,114,114,116,125,121,119,128,118,119,108,120,120,120,144,144,144,148,156,156,156,164,144,136,136,144,156,156,156,156,169,178,183,182,174,168,160,153,143,139,138,139,149,152,155,156,154,155,155,156,157,159,162,165,173,173,171,166,155,150,148,150,152,164,181,203,240,262,278,288,288,287,285,284,286,286,286,286,288,287,287,286,282,284,288,295,309,315,318,318,314,311,306,300,291,288,290,295,309,319,327,334,338,341,344,348,345,359,388,425,472,479,473,461,399,343,302,287,318,344,365,379,377,380,394,420,429,425,427,433,425,417,421,438,453,456,452,441,424,408,395,385,377,369,362,354,347,346,352,365,383,394,395,388,373,362
"118","110","        Shoes and other footwear","DSHURC0",4246,4355,4372,4460,4499,4579,4560,4410,4464,4532,4584,4679,4729,4718,4777,4824,4798,4760,4833,4849,5057,5231,5250,5286,5283,5297,5407,5624,5892,5967,6032,6105,6247,6332,6384,6461,6844,6979,7245,7223,7292,7674,8088,8150,7742,7696,7789,7884,8040,8141,8149,8255,8344,8690,8917,9510,9734,9767,9878,9909,9955,10032,9925,9524,9913,10321,10519,10619,10829,10849,11175,11367,12126,11850,12132,12737,13141,14032,14214,15025,15243,15604,16352,16801,16726,17006,17519,18217,18937,19411,19524,19516,19605,18840,19155,19156,19521,20172,20554,21212,21368,21456,21512,21963,22410,23151,22907,23176,23747,24342,24740,25026,25861,25731,26034,26481,26608,27092,27920,28896,29283,30590,30531,31077,31455,31371,31739,31500,31329,31437,31430,31114,32609,32571,33109,33324,33340,33922,34481,35183,35755,35807,36534,37336,36499,37636,37946,38245,38657,39727,39718,39882,40137,40304,40955,41532,42355,42709,42949,43923,44674,45213,45375,45428,45935,46216,46703,46945,46229,46502,45989,45647,46102,45973,45283,46050,45899,46810,48888,49093,49935,49876,50272,51325,52744,54376,54580,56871,57572,58067,59104,60156,60373,60559,61246,60939,60421,62680,61415,58384,57968,57242,58355,58731,60311,60605,60896,62465,63310,64589,65263,66278,68029,67237,68322,68084,68712,69361,69048,69769,69286,70310
"119","111","    Gasoline and other energy goods","DGOERC0",15127,15276,15208,15548,15496,15861,15917,15962,15756,15729,15729,15677,16064,16197,16127,16875,17126,16746,16863,16954,17194,17434,17937,18072,18296,18937,19435,19858,19886,20432,20965,21339,21451,21812,21886,22355,22978,22978,23442,23469,24261,25029,25057,25525,25858,26098,26333,26854,27385,27354,27742,28106,28337,28366,29506,31364,32524,33454,34235,37087,39208,44174,45647,46369,45652,46948,49400,50079,51134,51593,53228,56097,56562,57323,57900,59482,60205,60596,61166,63846,68799,75076,86106,91569,101649,102881,100975,102086,113447,114406,112599,113319,111964,106083,108679,106674,102964,105309,109281,108270,108041,109584,106991,108186,108140,111509,111049,111428,106606,89533,84804,83822,91653,96230,97925,99667,98420,99618,100873,100492,103503,116218,110673,111361,116415,113800,125454,141128,124728,119582,119775,120428,120106,124100,126849,128976,128645,126443,125055,127385,127371,124823,132233,132495,134528,135756,132615,130719,139096,147835,143460,148590,152162,144325,146479,147678,136162,131763,132056,129438,126320,144155,153402,162302,174890,183586,189354,190232,185857,190330,179817,155939,148530,168102,173329,181638,207879,180005,196829,200933,218625,224600,231159,256546,257393,256443,308413,312830,305918,325877,345764,301039,314476,344062,348024,375624,395482,420806,442393,297910,249448,262380,304834,321338,328462,317612,326921,360665,392703,418258,416920,410352,412955,411746,417084,420140,415950,397596,412578,407122,407129,409500
"120","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC0",10945,11210,11249,11720,11583,12099,12184,12150,12031,11863,12080,12061,12342,12519,12519,13008,12976,12878,12922,13032,13341,13486,13685,13776,14151,14680,14877,15296,15510,15872,16229,16517,16678,16978,17217,17527,18106,18303,18859,18972,19643,20559,20641,20997,21365,21812,21965,22543,22822,22720,23277,23781,23841,23649,24463,25671,26856,27362,27978,30328,32078,36487,37631,38324,37958,38689,40536,41628,41997,42172,43170,44845,45727,46923,47038,48048,48082,48850,50526,52950,56369,61481,70892,76230,85791,87960,85984,87021,98197,98526,96997,97955,96906,92003,94616,92975,90583,91613,95422,94705,93941,95772,93492,95068,94904,98220,97736,97959,94256,78507,74031,73416,80927,84994,87053,88446,86832,88121,89296,89333,92687,104764,99391,98022,104464,101782,111810,127704,111982,107911,107291,108223,108653,110997,115023,116784,116421,114372,112434,114844,113609,112758,119295,120305,122374,122500,119508,117257,124378,133868,129663,134068,138730,130965,133316,134699,124587,119721,120465,118375,115036,131843,140688,149193,159933,168376,173327,172799,168745,174573,164465,142158,135825,153988,158794,165836,190101,163376,179511,182918,200135,206190,211481,235697,235543,234586,285784,289806,284430,301348,320468,277456,289911,319262,322816,347687,365927,387743,409544,270092,225064,239116,281548,295187,301689,292211,301769,333390,362702,389123,387839,381967,387952,384870,388810,392921,388299,372450,387845,378423,374296,382508
"121","113","        Gasoline and other motor fuel","DGASRC0",10767,11027,11066,11529,11395,11902,11986,11952,11835,11670,11884,11865,12141,12315,12315,12797,12765,12668,12712,12820,13124,13267,13462,13551,13920,14441,14635,15047,15257,15614,15965,16248,16406,16702,16937,17242,17812,18005,18551,18664,19323,20224,20305,20655,21017,21457,21607,22176,22450,22350,22898,23394,23453,23264,24065,25253,26419,26917,27522,29834,31556,35893,37019,37700,37340,38059,39876,40951,41314,41485,42467,44115,44795,45971,46063,47035,47061,47789,49382,51687,54961,59995,69283,74501,83989,86063,84018,84998,95983,96230,94679,95705,94802,90022,92759,91145,88632,89630,93341,92544,91724,93442,91133,92739,92568,95981,95598,95908,92244,76583,72125,71523,78993,83009,85114,86544,84814,86020,87073,87012,90334,102404,96991,95527,101853,99133,109087,124899,109130,104951,104274,105133,105349,107580,111512,113203,112887,110808,108806,111224,109950,109094,115645,116587,118705,118921,115988,113767,120838,130367,126234,130693,135573,127772,130102,131425,121075,116043,116744,114799,111761,128707,137635,146003,156638,164830,169693,169217,165203,171143,161019,138756,132382,150534,155271,162221,186312,159445,175449,178766,195977,201952,207087,230949,230310,229054,279903,283588,278011,294774,313651,270481,282775,312015,315489,340460,358598,380418,402392,262765,218420,233257,275946,289354,295340,285069,294028,325092,353497,378755,376385,370518,376921,373953,378283,382617,377753,361789,377108,367623,363429,371543
"122","114","        Lubricants and fluids","DLUBRC0",178,183,183,191,188,197,198,198,196,193,197,196,201,204,204,212,211,210,210,212,217,220,223,225,230,239,242,249,253,258,264,269,271,276,280,285,295,298,307,309,320,335,336,342,348,355,358,367,372,370,379,387,388,385,398,418,437,445,455,494,522,594,613,624,618,630,660,678,684,687,703,730,932,952,975,1014,1020,1061,1144,1263,1408,1486,1609,1729,1802,1897,1966,2023,2214,2297,2319,2251,2104,1980,1857,1830,1951,1983,2082,2161,2217,2330,2360,2328,2336,2239,2138,2051,2011,1923,1907,1893,1934,1985,1939,1902,2018,2101,2222,2321,2352,2360,2400,2495,2611,2650,2723,2806,2853,2961,3017,3090,3304,3417,3511,3581,3534,3564,3629,3620,3659,3664,3651,3717,3670,3579,3520,3490,3540,3502,3430,3375,3157,3193,3214,3274,3512,3678,3721,3575,3275,3137,3054,3190,3295,3546,3634,3582,3542,3430,3446,3402,3443,3454,3524,3615,3790,3931,4063,4152,4157,4238,4394,4748,5233,5532,5881,6218,6419,6574,6817,6976,7136,7248,7328,7227,7330,7325,7152,7327,6644,5859,5602,5833,6349,7142,7741,8299,9205,10369,11454,11449,11031,10917,10526,10304,10546,10661,10736,10801,10867,10966
"123","115","      Fuel oil and other fuels (29)","DFULRC0",4182,4066,3959,3828,3913,3762,3733,3812,3725,3866,3649,3616,3722,3678,3608,3867,4150,3868,3941,3922,3853,3948,4252,4296,4145,4257,4558,4562,4376,4560,4736,4822,4773,4834,4669,4828,4872,4675,4583,4497,4618,4470,4416,4528,4493,4286,4368,4311,4563,4634,4465,4325,4496,4717,5043,5693,5668,6092,6257,6759,7130,7687,8016,8045,7694,8259,8864,8451,9137,9421,10058,11252,10835,10400,10862,11434,12123,11746,10640,10896,12430,13595,15214,15339,15858,14921,14991,15065,15250,15880,15602,15364,15058,14080,14063,13699,12381,13696,13859,13565,14100,13812,13499,13118,13236,13289,13313,13469,12350,11026,10773,10406,10726,11236,10872,11221,11588,11497,11577,11159,10816,11454,11282,13339,11951,12018,13644,13424,12746,11671,12484,12205,11453,13103,11826,12192,12224,12071,12621,12541,13762,12065,12938,12190,12154,13256,13107,13462,14718,13967,13797,14522,13432,13360,13163,12979,11575,12042,11591,11063,11284,12312,12714,13109,14957,15210,16027,17433,17112,15757,15352,13781,12705,14114,14535,15802,17778,16629,17318,18015,18490,18410,19678,20849,21850,21857,22629,23024,21488,24529,25296,23583,24565,24800,25208,27937,29555,33063,32849,27818,24384,23264,23286,26151,26773,25401,25152,27275,30001,29135,29081,28385,25003,26876,28274,27219,27651,25146,24733,28699,32833,26992
"124","116","        Fuel oil","DOILRC0",3919,3816,3720,3597,3674,3520,3486,3559,3483,3629,3433,3410,3513,3467,3391,3629,3894,3626,3697,3681,3615,3704,3989,4030,3892,4003,4297,4308,4134,4312,4481,4566,4528,4596,4444,4599,4636,4440,4341,4248,4359,4217,4161,4261,4218,4011,4077,4015,4252,4321,4168,4041,4204,4411,4715,5319,5299,5703,5852,6314,6641,7143,7447,7489,7195,7768,8369,7988,8630,8884,9478,10614,10236,9832,10276,10823,11480,11129,10042,10305,11809,12939,14487,14569,15068,14125,14226,14336,14457,15061,14766,14566,14269,13298,13274,12884,11631,12871,13021,12745,13240,12957,12684,12295,12403,12499,12482,12561,11541,10254,10024,9661,9965,10470,10158,10497,10760,10635,10595,10233,9908,10478,10314,12292,10936,10973,12368,12163,11532,10520,11131,10856,10298,11664,10629,10918,10892,10727,11233,11149,12304,10642,11417,10727,10690,11648,11498,11821,12901,12259,12077,12668,11815,11752,11607,11443,10183,10567,10202,9696,9772,10667,11073,11299,12672,13311,14398,15570,15198,13789,13421,12196,11295,12449,12565,13987,15842,14684,15138,15618,16341,16169,17126,18402,18419,18900,20614,20873,19222,21772,22220,20701,21995,22234,22238,24879,26339,29014,28720,24278,21667,20792,20967,23113,23695,22619,22411,24254,26634,26033,26155,25324,22082,23780,25040,24245,24838,22639,22078,26134,30296,24613
"125","117","        Other fuels","DLPFRC0",262,249,239,231,240,242,247,253,242,236,216,206,209,212,217,238,256,241,245,240,237,244,262,265,254,254,261,253,241,249,256,255,245,238,225,229,236,235,242,249,259,254,256,267,275,276,291,295,311,313,298,284,292,306,328,374,369,389,405,445,488,544,569,556,499,491,495,463,507,538,580,638,599,569,586,612,642,617,598,591,621,657,727,771,789,797,764,729,792,819,835,798,789,781,789,815,750,825,838,820,860,855,816,824,833,791,831,908,810,772,749,745,761,766,714,724,828,862,982,926,908,976,968,1047,1016,1044,1275,1261,1215,1152,1353,1349,1155,1439,1197,1274,1332,1344,1389,1392,1458,1423,1522,1463,1464,1608,1609,1641,1817,1707,1720,1853,1616,1609,1556,1536,1392,1474,1389,1367,1512,1645,1641,1810,2284,1899,1630,1863,1914,1968,1931,1586,1409,1665,1970,1815,1936,1944,2180,2398,2149,2240,2552,2447,3431,2957,2015,2151,2266,2757,3076,2883,2570,2566,2970,3058,3215,4049,4129,3540,2716,2472,2319,3038,3079,2782,2741,3021,3367,3102,2926,3061,2920,3096,3234,2975,2813,2507,2655,2565,2538,2379
"126","118","    Other nondurable goods","DONGRC0",24922,25116,25773,26055,26465,26967,27283,27626,27879,28303,28651,29414,30103,30403,30821,31365,31895,32292,32953,32926,33664,34118,35099,34965,35916,36711,37095,38485,39565,40691,41296,41637,42297,42863,43437,43512,45093,46109,47101,47619,48141,49027,50162,50770,52108,52835,54036,55276,55404,55246,56049,56707,57937,59624,60657,61839,63479,64937,66621,68266,70390,71489,72690,73635,74974,76618,78719,80551,82707,84630,85829,87549,89171,90103,91880,94958,97527,101352,105479,108985,111695,114621,118056,121508,125285,126479,130307,135271,139069,142006,145102,147709,149566,151893,155274,159356,162625,166718,171464,174451,178595,183981,186773,189132,193352,195051,197657,201595,204696,206822,211085,214927,219653,225369,228037,230409,234235,239011,243523,248771,255051,259953,266306,271699,279092,281369,285970,287977,292631,295593,298214,301849,309083,311994,315898,320949,326761,330548,332854,335467,340652,347670,354425,359686,363013,369087,373825,379662,383712,391824,398338,406966,411750,417421,424936,431099,437361,446391,455646,467908,486493,491178,496515,517924,514233,532654,540662,549875,549716,558024,569416,578307,585544,588487,592990,598680,607703,614086,630063,638903,643454,654615,662643,669735,677134,684848,692384,707245,726251,735276,741214,755500,762635,767194,773152,778499,780893,794158,799615,792852,799718,810952,819306,826701,834746,842425,854284,865537,878693,891544,897138,906558,919068,921814,927102,934828,947143,951069,966689,977895,983973,1004120
"127","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRC0",3041,3134,3226,3265,3374,3424,3492,3598,3632,3756,3859,4028,4050,4121,4128,4208,4343,4350,4405,4425,4423,4523,4552,4480,4585,4590,4702,4830,4799,4864,4881,4973,5072,5193,5238,5336,5515,5700,5854,5909,6017,6184,6402,6571,6961,7152,7413,7603,7707,7631,7706,7836,8056,8337,8545,8714,8857,9056,9158,9307,9587,9821,9996,10066,10247,10629,10839,11006,11240,11555,11749,12063,11995,12173,12449,12868,13380,13841,14486,15165,15665,16240,16896,17236,17840,18292,18907,19921,20379,20983,21639,22142,22561,23271,23764,24387,25523,26409,27516,28040,29072,30043,30576,31582,32381,32897,33912,34849,35559,36663,37801,38804,39803,40981,41858,42416,43820,45417,46471,47902,49800,50565,52614,54646,56580,58157,60164,61571,63081,64632,65757,66935,68498,69332,69800,70615,72334,73213,74566,75851,76665,78273,79749,81554,82653,84029,85813,87940,89794,92025,94340,96805,98784,101737,105092,109071,112615,117675,122059,126818,133049,137129,138525,151462,145076,157882,162909,170133,170379,175599,185776,192271,197180,197055,200833,205593,213263,215301,223025,229106,227421,235731,239720,242434,243645,246017,249346,255164,263333,274553,280252,286730,289700,292890,294866,296140,300772,303324,306148,310572,314759,319015,323941,325750,326452,331884,337673,340489,347450,350909,354269,360776,367316,368518,369347,372174,376159,382058,394311,401880,407777,422010
"128","120","        Pharmaceutical products","DPNPRC0",2940,3031,3118,3154,3254,3298,3361,3463,3498,3621,3721,3885,3900,3965,3977,4067,4219,4245,4306,4325,4312,4396,4414,4340,4445,4454,4563,4685,4646,4702,4721,4820,4935,5072,5126,5225,5392,5563,5706,5756,5864,6028,6242,6405,6780,6961,7210,7393,7492,7417,7492,7622,7842,8122,8329,8494,8635,8828,8918,9050,9306,9518,9676,9740,9919,10294,10505,10676,10912,11226,11419,11724,11653,11819,12081,12484,12978,13428,14061,14727,15219,15786,16433,16766,17364,17818,18426,19430,19890,20497,21152,21658,22078,22770,23248,23856,24980,25844,26927,27436,28443,29390,29909,30894,31674,32174,33167,34080,34770,35857,36971,37947,38925,40086,40951,41499,42895,44457,45481,46881,48741,49477,51484,53476,55373,56922,58896,60281,61762,63285,64403,65572,67127,67974,68441,69241,70949,71834,73186,74468,75302,76904,78376,80187,81292,82671,84468,86603,88470,90694,93023,95487,97470,100421,103757,107738,111213,116176,120471,125171,131383,135431,136793,149617,143207,155968,160931,168094,168357,173540,183741,190154,195072,194888,198651,203390,211008,212971,220566,226546,224818,233027,236921,239584,240720,243078,246337,251998,260058,271211,276842,283212,286074,289132,291017,292307,296946,299443,302275,306787,310980,315240,320191,321948,322597,327947,333630,336383,343315,346746,350046,356500,362917,364073,364866,367650,371564,377419,389639,397144,403065,417187
"129","121","          Prescription drugs","DRXDRC0",1747,1800,1852,1873,1933,1959,1996,2056,2077,2150,2210,2307,2316,2355,2362,2415,2503,2516,2557,2576,2577,2637,2661,2628,2697,2709,2786,2873,2856,2900,2924,3000,3079,3174,3222,3300,3416,3536,3645,3695,3774,3891,4047,4172,4427,4559,4744,4885,4964,4929,4999,5108,5279,5488,5635,5742,5822,5934,5976,6051,6218,6355,6450,6481,6591,6831,6956,7054,7203,7400,7512,7697,7637,7733,7893,8149,8430,8705,9100,9509,9809,10164,10556,10707,11087,11360,11699,12318,12581,12964,13379,13692,13936,14364,14639,15061,15884,16504,17261,17607,18306,18930,19303,19999,20542,20886,21605,22226,22694,23473,24236,24888,25554,26332,26898,27296,28528,29804,30660,31826,33252,33850,35486,37013,38386,39832,41502,42800,43972,45211,46461,47826,49506,50402,50753,51295,53202,53783,55080,56137,57185,58656,59838,61388,62569,63686,65429,67299,69146,71035,73146,75362,77233,80279,83363,87433,90761,95352,99352,103617,109185,113026,114576,126819,121020,132864,137400,143938,144718,149753,159692,165615,169454,169103,172920,177563,184525,185597,191952,197271,195655,203349,206698,208708,209231,210981,213615,218308,225760,236317,241369,246757,249022,251390,252600,253627,257986,259469,262102,267237,271429,275649,280498,281657,281717,286665,291738,293800,300084,303013,305834,311890,317772,318797,319260,321661,324815,330530,342251,349400,355365,368538
"130","122","          Nonprescription drugs","DNRDRC0",1194,1230,1266,1281,1322,1340,1365,1407,1421,1471,1512,1578,1584,1610,1615,1652,1716,1729,1749,1748,1735,1758,1753,1712,1748,1745,1777,1813,1790,1802,1797,1820,1856,1898,1903,1924,1976,2027,2061,2061,2090,2137,2194,2233,2352,2402,2467,2508,2528,2489,2493,2514,2563,2634,2694,2752,2813,2894,2942,2999,3088,3163,3225,3259,3327,3464,3550,3622,3710,3827,3906,4026,4016,4086,4188,4335,4549,4724,4960,5218,5411,5622,5876,6059,6277,6458,6728,7112,7309,7532,7773,7967,8142,8406,8609,8795,9096,9340,9666,9829,10137,10460,10606,10895,11132,11288,11562,11854,12076,12384,12735,13059,13371,13754,14053,14204,14368,14653,14822,15055,15488,15626,15998,16463,16987,17090,17394,17481,17790,18074,17942,17747,17621,17572,17688,17947,17747,18051,18106,18331,18117,18248,18537,18799,18722,18985,19039,19304,19325,19659,19877,20125,20237,20143,20393,20305,20452,20824,21119,21554,22198,22405,22217,22797,22188,23104,23531,24156,23639,23787,24048,24539,25617,25784,25731,25827,26483,27374,28614,29275,29163,29678,30223,30876,31490,32096,32722,33691,34299,34894,35473,36455,37052,37742,38416,38680,38960,39974,40173,39550,39550,39591,39693,40292,40880,41282,41891,42582,43231,43733,44212,44610,45145,45276,45606,45989,46748,46889,47389,47743,47700,48649
"131","123","        Other medical products","DOMPRC0",101,104,108,112,120,126,130,134,133,135,137,143,150,156,151,141,124,105,99,100,111,127,138,140,140,136,139,145,153,163,160,153,137,122,112,111,123,137,148,153,153,155,160,167,181,191,202,210,215,214,214,214,213,214,216,220,222,228,239,257,281,304,320,326,328,334,334,330,328,329,331,340,342,354,369,385,401,413,425,438,446,454,464,471,475,474,481,491,489,487,486,484,483,502,516,531,543,565,589,604,629,653,667,688,707,724,745,768,788,806,830,857,878,895,907,917,925,960,990,1021,1059,1088,1130,1169,1208,1235,1268,1289,1319,1347,1354,1363,1371,1358,1359,1374,1385,1379,1380,1383,1362,1369,1373,1367,1362,1358,1346,1337,1324,1331,1318,1318,1314,1316,1335,1334,1402,1499,1588,1647,1666,1698,1732,1845,1869,1914,1977,2039,2022,2059,2035,2117,2108,2167,2182,2203,2255,2330,2459,2560,2603,2704,2799,2849,2925,2939,3009,3165,3275,3341,3410,3518,3626,3758,3850,3833,3825,3880,3873,3785,3780,3775,3750,3802,3855,3937,4043,4107,4135,4163,4223,4276,4399,4445,4481,4524,4595,4639,4672,4736,4712,4823
"132","124","      Recreational items (parts of 80, 92, and 93)","DREIRC0",3065,3008,3103,3150,3208,3355,3396,3491,3386,3511,3632,3773,3805,3857,3984,4054,4182,4316,4374,4426,4625,4760,4931,5000,5079,5236,5311,5659,5791,5949,6102,6107,6203,6230,6382,6495,6741,6992,7143,7311,7501,7711,7568,7684,7981,8005,8353,8440,8467,8675,8813,9029,9173,9390,9767,10141,10501,10687,11060,11342,11852,12230,12365,12397,12865,12806,13302,13597,14170,14586,14852,15186,15035,15690,15865,16337,16665,17112,18098,18815,18992,19415,20257,20934,21518,21394,21976,23018,23771,24574,25065,25789,26240,26044,26880,27392,27826,28668,29111,29803,30397,31335,32136,32128,33474,33522,33812,34239,34799,34723,35938,36312,37379,39307,39677,40181,40533,42022,43298,44571,44978,46569,48145,49008,51137,50649,50923,51005,52614,52983,53775,54965,55495,56374,57378,59844,59738,59927,61013,62170,63140,64650,66102,66954,67167,68835,69577,70006,70824,71831,73016,75662,75079,75837,77073,77401,78348,80081,81646,83497,84888,85823,86424,89483,90671,90926,92431,93446,93608,94644,94449,96151,97901,98496,98133,98898,98326,99720,102012,103121,103684,104945,106246,108043,109327,112006,112940,116317,118934,118534,118168,120337,122853,123763,125161,126194,126119,128633,129667,125463,124478,123823,122897,124132,125654,127289,127732,130106,131226,133135,134094,134315,137160,137150,139392,139421,142751,142232,141893,143432,143131,146942
"133","125","        Games, toys, and hobbies","DDOLRC0",1494,1505,1532,1563,1572,1620,1616,1641,1696,1709,1762,1820,1820,1889,1945,1986,2030,2083,2094,2082,2185,2212,2259,2295,2284,2331,2352,2480,2554,2606,2691,2737,2719,2735,2799,2896,2881,3024,3037,3039,3163,3169,3072,3085,3102,3154,3152,3125,3134,3130,3171,3199,3216,3348,3450,3590,3791,3893,3972,4053,4214,4427,4527,4511,4699,4868,5066,5232,5430,5551,5697,5858,5847,6186,6339,6570,6466,6806,7248,7690,7586,7769,8044,8291,8247,8138,8340,8578,8918,9235,9391,9643,9984,9977,10265,10467,10527,10838,11161,11334,11524,12064,12390,12197,12882,12542,12427,12576,12864,13034,13791,13759,13615,14593,14924,15186,15373,15888,16401,17265,17547,17998,18812,19443,20475,19736,20086,20066,21082,21302,21894,22654,22562,23189,23414,24076,24159,24810,25255,25729,26407,26883,27759,28259,28297,29194,29712,30254,30175,30021,31429,33165,32366,32717,33075,33319,34120,34866,35145,35755,37200,37495,37657,37957,38602,39545,40102,40086,39795,40032,40254,41717,41620,41985,41824,42688,41458,42598,43489,43648,44026,43450,43935,44834,45343,45999,45921,46762,47814,47330,47324,47683,48428,48884,49489,50242,50291,51626,51313,50272,50150,50002,50113,50723,51837,52016,52542,53517,54240,55305,55627,55951,57259,57321,57730,57813,59780,60064,60828,61448,60917,62375
