"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  PCE excluding food and energy \4\","DPCCRX0",6487619,6584095,6661598,6772003,6905734,6959414,7033373,7089217,7130025,7161547,7189412,7315589,7342359,7375153,7429088,7462384,7498606,7595487,7714847,7777953,7856443,7913595,8000616,8081828,8137162,8239354,8306289,8332889,8454985,8489989,8537496,8629761,8674440,8715975,8761175,8785016,8763772,8784943,8747664,8625649,8583895,8538755,8597280,8589584,8631653,8717762,8772406,8862534,8922183,8955831,8997774,9045697,9128941,9138724,9183200,9252105,9317058,9375511,9432721,9521021,9530710,9624820
"36","26","  Energy goods and services \5\","DNRGRX0",492733,503763,507616,495851,482636,499687,502916,514866,508911,489687,494545,491204,491649,503709,506308,514807,509400,508381,505760,513887,515319,516071,509129,515189,520392,516576,516902,517736,501336,510253,517433,515142,521075,517576,516418,503781,506808,500780,481079,496603,505833,500319,496476,495903,500047,500453,506971,508565,499428,489188,494237,485385,471584,487644,490884,475183,494498,490036,483378,488140,509432,489564
"37","27","  Market-based PCE \6\","DPCMRX0",6768094,6870236,6950401,7048180,7138732,7209761,7272757,7341874,7375107,7385168,7417386,7536978,7560537,7604569,7663169,7689316,7719602,7819354,7936199,7998722,8074296,8119953,8197409,8283138,8350308,8441897,8509687,8527307,8612445,8657512,8711870,8800560,8852881,8881847,8922286,8934403,8907622,8926023,8843643,8715434,8694425,8669093,8729982,8728510,8774784,8839356,8901542,9004582,9051203,9073203,9108826,9153716,9223077,9263775,9314903,9356874,9448209,9479147,9521375,9599912,9630038,9676076
"38","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",5636842,5722551,5792376,5885761,5989712,6037007,6095029,6146756,6185731,6206096,6235591,6353376,6378262,6411433,6463930,6477366,6505731,6605134,6711428,6767615,6834181,6878064,6955097,7027184,7078243,7169893,7230884,7238957,7338592,7366840,7411615,7492319,7536961,7573584,7614725,7638197,7610936,7633661,7586706,7456547,7427817,7401866,7461843,7453699,7489116,7559070,7611208,7701399,7756696,7791886,7824836,7883405,7965419,7983393,8028883,8089605,8152889,8195474,8241998,8310591,8317413,8391497
"39",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","29","      Personal consumption expenditures","DPCERX0",7618691,7731528,7819273,7934144,8054859,8132194,8211276,8284400,8319403,8340761,8371247,8499132,8524579,8568126,8628043,8674353,8712527,8809507,8939387,9008815,9096415,9155468,9243002,9337837,9409222,9511451,9585233,9621339,9729225,9781025,9838106,9938409,9990657,10024604,10069158,10081798,10060966,10077940,10005097,9884724,9850832,9806377,9865864,9864805,9917689,9998389,10063083,10166127,10217123,10237676,10282234,10316777,10387551,10420180,10470382,10520581,10613655,10660396,10713300,10811431,10844293,10910375
"41","30","Household consumption expenditures \7\","DPHCRX0",7477485,7589270,7675976,7789023,7904232,7980955,8053169,8120671,8154626,8171570,8198398,8322234,8343628,8380834,8431788,8472445,8510519,8604408,8733678,8802932,8886994,8947012,9035447,9130685,9209880,9306638,9379267,9403539,9502194,9545476,9598216,9700406,9751699,9788926,9829600,9830200,9802037,9808686,9727252,9596762,9571775,9533487,9592663,9585887,9638539,9716768,9785581,9891101,9944380,9964100,10002086,10041053,10108782,10132096,10180620,10220586,10317622,10363411,10411812,10502618,10535799,10596354
"42","31","  Food and beverages purchased for off-premises consumption","DFXARX0",657368,664160,670148,680818,674406,684742,686015,693031,690910,695842,693794,695352,692995,694443,697314,703373,708922,707928,718735,717442,724510,725121,730823,738611,749982,752813,759337,768319,771637,779102,780806,791738,793152,789122,789788,793064,789279,792690,782239,763257,761448,767189,771896,779300,786130,780569,783831,795354,797522,797115,793899,792043,797582,800940,803304,804744,810155,804575,808876,814034,811946,808885
"43","32","  Clothing, footwear, and related services","DCAFRX0",260709,262927,264679,265426,269591,275126,277923,280030,275616,277119,276626,280938,283733,283582,281739,289731,288784,296013,302085,302640,309663,306055,308877,314585,318474,324712,323795,332895,334727,332413,335610,338847,340703,340314,342688,341303,338435,347613,340439,328268,323997,317825,320830,323783,330641,335887,336677,346793,349782,352986,347732,350217,355160,349281,353802,351859,355989,357607,354242,356233,352949,357367
"44","33","  Housing, utilities, and fuels","DHUFRX0",1562077,1577702,1593018,1592132,1598408,1621249,1635369,1661336,1670618,1668306,1674762,1673060,1673131,1681052,1683892,1694599,1696229,1701691,1705767,1718869,1727991,1739679,1749451,1769681,1788613,1808740,1826582,1831438,1825701,1848597,1860508,1852837,1862658,1864338,1869187,1862838,1875704,1879280,1873295,1893731,1899205,1902472,1904705,1914674,1920047,1918179,1928692,1938809,1938788,1941865,1955663,1949513,1937762,1958077,1969678,1959132,1983059,1981941,1974003,1986658,2015120,1994967
"45","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",307714,311705,318257,326201,332619,335908,337688,338662,341651,343345,344353,350146,357676,359609,359901,365878,367647,379032,391131,398609,405148,410321,417836,421766,425860,431468,437375,445550,454428,450453,451989,452696,457680,456375,458938,459136,451276,454890,443743,425466,412861,406134,407555,412698,419919,428641,430590,438266,443226,449795,453717,458955,465738,463876,467587,472970,482382,486676,496040,500124,500998,512646
"46","35","  Health","DHLTRX0",1386782,1394333,1404015,1432400,1430011,1461945,1473854,1494762,1508902,1525799,1554127,1581936,1610948,1629379,1643410,1654758,1669652,1680507,1699998,1715239,1722730,1745572,1768762,1784630,1793014,1803495,1823902,1829555,1844951,1862087,1874365,1896319,1908955,1920574,1934449,1938528,1957392,1964088,1970320,1975693,1988269,2001701,2009790,2003912,1998613,2017373,2038993,2055130,2066500,2074129,2075644,2097653,2128380,2131659,2144743,2153006,2160446,2181517,2201727,2226861,2224067,2235646
"47","36","  Transportation","DTRNRX0",877031,913739,919312,911114,944544,918188,928478,929284,941250,930063,933051,994493,957254,957733,987649,958394,959065,976544,995795,992511,998638,1001672,1005902,1012705,1007355,1017003,1017403,972665,985223,982345,990551,1001120,1002815,1005168,998890,991973,968315,944059,909415,865441,870821,860260,887819,849025,847441,866775,875693,891525,890837,870548,872322,888361,894813,899447,905802,911502,924174,926260,932004,935593,941861,959898
"48","37","  Communication","DCMCRX0",122015,127618,132799,136419,141389,148108,152349,154374,155018,157707,159047,158726,159379,161513,161132,161829,163915,166540,168819,169638,172277,176458,179565,180760,182366,184790,186470,187926,192626,197438,201984,210620,215966,220780,224281,229522,233047,235016,236111,233242,230914,228804,229765,232782,236736,238866,241489,243960,251647,256579,261958,261291,266075,269049,272509,279418,283947,286751,289918,291294,295102,297497
"49","38","  Recreation","DRRLRX0",502870,515776,531239,547367,560347,565197,572598,578190,582182,585647,587844,598834,609493,614789,619713,629482,632422,649850,672792,689025,701694,712356,724932,733637,752801,768343,774492,787856,813365,816650,825848,849781,859615,869811,887403,896145,889446,902470,890963,861030,858979,850440,860395,877312,891561,902815,918137,933158,944328,959409,971478,984222,1001164,1009561,1023838,1036144,1058168,1067153,1081078,1089120,1091613,1113472
"50","39","  Education","DEDURX0",227868,228767,229131,232172,233493,236342,237972,239219,240580,241320,240205,239021,236590,234668,235040,233329,233013,233742,233036,231588,230315,228060,226370,226285,227000,226589,226935,227366,227964,228356,227631,229191,229455,230032,230532,230962,230449,230756,231372,229746,228918,227966,228795,230524,232629,233524,234377,235221,235165,234174,233115,232530,231991,231356,231165,230803,230596,232457,233856,234457,235243,236047
"51","40","  Food services and accommodations","DFSARX0",505058,508101,510137,522147,530671,535332,537191,535405,539347,534019,531047,530199,538001,542024,543001,543842,547762,558004,567440,573195,579419,580249,585542,591618,595002,603596,607795,614014,623083,619646,623260,632677,629809,631253,631878,637427,628991,632440,626274,616730,605802,599860,598221,597450,603084,607698,611323,616319,622123,623252,626418,629249,635902,638027,641832,648783,653623,651922,652257,663656,661547,669897
"52","41","  Financial services and insurance","DIFSRX0",576227,590822,603819,623803,655197,656505,660831,664410,654415,647606,638473,643403,640190,639920,643623,642983,637227,640152,644969,649972,659846,661864,669043,684180,691660,703233,710515,710937,718508,718406,717370,725975,735366,743218,747002,744559,742299,738315,738863,730214,723790,719028,719201,713802,721467,736148,735415,742686,747980,746568,752634,741438,729039,717127,702810,706021,715109,727061,730842,741060,746199,749667
"53","42","  Other goods and services","DOISRX0",574393,576094,580381,589084,592272,598598,604057,605334,606167,606127,607389,610887,614258,614716,615600,621569,628570,637814,647828,656851,662610,663396,670799,675084,682499,685794,683018,691386,701344,702500,704623,713085,712702,715567,718110,716797,710573,711894,707907,692402,682188,670055,669150,669458,676437,676854,680297,687568,688892,697108,696927,693916,697512,701604,704072,709176,710839,709177,708966,716941,715979,716240
"54","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-20781,-27582,-33894,-27100,-25022,-19486,-15971,-17552,-14596,-3905,-4879,-2332,404,-3469,-11575,-1705,3270,-3954,-374,-1353,245,2978,1775,-250,-4564,-6840,-1452,1976,3334,3402,-1600,-1551,-5747,-7170,-13351,-21256,-20127,-28552,-23991,-16985,-14827,-18801,-16376,-17953,-24179,-25225,-28471,-32257,-30248,-32832,-31615,-31280,-24006,-28355,-28911,-30236,-35874,-34110,-34646,-35890,-39523,-36392
"55","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",148074,149323,150508,152488,157693,158515,164661,169704,170717,174463,177611,181491,184956,190398,198151,203161,203454,206507,207471,207840,211235,210489,209865,209692,202655,207893,209119,220116,228893,236928,241110,239499,240483,237440,241137,252577,259544,269493,277776,287578,278930,272876,273229,279032,279239,281713,277411,274772,272350,273168,279958,275249,278335,288139,289833,300698,296290,297230,301900,309494,309109,314817
"56","45","  Gross output of nonprofit institutions \2\","DNPERX0",769722,773811,779606,787812,794532,802124,811035,821326,830445,839256,850709,863001,878016,892713,904394,909035,910288,912809,915929,918660,925592,932328,943171,952419,947525,956196,966965,975954,986711,996051,1004068,1009483,1016761,1017190,1022755,1032084,1043394,1050419,1059353,1067657,1068984,1071230,1074769,1075272,1072550,1084003,1090565,1096962,1093242,1095976,1094558,1104430,1121420,1124547,1138448,1140440,1136046,1146214,1151716,1171657,1159423,1160190
"57","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",632620,635346,640009,646218,646452,653584,654839,659105,667630,672010,680101,688097,699619,708125,710334,708775,709818,708709,710872,713351,716588,724516,736549,746344,749354,752293,762058,758797,760000,760621,764240,771585,777965,781732,783359,780478,784481,780983,781272,779441,789855,798344,801594,796395,793481,802431,813042,821899,820540,822453,814597,828755,842558,836473,848525,840507,840255,849360,850435,862982,851342,846802
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
