"","Table 6#22B# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Metal mining","B1726BC0",132,130,110,128,146,171,195,183,167,226,285,330,304,545,372,464,722,606,535
"14","7","  Coal mining","B1727BC0",125,212,214,275,283,428,599,744,799,874,913,949,1081,1251,1211,1145,1262,1379,1128
"15","8","  Oil and gas extraction","B1728BC0",508,512,504,655,597,689,950,1176,1447,1609,2062,2651,4239,6410,6424,6277,7878,5554,4607
"16","9","  Nonmetallic minerals, except fuels","B1729BC0",252,249,273,303,365,365,387,372,450,486,572,749,708,565,704,868,927,1007,1054
"17","10","Construction","B1730BC0",1645,1818,1897,2163,2489,2756,3043,3069,3282,3988,4786,5398,6537,7189,6845,7843,8612,8506,9144
"18","11","Manufacturing","B1731BC0",31666,33787,35921,38343,41048,45278,49396,53783,61882,68558,77838,89056,110208,129989,142528,163322,177819,180922,186714
"19","12","  Durable goods","A1732BC0",17600,18842,19816,21119,22622,25622,27843,29884,33520,37196,42072,48134,58959,67563,72491,86024,91837,95214,99911
"20","13","    Lumber and wood products","B1733BC0",474,543,593,704,908,1129,1239,1321,1484,1699,1989,2310,2575,2732,2806,2857,3175,3261,3343
"21","14","    Furniture and fixtures","B1734BC0",154,138,152,170,207,222,237,251,271,326,391,427,500,607,664,788,1008,931,1062
"22","15","    Stone, clay, and glass products","B1735BC0",1008,1024,1054,1159,1262,1434,1544,1588,1665,1973,2310,2635,2999,3331,3385,3791,4499,4321,4349
"23","16","    Primary metal industries","B1736BC0",2716,2773,2743,2714,2945,3456,3585,4036,4409,4950,5471,6017,7091,7232,6824,6961,5644,5627,5206
"24","17","    Fabricated metal products","B1737BC0",1235,1311,1311,1402,1495,1663,1853,2044,2250,2584,2966,3427,4472,5313,5641,5999,6966,6627,6803
"25","18","    Machinery, except electrical","B1738BC0",2507,3090,3287,3522,3783,4159,4524,5085,5800,6156,7038,8385,10633,12921,13062,14012,15520,15325,16155
"26","19","    Electric and electronic equipment","B1739BC0",3269,3667,4090,4493,4956,5579,6131,6688,7369,8178,9145,10500,12924,15037,16639,19478,22189,21405,23195
"27","20","    Motor vehicles and equipment","B1740BC0",3629,3422,3494,3729,3905,4421,4801,5091,6067,7046,7925,9133,10271,11155,12360,19023,17814,22051,24071
"28","21","    Other transportation equipment","B1741BC0",1672,2012,2145,2169,2005,2219,2378,2315,2572,2527,2772,2856,4266,5114,6377,7530,8876,9522,10428
"29","22","    Instruments and related products","B1742BC0",587,477,531,613,668,749,855,783,857,944,1107,1268,1754,2205,2680,3092,3428,3266,2364
"30","23","    Miscellaneous manufacturing industries","B1743BC0",349,385,416,444,488,591,696,682,776,813,958,1176,1474,1916,2053,2493,2718,2878,2935
"31","24","  Nondurable goods","A1744BC0",14066,14945,16105,17224,18426,19656,21553,23899,28362,31362,35766,40922,51249,62426,70037,77298,85982,85708,86803
"32","25","    Food and kindred products","B1745BC0",2104,2263,2422,2546,2823,3007,3258,3477,4231,4538,5023,5648,7145,8703,9558,10262,11060,12872,12673
"33","26","    Tobacco manufactures","B1746BC0",147,191,212,243,284,337,369,395,451,511,588,676,977,1204,1371,1660,2201,635,712
"34","27","    Textile mill products","B1747BC0",652,716,757,831,934,956,974,945,1045,1082,1227,1288,1430,1588,1536,1907,1878,1894,1941
"35","28","    Apparel and other textile products","B1748BC0",233,251,249,323,323,335,348,379,448,457,492,554,705,783,825,1046,1095,1215,1191
"36","29","    Paper and allied products","B1749BC0",1030,1095,1161,1270,1379,1424,1596,1848,2090,2343,2366,2834,3202,3734,3923,4760,5654,5852,6350
"37","30","    Printing and publishing","B1750BC0",1281,1317,1454,1528,1725,1816,1989,2131,2346,2622,3012,3438,4384,5397,5880,6638,7578,7843,8153
"38","31","    Chemicals and allied products","B1751BC0",3731,4013,4330,4734,4867,5294,5881,6711,7583,8046,9219,10272,12337,14160,15637,16104,18943,17395,19295
"39","32","    Petroleum and coal products","B1752BC0",4142,4286,4619,4807,5030,5332,5851,6678,8640,10287,12070,14423,18944,24489,28668,32053,34331,34501,32878
"40","33","    Rubber and miscellaneous plastics products","B1753BC0",663,727,814,842,944,1048,1164,1202,1389,1331,1620,1636,1931,2152,2450,2635,2952,3253,3389
"41","34","    Leather and leather products","B1754BC0",83,86,87,100,117,107,123,133,139,145,149,153,194,216,189,233,290,248,221
"42","35","Transportation and public utilities","A1755BC0",13831,15006,16866,19271,21074,23257,25541,27365,30223,33611,37123,41616,51838,55125,66159,70404,83232,84472,92623
"43","36","  Transportation","A1756BC0",5339,5687,5921,6222,6333,7031,7255,7598,8345,9323,10491,11912,15517,14217,16164,17606,20976,20479,20910
"44","37","    Railroad transportation","B1757BC0",2022,2170,2291,2359,2243,2465,2546,2885,2967,3394,3680,3984,6336,4639,5359,4988,5459,4592,4597
"45","38","    Local and interurban passenger transit","B1758BC0",230,251,292,282,166,177,172,187,186,225,238,301,318,363,400,651,819,831,857
"46","39","    Trucking and warehousing","B1759BC0",1008,1092,1174,1335,1532,1785,1823,1782,2123,2379,2773,3133,3094,3304,3649,4220,5403,5605,6169
"47","40","    Water transportation","B1760BC0",317,322,327,331,358,369,439,492,562,537,744,828,1023,1019,1338,1510,1822,1515,1046
"48","41","    Transportation by air","B1761BC0",1334,1397,1421,1431,1517,1676,1697,1642,1714,1857,2055,2431,2853,3150,3608,4117,5396,5999,6219
"49","42","    Pipelines, except natural gas","B1762BC0",219,247,247,296,284,166,162,161,307,386,377,420,550,665,666,746,498,377,334
"50","43","    Transportation services","B1763BC0",209,208,169,188,233,393,416,449,486,545,624,815,1343,1077,1144,1374,1579,1560,1688
"51","44","  Communication","A1764BC0",4116,4605,5650,6968,7865,8596,9699,10601,11855,12975,14452,16394,19707,22871,28722,29093,34093,33418,38110
"52","45","    Telephone and telegraph","B1765BC0",2877,3301,4272,5483,6288,6914,7896,8667,9682,10505,11658,13283,15923,18443,23601,23728,28487,27857,31967
"53","46","    Radio and television","B1766BC0",1239,1304,1378,1485,1577,1682,1803,1934,2173,2470,2794,3111,3784,4428,5121,5365,5606,5561,6143
"54","47","  Electric, gas, and sanitary services","B1767BC0",4376,4714,5295,6081,6876,7630,8587,9166,10023,11313,12180,13310,16614,18037,21273,23705,28163,30575,33603
"55","48","Wholesale trade","B1768BC0",1857,2044,2212,2625,2905,3492,3875,4531,5142,6556,7920,9302,11270,12781,13050,15015,17127,17478,18135
"56","49","Retail trade","B1769BC0",3049,3372,3767,4400,4783,5250,5867,6380,7250,8719,10465,12081,14585,16693,18383,21147,24302,25466,26631
"57","50","Finance, insurance, and real estate","A1770BC0",4712,4891,5252,5906,6737,7496,8191,8760,9832,11544,12744,13929,17378,19947,24157,27340,32784,36769,41172
"58","51","  Banking","A1771C0",1258,1348,1524,1857,2334,2929,3402,3795,4420,5406,6109,6749,8484,9076,10887,12516,15511,18507,20382
"59","52","    Federal Reserve banks","B1772BC0",5,5,6,6,9,9,11,10,12,10,13,18,20,50,76,84,95,110,122
"60","53","    Commercial and mutual banks","B1773C0",1253,1343,1518,1851,2325,2920,3391,3785,4408,5396,6096,6731,8464,9026,10811,12432,15416,18397,20260
"61","54","  Credit agencies other than banks","B1774C0",97,104,118,143,180,226,263,293,341,417,471,522,655,698,837,962,1194,1426,1570
"62","55","  Security and commodity brokers","B1775BC0",47,62,66,76,94,90,112,124,162,193,257,288,558,829,1173,1411,1774,1372,1574
"63","56","  Insurance carriers","B1776BC0",518,594,676,770,924,1028,1101,1186,1365,1727,1924,1987,2344,2586,3803,4370,4716,5213,6802
"64","57","  Insurance agents, brokers, and service","B1777BC0",67,71,79,91,100,122,143,162,216,239,299,350,493,750,849,1001,1099,1201,1212
"65","58","  Real estate","B1778BC0",2613,2557,2607,2739,2788,2800,2867,2859,3003,3233,3263,3520,3978,4510,4932,5424,6079,6433,6258
"66","59","  Holding and other investment offices","B1779BC0",112,155,182,230,317,301,303,341,325,329,421,513,866,1498,1676,1656,2411,2617,3370
"67","60","Services","A1780BC0",5124,5793,6018,6713,7626,8321,9004,9645,11432,13446,15025,17265,20072,24649,26890,30299,34138,36063,38275
"68","61","  Hotels and other lodging places","B1781BC0",485,568,554,610,667,707,695,660,774,859,998,1062,1386,1704,1644,1831,2003,2247,2192
"69","62","  Personal services","B1782BC0",293,313,350,381,362,411,406,432,467,489,537,635,648,911,911,1064,1159,1133,1200
"70","63","  Business services","B1783BC0",1320,1384,1401,1521,1880,2013,2143,2188,2734,3151,3807,4673,5499,6546,7829,9588,10881,11466,11892
"71","64","  Auto repair, services, and parking","B1784BC0",1007,1048,1194,1340,1541,1658,1656,1798,2052,2749,3343,3451,3373,3966,4044,4056,5202,5714,6167
"72","65","  Miscellaneous repair services","B1785BC0",39,55,42,50,57,72,81,100,120,126,159,226,291,350,367,435,475,478,457
"73","66","  Motion pictures","B1786BC0",1003,1275,1131,1198,1245,1437,1677,1799,2104,2277,2062,2118,2320,2578,2707,2682,2843,2836,3179
"74","67","  Amusement and recreation services","B1787BC0",346,364,410,479,578,592,646,721,823,933,1048,1268,1490,2124,2237,2483,2611,2288,2739
"75","68","  Other services","A1788BC0",631,786,936,1134,1296,1431,1700,1947,2358,2862,3071,3832,5065,6470,7151,8160,8964,9901,10449
"76","69","    Health services","B1789BC0",136,190,232,288,380,450,550,687,840,989,1135,1436,2032,2793,3356,4240,4805,5348,5678
"77","70","    Legal services","B1790BC0",0,5,11,16,23,51,41,48,61,87,108,144,200,347,396,430,522,579,581
"78","71","    Educational services","B1791BC0",35,44,46,54,61,45,62,87,88,107,134,147,187,263,313,366,452,438,519
"79","72","    Other \1\","B1792BC0",460,547,647,776,832,885,1047,1125,1369,1679,1694,2105,2646,3067,3086,3124,3185,3536,3671
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of social services, membership organizations, and miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
