"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"11","3","  Personal current taxes","W055RC1",102.6,105.7,104.1,105.6,104.6,105.5,100.7,101.5,98.3,100.7,102.3,105.5,119.8,123.4,124.3,127.1,126.4,129.2,134.1,140,142.8,148.9,154.9,157.6,158,121.1,152.8,158.5,162.5,169.3,176.1,182.7,188.8,195.7,198.6,208.5,212,223.1,236.3,247.2,253.6,262,274.8,285.2,284.8,292.2,302.2,318.9,330.9,342.7,356.9,352.7,352.5,359.7,350.1,356.6,350.9,359.6,345.4,355.7,361.2,370.4,384.1,395.9,432.3,388.5,421.5,428.9,426.3,429.4,439.5,456,450.7,511.7,489,507,502.1,497.8,506.7,517.2,552.9,566.7,571.6,579.8,582.5,594.6,600.7,600.9,580.8,586,590.2,598.6,588.8,607.1,616.1,639.1,616.8,643.6,659.2,675.5,673.6,697.8,695.4,705.4,724.5,746.7,752.2,770.2,801.7,839.5,843.6,863.6,902.1,916.2,941.1,967.9,996.1,1022.3,1043.2,1068,1078.1,1095.4,1120.8,1154.2,1209,1230.4,1247.9,1258.9,1302.1,1309,1114,1232.2,1069.5,1049.3,1053.1,1046.7,1022.4,1019.2,955.2,1024.6,1013,1027.9,1067.5,1094,1172.5,1197.7,1226.6,1256.1,1320.7,1349.2,1358.9,1399.5,1462.6,1488,1500.1,1522,1535.8,1545,1505.8,1444.6,1202.8,1132.5,1133.8,1139.9,1193.4,1215.7,1257.2,1290.7,1425.4,1443.1,1470.7,1473.5,1472.4,1492.8,1511.7,1568.7,1641.1,1680.8,1673.2,1696,1736,1754.1,1792,1838.8,1900.1,1938.7,1957.3,1985.7
"12","4","  Taxes on production and imports","W056RC1",80.6,82.9,85.2,86.7,88.5,90.5,92.5,94.1,97.7,98.9,101.7,103.7,104.6,106.8,108.9,111.5,114.6,116.2,118.4,119.7,120.8,124.1,127.1,127.7,128.8,133,138.2,141.1,141.7,144.9,147.7,151.3,154.8,158,161.5,164.3,166.9,173.1,169.7,173.9,176.4,178.5,180.9,184.6,189.5,196.9,204.3,210.6,230.8,235.5,237.5,238.8,237.4,238.3,241.8,246.3,250.7,261.2,267.5,273.7,281.6,287.7,292.2,297.5,301,305.7,311.9,313.9,317.5,319.5,326.2,330.4,336,344.4,352.4,357.4,365.1,372.6,377.6,382.5,391.1,397.4,403.8,403.2,419.4,419.5,426.9,434.2,444.3,451.6,461.2,471.3,476.2,481.1,485.9,490.3,489.8,497.9,505,519.8,531.9,544.2,550.2,554.7,554.9,553.7,559.2,563.9,570.8,577.7,581.6,592.9,595.6,610.3,616.6,624,629.1,635.5,643,650.3,657.5,667.1,679,690.8,698.6,707.3,711.3,717.1,724.1,724.1,725.4,737.2,745,756.6,771.8,777,788.6,800.7,814.8,828,843.4,855.5,868.6,888.4,908.4,929.5,944.7,955.6,975.7,988.3,996.9,1007,1022,1032,1038.8,1045.5,1038.1,1047.9,1049.2,1032.4,1014.1,1019.4,1030.1,1041,1042.2,1054.2,1063.1,1069,1087.6,1104.2,1104,1114.6,1129.1,1129.3,1126.8,1142.9,1168.6,1171.3,1183.2,1188.9,1196.1,1210.2,1221.7,1227,1226.8,1234.1,1238.2,1244.7
"13","5","  Taxes on corporate income","W025RC1",41.2,40.1,38.8,38.5,34.1,34.3,35.3,33.8,37.4,38.1,37.5,37.9,40,40.3,41.5,45.7,49,49.6,48.1,50.5,48.8,51.4,56.6,50.3,43.1,46.2,56.5,57.8,65.3,64.4,64.1,63.1,67.4,73.1,75.6,76.1,71.3,85.2,86.3,91.2,88.5,89.1,88.4,85.9,94.7,74.9,80.9,88.6,88.3,79.4,82.9,73.9,62.7,64.7,65.2,59.7,61,75.8,85,87.2,100.3,99.4,87.6,88.8,95.9,94.1,99.3,96.8,103.1,103.4,104.2,115.2,115.9,129.5,134.2,128.8,124.7,131.9,142.6,149.4,153.9,140.7,135.9,135.3,135,140,144.6,142.8,136.8,131.7,132.4,133.5,142.8,144.1,138.3,147.3,152.8,164.6,156.4,187.7,168.1,177.5,194.7,206.5,210.6,208.2,214.6,210.5,214.2,225.4,225.9,229,230,234.5,246.9,237.2,239.8,236.5,242.6,237.8,246.3,244.5,248.6,255.7,264.1,262.6,244.7,247.4,214.8,207,185.7,166.6,169.1,175.3,182.3,198.6,219.8,215.4,235.3,256.6,264.2,284,306.5,313.3,389.1,379.7,386.9,427.9,443.5,456.4,477.3,439.8,452,443.4,405.4,382,327.1,315.4,285,196.8,191.5,217.4,262.5,312.6,321.3,328,363.4,372.6,370.5,354.5,320.6,352.7,412,417.8,419.2,413.4,422.1,427.6,441.4,447.8,461,490,480.5,473.3,480,509.8,502.4,470.1
"14","6","  Taxes from the rest of the world","W008RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1,1,1.1,1.2,1.3,1.5,1.6,1.7,1.7,1.6,1.5,1.5,1.5,1.3,1.3,1.3,1.5,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.3,1.4,1.8,2.2,2.3,1.5,1.6,1.7,2.1,1.9,2,1.9,2.4,2.1,2.7,2.4,2.2,3,2.5,2.7,2.8,2.7,2.9,3,3.5,2.7,2.7,2.6,2.5,2.7,2.6,2.6,2.7,2.8,2.6,2.7,2.8,3,3.2,3.2,3.2,3.6,3.7,4.2,4.2,4.6,4.8,5.4,5.8,4.8,4.9,5.1,5.6,4.8,5.1,5.6,7.3,5.4,6,6.3,6,6.9,7.6,7.3,7.5,7.6,7,7.7,8.3,7.2,7.5,7.5,8.1,7.5,10.6,8,9.7,9.7,9.1,8.4,12.7,11.4,10.4,13.6,13.2,11.5,11.9,12.7,22.4,13.6,15.1,14.4,18,16.5,16.3,17.3,25.1,15.9,15.7,13.3,14.4,14.1,15.3,14.5,18.9,15.5,15.2,18,18.2,16.6,17.4,17.5,21.1,18.8,18.7,19.9,19.7,23,20.3,22.4,21.2,24.6,24.8,25.4,23.9
"15","7","Contributions for government social insurance","W782RC1",43.1,43.9,44.8,45.5,46.2,46.5,46.9,46.7,50.8,51.4,51.6,52.2,58.5,59.2,59.9,60.8,74.1,75.3,76.6,78.1,83.7,85.3,86.9,87.1,88.2,88.6,90.3,92.4,99.6,101.1,102.8,104.4,110,112.8,115.1,117.5,127,131,133.6,136.9,149.7,151.8,155.1,158.1,164.1,164.2,167.6,172.9,192.8,195.3,198.8,200.6,208.4,209.6,211,211.4,221.6,224.9,228.5,233.9,252.3,257.2,261.3,264.5,276.8,280.3,284.2,289.8,299.4,302.2,306.5,311.5,317.9,321.7,326.1,332.8,353.8,360.8,366.1,372,381.5,384.5,388.1,393.7,406,410.3,416.1,415.9,426.5,429.8,434.7,438,450.8,455.8,459.9,461.8,469.6,477.7,482.3,488.9,500.7,508.8,513.1,520,528.4,532.8,538,542.7,547,554.8,561.4,568.2,578.4,585.2,593.3,604.1,614.9,623.5,632.1,640.5,655.6,659.7,665.6,677.4,700.9,702.4,714.8,719.5,739.2,737.8,735.3,735.5,749.1,755.9,757.2,758.7,768.2,778.1,787.4,799.1,814.6,828.3,843.1,848.3,864.4,871.8,883.9,892,920,923.4,926.5,938.9,962.3,962.8,964.6,974.9,991.4,992,995.5,993.4,966.2,971.2,968.4,971.6,976.9,989,993.3,996.9,918.1,920.7,928.5,921.6,946.1,949.5,952.6,976.6,1093.8,1110.2,1116.9,1127,1149.6,1156.3,1168,1182.3,1191,1204.1,1213.2,1222.9
"16","8","  From persons","A061RC1",42.9,43.7,44.6,45.3,46,46.3,46.7,46.5,50.5,51,51.3,51.9,58.1,58.8,59.5,60.4,73.6,74.7,76.1,77.6,83.1,84.7,86.4,86.6,87.6,88,89.8,91.8,98.9,100.4,102.2,103.8,109.3,112.1,114.3,116.7,126.2,130.1,132.8,136,148.8,150.9,154.2,157.1,163.1,163.2,166.6,171.8,191.6,194.1,197.7,199.4,207.2,208.4,209.8,210.2,220.4,223.6,227.2,232.6,251,255.8,259.9,263.1,275.4,278.8,282.8,288.4,297.9,300.7,305,310.1,316.5,320.2,324.5,331.2,352.1,359.1,364.4,370.3,379.8,382.8,386.4,391.9,404.1,408.3,414.1,413.9,424.5,427.7,432.6,435.9,448.7,453.7,457.8,459.6,467.5,475.6,480.1,486.6,498.4,506.4,510.6,517.4,525.7,530.1,535.3,540,544.2,552.1,558.7,565.4,575.5,582.2,590.2,601,611.8,620.4,629,637.4,652.5,656.4,662.2,674.1,697.5,698.9,711.2,715.8,735.5,734,731.5,731.7,745.4,752.1,753.5,755,764.4,774.2,783.4,795,810.4,823.9,838.7,843.7,859.8,867.1,879.1,887.3,915.4,918.8,921.9,934.3,957.7,958,959.8,970.1,986.5,987.2,990.7,988.6,961.3,966.3,963.4,966.6,972,984,988.4,992,913.6,916.3,924.1,917.2,941.6,944.9,948,971.8,1088.5,1105,1111.8,1122,1144.5,1151.2,1162.9,1177.2,1185.8,1198.9,1207.9,1217.6
"17","9","  From the rest of the world \1\","W781RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.9,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.2,2.2,2.3,2.4,2.4,2.6,2.6,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.9,2.9,3,3,3.1,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.4,3.4,3.5,3.6,3.7,3.7,3.8,3.7,3.7,3.8,3.7,3.7,3.7,3.8,3.9,3.9,4,4.2,4.3,4.4,4.6,4.6,4.6,4.8,4.7,4.6,4.6,4.5,4.6,4.6,4.8,4.7,4.8,4.9,4.8,4.8,4.9,4.9,5,5,5,4.9,4.9,4.9,4.9,4.4,4.4,4.4,4.4,4.5,4.6,4.6,4.8,5.3,5.2,5.1,5,5.1,5.1,5.1,5.1,5.2,5.2,5.3,5.3
"18","10","Income receipts on assets","W058RC1",6.7,7,7.3,7.6,8,8.3,8.5,8.6,8.8,9.1,9.1,9.4,9.3,9.5,9.8,10.2,10.9,11.5,12,12.7,13.7,14.5,15.1,15.5,16.1,16.4,16.7,16.6,16.5,16.6,16.8,16.7,17.7,18.4,19.1,19.6,21.2,22.9,24.2,26.1,28.6,30.2,32.3,34.2,37.2,39.3,41.8,44.2,47.2,49.7,52.5,55.3,58.1,59.6,60.9,61.9,63.6,64.8,66.9,69.3,71.4,74.7,76.4,79,82.1,84.4,87.5,89,91,91,92.7,89.6,88.1,87.5,86.6,84.7,93.6,88.9,89.9,93.2,93.7,94.8,97.7,95.4,95.8,95.2,96.9,107.8,100.4,97.6,97.4,93.5,92.3,90,88.4,88.1,88.7,88.2,87.8,86.2,86.2,86.6,87.5,88.1,90,92.3,93.3,96.1,98.4,99.2,101.8,101.9,103.1,104.1,104.1,103.1,102.8,102.6,102.9,102.7,103.1,104.4,107,110.8,116.6,119.6,120.6,121.2,120.6,117.7,114.8,109.2,104.4,100.7,99,97.2,95.2,97.3,97.6,99.2,98.2,100.3,102.8,107.4,109.8,113.7,117.8,122.1,128.4,134.5,138,143.7,149.1,151.1,153.4,151.8,147.9,144.5,137.7,128.2,134.5,139,133.6,138.2,132.2,136.1,140,140.4,138.1,136,135.1,133.2,130.6,127.8,126.9,126.8,146.9,372.4,166.3,264.4,178.7,150.6,133.6,139,122.8,122.1,147.9,123.1
"19","11","  Interest and miscellaneous receipts","W059RC1",6.7,7,7.3,7.6,8,8.3,8.5,8.6,8.8,9.1,9.1,9.4,9.3,9.5,9.8,10.2,10.9,11.4,12,12.7,13.7,14.5,15,15.5,16,16.4,16.6,16.5,16.5,16.5,16.8,16.7,17.7,18.4,19.1,19.6,21.2,22.8,24.2,26,28.5,30.1,32.2,34.1,37.1,39.2,41.7,44.1,47.1,49.6,52.3,55.2,58,59.5,60.7,61.7,63.5,64.6,66.7,69.1,71.2,74.5,76.3,78.9,81.9,84.2,87.3,88.9,90.9,90.8,92.5,89.5,88,87.4,86.4,84.5,93.5,88.7,89.8,93,93.6,94.6,97.5,95.2,95.6,95,96.6,107.4,100.1,97.3,97.1,93.1,91.9,89.6,87.9,87.6,88.1,87.6,87.2,85.5,85.5,85.9,86.7,87.2,89.2,91.4,92.3,95,97.2,97.9,100.3,100.5,101.6,102.6,102.5,101.5,101.2,101,101.2,101.1,101.5,102.9,105.5,109.3,115.2,118.3,119.4,119.8,119.1,116.3,113.4,107.8,103,99.2,97.4,95.6,93.4,95.6,95.9,97.5,96.5,98.6,100.9,104.6,107.6,111.5,115.6,119.8,126.1,132.1,135.6,141.3,146.7,148.8,151,149.4,145.1,141.8,134.9,123.8,119.5,116.2,112.5,113.6,115,117.4,119.2,119.8,117.1,115.2,113.6,110.8,106.6,103.2,102.3,102.2,101.7,102,103,103.4,103.9,105.4,106.8,107.6,107.3,107.4,110,109.5
"20","12","    Interest receipts \2\","Y703RC1",5.6,5.9,6.2,6.5,6.8,7.1,7.2,7.4,7.4,7.7,7.7,7.9,7.8,8,8.3,8.7,9.2,9.7,10.1,10.8,11.6,12.4,12.9,13.3,13.8,14.1,14.3,14.2,14.1,14.1,14.4,14.2,15.3,15.8,16.5,17,18.5,20,21.3,23,24.8,26.3,28.1,29.8,31.3,33.2,35.4,37.6,40,42.1,44.4,46.8,49.3,50.7,52.2,53.5,55.1,56.2,58.1,60.2,61.7,64.8,66.3,68.7,71.9,74.2,77.5,79.1,81.1,81.2,83.1,80.3,78.9,78.7,78.2,76.9,85.8,81.4,82.7,86,86.5,87.6,90.4,88.1,88.5,87.8,88,99.7,92,89,88.7,84.8,83.1,81.6,79.9,79.6,80,79.4,78.9,77.1,77,77.5,78.7,79.7,81.9,84.2,84.6,87.3,88.8,89.3,91.3,91.6,92.3,93.3,93,92.4,92.1,92.3,92.2,92.4,93.1,94.2,96.1,99.3,104.2,106.7,106.2,105.5,103.6,100.8,98.1,94.7,89.9,86.3,84.2,82.5,80.4,81,80.9,81.5,80.4,81.6,83.9,86.2,88.8,92.1,95.6,100.2,105.5,110.8,116,121.6,126,127.8,127.5,124,118.4,113,108.5,102.2,99.8,97.6,95.6,95.8,97.1,98.4,99.6,99.5,96.3,93.9,91.2,88.7,84.3,80.7,79.8,79.5,80.4,80.8,81,81.1,81.1,81.7,82.3,83.6,84.8,85.2,87.1,87.1
"21","13","    Rents and royalties","Y704RC1",1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.7,1.8,1.8,1.9,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.9,3,3.7,3.9,4.1,4.3,5.8,6,6.3,6.6,7.2,7.6,7.9,8.3,8.7,8.7,8.6,8.2,8.4,8.4,8.6,9,9.5,9.8,10,10.1,10,10,9.9,9.8,9.8,9.6,9.4,9.2,9.1,8.7,8.2,7.6,7.7,7.3,7.1,7,7.1,7.1,7.1,7.1,7.1,7.2,8.6,7.7,8.1,8.3,8.4,8.3,8.8,8,8,8,8.2,8.2,8.3,8.5,8.5,8.3,8,7.5,7.3,7.2,7.7,7.7,8.4,8.5,9.1,8.9,9.4,9.2,9.4,9.2,9.1,8.7,9,8.7,8.4,8.7,9.4,10,11,11.6,13.2,14.4,15.5,15.5,15.3,13,13.1,12.9,13.2,13.1,13,14.6,15,16,16.1,17,17,18.5,18.8,19.4,20,19.6,20.6,21.3,19.6,19.8,20.8,21,23.5,25.4,26.8,28.8,26.4,21.5,19.7,18.6,16.9,17.8,17.8,19,19.6,20.4,20.9,21.3,22.4,22.1,22.3,22.6,22.5,22.7,21.3,21.2,22,22.3,22.8,23.7,24.5,24,22.4,22.3,23,22.4
"22","14","  Dividends","W065RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,1,1.1,1.2,1.3,1.5,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.3,1.2,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.8,1.7,1.7,1.7,1.7,1.7,1.9,2.7,2.1,2.2,2.2,2.3,2.3,2.4,2.3,2.3,2.4,2.3,2.4,2.5,2.8,2.7,2.8,4.5,15,22.8,21.1,24.6,17.3,18.6,20.8,20.6,21,20.7,21.6,22.4,24,24.6,24.6,24.6,45.2,270.4,63.3,161,74.8,45.2,26.7,31.4,15.5,14.7,37.9,13.6
"23","15","Current transfer receipts","W060RC1",2.5,2.6,2.6,2.7,2.7,2.8,2.7,2.7,2.8,2.9,2.9,3,3.3,3.4,3.5,3.6,3.8,3.8,3.4,3.5,3.9,4.1,4.2,4.3,4.5,4.6,4.7,4.9,5.3,5.4,5.5,5.7,6,6.2,6.7,6.9,7.4,7.7,7.9,8.1,8.6,8.8,8.9,9.1,9.6,9.9,10,11.7,11.7,11.4,11.7,11.9,13.3,13.8,14.2,14.7,15.2,15.7,16.2,16.9,17.9,18.5,18.9,19.2,20.1,26.2,21.1,21.5,30.1,22.8,22.3,24.8,25.4,26.7,26.3,26.7,25.7,26.3,27.5,28.6,29.9,30.8,32.6,33,33.4,33.9,35.7,38.4,41.5,42.8,44.6,46.4,47.4,47.8,49.1,54,53.2,53.5,54.1,56.1,58.8,58.4,59.6,58.4,57.8,57.5,57.5,57.4,58.7,60.4,62.1,81.4,65,66.5,72,68.6,70.2,69.7,71.8,84.9,77.9,79.7,81.3,83.6,89.8,90,92.2,93.6,95.1,96.1,98.3,99.9,102,102.5,103.6,104.3,106.3,108.4,110.3,112.9,116.8,119.6,121.6,121.3,123.3,125.3,126.3,128,132.8,135.6,137.4,138.3,141.8,142.6,144.7,146.8,150.1,152.8,152.1,170.9,175.5,186.7,167.3,171.5,172.4,174.1,177,175.7,176.7,178.9,176.8,174.6,172.6,169.1,164.3,174.5,185.7,185.2,184,213.8,187.8,224,232,185.3,184.3,198.4,180.8,265.8
"24","16","  From business (net)","W061RC1",1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.5,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.9,2,1.6,1.6,2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.5,2.4,2.4,2.5,2.7,2.8,3.2,3.3,3.7,3.9,4,4.1,4.4,4.5,4.6,4.6,5,5.1,5,6.4,6.1,5.6,5.6,5.7,6.6,6.9,7,7.2,7.5,7.7,7.9,8.4,9.1,9.4,9.6,9.7,10.3,16,10.5,10.5,18.7,11.1,10.2,12,12.7,13.8,12.8,13,11.5,11.6,12.4,13.2,14,14.5,15.9,16,16.1,16,17,18.8,20.6,20.7,21.5,22.2,22.4,22,22.7,27.1,25.1,25.1,25.4,26.9,28.7,27.7,28.4,26.8,25.9,25.1,24.6,23.9,24.7,25.8,26.8,45.5,27.8,28.5,33.4,29.6,31.1,30.4,31.8,43.9,35.6,36.2,36.2,37.8,41,41.8,42,42.8,42.8,43.2,44.2,45.2,46.6,45.9,45.9,46.6,47.2,47.6,48.6,49.7,51.5,52.5,53,52.5,52.2,53.1,53.4,54.9,56.7,57.7,58.8,59.9,60.9,60.9,61.6,64.5,67.1,67.2,66,82,85.8,100.3,82.9,84.9,85.4,84.5,89.2,89.7,91.8,89.6,90,85.5,80.5,73.5,66.6,69.6,86.4,88.8,84.9,107.6,82.2,79.5,133.1,84.3,80.1,86.3,81.2,162.8
"25","17","  From persons","W062RC1",1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.6,2.7,2.8,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.3,4.4,4.5,4.6,4.8,5,5.3,5.6,5.9,6.1,6.3,6.7,6.9,7.2,7.5,7.7,8,8.3,8.5,8.8,9.1,9.3,9.5,9.9,10.2,10.6,11,11.3,11.7,12.1,12.7,12.7,12.9,13.5,13.7,14.2,14.8,15.1,15.4,15.9,16.3,16.7,17.1,17.3,17.9,18.7,19.6,20.9,22.1,23.1,24.2,25,25.8,26.4,26.8,28,28.3,28.7,29.2,30.1,30.7,31.2,31.6,31.9,32.3,32.9,33.5,34,34.6,35.2,35.8,37.2,38,38.6,39,39.1,39.3,40,41.1,42.3,43.5,44.7,45.8,46.9,48.1,49.3,50.6,51.5,52.5,53.4,54.3,55.2,56,56.8,57.6,58.5,59.7,61.1,62.7,64.8,66.4,67.7,68.7,70.3,71.2,72.1,73,75.1,76.1,77.2,78.1,79.8,80.6,81.4,82,82.2,82.7,83,83.2,83.3,83.5,83.6,83.7,84,83.9,83.8,83.7,84.2,84.8,85.8,87.1,89,90.9,92,92.4,92.2,92.3,92.7,93.4,94.4,95.2,95.7,95.9,97,97.2,97.8,98.7
"26","18","  From the rest of the world \3\","LA0000141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.4,0,1.9,0,0.8,0.2,0.7,0.4,0.7,0.4,0.2,0.6,1,0.2,0.6,1.1,0.6,0.4,0.4,0.7,1,0,0.8,1.1,0.8,0.1,1,1.7,1.4,0.2,1.1,1.1,1.7,0.3,0.8,3,3.1,5.8,6.5,2.9,0.8,2.8,3,5.7,4,2.3,0.7,4.4,1,2,3.1,4.7,5.7,12.5,7.1,4.1,6.5,12.8,11.1,49.3,3.1,5.1,7.2,14.8,1.8,4.4
"27","19","Current surplus of government enterprises \4\","A108RC1",0,0,0,0,-0.7,-1.3,-1.3,-1.5,-1.9,-1.4,-1.8,-1.7,-1.6,-1.3,-1.1,-0.7,-1.6,-2,-2.4,-2.8,-2.7,-2.1,-2.7,-3.2,-4,-4.2,-4.6,-4.7,-2.7,-2.7,-2.6,-2.7,-3,-3.1,-3.6,-3.7,-3.6,-3.2,-1.9,-2.7,-2.8,-2.9,-3.1,-4,-4.1,-4.8,-5.1,-6.2,-6.6,-4.6,-5.1,-4.4,-3.8,-3.7,-3.9,-3.8,-3,-2.5,-2.1,-1.6,-2.1,-1.6,-1.3,-0.5,0.2,1.5,1.8,1.6,1.9,2,2,2.1,2.5,2.2,2,2,1.7,5.9,6,6.5,6.5,6.7,6.6,6.8,4.6,3.3,2.8,2.2,5.5,8,8.2,9.6,9.4,10.2,10.7,9.4,9.1,11.3,11.1,11.6,12.2,12.1,11.7,11.3,15.7,15.4,15.6,15.8,16.5,16.7,17.2,17.3,17.4,18.1,17.3,17.1,16.4,16.7,16.6,15.4,17.3,16.7,16.2,14.5,14.2,12.8,9.4,6.5,5.8,4,8.8,2.2,4.3,4.8,9.8,9.1,6.1,4.5,3,2,0.1,-0.9,-2.7,-3.7,-4.9,-5.7,-7.3,-7.6,-5.9,-8.1,-10.4,-12.8,-15.7,-15.7,-15.6,-18.8,-20.2,-21.2,-21.5,-21.9,-21.8,-20.4,-19.5,-20.7,-21.2,-22.6,-23.5,-24.3,-24.5,-24.1,-24.6,-24.9,-21.3,-19.4,-18.2,-18.3,-17.7,-18.7,-18.8,-19.9,-17.6,-18.4,-18.4,-18.6,-16.6,-16.1,-16,-17.4
