"","Table 5#5#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"34","25","  Other equipment","A682RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52,5.4,-4.83,1.82,0.17,0.18,-0.47,-1.72,4.65,0.85,-1.43,0.21,2.21,-2.01,-0.04,1.63,3.95,2.9,2.99,3.06,-1.48,0.31,1.63
"35","26","    Furniture and fixtures","A667RW2",-1.3,-2.15,-2.65,-0.81,2.66,0.76,1.11,0.98,-0.7,0.54,0.99,1.12,-1.6,-1.09,0.28,1.6,2.36,0.79,-0.35,-0.25,0.21,0.79,-0.14,-0.15,0.45,0.72,0.31,-0.35,0.02,0.16,0.13,-0.14,0.26,0.54,0.39,0.43,0.5,-0.01,-0.1,0.4
"36","27","    Agricultural machinery","C268RW2",-0.52,-4.37,-3.48,-2.66,3.63,5.61,3.36,2.26,-1.1,-1.2,1.5,3.18,-2.31,-4.26,8.97,1.58,-1.91,3.9,2.1,-0.03,0.06,-0.07,-0.57,-0.64,-0.92,0.89,-1.08,-0.16,1.26,0.27,-1.39,0.12,0.36,1.31,0.5,0.55,0.93,0.05,-0.41,0.03
"37","28","    Construction machinery","C269RW2",-0.41,-0.98,-1.69,-0.57,1.24,1.43,1.46,0.54,-0.58,-0.18,0.75,0.39,-0.88,-0.86,0.7,4.63,0.85,0.49,0.69,-1.34,0.45,0.28,0.51,-0.49,-0.66,1.1,0.76,-1.02,0.11,0.68,-0.96,-0.2,0.26,1.15,0.87,0.66,0.49,-0.5,0.17,0.37
"38","29","    Mining and oilfield machinery","C270RW2",-1,-1.07,-0.32,0.14,1.15,1.21,1.43,-0.2,-0.92,0.38,0.62,1.54,-1.55,-0.18,1.27,2.41,-1.36,0.04,0.39,-0.48,0.27,0.4,0.01,-0.18,-0.21,0.61,0.08,-0.12,-0.74,0.3,-0.17,-0.14,-0.04,0.36,0.18,0.18,0.07,-0.35,0.03,0.05
"39","30","    Service industry machinery","C570RW2",-0.67,-0.61,-1.36,0.05,0.77,0.89,1.64,0.5,-0.93,0.53,0.38,0.01,-0.67,0.46,1.79,1.88,1.55,2.88,2.29,-2.36,0.32,-0.77,0.31,0.87,-0.21,0.71,0.62,0.18,-0.62,0.08,0.02,-0.04,0.26,-0.05,0.4,0.72,0.53,-0.04,0.18,0.43
"40","31","    Electrical equipment, n.e.c.","A670RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,-0.03,-0.01,0.34,-0.16,-0.07,-0.02,-0.11,0.16,0.1,0,-0.17,0.05,0.06,0.04,0.08,0.29,0.09,0.16,0.02,-0.21,0.09,0.08
"41","32","    Other","C286RW2",-0.41,-0.67,-0.84,0.06,0.53,0.52,0.63,-0.36,-0.3,0.37,0.65,0.6,-0.68,-0.42,0.31,0.57,1.65,0.9,0.3,-0.36,0.18,-0.3,0.13,0.14,-0.06,0.45,0.06,0.03,0.34,0.68,0.29,0.31,0.44,0.36,0.47,0.29,0.52,-0.43,0.34,0.27
"42","33","  Less: Sale of equipment scrap, excluding autos","C287RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64,0.38,-0.09,-0.16,-0.04,0.1,-0.17,0.24,-0.3,-0.04,0.07,0.12,-0.19,-0.13,-0.2,-0.03,-0.18,-0.17,-0.2,-0.08,0.17,-0.02,-0.14
"43","34","Residential equipment","B013RW2",-0.18,-0.07,-0.56,0.28,0.63,0.53,0.35,0.2,-0.27,0.26,0.3,0.36,-0.61,-1.14,-0.33,0.31,1.55,0.92,0.07,-0.11,0.48,-0.15,-0.01,0.09,0.05,0.25,0.18,0,0.1,0.28,-0.12,0.01,0.1,0.19,0.12,0.19,0.03,0.03,0.25,0.2
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. For 1929-45, includes electrical transmission, distribution, and industrial apparatus (line 16) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","electrical equipment, n.e.c. (line 31).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
