"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"11","3","  Personal current taxes","A074RU1",20.7,27.1,23.5,20.3,20.6,25.8,22.9,19.6,18.4,23.4,23.5,20.6,21.6,29.4,27.3,24.5,23.8,27,30.5,28.3,25.8,33.1,35.4,32.3,27.7,27.5,34.2,31.4,28.2,37.9,39.7,35.7,33.1,46.6,43.1,39.8,36.1,53.8,51.2,48.1,45.4,64.8,58.6,56,51.9,69.9,65.7,63,59.6,84.5,74.8,72.1,66.7,85.9,76.2,66.7,68.6,74.6,74.8,68.7,67.8,77.2,80.6,76.2,78.4,87.6,88.7,81.7,78,93,93.4,86.2,82.6,121,99.2,90.1,88.7,117.9,100.4,96.9,93.8,145.5,112,101.7,95.3,148.7,117.6,110.5,92.9,138.8,121.8,110,96.6,138.1,127.3,115.5,117.1,131.3,135.9,123.4,128.5,144.1,142.1,130.3,133.9,167.2,150.3,138.9,142,202.3,169.4,154.7,157.4,234.3,186.7,171.4,175,269.5,204.7,182,188.3,283.8,218.5,207,193.9,345.1,243.6,217.3,214.6,362.7,201.2,217.7,172,244,220,196.9,169,227.8,192.1,189.6,162.3,219,215.4,206.5,178.9,293.6,238.8,225.4,198.4,358.3,256.9,240.9,223.2,395.6,285.1,265.9,222.3,417.8,287.3,246.9,170,254,238.2,202.3,186.7,259.4,252.4,243.1,222.1,343.1,289.7,274.2,205.3,355.4,301.8,302.2,229.9,432.7,330.9,307.1,262.2,449.6,351.8,333.3
"12","4","  Taxes on production and imports","W007RU1",4.1,4.6,4.4,4.6,4.2,4.7,4.5,4.7,4.7,4.9,4.7,4.7,4.3,4.7,4.6,4.8,4.7,5,5,5.1,4.8,5.1,5.1,5,4.7,5.5,5.8,6,5,5.5,5.5,5.4,5.3,5.7,6,5.8,5.7,6.5,6.5,6.6,6.3,6.3,6.5,6.6,6.5,8.6,9.3,9.3,12.2,13.2,12.3,12.2,10.6,10.3,9.9,10.2,9.8,11.4,11.5,11.7,11.5,11.9,12.1,11.9,11.4,11.4,11.8,11.4,10.9,10.7,11.2,11,10.9,11.2,11.9,12,12.2,12.6,12.4,12.6,13.1,12.4,11.8,12.4,12.6,12.7,12.1,13.6,14.6,15.3,15.9,16,15.4,15.3,16,16.5,15.2,16,16.8,18.3,18.9,19.5,20.1,20.5,18.5,18.7,19.4,19,18,17.8,18.2,18.9,17.5,19.8,20.4,20.2,19.3,20,20.7,20.7,19.7,20.3,21.5,22,21,21.9,22.4,21.9,21.1,21.5,21.4,21.3,20.7,21.5,22.4,22.2,21.9,22.3,23.4,22.5,22.8,23.5,25,24,23.5,25.1,26.2,24.6,23.9,24.7,26.1,24.6,21.8,23.3,24.9,24.5,22.6,23.5,24.2,23.6,21.6,23.8,21.3,24.7,21.1,24.3,25.7,25.7,25,27.1,28.8,27.7,27.3,28.6,30,29.2,29.9,30.7,33.1,32.2,33.3,33,36.2,35.4
"13","5","  Taxes on corporate income","B075RU1",8.8,9.6,8.7,9.1,7.1,8.1,7.7,7.7,7.7,8.9,8.2,8.6,8.2,9.4,9,10.1,9.9,11.4,10.7,11.2,9.7,11.8,12.5,11,8.3,10.6,12.2,12.4,12.3,14.5,14.1,13.6,12.6,16.8,16.7,15.4,14.5,19.1,18.4,19.3,17.1,19.6,19,18.7,18.3,16.2,17.3,18.5,16.5,16.5,17.2,15.5,10.6,12.8,13.3,12.4,10.8,15.2,17.1,18.2,17.7,20.7,18.6,18.2,17,19.3,21.2,18.8,19,21.4,21.5,22,22,26.6,28.4,26.1,24.6,27.8,29.4,29.3,30.2,30.1,29.1,27.8,26.6,30.3,32.6,28.6,25.9,27.8,29.2,27,28.9,31.7,28,30.2,30.1,35.5,35.5,37.5,32.7,39.4,42.7,42,41,46.3,48.5,43.5,44.1,50.1,50,46.4,46.2,51.3,55,50.5,48.6,52.6,54.2,48.8,49,54.6,55.5,53.9,56.2,58.3,55.1,49.8,43.2,45.6,40.5,35.4,36.5,40.7,39.8,33.4,43.3,48.6,52.4,53.4,51.6,60.9,64.9,72.9,76.1,84,89.9,90.9,95.4,101.6,106,92.1,91.7,104.3,92.8,74.1,66.5,72.2,64.4,30.6,35.9,46.8,57.5,60.3,69.2,72,79.7,77.8,75.8,77.2,72.9,73.5,87.9,94.2,91.8,89.3,88.6,98.5,97.5,94.6,96.6,111.3,108.3,101.8
"14","6","  Taxes from the rest of the world","W008RU1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.6,0.6,0.8,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.5,1.2,1.2,1.2,1.5,1.2,1.2,1.4,2,1.3,1.4,1.5,1.6,1.7,1.8,1.7,2.1,1.8,1.7,1.9,2.2,1.8,1.9,1.9,2.1,1.8,2.6,2,2.6,2.4,2.2,2.1,3.3,2.8,2.6,3.4,3.4,2.8,2.9,3.1,5.7,3.3,3.7,3.5,4.7,4.1,4.1,4.1,6.5,3.9,3.9,3.3,3.7,3.5,3.8,3.6,4.7,3.9,3.8,4.5,4.6,4.2,4.3,4.4,5.3,4.7,4.7,5,4.9,5.7,5.1,5.6,5.3
"15","7","Contributions for government social insurance","W780RU1",12.1,12.6,10.3,8.3,13.3,13.2,10.6,8.3,14.9,14.7,11.6,9.1,17.1,16.8,13.6,10.7,21.5,20.9,17.7,14.5,23.3,23.4,20.3,17.1,24.4,24.4,21,18.3,27.6,27.7,23.6,20.9,30.7,31,26.7,22.7,35.9,36,30.4,26.4,40.8,40.7,35.7,32.5,44.6,44.1,38.6,36.3,52.2,51.9,45.9,43.1,56.4,55.7,48.8,45.2,60.1,59.6,53.4,49.9,71.1,67.7,60.1,55.2,77.3,75.8,64.9,59.9,82.1,80.7,70.2,65.9,86,86.4,73.7,71.3,96.8,96.1,84,77.9,102.9,103.1,88.1,83.8,110.3,109.2,93.6,88.9,113.1,115.1,98,94.4,119.2,121.6,101.8,101.4,123.5,128,106.8,107.2,132.4,135.8,114.7,113.3,143.5,142.3,119.2,116.9,148.6,148.7,124.2,123.9,157.2,157,131.7,133.6,166.1,167.7,139.4,144.3,173.7,178.1,150,153,190.4,190.3,159.6,158.2,200,198.8,162.5,162,201.8,202.4,168.3,166.9,206.4,207.4,173.1,176.3,217.3,218.9,183.9,188.8,230.8,232.8,196.4,193.4,248.9,246.5,204.3,206,259.9,259.1,213.9,214.4,268.8,267.2,220.4,218.1,263.5,259.3,213.7,214.4,261.4,264.4,222,223.1,251.3,245.6,208.1,199,268.3,252,209.7,208.2,306.7,294.7,247.1,244.9,321.7,311.4,259.6,252.5
"16","8","Income receipts on assets \1\","W009RU1",0.6,0.7,0.7,0.8,0.7,0.8,0.8,0.9,0.8,0.9,0.9,1.1,0.9,0.9,0.9,1.1,1,1,0.9,1.1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.5,1.4,1.5,1.6,1.6,1.6,1.8,1.8,1.9,1.9,2.2,2.3,2.5,2.5,2.6,2.9,3.2,3.1,3.4,3.7,4.2,4.3,4.5,5,5.5,5.7,5.8,6,6,6,6,6.2,6.5,6.6,7,7,7.1,7.2,7.3,7.8,7.9,8.1,7.9,8.4,7.7,7.4,7.3,7,6.5,8.5,7.1,7,7.6,7.2,7.1,7.6,6.9,7,6.8,6.9,9.9,8.1,7.5,7.6,6.8,6.6,6.4,6.2,6.4,6.7,6.7,6.7,6.5,6,5.8,6.2,5.5,6,6,6.4,5.5,6.7,6.4,7.7,5.8,6.3,6.1,7.5,5.6,5.3,5,6.6,4.5,4.8,4.9,6.5,4.9,6.1,6.1,7.3,6.1,7.1,6.8,7.5,5,4.2,5.3,8.2,4,5.4,5.9,6.9,5.4,5.8,6.4,7.3,5.9,6.7,7,8.1,5.5,6.7,7.5,8.2,6.6,8.1,8.1,9.7,7.5,8,8.6,11.7,5.6,10.1,12.6,14.2,11.7,12.1,13.1,16.1,13.3,14.4,14.2,15.3,12.5,13.2,13,13.8,12.6,18.1,74.4,24.3,46.4,25.9,18.6,16.2,14.2
"17","9","Current transfer receipts \2\","W011RU1",0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,1.1,0.9,0.7,0.8,0.8,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.8,3.2,1.8,1.8,1.8,1.9,1.7,2.2,2.4,2.7,2.5,2.6,2.2,2.3,2.5,2.6,2.7,2.8,3.1,3.1,3,3.1,3.4,3.8,4.1,4.2,4.4,4.4,4.4,4.3,4.4,5.3,5.1,4.5,5.1,5.3,6.3,5.6,5.6,4.1,4.8,4.1,4.4,4.3,4.7,4.2,4.8,9,5.6,4.8,5.3,4.4,5.7,5,5.9,4.9,5.6,5.2,5.9,5.6,6.7,5.9,6.8,5.4,6.3,5.6,6.5,7.1,6.3,6.7,6.4,5.5,6.5,6.9,6.5,6.4,7.3,7.5,7.2,7.6,7.8,8.2,8.3,8.3,9.3,10.1,9.5,9,10.2,10.4,10.5,10.9,11.1,11.9,11.5,15.2,16.5,19.6,14.7,16.4,16.9,16.9,17.6,16.8,17.3,17.8,17.3,14.7,15.2,14.7,12.3,13.9,17.4,18.1,17.3,18.3,17.1,13.6,25.3,24.6
"18","10","Current surplus of government enterprises \3\","B097RU1",-0.3,-0.3,-0.4,-0.2,-0.5,-0.7,-0.8,-0.5,-0.8,-0.6,-0.9,-0.5,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.9,-1,-0.9,-0.8,-0.7,-0.9,-1,-1.2,-1.1,-1.1,-0.8,-0.8,-0.7,-0.6,-0.8,-0.9,-1,-0.8,-1,-0.9,-0.7,-0.3,-0.5,-0.7,-0.8,-0.6,-0.8,-1,-1.1,-0.8,-1,-0.8,-0.7,-0.2,-0.3,-0.6,-1,-0.3,-0.5,-0.5,-0.7,-0.3,-0.6,-0.7,-0.9,-0.5,-0.7,-0.5,-0.5,0.1,-0.1,-0.1,-0.4,0.1,-0.2,-0.3,0.1,-0.1,0.1,0.4,0,0.2,0.2,0.3,1,-0.5,-0.8,-0.5,-0.4,-0.7,0.6,0.9,0.1,0.6,0.9,1,0.5,1.8,0.2,0.2,3,0.1,0.1,0.1,3.1,0.7,0.6,0.5,3.7,0.3,0.1,0.2,3.6,0.5,0.7,0.7,4.2,0.9,1,1,4.4,1.1,1,1,4.4,0.7,0.7,0.7,4.3,-0.4,-0.5,-0.5,3.3,0.5,0.5,0.5,4.4,1.6,1.6,1.8,1.9,1.5,1.5,1.4,1.9,0.1,0.1,0,0.5,0.3,0.3,0.3,0.5,0.7,0.6,0.6,0.6,0.2,0.2,0.2,0.2,0.1,0.9,0.1,0,-0.2,-0.4,-0.4,-0.6,-1.7,-1.8,-1.7,-1.9,-1.8,-2,-2,-2,-3,-2.9,-3,-2.9,-2.5,-2.4,-2.5,-2.4,-2.4
"19","11","    Current expenditures","W013RU1",45.9,49.4,51.5,50.1,50.7,55.7,57.4,56.1,57.2,61.7,61.3,61.4,64.2,67.4,66.6,69.7,70.3,72.4,72.6,71.7,75.6,79.5,80.2,83.8,89.3,95.1,93.1,96.3,99.4,99.1,100.6,103.4,105.6,107.2,109.5,113.5,117.3,119.7,121.2,125.5,128.1,130.6,133.9,139,147.5,151.4,157.2,163.9,172.3,173.1,177.5,184,189.4,191.2,195.7,206.9,208.8,212.1,212,216.9,222.1,222.6,224,234.8,239.7,241.3,241.9,248.6,250.8,260,259.1,260.6,263.2,263.8,262,273.6,277.8,277.6,272.6,291.7,297.2,299.3,294.3,308.3,319.2,322.2,317.9,329.3,321.7,337.9,337.1,357.3,367.9,368.5,366.7,383.9,382.8,384.2,383.6,392.2,396,389.6,394.5,402.9,416.1,418.6,412.2,411.3,434.1,426.3,422.6,431.8,443.7,438.1,430.4,446.3,451.8,443.2,437.9,454.1,462.7,455,452.5,468.6,483.9,477.2,466.9,483.6,512.5,500.9,495,509,538.8,531.7,526.8,543.9,570.5,575.9,564.4,587.3,619.4,599.3,596.3,611.7,665,644,643.4,655.9,711.9,689,681.5,682.3,752.1,729.1,719.8,731.8,796.2,849.1,792.4,775.7,853.6,883.8,871.1,878.7,982.7,929.4,925,934.9,1008.8,964.4,924.3,920.8,992.2,941.7,924.7,930.6,987.7,943.5,934.3,916.8,1011.8,963.9,971.1,949.8
"20","12","Consumption expenditures","A957RU1",23.5,25.8,25.7,25.4,24.7,26.1,25.3,26.2,25.7,27.5,26.2,27.2,28.1,28.7,27.6,27.7,28.2,28.8,28.2,28.8,29.5,30,30.8,32.2,32.3,33.2,33.3,34,34,34.8,34.4,35.8,35.8,37.3,37.7,38.7,38.9,40.5,40.9,41.7,42.3,43.9,43.9,45.8,47.5,50.7,50.7,53.3,55,57.5,58.2,60.6,61.6,62.2,64.8,67,67.9,69.4,72.1,68.4,70.1,73.4,73.7,74.9,76.1,77.4,80.9,82.3,81.1,84.1,85.7,85.6,84.8,87,86.1,89.9,88.1,90.3,88.4,94.1,91.1,97,94.8,97.4,98.9,100.5,98.4,103.9,105,107.6,104.9,106.5,104.6,106.8,109.3,109.6,105.3,106.5,108.7,107.2,106.6,104.6,109.9,106.2,107.3,107.3,108.8,104.2,105.4,105.8,108.3,108.9,107.3,110.5,108.7,112.1,104.7,108.8,108.8,114.2,108.3,112.8,115.1,119.3,113.9,121.6,119.5,120,121.5,126.5,125.7,131.7,131.7,139.1,143.4,146.1,148.3,157.8,162,160.4,166.1,166.6,176.1,172.5,177.4,177.2,188.1,180.8,191.4,189.5,192.2,190.8,192.6,196.3,204.7,204.9,210.6,214.5,227.5,227.2,221.4,234.7,238.1,239.6,239.7,251.7,257.4,255.1,244.2,255,256.6,250.3,248.6,250.9,260.6,247.8,240.8,242.3,245,233.2,237,235.8,249.1,233.4
"21","13","Current transfer payments","W014RU1",15.4,16.6,15.9,16.7,17.8,21,20,20.8,22.4,24.9,23.3,24.4,26.3,28.5,25.3,31.3,31,31.9,30.6,31.1,33.8,36.9,36.6,38.3,43.1,47.9,45.7,47.4,49.9,48.7,50,51.1,52.8,52.5,53.6,55,58,57.9,58.1,59.9,61.8,62.1,65,67.1,72.1,71.7,77.4,79.6,83,80.7,82.8,84.5,87.6,88,88.9,95.8,97,97.4,93.2,96.5,99,98.4,96.8,102.8,104.6,104.2,103.9,107.2,109.7,110.7,112.5,112.4,112.7,113.3,112.5,114.1,121,120.6,118.3,121.9,130.9,129.9,128.6,132.9,142.4,143.9,141.8,142.9,135.1,148,152.6,162.9,179.4,178.9,177,184.9,191.1,190.4,187.4,198.4,203.8,197.8,195.7,205.3,214.3,214.7,205.8,208.9,230.1,222.4,215.3,223.6,237.3,228.1,221.6,233.8,246.7,233.9,228.5,240,255.6,242.9,238.4,249.4,270.1,255.4,247.8,264.3,292.4,278.2,272.1,287.1,319.9,307.5,298.2,311.9,338,330.9,317.6,341.4,367.5,346.8,331.6,347.3,393,366.3,354.3,366.3,417.9,392.9,379.7,386.9,450,413.6,400,415.1,473,522.1,449.4,451.6,543.2,542.5,523.8,533.4,641,567.6,558.4,566.3,647.3,580.8,548.1,550.8,627.3,563.2,552.1,558.2,635,576.5,568.5,566,655.2,595.3,596.1,597.4
"22","14","  Government social benefits","W015RU1",11.5,11.6,11.5,11.7,12.6,14.7,14.1,14.9,16,17.4,16.5,17,18.4,18,17.1,20.2,21.4,21.3,21,22,24.5,25.7,26.4,28.1,31.8,34,33.8,34.7,37.2,35.7,36,37.1,39.3,37.9,38.3,39.5,41.4,40.5,41.3,42.2,45.2,45,47.3,48.6,53,53.1,58.6,59.1,62.8,61.5,64.7,66,68.9,69.5,71.6,75.9,78.4,78.3,75,75.6,78.7,78.3,77.3,79.1,82.7,82.5,82,82.7,86.6,86.1,87.6,88.3,90.1,90.6,90.8,89.9,96.3,96.7,94.8,95.1,104.8,104.7,102.8,104.5,113.4,113.5,113,113.3,124.1,124.9,123.4,127.8,140.8,139.1,138.3,139.7,149.8,147.4,145.2,147.6,159.4,152.2,151.4,152.8,165.9,166.8,160.3,160.9,179.7,171.8,167.9,170.2,187.3,178.4,173.6,176.4,193.2,180.8,176.6,179.8,197.6,185.1,181.2,184.5,209,193,185.9,194.2,224.4,207.1,206.8,211.9,242.7,228.7,225.4,230.3,255.6,238.6,233.5,250,275.8,252.9,248.3,253.2,296.5,268.8,264.6,265.8,325.4,294.8,289.3,292.1,348.2,312.3,307.3,309.8,369.7,415.8,353.2,341.4,428,405.1,398.9,400.2,501.3,429.5,423.4,420.3,509.8,435.3,427.1,424.7,504.3,435,431.7,430.6,513.1,446.1,442.8,439.9,525.9,457.2,457.7,455.9
"23","15","    To persons","B087RU1",11.4,11.5,11.3,11.6,12.5,14.6,13.9,14.7,15.8,17.2,16.3,16.8,18.2,17.8,16.9,20,21.1,21.1,20.7,21.7,24.2,25.3,26,27.7,31.3,33.6,33.3,34.2,36.7,35.1,35.3,36.5,38.7,37.3,37.6,38.9,40.8,39.8,40.6,41.5,44.5,44.2,46.6,47.8,52.2,52.3,57.7,58.2,61.8,60.5,63.6,64.9,67.9,68.4,70.6,74.9,77.4,77.4,74.1,74.7,77.8,77.4,76.4,78.2,81.7,81.5,81,81.7,85.5,85.1,86.6,87.1,89,89.6,89.8,88.8,95.2,95.5,93.6,94,103.6,103.5,101.5,103.2,111.9,112,111.4,111.8,122.6,123.4,121.9,126.1,139.4,137.4,136.7,138.2,148.3,145.8,143.6,145.9,157.7,150.5,149.7,151,164.4,165,158.6,159.1,177.8,169.9,166,168.3,185.3,176.4,171.7,174.5,191.1,178.7,174.6,177.7,195.5,182.9,179.1,182.4,206.9,190.9,183.7,192,222.1,204.7,204.4,209.5,240.3,226.3,223,227.9,253.1,236.1,230.9,247.4,273.2,250.3,245.6,250.4,293.2,265.9,262.1,263.2,322.3,291.3,285.9,289.7,344.6,308.9,303.4,307.3,365.9,410.8,349.1,338.8,423.8,400.5,395.4,396.5,496.9,425,419.7,416.4,505.3,430.5,423.4,420.7,499.9,430.5,427.1,426.1,508.5,441.4,438.1,435.2,521.1,452.4,452.8,451
"24","16","    To the rest of the world \4\","W016RU1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1,1.1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1.1,1.1,1,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.4,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.8,1.4,1.7,1.6,1.5,1.4,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.5,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,2,1.9,2,2,2.1,2,2.1,2.1,2.1,2.1,2.2,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.7,3.3,2.9,2.5,2.6,3.1,3.6,3.4,2.4,3.6,3.4,3.9,2.4,3.8,5,4.1,2.6,4.2,4.6,3.5,3.7,4.4,4.5,3.7,3.9,4.6,4.8,3.7,4,4.4,4.5,4.5,4.5,4.6,4.7,4.7,4.7,4.8,4.9,4.9,4.9
"25","17","  Other current transfer payments","W010RU1",3.9,5,4.4,4.9,5.1,6.2,5.9,5.9,6.4,7.5,6.7,7.5,7.9,10.5,8.2,11.1,9.6,10.5,9.6,9.1,9.3,11.2,10.2,10.2,11.4,13.9,11.9,12.7,12.6,13,14,13.9,13.5,14.7,15.3,15.5,16.5,17.4,16.8,17.7,16.6,17.1,17.6,18.5,19.1,18.6,18.8,20.5,20.3,19.2,18.1,18.5,18.7,18.5,17.3,19.9,18.6,19.1,18.2,20.9,20.3,20.1,19.5,23.6,21.9,21.7,21.9,24.5,23.1,24.5,24.9,24.1,22.6,22.7,21.6,24.2,24.6,24,23.5,26.8,26.1,25.2,25.8,28.3,29,30.4,28.9,29.6,11,23.1,29.2,35.1,38.6,39.8,38.7,45.2,41.4,43,42.2,50.8,44.4,45.6,44.3,52.5,48.4,47.9,45.5,48,50.4,50.6,47.4,53.4,50,49.7,48,57.3,53.5,53.1,51.9,60.2,58,57.8,57.2,64.9,61.1,62.4,61.9,70.2,68,71.1,65.3,75.2,77.2,78.9,72.8,81.6,82.5,92.3,84.2,91.4,91.7,93.8,83.3,94.2,96.5,97.6,89.7,100.4,92.6,98.1,90.4,94.7,101.9,101.3,92.7,105.4,103.3,106.3,96.3,110.2,115.2,137.4,124.9,133.2,139.7,138.2,134.9,146,137.5,145.5,121.1,126.1,123,128.2,120.5,127.6,121.9,130.3,125.6,126.1,129.2,138.1,138.4,141.5
"26","18","    Grants-in-aid to state and local governments","Q089RU1",3,3.6,3.4,3.6,4.1,5,4.6,4.7,5,6.1,5.3,5.7,6,8.8,6.2,9.5,8.4,8.9,8.1,8.1,8.2,9,8.8,8.9,9.6,11.6,11,11.4,11.8,12,12.2,13.1,12.5,13.5,14.2,14.5,15.3,16.1,15.6,16.4,15.3,15.8,16,16.8,17.1,17.2,17.2,18.2,18.7,17.6,16.4,16.7,16.7,16.9,15.4,17.2,17,17.3,16.1,17.5,18.3,18,16.7,19.4,19.1,18.6,18.2,20.3,20.5,20.7,20.9,20.4,19.9,19.9,18.8,19.8,21.8,21.3,20.6,22,23,22.6,22.4,23.8,25.8,26.1,25.1,27.4,29.7,30.7,30.2,33.5,34.7,35.4,34.6,37,37.5,38.4,37.2,42.6,40.9,41.8,39.6,44.5,44.4,44.5,41.7,43.9,44.8,47.2,43.3,46.2,46.6,46.5,44.5,50.5,50.1,49.9,48.1,52.8,54.4,53.8,53.2,57.7,56.9,58.1,56.8,61.3,64.2,67.5,61,68.5,69.3,74,68.1,75.8,74.9,84.7,77,85.1,82.1,87.1,76.4,86.6,85.7,89.8,79.8,88.1,85,89.3,80.9,85.6,89.5,93.4,84,92.1,91.5,95.8,86.3,97.3,104.6,123.1,109.3,121,123.9,127.4,122.3,131.7,124,129.9,106.7,111.9,109.2,114.8,105.7,114.3,109.4,117.5,110.2,113,116.4,126,124.4,127.9
"27","19","    To the rest of the world \2,4\","W017RU1",0.9,1.3,1,1.3,1.1,1.2,1.3,1.3,1.4,1.5,1.4,1.7,1.9,1.7,2,1.6,1.2,1.7,1.5,1,1.1,2.2,1.4,1.3,1.7,2.3,0.9,1.2,0.8,1,1.9,0.8,1,1.2,1.1,1,1.2,1.3,1.2,1.3,1.3,1.3,1.6,1.7,2,1.4,1.6,2.3,1.6,1.5,1.7,1.8,2,1.6,1.9,2.6,1.6,1.8,2.1,3.5,2.1,2.1,2.8,4.3,2.8,3.1,3.6,4.2,2.6,3.8,4,3.7,2.7,2.8,2.8,4.5,2.8,2.6,3,4.8,3.1,2.5,3.4,4.5,3.2,4.2,3.8,2.2,-18.7,-7.6,-0.9,1.6,3.9,4.4,4.1,8.2,3.8,4.6,5,8.2,3.4,3.8,4.7,8,4,3.5,3.8,4.2,5.6,3.5,4.1,7.2,3.4,3.2,3.5,6.9,3.5,3.2,3.8,7.5,3.6,4,4,7.1,4.1,4.3,5,8.9,3.8,3.6,4.2,6.6,8,4.8,4.7,5.8,7.5,7.6,7.2,6.3,9.5,6.7,6.9,7.6,10.8,7.8,10,12.3,7.6,8.8,9.5,9.2,12.4,7.9,8.8,13.3,11.8,10.4,9.9,12.9,10.6,14.3,15.6,12.2,15.7,10.8,12.7,14.3,13.5,15.6,14.4,14.2,13.8,13.4,14.8,13.3,12.5,12.8,15.5,13.1,12.8,12.1,13.9,13.5
"28","20","Interest payments \1\","A091RU1",6.4,6.7,7,7.4,7.9,8.2,8.6,8.7,8.7,8.7,8.9,9,9.1,9.3,9.5,9.7,10.2,10.7,11,11.3,11.5,11.8,12.2,12.4,12.6,12.9,13.3,13.8,14.2,14.5,14.9,15.3,15.5,15.9,16.4,17.4,18.5,19.3,20.2,21.1,21.9,22.5,23.1,24,25.6,26.8,27,28.1,31.5,32.4,33.9,35.6,36.7,37.7,39,39.3,39.7,40.8,42.5,44,45.7,47.1,49.7,51.3,52.1,53.3,53.6,54.8,55.6,56.1,56.2,56.3,56.7,57.3,58.3,60,61,61.2,62.2,63.5,65.8,67.3,67.8,68.7,70.1,71.3,73.3,74.4,75.2,76,76.1,77,76.6,77,76.9,76.4,77.7,78,78.1,77.7,77.3,79.2,81,83.4,86.1,88,88.9,89.3,89.8,89.3,90.3,90.6,90.5,91.2,91.8,92.1,92.1,91.9,91.6,90,88.3,88.2,87.5,88.2,88.8,89,88.3,87.7,86.6,84.1,81.6,78.9,75.7,76.6,75.4,75.1,73.2,72.8,72.8,73.7,74.9,74.9,77.5,78.8,80.3,85.5,85.8,92.7,88.7,93.8,97.5,92.2,97.7,107.5,102.9,100.1,100.2,100.5,103.4,83.9,76.3,93,93.2,91.2,90.2,96.3,95.3,98.8,102.3,114.1,105.2,104,102.4,113.1,98.2,109.1,96.9,110,106.2,103,105,118.6,111.6,104.8
