"","Table 6#8C# Persons Engaged in Production by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"44","37","    Transportation and public utilities","Q4637C0",5455,5602,5668,5746,5725,5700,5870,6033,6177,6322,6475,6655,6850,7005
"45","38","      Transportation","Q4638C0",3345,3484,3565,3575,3568,3574,3742,3906,4042,4181,4284,4439,4568,4634
"46","39","        Railroad transportation","Q4639C0",276,268,262,246,237,229,221,216,222,208,205,208,208,198
"47","40","        Local and interurban passenger transit","B4640C0",332,359,370,375,377,382,414,437,434,450,488,494,509,495
"48","41","        Trucking and warehousing \3\","Q4641C0",1665,1538,1541,1504,1511,1530,1608,1713,1773,1851,1878,1952,2016,2046
"49","42","        Water transportation","B4642C0",177,173,176,180,186,171,175,179,182,176,182,189,189,196
"50","43","        Transportation by air \3\","B4643C0",574,808,858,907,896,893,929,960,1002,1051,1067,1123,1164,1216
"51","44","        Pipelines, except natural gas","Q4644C0",18,18,18,18,19,19,19,17,15,15,14,13,13,13
"52","45","        Transportation services","B4645C0",303,319,340,345,342,350,375,386,414,429,451,460,468,470
"53","46","      Communications","Q4646C0",1201,1199,1181,1228,1206,1177,1186,1198,1225,1264,1325,1365,1423,1521
"54","47","        Telephone and telegraph","Q4647C0",883,877,851,883,868,838,842,846,853,875,938,959,1009,1086
"55","48","        Radio and television","Q4648C0",317,322,330,345,338,338,344,351,372,389,387,406,414,434
"56","49","      Electric, gas, and sanitary services","Q4649C0",910,920,922,944,951,949,942,930,910,877,866,852,859,850
"57","50","    Wholesale trade","B4650C0",5985,6136,6375,6306,6163,6166,6105,6288,6517,6550,6701,6883,6976,7062
"58","51","    Retail trade","B4651C0",16782,17221,17757,17851,17426,17441,17997,18613,19157,19532,19929,20078,20620,21118
"59","52","    Finance, insurance, and real estate","A4652C0",6911,7015,7047,7134,7062,6990,7139,7224,7182,7270,7382,7592,7756,7796
"60","53","      Depository institutions","Q4653C0",2161,2150,2160,2157,2069,2005,1990,1974,1938,1923,1927,1934,1928,1903
"61","54","      Nondepository institutions","B4654C0",361,360,358,372,378,406,461,487,468,509,565,644,692,669
"62","55","      Security and commodity brokers","B4655C0",501,493,475,471,462,487,530,568,595,619,649,701,762,839
"63","56","      Insurance carriers","Q4656C0",1380,1398,1420,1465,1487,1470,1469,1475,1461,1458,1471,1521,1532,1506
"64","57","      Insurance agents, brokers, and service","B4657C0",738,775,780,810,818,794,821,825,825,840,842,846,838,862
"65","58","      Real estate","B4658C0",1555,1611,1619,1620,1598,1587,1622,1650,1656,1682,1691,1708,1765,1773
"66","59","      Holding and other investment offices","B4659C0",216,227,235,240,250,241,245,247,238,239,238,239,240,243
"67","60","    Services","A4660C0",25918,27150,28578,29550,30028,30609,31800,32960,34291,35587,37051,38510,39641,41110
"68","61","      Hotels and other lodging places","B4661C0",1349,1420,1472,1493,1449,1425,1450,1488,1517,1548,1588,1620,1676,1733
"69","62","      Personal services","B4662C0",1538,1603,1580,1553,1631,1674,1704,1689,1730,1756,1745,1757,1782,1849
"70","63","      Business services","B4663C0",4663,5078,5391,5708,5580,5584,6039,6563,7111,7654,8250,8970,9538,10182
"71","64","      Auto repair, services, and parking","B4664C0",1148,1192,1218,1237,1208,1226,1280,1287,1304,1412,1434,1438,1468,1502
"72","65","      Miscellaneous repair services","B4665C0",544,561,572,592,549,563,595,580,596,581,595,603,567,562
"73","66","      Motion pictures","B4666C0",395,411,451,461,460,468,474,505,558,583,608,640,654,650
"74","67","      Amusement and recreation services","B4667C0",858,883,960,1003,1008,1066,1135,1217,1250,1330,1406,1403,1448,1533
"75","68","      Health services","B4668C0",6600,6729,7085,7393,7709,8076,8329,8526,8721,8958,9165,9282,9395,9525
"76","69","      Legal services","B4669C0",971,1024,1053,1024,1049,1047,1059,1080,1066,1041,1093,1115,1105,1109
"77","70","      Educational services","B4670C0",1521,1546,1591,1602,1643,1743,1796,1843,1896,1943,1987,2081,2147,2246
"78","71","      Social services and membership organizations","A4671C0",3188,3409,3567,3774,4102,3824,3949,4192,4365,4478,4658,4858,5041,5218
"79","72","        Social services","B4672C0",1772,1890,1957,2096,2236,2188,2260,2482,2598,2672,2795,2911,3039,3165
"80","73","        Membership organizations","B4673C0",1415,1520,1610,1678,1866,1636,1688,1710,1767,1805,1863,1948,2002,2052
"81","74","      Other services \4\","B4674C0",2412,2582,2812,2898,2837,3055,3140,3169,3341,3474,3687,3861,3957,4168
"82","75","      Private households","B4675C0",731,712,825,811,803,858,850,821,835,828,834,882,862,833
"83","76","  Government","A4376C0",17237,17642,18045,18372,18422,18338,18281,18290,18396,18407,18532,18701,18844,19101
"84","77","    Federal","A4377C0",5314,5336,5354,5345,5260,5060,4829,4659,4527,4376,4270,4205,4162,4171
"85","78","      General government","A4378C0",4489,4487,4498,4486,4411,4240,4047,3866,3724,3575,3477,3417,3370,3391
"86","79","        Civilian","B4379C0",2121,2156,2176,2221,2198,2181,2135,2051,1986,1913,1870,1846,1821,1844
"87","80","        Military \5\","B4380C0",2368,2331,2322,2265,2213,2059,1912,1815,1738,1662,1607,1571,1549,1547
"88","81","      Government enterprises","B4381C0",825,849,856,859,849,820,782,793,803,801,793,788,792,780
"89","82","    State and local","A4382C0",11923,12306,12691,13027,13162,13278,13452,13631,13869,14031,14262,14496,14682,14930
"90","83","      General government","A4383C0",11129,11499,11862,12171,12295,12442,12598,12735,12946,13104,13326,13548,13726,13961
"91","84","        Education","B4384C0",5648,5918,6112,6252,6310,6381,6484,6601,6774,6892,7075,7234,7372,7572
"92","85","        Other \2\","B4385C0",5481,5581,5750,5919,5985,6061,6114,6134,6172,6212,6251,6314,6354,6389
"93","86","      Government enterprises \2\","B4386C0",794,807,829,856,867,836,854,896,923,928,936,948,956,969
"94","87","Rest of the world \6\","A4387C0",-66,-75,-83,-82,-82,-78,-365,-411,-409,-377,-404,-401,-441,-396
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Equals the number of full-time equivalent employees plus the number of self-employed persons. Unpaid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","family workers are not included.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","3. Reflects the reclassification of air couriers from trucking and warehousing to transportation by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","4. Consists of museums, botanical and zoological gardens; engineering and management services; and services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","5. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","6. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
