"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"11","4","  Taxes on production and imports \2\","W007RC1",17.8,18.1,19,18.5,19.8,20.1,22.1,21.4,22.7,25.3,25.7,33.7,49.9,41,44.4,47.3,46.1,43.7,45.9,49.8,49.7,50.9,61.8,63.3,66.4,79,75.6,72.9,77.8,80.7,83.4,87.3,85.3,86.8,90.2,95.2,99.4,99.2,94.6,94,91.4,96.8,108.6,115.1,125.8,137.8,142.6
"12","5","    Excise taxes","B234RC1",15.4,15.6,15.9,15.5,16.5,16.4,16.2,16.8,17.3,18.2,18.2,26.5,41.3,32.3,35.3,35.4,33.9,30,30.4,33.4,32.3,33.4,44.9,45,46.5,57.5,55.7,53.6,58.2,61.1,64.3,66.1,64.6,66.9,68.7,72,74.1,72.6,65.8,64.7,68.3,68.2,76.7,81.7,90.4,100.5,104.6
"13","6","    Customs duties","B235RC1",2.4,2.5,3.1,3,3.3,3.7,5.9,4.6,5.4,7.1,7.5,7.2,8.6,8.6,9.1,11.9,12.2,13.7,15.5,16.4,17.5,17.5,16.8,18.3,19.8,21.4,19.8,19.2,19.6,19.6,19.2,21.1,20.6,19.9,21.4,23.3,25.3,26.7,28.8,29.2,23.1,28.6,31.9,33.5,35.4,37.3,38.1
"14","7","  Taxes on corporate income","B075RC1",36.1,30.6,33.5,36.6,43.3,45.1,43.6,54.6,61.6,71.4,74.4,70.3,65.7,49,61.3,75.2,76.3,83.8,103.2,111.1,117.2,118.1,109.9,118.8,138.5,156.7,179.3,190.6,203,204.2,213,219.4,164.7,150.5,197.8,250.3,341,395,362.8,233.7,200.4,298.7,299.4,363.1,379.2,417.9,431.2
"15","8","    Federal Reserve banks","B677RC1",3,3.5,3.4,3.2,4.3,5.6,5.4,5.9,5.9,7,9.3,11.7,14,15.2,14.2,16.1,17.8,17.8,17.7,17.4,21.6,23.6,20.8,16.8,16,20.5,23.4,20.1,20.7,26.6,25.4,25.3,27.1,24.5,22,18.1,21.5,29.1,34.6,31.7,47.4,79.3,75.4,88.4,79.6,96.9,94.7
"16","9","    Other","A678RC1",33,27.1,30.1,33.4,38.9,39.6,38.2,48.7,55.7,64.4,65.1,58.6,51.7,33.8,47.1,59.2,58.5,66,85.4,93.8,95.6,94.5,89.2,102,122.5,136.3,155.9,170.5,182.3,177.7,187.6,194.1,137.6,126,175.8,232.2,319.5,366,328.2,202,153,219.4,224,274.7,299.6,321,336.5
"17","10","  Taxes from the rest of the world","W008RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,1,1.1,1.6,1.5,1.4,1.2,1.3,1.9,1.7,2,2.4,2.7,3,2.6,2.6,2.7,3.1,3.9,5.2,5.1,5.7,5.9,7.3,7.7,7.6,9,10,12.1,14.6,15.3,18.8,14.8,15.7,16.7,18.2,19.3,21.7,24.7
"18","11","Contributions for government social insurance","W780RC1",43.3,45.5,50.3,58.3,74.5,84.1,88.1,99.8,111.1,128.7,149.8,163.6,193,206,223.1,254.1,277.9,298.9,317.4,354.8,378,402,420.6,444,465.5,496.2,521.9,545.4,579.4,617.4,654.8,698.6,723.3,739.4,763.2,808.9,853.4,905.7,947.2,974.4,950.8,970.9,904,938.1,1093.4,1145.2,1189
"19","12","  From persons","LA0000121",43.1,45.3,50,57.9,74,83.5,87.5,99.1,110.3,127.9,148.9,162.6,191.8,204.9,221.8,252.8,276.5,297.5,315.9,353.1,376.3,400.1,418.6,441.8,463.3,493.7,519.2,542.6,576.4,614.3,651.5,695,719.5,735.7,759.3,804.5,848.7,901.1,942.5,969.6,945.8,966,899.6,933.5,1088.2,1140.1,1183.7
"20","13","  From the rest of the world \3\","W781RC1",0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,0.9,0.9,1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.7,1.7,2,2.1,2.1,2.2,2.5,2.7,2.8,3,3.1,3.3,3.6,3.7,3.8,3.9,4.4,4.7,4.6,4.7,4.8,5,4.9,4.4,4.6,5.2,5.1,5.3
"21","14","Income receipts on assets","W009RC1",2.8,3.2,3.6,3.8,4,4.5,5.3,6.2,7.1,8.9,11.2,14.4,19.2,23.4,24.7,27.7,30.1,32.1,28.2,30.2,28.9,30.4,30,25.7,26.6,23.6,23.8,26.6,25.5,21.5,21.1,25.6,26.4,21.8,23.5,25.3,27.3,29,33.4,33.9,48.5,54.6,56.4,52.6,163.2,74.8,51
"22","15","  Interest receipts \4\","B094RC1",2.5,2.8,3.1,3.3,3.4,3.6,4.3,5.2,5.8,7.4,9.2,11.3,14.8,18.3,20.4,22.8,25.6,28.8,25.1,27.4,25.9,26.9,26.2,22.2,22.8,20,20.8,22.5,21,17.3,17.1,19.3,18,15.3,16.5,16.6,17.3,18.8,22.1,19.5,22.8,29.5,27.7,21.3,22.8,23.4,26.1
"23","16","  Dividends","W053RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.2,0.6,18.7,17,18.8,21.1,131.3,40.7,16.1
"24","17","  Rents and royalties \5\","B1040C1",0.3,0.4,0.5,0.5,0.7,0.9,1,1.1,1.3,1.5,2.1,3,4.4,5.1,4.3,4.9,4.6,3.3,3.1,2.8,3,3.5,3.8,3.5,3.8,3.6,3,4.1,4.5,4.2,4,6.3,8.4,6.5,7,8.7,9.7,9.9,11.1,13.8,7,8,9.9,10.2,9.1,10.6,8.9
"25","18","Current transfer receipts","W011RC1",1,1,0.9,1.1,1,1.1,1.1,1.2,1.6,2.2,2.5,3.1,3.1,4.4,5.2,6.3,8.6,7.6,10.2,9.6,11.8,13.3,17.2,18.4,20.2,21.6,17.5,22.7,20.1,21.5,22.4,24.8,25.5,24.9,26.2,29.6,32.7,37.9,42,49.7,67.2,68.1,67.1,56.1,71.1,80.6,65.5
"26","19","  From business","W012RC1",0.9,0.9,0.9,1,0.9,1,1,1.1,1.4,2,2.4,2.9,2.9,3.7,4.2,5.2,7.4,6.3,8.2,6.8,8.7,9.9,13.3,14.3,15.1,15.9,11.4,15.6,12.1,12.7,12.4,13.4,14,13.7,14.5,15.9,16.9,19.5,21.5,27,44.4,43.8,45,28.6,42.3,46.1,36.7
"27","20","  From persons","B233RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.7,1,1,1.2,1.3,2,2.8,3.1,3.4,3.9,4.1,5,5.6,6.2,7.2,7.9,8.8,9.8,10.7,10.9,10.8,11,13.2,15.1,17.4,19.5,19.5,19.5,20.6,20,21,21.2,22.5,22.2
"28","21","  From the rest of the world \6\","LA0000281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.7,0.5,0.5,0.7,0.5,0.7,1.1,1.1,3.2,3.2,3.8,2,6.5,7.6,12,6.6
"29","22","Current surplus of government enterprises \7\","B097RC1",-1.3,-2.5,-2.8,-2.4,-3.4,-3.3,-4.4,-2.9,-3.4,-2.9,-2.7,-3.6,-2.6,-2.1,-1.9,-2.7,-1.6,-0.6,-0.5,0.7,1.1,-2.3,2.1,4.1,3.5,4,5,4.5,6.6,7.6,7.2,5.3,2.8,6.9,6.7,4.9,0.9,1.8,2,0.8,0.8,-3.1,-7.1,-8.9,-11.3,-9.7,-8.5
"30","23","    Current expenditures","W013RC1",196.9,219.9,241.5,267.9,286.9,319.1,373.8,402.4,435.8,483.7,531.5,619.9,706.9,783.3,849.8,903.5,971.3,1030.6,1062.7,1119.8,1199.1,1288.5,1354,1487,1542.8,1583,1658.2,1714.8,1758.5,1787,1838.8,1911.7,2017.4,2141.1,2297.9,2426.6,2608.2,2764.8,2932.8,3213.5,3487.2,3772,3818.3,3789.1,3782.2,3896.7,4023.2
"31","24","Consumption expenditures","A957RC1",100.4,102.3,106.6,112.2,113.9,122.5,132.9,139,149.6,162,176,202.1,231.3,255.7,277.9,292,316.8,336.5,347.8,360.8,380.2,401.8,423.9,430.2,427.7,427.3,427.7,428.4,438.7,436.4,455.6,475.1,505.4,560.3,628.5,681.4,723.4,763.9,798.4,879.8,933.7,1003.9,1006.1,1007.8,961.3,955.3,960.6
"32","25","Current transfer payments","W014RC1",64.5,79.5,95,111.5,124.6,145.5,184.1,199.6,214,233.9,255.9,300.9,331.1,360.4,384.1,397,419.8,445.3,452.6,481.9,522.2,571.1,598.7,720.2,767.3,802.6,843.7,891.5,920.8,949.1,986.3,1037.6,1129.7,1237.6,1327.9,1393.1,1479.8,1577.4,1678.8,1896.1,2142.9,2333.2,2327,2300.8,2346,2443.9,2564.3
"33","26","  Government social benefits","W015RC1",46.3,56.4,66.9,73.8,85.7,104.6,134.3,146,155,165.4,186.1,223.8,255,286,307.2,313.4,329.9,348.7,361.5,382.9,416.9,453.2,500.3,558,589.9,615.8,653.9,689.6,715.7,730.3,748.4,782.1,850.2,927.1,977.6,1030.2,1095.6,1201.6,1277.5,1480,1632.2,1774.4,1796.9,1801.5,1842,1896.8,1979.9
"34","27","    To persons","B087RC1",45.8,55.6,66.1,72.9,84.5,103.3,132.3,143.5,152.4,162.7,183,220.3,250.7,281.9,303.6,309.7,325.9,344.3,357.2,378.4,411.7,447,494,551.8,583.7,609,647.1,682.1,707.9,722.1,739.9,773.4,840.8,917.5,967.5,1019.5,1084.4,1189.2,1264.2,1464.6,1616.2,1757.9,1779.9,1783.6,1823.2,1877.3,1959.7
"35","28","    To the rest of the world \8\","W016RC1",0.6,0.7,0.8,1,1.2,1.3,2,2.5,2.6,2.7,3,3.5,4.3,4.1,3.6,3.7,4,4.4,4.3,4.6,5.1,6.2,6.3,6.2,6.2,6.8,6.8,7.6,7.9,8.2,8.5,8.7,9.4,9.7,10.1,10.7,11.2,12.4,13.3,15.5,16,16.5,17.1,18,18.8,19.5,20.3
"36","29","  Other current transfer payments","W010RC1",18.2,23.2,28.2,37.7,38.9,40.9,49.8,53.6,59,68.5,69.8,77,76.1,74.4,76.9,83.6,89.9,96.6,91.1,98.9,105.4,117.9,98.4,162.2,177.4,186.8,189.9,201.8,205.1,218.8,237.9,255.5,279.5,310.5,350.3,363,384.2,375.8,401.3,416.1,510.7,558.8,530.1,499.3,504,547.2,584.4
"37","30","    Grants-in-aid to state and local governments","B089RC1",13.7,18.3,22.1,30.5,33.5,34.9,43.6,49.1,54.8,63.5,64,69.7,69.4,66.3,67.9,72.3,76.2,82.4,78.4,85.7,91.8,104.4,124,141.7,155.7,166.8,174.5,181.5,188.1,200.8,219.2,233.1,261.3,287.2,321.7,332.2,343.4,340.8,359,371,458.1,505.3,472.5,444,450.1,494.8,532
"38","31","    To the rest of the world \6,8\","W017RC1",4.5,4.8,6,7.2,5.4,6,6.1,4.5,4.2,5,5.8,7.3,6.7,8.1,8.9,11.2,13.8,14.2,12.7,13.2,13.5,13.5,-25.6,20.6,21.7,19.9,15.4,20.4,17,18,18.7,22.4,18.3,23.3,28.6,30.8,40.9,35,42.3,45,52.7,53.5,57.6,55.3,53.9,52.3,52.4
"39","32","Interest payments \4\","A091RC1",27.5,33.3,35.2,37.6,43.3,48,52.5,58.9,65.3,79.1,91.5,107.5,133.4,152.7,167,193.8,213.7,224.2,232.3,247.9,269.7,289,304.4,306.9,311.4,320.8,352.3,360,365.6,365.6,352.2,353.7,331.2,302.7,292.6,306.1,344.4,372.3,408.2,388,353.6,380.6,425.7,422.9,416.1,440.1,440.1
"40","33","  To persons and business \4\","B092RC1",26.7,32.4,33.5,35.1,39.6,43.9,48.1,54.6,60,70.9,80.9,95.7,117.2,134.7,148.9,173.7,191.6,200.9,208.2,219.2,235.1,253,268.3,272.6,277.3,284.5,305.2,303.2,295.9,293.5,285.4,289.3,274.1,253.4,245.2,251.3,276.4,286.5,309.2,290.9,264.8,288,328.2,327,319.5,346.2,345.2
"41","34","  To the rest of the world","B093RC1",0.8,0.9,1.8,2.6,3.7,4,4.3,4.3,5.2,8.2,10.6,11.9,16.3,18,18.1,20.2,22.2,23.3,24.1,28.8,34.5,36.1,36.1,34.3,34.2,36.4,47.1,56.8,69.7,72.1,66.7,64.4,57.1,49.3,47.4,54.8,68,85.9,99,97.1,88.8,92.6,97.5,95.9,96.5,93.9,95
"42","35","Subsidies \7\","B096RC1",4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.6,20.9,20.7,21,24.6,30,29.2,27.1,26.6,27.1,29.7,36.3,32.2,34.5,34.9,33.4,35.9,44.8,45.3,51.1,40.5,49,46,60.5,51.1,47.5,49.6,56.9,54.3,59.5,57.6,58.9,57.4,58.1
"43","36","    Net federal government saving","A923RC1",-5.1,-34.8,-50.8,-48.9,-37.7,-40.6,-97,-79.9,-71.9,-59.8,-44.5,-86.3,-85.8,-164.6,-205,-192.3,-195.6,-212.7,-163.2,-157.3,-156.6,-200.9,-246.2,-332.7,-311.8,-253.7,-240.8,-178.5,-91.2,2.7,66.6,156.5,14.5,-270.5,-402.9,-399.2,-304.7,-227,-265.7,-634,-1248.8,-1328.7,-1244.1,-1090.1,-640.9,-631.5,-591.7
"44","37","Social insurance funds","B243RC1",5.7,1,-3,-0.6,5.9,3.2,-16.3,-16,-14.1,-4.7,0,-15.8,-14.3,-34.4,-37.9,-9.4,0.9,5.7,14.5,39.1,42.6,42.4,24.7,5.4,2.8,15.4,15.6,12.9,28.9,58.3,92.5,114.3,88.1,49.7,37.8,51.2,48.4,11.8,-4.1,-54.9,-253.1,-290.9,-271,-289.1,-288.4,-279.3,-297.7
"45","38","Other","B244RC1",-10.8,-35.7,-47.8,-48.2,-43.6,-43.9,-80.7,-63.8,-57.8,-55.1,-44.5,-70.5,-71.5,-130.3,-167.2,-183,-196.5,-218.3,-177.6,-196.4,-199.3,-243.3,-270.9,-338,-314.6,-269,-256.5,-191.4,-120.1,-55.6,-25.9,42.2,-73.7,-320.2,-440.7,-450.4,-353.2,-238.8,-261.6,-579.1,-995.7,-1037.8,-973.2,-800.9,-352.5,-352.2,-294.1
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","39","  Total receipts","W018RC1",195.4,188.8,195.3,224.4,254.3,283.3,281.7,328.2,371,429,492.5,540.2,628,626.2,650.5,717.1,782.1,824.9,906.7,970.1,1051.4,1099.2,1118.8,1165.6,1243.9,1344.4,1432.3,1553.8,1687.9,1814.9,1934.2,2096.3,2059.8,1895.9,1917,2052,2328.5,2565.6,2693.6,2607.7,2259,2458.4,2583.8,2713.1,3162.2,3284,3451.2
"48","40","    Current receipts","W005RC1",191.8,185.1,190.7,219,249.2,278.5,276.8,322.6,363.9,423.8,487,533.7,621.1,618.7,644.8,711.2,775.7,817.9,899.5,962.4,1042.5,1087.6,1107.8,1154.4,1231,1329.3,1417.4,1536.3,1667.3,1789.8,1905.4,2068.2,2031.8,1870.6,1895.1,2027.4,2303.5,2537.7,2667.2,2579.5,2238.4,2443.3,2574.1,2699.1,3141.3,3265.2,3431.5
"49","41","    Capital transfer receipts","B232RC1",3.6,3.7,4.6,5.4,5.1,4.8,4.9,5.6,7.2,5.2,5.5,6.5,6.9,7.5,5.8,6,6.4,7,7.2,7.6,8.9,11.6,11,11.3,12.9,15.1,14.9,17.5,20.6,25.2,28.8,28.1,28,25.3,22,24.6,25,27.8,26.5,28.3,20.6,15.1,9.6,14.1,20.9,18.8,19.7
"50","42","  Total expenditures","W019RC1",207.9,227.8,245.8,272.5,289.6,322.4,385.1,414.8,451,502.3,553.2,645,732.2,811.6,883.8,946.5,1028.9,1089.2,1126.2,1171.1,1245.6,1343,1399.6,1524.8,1572.6,1606.1,1674,1735.8,1769.6,1804,1872.2,1944,2059,2205.8,2386.1,2522.1,2725.1,2858.7,3047.5,3388.4,3734.7,3967.1,3980.8,3906.6,3860.5,3965.4,4056.9
"51","43","    Current expenditures","W013RC1",196.9,219.9,241.5,267.9,286.9,319.1,373.8,402.4,435.8,483.7,531.5,619.9,706.9,783.3,849.8,903.5,971.3,1030.6,1062.7,1119.8,1199.1,1288.5,1354,1487,1542.8,1583,1658.2,1714.8,1758.5,1787,1838.8,1911.7,2017.4,2141.1,2297.9,2426.6,2608.2,2764.8,2932.8,3213.5,3487.2,3772,3818.3,3789.1,3782.2,3896.7,4023.2
"52","44","    Gross government investment","A787RC1",30.7,30.5,27.8,29.3,31.7,35.7,39.8,44.7,49.2,54.7,61.7,70.3,80.4,90,102.3,115.6,132.5,141.9,152.4,148,151.2,158.2,156.8,156.4,150.7,145.4,147.7,149.8,143.7,147.7,154.9,157.4,163.8,180.3,196.4,211,222.9,238,251.4,275.8,284,300,297.4,284.7,269.4,264.6,264
"53","45","    Capital transfer payments","W020RC1",5.9,5.3,5.9,6.1,6,7.9,9.7,10.6,11.2,12,14.5,16.7,15.7,14.7,15.6,17.8,19.6,20.1,19.1,19.8,20.2,28.2,26.5,22.6,24.3,26,27.9,28.4,29.2,28.9,36.6,37,42.5,49.7,63.1,64,85.3,71,79.4,145.9,206.9,141.4,123.5,99,79,77.6,73.3
"54","46","    Net purchases of nonproduced assets","AD08RC1",0.1,-0.3,-0.4,-0.7,-3.2,-5.7,-0.4,-2.4,-1.4,-0.6,-2.8,-4.1,-5.5,-3.7,-4.9,-4,-1.2,-3,-0.4,-0.2,-0.7,-0.8,0.1,0.2,0.2,0.1,-7.9,-4.8,-8.8,-6,-1.2,-0.6,-1.5,-0.3,-0.9,-0.8,-2,-14.4,-3.3,-20.4,-8.9,-1,-0.9,-2,-2.4,-2.7,-30.9
"55","47","    Less: Consumption of fixed capital","A918RC1",25.8,27.6,29,30.1,31.7,34.7,37.8,40.6,43.7,47.5,51.8,57.9,65.3,72.7,79,86.4,93.3,100.3,107.5,116.3,124.2,131.1,137.9,141.4,145.3,148.3,151.9,152.4,153,153.6,156.8,161.5,163.3,165,170.3,178.6,189.4,200.7,212.8,226.3,234.5,245.3,257.4,264.3,267.7,270.7,272.7
"56","48","  Net lending or net borrowing (-)","AD02RC1",-12.5,-38.9,-50.5,-48.1,-35.3,-39.1,-103.4,-86.6,-80,-73.2,-60.7,-104.8,-104.3,-185.4,-233.2,-229.4,-246.8,-264.3,-219.5,-201,-194.3,-243.8,-280.8,-359.1,-328.8,-261.7,-241.6,-182,-81.7,10.9,62,152.3,0.8,-309.9,-469.1,-470.1,-396.6,-293.2,-353.9,-780.6,-1475.7,-1508.7,-1397.1,-1193.4,-698.3,-681.4,-605.8
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Includes dividends tax for 1933-34 and automobile use tax for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Consists primarily of contributions by residents of the U.S. territories and the Commonwealths of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4. Prior to 1960, interest payments to persons and business (line 33) and interest receipts (line 15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","are not shown separately, but are included in interest payments (line 32), which is shown net of interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","receipts. Interest payments to persons and business includes interest accrued on the actuarial liabilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","of defined benefit pension plans for federal government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Rents and royalties are receipts from the leasing of federally owned lands and mineral deposits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","These values do not include bonus payments made to secure such leases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","6. Prior to 1999, current transfer payments to the rest of the world are displayed net of current transfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","receipts from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
