"","Table 5#6#2# Contributions to Percent Change in Private Fixed In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","3","  Prepackaged \1\","Y003RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,0.81,2.09,3.39,3,0.98,3.28,1.42,1.57,1.68,2.47,4.4,3.9,2.5,1.34,0.62,1.67,1.99,2.04,1.14,0.13,0.57,0.7,0.13,-1.28,1.39,1.22,0.79,1.51
"13","4","  Custom","Y004RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.75,1.42,1.23,0.8,0.77,0.98,0.81,1.53,1.42,2.79,2.81,2.63,2.15,2.12,-0.37,-1.6,-0.18,0.58,1.38,1.21,1.47,0.94,-0.35,1.31,1.11,0.86,0.13,0.43
"14","5","  Own account","Y005RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,1.56,1.03,2.6,1.08,2.04,0.81,1.39,0.04,0.16,0.37,2.57,1.15,4.57,2.51,0.08,-0.13,1.23,1.88,0.42,0.55,0.67,0.59,0.32,-0.49,0.56,0.4,0.54,0.98
"15","6","Research and development \2,3\","Y006RW2",4.16,0.24,-0.09,2.99,4.22,0.27,-1.04,3.99,3.27,4.77,4.61,4.09,4.08,3.22,3.48,6.27,5.13,2.48,1.12,2.39,3.72,2.94,2.45,0.15,-0.32,-0.01,2.55,4.36,2.75,2.37,2.76,2.13,0.54,-1.09,-0.3,0.41,2.33,2.5,2.44,1.4,-1.16,0.99,0.41,1.12,2.17,1.94
"16","7","  Business","Y007RW2",4.21,0.15,-0.2,2.83,4.2,0.07,-1.35,3.68,2.96,4.25,4.31,4.03,3.83,3.15,3.41,6.19,4.92,1.97,0.76,1.92,3.6,2.89,2.28,0.05,-0.37,0,2.58,4.17,2.66,2.1,2.7,2.14,0.49,-1.27,-0.33,0.41,2.31,2.46,2.41,1.35,-1.51,0.77,0.16,1.04,2.26,1.87
"17","8","    Manufacturing","Y027RW2",4,0.06,-0.31,2.74,4.17,0.21,-1.77,2.84,2.14,3.31,3.31,3.01,2.76,2.13,2.31,4.68,3.53,0.99,0.73,0.32,1.72,0.7,0.7,0.35,-1.25,1.51,2.91,3.91,2.01,1.93,1.21,2.06,1.43,-1.61,0.23,0.93,1.53,2.39,2.12,0.6,-0.85,0.55,0.13,1.13,1.97,1.13
"18","9","      Pharmaceutical and medicine manufacturing","Y009RW2",0.2,0.16,0.24,0.24,0.26,0.12,0.41,0.22,-0.1,0.35,0.25,0.17,0.27,0.4,0.42,0.37,0.11,0.12,1.05,0.45,0.51,0.44,0.65,0.45,0.54,0.3,0.78,0.74,0.63,1.04,0.66,0.77,0.36,0.77,0.15,0.71,0.47,0.85,1.9,0.51,-0.67,0.94,-0.93,0.33,0.73,0.68
"19","10","      Chemical manufacturing, excluding pharmaceutical and medicine","Y010RW2",0.14,0.26,-0.28,0.13,0.25,0.28,-0.26,0.17,0.08,0.21,0.19,0.15,0.1,0.02,0.03,0.25,0.12,-0.12,0.01,0.21,0.13,0.37,0.06,-0.18,0.08,-0.29,-0.09,0.24,-0.28,0.48,-0.02,0,-0.03,-0.31,0.13,0,0.06,0.05,0.04,0.38,-0.14,0.14,-0.19,0.04,0.03,-0.11
"20","11","      Semiconductor and other electronic component manufacturing","Y012RW2",0.04,0.06,0,0.3,0.21,0.06,-0.2,0.13,0.04,0.26,0.49,0.74,-0.11,0.06,0.56,0.59,0.46,0.49,0.77,-0.06,-0.09,0.04,-0.05,0.1,-0.04,0.26,0.32,0.52,0.62,0.26,0.11,0.2,0.54,-0.05,0.09,0.38,0.18,-0.14,0.06,0.54,-0.23,0.26,0.32,0.43,0.57,0.02
"21","12","      Other computer and electronic product manufacturing","Y013RW2",1.38,0.55,0.36,0.52,0.88,0.06,-0.7,0.38,0.23,0.46,0.44,0.37,0.3,0.17,0.19,0.59,0.38,-0.06,0.03,-0.11,-0.15,0.03,-0.13,0.16,-0.07,0.46,0.58,0.98,1.13,0.49,-0.05,1.42,1.13,-2,-0.56,-0.24,0.1,0.99,0.01,0.35,-0.44,-0.06,0.12,-0.13,-0.11,0.25
"22","13","      Motor vehicles, bodies and trailers, and parts manufacturing","Y014RW2",0.69,-0.3,0.8,1.09,1.27,-0.72,-0.99,1.06,1.1,0.89,0.24,0.18,-0.8,-0.4,0.36,0.55,0.7,0.93,-0.16,0.17,0.51,-0.28,0.16,0,0.69,0.54,0.47,0.45,-0.36,-0.13,0.34,-0.17,-0.15,-0.01,0.12,-0.03,-0.01,0.02,-0.21,-0.63,-0.3,-0.03,0.3,0.33,0.13,0.09
"23","14","      Aerospace products and parts manufacturing","Y015RW2",0.5,-1.16,-1.38,-0.4,0.56,-0.05,-0.39,0.51,0.45,0.58,0.6,0.59,0.59,0.53,0.57,0.89,0.76,0.43,0.02,-0.41,-0.38,-0.38,-0.16,0.22,-0.35,-0.25,-0.19,0.09,-0.11,-0.04,0.09,-0.12,0.11,-0.1,-0.09,0.24,0.14,0.22,0.13,0.01,0.13,-0.51,-0.29,-0.02,0.21,0
"24","15","      Other manufacturing","Y016RW2",1.05,0.47,-0.05,0.86,0.75,0.46,0.37,0.37,0.32,0.57,1.09,0.82,2.41,1.34,0.18,1.44,1,-0.8,-0.99,0.06,1.19,0.5,0.18,-0.39,-2.11,0.5,1.05,0.89,0.39,-0.16,0.07,-0.04,-0.53,0.09,0.39,-0.13,0.59,0.39,0.19,-0.56,0.8,-0.19,0.81,0.15,0.41,0.19
"25","16","    Nonmanufacturing","Y028RW2",0.21,0.09,0.1,0.09,0.03,-0.15,0.42,0.84,0.82,0.94,1.01,1.02,1.07,1.03,1.1,1.51,1.39,0.98,0.03,1.6,1.88,2.19,1.58,-0.3,0.88,-1.5,-0.34,0.25,0.64,0.17,1.49,0.08,-0.93,0.34,-0.55,-0.52,0.78,0.08,0.29,0.75,-0.66,0.21,0.03,-0.1,0.29,0.74
"26","17","      Scientific research and development services","Y029RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,0.18,0.33,0.27,0,0,0.01,0,0.11,0.16,0.28,0.12,0.25,0.04,-0.14,-0.11,0.2,0.06,0.09,0.15,0.31,-0.01,-0.29,0.01,0.16,-0.26,-0.03
"27","18","      All other nonmanufacturing","Y008RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,1.7,1.86,1.31,-0.3,0.88,-1.52,-0.34,0.14,0.49,-0.11,1.37,-0.17,-0.98,0.48,-0.45,-0.72,0.72,-0.01,0.14,0.44,-0.65,0.5,0.02,-0.25,0.55,0.77
"28","19","  Nonprofit institutions serving households","Y017RW2",-0.05,0.09,0.12,0.16,0.02,0.2,0.3,0.31,0.31,0.52,0.3,0.05,0.24,0.07,0.06,0.08,0.21,0.51,0.36,0.46,0.12,0.05,0.18,0.1,0.06,-0.01,-0.02,0.2,0.09,0.27,0.06,0,0.05,0.18,0.03,0,0.01,0.03,0.03,0.05,0.34,0.22,0.25,0.08,-0.09,0.08
"29","20","    Universities and colleges \4\","Y018RW2",-0.01,0,0.01,-0.02,-0.03,-0.01,0.01,0.02,0.04,0.05,0.03,0.01,0.02,0.02,0,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.04,0,-0.01,0.01,0.02,0.03,0.01,0,0.02,0.02,0.02,0.03,0.02,0.01,0.04,0.04,0.03,0.02,0.05,0.04,0.04,0.03,-0.01,0
"30","21","    Other nonprofit institutions","Y019RW2",-0.04,0.09,0.1,0.18,0.05,0.21,0.29,0.29,0.27,0.47,0.27,0.05,0.22,0.05,0.06,0.06,0.18,0.48,0.33,0.44,0.09,0.01,0.14,0.09,0.06,-0.02,-0.04,0.16,0.09,0.27,0.04,-0.02,0.03,0.15,0.01,-0.01,-0.02,-0.01,0,0.04,0.3,0.18,0.21,0.05,-0.07,0.08
"31","22","Entertainment, literary, and artistic originals","Y020RW2",-1.61,-3.2,-0.31,1.79,-1.02,0.29,-0.66,5.4,2.65,-0.4,3.28,-2.09,3.93,0.16,1.04,2.18,-0.09,1.87,-0.31,0.19,0.8,0.61,0.18,0.8,0.9,0.91,1.45,1.3,0.51,0.75,0.46,0.83,-0.41,0.66,1.07,0.22,1.21,0.16,-0.34,-0.6,-0.34,1.36,0.08,0.29,0.18,0.34
"32","23","  Theatrical movies","Y021RW2",-2.4,-2.41,0.45,0.45,-0.86,-0.35,-0.14,2.86,-0.36,-0.89,2.12,-0.89,1.49,-0.01,0.32,0.43,-0.38,0.86,-0.08,-0.02,0.55,-0.31,0.54,-0.38,0.83,0.04,0.82,0.96,-0.19,0.34,-0.31,0.76,-0.19,0.11,0.42,0.05,0.22,0.2,-0.08,-0.29,-0.2,0.76,0.05,-0.12,0.03,0.04
"33","24","  Long-lived television programs","Y022RW2",0.24,-0.37,-0.36,1.24,-0.55,0.78,-0.28,2.33,1.46,0.57,0.92,-1.24,2.38,0.3,1.02,0.77,0.38,0.69,-0.79,0.15,-0.04,0.52,-0.3,0.88,-0.22,0.36,0.71,0.68,0.34,0.45,0.29,0.06,-0.02,0.61,0.6,0.06,1.02,0.11,-0.19,-0.28,0.01,0.52,0.23,0.49,0.13,0.3
"34","25","  Books","Y023RW2",0.06,0.04,-0.08,-0.1,0.18,0.17,-0.06,-0.03,0.43,0.1,-0.11,0.02,0.04,-0.02,0,0.12,0.04,0.05,0.13,0.09,0.13,0.01,-0.02,0.06,0.1,0.03,-0.02,-0.11,0.16,0.09,0.07,0.01,-0.03,0.02,-0.01,0.01,0.05,-0.08,0.03,-0.05,-0.12,0.21,-0.07,-0.08,0.07,0
"35","26","  Music","Y024RW2",0.45,-0.46,-0.47,0.24,0.15,-0.41,-0.17,0.17,1.02,-0.26,0.27,-0.07,-0.07,-0.1,-0.33,0.76,-0.19,0.18,0.39,-0.06,0.23,0.27,-0.04,0.21,0.06,0.47,-0.08,-0.23,0.19,-0.11,0.41,-0.02,-0.17,-0.05,0.07,0.08,-0.1,-0.06,-0.07,0.01,0.02,-0.03,-0.13,-0.01,-0.05,0
"36","27","  Other","Y025RW2",0.05,0,0.15,-0.03,0.06,0.09,0,0.07,0.09,0.08,0.08,0.08,0.09,0,0.03,0.09,0.06,0.09,0.03,0.03,-0.06,0.12,0,0.03,0.13,0.01,0.03,0.01,0.01,-0.01,0,0.02,0,-0.03,-0.01,0.02,0.01,-0.01,-0.03,0.01,-0.05,-0.1,0.01,0.01,0,-0.01
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Research and development (R&D) asset types are defined by the type of funder.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. R&D investment excludes expenditures for software development. Software development expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","are included in software investment on line 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","4. Includes R&D investment by private universities and colleges. R&D investment by public universities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","and colleges is included in state and local government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
