"","Table 3#7# Government Current Transfer Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","    Other \2\","B1042C1",0.7,0.6,0.7,0.8,0.6,0.5,0.6,0.6,0.9,1.5,1.8,2.3,1.7,2.1,2.4,3.3,4.2,2.9,4.7,3.3,4.7,5.3,5.8,6.4,6.4,8.2,6.9,8.3,10.2,10.7,10.3,10.1,10.4,10.2,11.4,13.3,14.5,17,18.2,17.4,18.1,24.8,27.5,13.1,29.2,34.5
"13","6","  State and local (net)","W076RC1",0.5,0.6,0.6,0.7,0.9,1.1,1.2,1.4,1.6,1.9,2.2,2.5,2.9,3.2,3.6,4.2,4.4,6.7,4.9,5.4,6.4,7.1,7.9,9.2,10.5,12,13.5,15.2,17.7,21.6,24,28.6,29.8,32.6,33.8,36.5,36.5,38.8,40.5,43.6,44,43.4,44.2,44,49.6,48.7
"14","7","    Fines","S230561",0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1.1,1.3,1.4,3.6,1.7,1.8,2,2.3,2.4,2.8,3.5,4.2,4.9,5.6,6.1,6.2,6.8,7.4,8,8.7,9.8,11,11.3,12.1,12.5,12.7,13,12.9,13.3,14,14.3,14.4
"15","8","    Net insurance settlements","W098RC1",0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,-0.2,-0.4,-0.2,0,0,0,0.3,-0.1,0,0,0,-0.1,0.2,0.1,0.1,-1,-0.3,-0.5,-0.2,-1.9,-0.7,-0.4,0.5,-0.4,-0.2,0.2,-2.6,-0.4,-0.3
"16","9","    Other \3\","S230571",0.3,0.3,0.4,0.5,0.7,0.8,0.9,1,1.2,1.4,1.6,1.7,2,2.1,2.4,2.6,2.8,3.3,3.5,3.8,4.4,4.8,5.6,6.1,7.1,7.8,8.6,9.6,11.7,15.3,17.1,21.1,22.8,24.2,24.5,25.8,27.2,27.4,28.5,30.3,31.4,30.7,30.7,32.6,35.8,34.5
"17","10","From persons","W062RC1",1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.5,66.9,71.6,76.6,81,82.8,83.5,83.9,85.5,91.1,92.6,95.3
"18","11","  Federal \4\","B233RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.7,1,1,1.2,1.3,2,2.8,3.1,3.4,3.9,4.1,5,5.6,6.2,7.2,7.9,8.8,9.8,10.7,10.9,10.8,11,13.2,15.1,17.4,19.5,19.5,19.5,20.6,20,21,21.2,22.5
"19","12","  State and local","B246RC1",1.1,1.2,1.4,1.7,1.7,2,2.4,2.9,3.3,3.7,4.1,4.7,5.7,6.4,7.2,8.1,9.2,10.6,11.2,12,13.4,14.9,18.7,21.9,23.5,25.2,26.5,27.8,30.3,31.1,34.2,38,42,45.6,49.5,53.7,56.5,59.3,61.4,63.3,64,63.2,65.4,70.1,71.5,72.8
"20","13","    Fines","S210661",0.6,0.7,0.8,0.9,0.7,0.8,1,1.2,1.4,1.6,1.9,2.2,2.8,3.2,3.7,4.2,4.6,5.3,5.4,5.7,6.2,6.7,7.2,8.1,8.2,8.5,8.7,8.7,9.2,9.2,10.1,11.1,12,13.1,14.7,16.5,17,18.2,18.7,19.1,19.4,19.4,20,21,21.4,21.6
"21","14","    Other \5\","S210671",0.5,0.5,0.6,0.7,1,1.1,1.4,1.7,1.9,2.1,2.2,2.5,2.9,3.2,3.5,4,4.6,5.4,5.7,6.4,7.2,8.3,11.5,13.8,15.3,16.7,17.8,19,21.1,21.8,24.1,26.9,30,32.5,34.8,37.3,39.5,41.1,42.7,44.2,44.6,43.8,45.5,49.1,50.1,51.2
"22","15","From the rest of the world","LA0000141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.7,0.5,0.5,0.7,0.5,0.7,1.1,1.1,3.2,3.2,3.8,2,6.5,7.6,17.2
"23","16","  Federal","LA0000281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.7,0.5,0.5,0.7,0.5,0.7,1.1,1.1,3.2,3.2,3.8,2,6.5,7.6,12
"24","17","  State and local","LA0000161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Beginning in 2008, includes receipts for the U.S. Treasury's Temporary Guarantee Program for Money",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Market Funds and the Federal Deposit Insurance Corporation's (FDIC) Temporary Liquidity Guarantee Program.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. Consists largely of fines and fees, less net insurance settlements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","3. Consists largely of donations. Beginning with 1997, includes settlements of lawsuits with tobacco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","4. Consists of fines, immigration fees, certain penalty taxes, and excise taxes paid by nonprofit institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","5. Consists largely of donations and other miscellaneous transfers, including unclaimed bank deposits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
