"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","12","Plus: Timing differences","M318121",-1.2,-2.9,-0.2,0.3,2.5,1.3,-3.6,6.3,0.5,3.4,3.9,-4.9,-6.9,-8.4,7.4,7.5,-0.7,2.2,0,-0.5,3.6,2.6,2,-0.8,1.9,2.2,1.6,1.3,5.6,1,-3.4,-12.9,5.7,-17.9,22.6,27.7,31.6,12.6,-15.4,-61.7,1.2,-14.3,63.9
"21","13","        Taxes on corporate income","M318131",-2.4,-3.1,1.8,-0.9,0.8,0.2,-3.8,4.8,-0.8,1.4,1.6,-5.1,-4.2,-10.9,5.6,4.5,-0.3,2.3,2.4,-0.4,2.3,3.9,0.6,-3.1,4,-1.1,3,0.4,3,-3.6,0.2,-12.6,6.6,-16.3,27.2,27,30.1,14.6,-15.9,-55.2,0.9,23.8,51
"22","14","        Federal and state unemployment insurance taxes","M318141",0,0,-0.1,0.5,0.4,0.1,-0.1,0.6,0.3,0.4,0.1,0.1,0.1,0.4,1.7,-0.1,0,0.6,-1.1,0.6,0.9,-0.2,0.2,0.6,0.2,0.7,0.1,-0.2,-0.3,-0.2,0.5,0.4,0,1,-0.5,-0.1,0.5,-0.4,-0.2,-1,0.3,1.7,-0.1
"23","15","        Withheld personal income tax and social security contributions","M318151",1.1,0.2,-1.7,0.8,1.2,1,0.2,1,0.9,1.6,2,-0.4,-3.1,2.6,0.2,4.3,0.9,1.1,0.8,0.1,0.7,0.7,0.4,0.8,-0.1,1,-0.6,2.2,2,1.7,2.7,1.7,0,-0.6,-2.4,2,3.3,1.8,1.8,-2.1,-3,-4.7,-0.2
"24","16","        Excise taxes","M318161",0,0,-0.4,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,0.3,-0.1,-0.7,-0.2,-1.3,-1.2,-1.8,-2.1,-1.7,-0.8,-1.2,0.6,0,-3,1.4,-1.2,-1.2,0.8,3,-7.1,-2.7,-1.1,-2,-1.8,-1.5,-2.3,-3.4,-0.8,-3.3,2.3,-1.5,-1.2
"25","17","        Other","M318171",0.1,0.1,0.1,0.1,0.2,0.1,0.2,0,0.3,0.2,0.3,0.2,0.3,0.2,0,0,0,0,0,0.9,0.5,-0.7,0.2,0.9,0.8,0.3,0.3,0,0.1,0,0.2,0.3,0.2,0.1,0.2,0.2,0,0,-0.3,0,0.7,-33.6,14.5
"26","18","Equals: Federal government current receipts, NIPAs","M318181",186.1,189.8,186.6,206.4,232.9,263.4,275.1,304.5,355.6,405.8,473,518.3,602.4,625.1,628.5,696.2,762.3,802.7,883.2,940.2,1029.8,1063.4,1097.5,1130.3,1203,1303.7,1396.3,1495,1629.2,1757.7,1854.3,2045.7,2029.3,1878.1,1860.3,1963.7,2246.9,2491.2,2636.9,2558.9,2239,2337.6,2520.7
"27",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","Budget outlays","M318191",184.5,196.6,211.4,231.9,246.5,268.4,324.6,365.6,401.9,450.8,493.2,579,660.5,728.4,795.9,841.8,936.9,989.9,1002.2,1062.6,1144,1251.8,1323.8,1380.8,1409.1,1461.9,1515.9,1560.6,1601.3,1652.7,1702,1789.2,1863.2,2011.2,2160.1,2293,2472.2,2655.4,2728.7,2982.5,3517.7,3456.2,3603.1
"29","20","Less: Coverage differences","M318201",10.2,8.1,3.2,4,-1.3,-2.5,5.6,10.3,11.8,19.4,21.2,25.9,20.5,25.9,16.9,27,40.1,33.3,22.3,27.5,35.2,68.5,89.3,11.4,-20.7,-12.2,-23,-11.7,-34.6,-15.6,-11.5,-3.9,-10.5,10,21.4,30.3,48.1,57.1,17.3,56.8,335.9,13.2,-17
"30","21","        Federal employee retirement plan transactions \1\","M318221",2.6,2.6,3,3.1,3.6,4.3,4.6,5.4,4.4,6,6.3,6.6,7.7,7.7,7.1,6.9,-23.8,-26,-26.7,-27.1,-28.4,-28.4,-30.5,-32.5,-32.2,-30.4,-29.2,-27.3,-31.6,-31.1,-31.9,-31.4,-31.7,-33.6,-33,-33.2,-38.9,-41.6,-39.9,-52,-30.6,-51.1,-62
"31","22","          Interest received","M318231",-0.8,-1.2,-1,-1.5,-1.6,-1.8,-2.1,-2.5,-2.8,-3.2,-3.8,-4.7,-5.7,-7.5,-9.3,-11,-14.1,-17.3,-19.3,-22.2,-25.1,-28,-30.7,-33.3,-35.6,-36.9,-39.6,-41.4,-43.1,-44.8,-46.9,-46.6,-49.1,-49.9,-49,-47.4,-50.4,-54,-52.8,-62.6,-43.2,-54.2,-64.6
"32","23","          Contributions received (employer)","M318241",-1.5,-1.9,-2.7,-3.2,-3.9,-4.8,-6.7,-7.9,-10.8,-11.2,-12.9,-15.8,-18.4,-19.8,-20.9,-21.1,-49.3,-51.2,-52.2,-53.2,-54,-54.5,-57.8,-58.9,-58.3,-57.8,-57.2,-56,-62,-62.1,-62.6,-64.7,-66.2,-69.9,-76.8,-83,-91.9,-97.4,-103.3,-110.8,-117.7,-130,-132.4
"33","24","          Benefits paid","M318251",4.9,5.7,6.7,7.8,9,10.9,13.5,15.8,18,20.4,23,27,31.8,35,37.3,39,39.6,42.5,44.8,48.2,50.7,54,57.9,59.7,61.6,64.3,67.5,69.9,73.4,75.7,77.5,79.8,83.4,86.1,92.6,96.9,103.2,109.6,115.8,121.1,130.1,132.8,134.8
"34","25","          Administrative expenses","M318261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2
"35","26","        Financing disbursements from credit programs \5\","M318271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2,1.3,-2.3,-4.3,-11.7,-20.7,-11,-15.4,-17.1,-23.3,-15.7,-7.1,4.2,5.7,16.4,-16.8,-28,-404.2,-157.4,-60.7
"36","27","        Other differences in funds covered \6\","M318281",-2.2,-2.7,-3.6,-4.2,-6.2,-8.6,-15.7,-16.2,-17.2,-19.5,-22.6,-26.1,-34.5,-32.3,-28.2,-26.3,-8.6,-2.5,-1.6,-0.3,-0.3,-0.4,-0.3,0.1,-0.3,-0.4,0.4,0.3,0.7,1.4,3,2.6,4.4,4.5,8.7,3.6,6.3,6.7,6.3,6.5,6.6,7.1,6.8
"37","28","        Net investment \7\","M318291",0.5,-1.1,-3.1,-4.5,-3.7,-3.2,-1.4,1.2,2,1.6,4.6,5.9,7.4,9.3,14,18.4,25.3,28.2,30.7,23.1,20.7,20.7,17.9,13.5,8.5,-0.3,-2.2,-1.4,-9.2,-7,-5.1,-5.8,-7.9,-0.3,4.7,7.3,9.5,13.6,15.1,22.7,32.7,35.9,27.6
"38","29","        Capital transfers paid \8\","M318301",6.1,5.6,5.5,5.8,6.3,7.1,8.3,9.9,11.3,11.3,13.5,16,16.5,14.8,15.2,16.9,18.8,20.8,18.9,19.5,19.5,20.7,21.4,21.8,23.3,24.5,27.4,27.9,29.1,28.3,31.5,35.3,41,45.1,45.7,46.8,65.1,51.8,53.1,59.2,236.3,142.2,99
"39","30","        Financial transactions","M318311",3.2,3.7,2.4,3.5,1.2,4.9,11.5,11,12.4,20.6,20.1,25.2,30.8,28.7,15.6,13.7,29.6,14.2,1.8,11.9,23.3,55.9,80.1,9.5,-21.8,-4.1,-8.1,0.2,7.7,8.7,7,11.9,7.3,9.2,1.8,0.9,0.5,9.8,12.7,57.9,511,35.7,-28.4
"40","31","          Loan disbursements less loan repayments and sales","M318321",3.2,3.6,2.4,3.3,1.2,4.8,11.7,10.9,12.7,21.3,20.2,25.7,29.5,26.8,19.5,15.6,26,12.6,-0.1,0.1,12.1,5.5,12.9,4.5,4.8,0.4,12.9,12.8,21.1,13.9,20.2,11.8,16.6,15.1,7.4,8.8,7.3,16.8,19.4,29.8,317.9,140.3,14
"41","32","          Deposit insurance","B1069C1",0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.3,1.5,2.3,0.7,-3.8,-1.7,1.6,23.8,57.9,69.6,5.5,-22.8,-2,-14.8,-7.8,-9.8,-3.1,-3.2,-2.1,-0.8,0.7,0.9,0.2,0.5,1.2,0.8,22.5,33.8,29.4,1.2
"42","33","          Net purchases of foreign currency","M318341",0.3,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","34","          Other","M318351",-0.3,-0.3,-0.3,0.1,0,0,-0.3,0.1,-0.3,-0.6,-0.2,-0.5,0.4,0.7,-5.4,-4.1,2.9,5.4,3.5,10.2,-12.6,-7.5,-2.4,-0.5,-3.8,-2.5,-6.2,-4.8,-3.6,-2.1,-10,2.2,-8.4,-6.6,-6.5,-8.1,-7.3,-8.1,-7.5,5.6,159.3,-134.1,-43.6
"44","35","        Net purchases of nonproduced assets","M318361",-0.1,0,-0.7,0.2,-2.4,-6,-1.6,-1,-1.4,-0.9,-1.5,-2.4,-7.6,-2.2,-7.3,-3.3,-1.7,-1.9,-1.4,-0.1,-0.7,-1,0.2,0.2,0.2,0.2,-7.4,-0.1,-11,-5.3,-1.1,-0.2,-0.8,0.3,0.1,0.1,-0.7,-0.3,-13.9,-10,-16.6,0.1,-0.1
"45","36","          Outer Continental Shelf","M318371",-0.3,-0.2,-0.9,0,-2.5,-6.3,-1.9,-1.3,-1.6,-1.2,-1.9,-2.8,-7.8,-2.4,-7.5,-3.4,-1.9,-2.1,-1.6,-1.3,-0.9,-1.1,0,0,0,0,0,0,-0.2,-0.5,0,-0.2,0,0,-0.2,0,0,-0.1,0,-8.5,-0.2,0,0
"46","37","          Land and other \9\","M318381",0.2,0.1,0.2,0.3,0.1,0.3,0.3,0.3,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.1,0.3,0.2,0.2,1.2,0.2,0.1,0.2,0.2,0.2,0.2,-7.4,-0.1,-10.7,-4.9,-1.1,0,-0.8,0.3,0.3,0.1,-0.7,-0.2,-13.9,-1.5,-16.4,0.1,-0.1
"47","38","        Other \10\","M318391",0,0.1,-0.3,0,-0.1,-0.9,0,0.1,0.3,0.2,0.7,0.6,0.2,-0.2,0.4,0.7,0.6,0.6,0.6,0.5,1,0.9,0.5,-0.1,0.2,0.5,0.4,0.4,0.4,0.4,0.5,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.7,0.8
"48","39","Less: Netting and grossing differences","M318401",-4.6,-4.5,-4,-5.3,-5.4,-4.5,-5.1,-6.5,-8.7,-9,-12.2,-13.2,-17.9,-28.5,-30.3,-35.1,-40.8,-44.3,-41.6,-44.8,-49.1,-45.7,-57,-56.9,-64,-62.8,-62.2,-63.2,-69.5,-66,-66.2,-71.6,-69.7,-79.2,-87.2,-91.5,-97.6,-110.9,-121.8,-137.1,-168.1,-219.8,-172.7
"49","40","        Supplementary medical insurance premiums","M318411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,-4.3,-4.9,-5.6,-5.7,-6.5,-8.8,-11.6,-11.6,-12.2,-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.8,-26,-28.4,-32.1,-38.2,-45.1,-50.2,-54.2,-57,-60.7,-63.1
"50","41","        Interest receipts","W706MC1",-2.5,-2.5,-2.7,-3,-3.1,-3,-3.3,-4.1,-4.7,-5.7,-7.1,-8.4,-11,-14.4,-15.3,-16.6,-17.6,-22.3,-17.3,-18.4,-16.7,-16.4,-22.3,-17.4,-15.1,-11.6,-11.7,-13.9,-12.1,-11.7,-12.4,-13.6,-11.4,-11.4,-11.4,-9.7,-9,-10.4,-11.4,-12.5,-30.9,-40,-43.1
"51","42","        Current surplus of government enterprises","W707MC1",0.4,1,1.6,1.3,1.4,2.2,3,3.1,2.9,3,2.3,3.8,3.9,2.7,3,3.3,3.2,1.8,2.5,2.6,1.1,5.1,2.9,1.1,-0.5,1.6,-0.1,1.4,0.4,-0.7,-1.2,0,4.9,0.9,-4,-1.7,3.7,3.3,2.3,3.5,4.1,5.6,10.9
"52","43","        Other \4\","M318431",-2.6,-3,-3,-3.6,-3.7,-3.7,-4.9,-5.5,-6.9,-6.3,-7.4,-8.6,-10.7,-13,-13.7,-16.9,-20.8,-18.1,-20.3,-20.2,-21.8,-22.9,-25.3,-27.3,-33.1,-35,-30.1,-30.7,-37.3,-32.9,-31.1,-36.1,-39.5,-42.7,-43.4,-48,-54,-58.7,-62.5,-73.9,-84.3,-124.7,-77.3
"53","44","Plus: Timing differences","M318441",-0.8,-0.3,0,-0.6,2.4,-0.2,-0.4,1,1.8,1.5,3.2,-1.8,-1.1,-1.8,0.1,3.2,-0.4,-2.1,10.4,0,-2.4,9,1.1,-2.8,2.1,-5,6.4,13.8,-2.7,0.8,2.4,-9.7,9.3,-4.7,1.1,3.1,8.6,-6.5,9.6,15,-9.8,-3.9,-23.3
"54","45","        Purchases (increase in payables net of advances)","M318451",-1.4,-0.6,-0.3,-1.1,2.1,-1,-0.4,0.8,1.4,0.6,1.8,-1.8,-0.4,-1.9,-1,-0.1,-1.3,-0.2,5.7,3.8,-4.1,3.8,3.6,-2,1.4,-0.3,4.2,7.4,-0.7,0.3,1.1,-2.7,0.4,-1.6,-1.4,-0.2,-4.5,1.2,2.1,-2.1,-8.6,-9.8,-11.7
"55","46","        Interest payments","M318461",0.1,0,0,-0.1,0,-0.1,0,-0.1,-0.2,-0.3,-0.5,-0.7,-0.9,-1.1,-0.8,-1.3,-1.2,-1.7,0.9,-1.6,-0.8,-1.3,-4.5,-1.5,1.5,1.3,0.1,0.6,-1.1,-1.5,-0.3,-1.5,0.2,-1.4,-1.3,-2.2,0,-1.3,1.7,-0.4,-1.6,-1.7,-3.7
"56","47","        Current transfer payments","M318471",0.1,0.3,0.2,0.3,0.5,0.9,-0.4,0.3,0.6,0.7,1.6,0.6,0.4,0.6,0.5,3.1,0,0.1,2.6,-1.2,1.4,2.9,0.2,1.9,0.5,-3.8,0.3,4.1,0.2,0.3,-0.1,-4.3,6.3,2,2.4,3.6,-5.7,8.6,5.1,15.4,4.9,9.4,-6.3
"57","48","        Other \11\","W708MC1",0.3,0,0.1,0.3,-0.3,0,0.4,0,0,0.5,0.4,0.1,-0.2,0.6,1.4,1.5,2.2,-0.3,1.3,-1,1.1,3.5,1.8,-1.2,-1.2,-2.2,1.7,1.6,-1.1,1.7,1.8,-1.3,2.4,-3.8,1.5,2,18.7,-15.1,0.7,2.1,-4.5,-1.8,-1.8
"58","49","Equals: Federal government current expenditures, NIPAs","M318491",178.2,192.7,212.3,232.6,255.7,275.1,323.8,362.8,400.7,441.9,487.4,564.6,656.8,729.3,809.4,853.2,937.1,998.8,1031.9,1079.9,1155.5,1238,1292.6,1423.5,1495.9,1532,1607.5,1649.2,1702.7,1735,1782.2,1855,1952.8,2075.6,2227,2357.4,2530.2,2702.7,2842.8,3077.8,3340,3658.9,3769.4
"59",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","50","Budget surplus or deficit (-) (1-19)","M318501",3.2,-2.8,-23,-23.2,-14.3,-3.5,-43.6,-65.6,-45,-48.8,-27.3,-59,-57.9,-110.7,-195.4,-178.2,-203.2,-221.1,-148.4,-154.3,-153.3,-220.5,-269.5,-290.3,-254.6,-203.2,-164,-107.4,-21.9,69.3,125.6,236.2,128.2,-157.8,-377.6,-412.7,-318.3,-248.2,-160.7,-458.6,-1412.7,-1293.5,-1299.6
"61","51","Plus: Net investment (28)","M318511",0.5,-1.1,-3.1,-4.5,-3.7,-3.2,-1.4,1.2,2,1.6,4.6,5.9,7.4,9.3,14,18.4,25.3,28.2,30.7,23.1,20.7,20.7,17.9,13.5,8.5,-0.3,-2.2,-1.4,-9.2,-7,-5.1,-5.8,-7.9,-0.3,4.7,7.3,9.5,13.6,15.1,22.7,32.7,35.9,27.6
"62","52","Less: Net capital transfers received (4-29)","M318521",-2.6,-2,-1.8,-0.4,-1.4,-2,-3.7,-4.7,-4,-6.1,-8.1,-9.7,-9.8,-7,-9.2,-11,-12.5,-14,-11.6,-12.2,-10.9,-9.3,-10.4,-10.8,-11,-9.4,-12.8,-10.9,-9.4,-4.4,-3.8,-6.5,-12.8,-18.7,-24,-22.1,-40.6,-24.1,-27.2,-30.6,-213,-123.9,-91.7
"63","53","      Federal employee retirement plans (3-21)","M318531",-1.2,-0.8,-1.1,-1,-1.4,-2,-2,-2.6,-1.4,-2.8,-2.8,-2.9,-3.7,-3.5,-2.7,-2.4,28.6,30.7,31.4,31.7,32.9,32.9,35.1,37.2,37,35,33.8,31.8,36,35.5,36.3,36.1,36.5,38.2,37.6,37.8,43.4,45.9,44.2,56.2,34.8,55.1,66.1
"64","54","      Other coverage differences (5+6-26-27-30-35-38)","M318541",-0.8,-0.9,2.2,0.7,7.7,10.6,6.1,6.5,6.2,-0.3,3.4,2.8,11.6,6.7,18.8,14.7,-19.5,-9.3,0.7,-11.4,-22.9,-55.1,-80.2,-8.2,20.6,6.3,19.2,12,24.1,8.7,10.1,6.9,16.4,6.8,1.7,-2.9,-5.2,-25.8,18.4,-19.2,-89.8,122.1,89.6
"65","55","      Timing differences (44-12)","M318551",0.4,2.6,0.2,-0.9,-0.1,-1.5,3.3,-5.3,1.3,-2,-0.7,3.1,5.7,6.6,-7.3,-4.2,0.4,-4.3,10.5,0.5,-6,6.4,-1,-2,0.3,-7.1,4.8,12.5,-8.3,-0.2,5.8,3.2,3.7,13.1,-21.6,-24.5,-23,-19.1,25,76.7,-11,10.4,-87.2
"66","56","Equals: Federal government saving, national income and product accounts (18-49)","M318561",7.9,-2.8,-25.7,-26.2,-22.8,-11.7,-48.7,-58.3,-45.1,-36,-14.4,-46.3,-54.4,-104.2,-180.9,-156.9,-174.9,-196.1,-148.7,-139.8,-125.7,-174.7,-195.1,-293.2,-292.9,-228.3,-211.1,-154.2,-73.5,22.7,72.1,190.7,76.5,-197.5,-366.7,-393.8,-283.4,-211.5,-205.9,-518.9,-1101,-1321.3,-1248.7
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. These transactions are included in the NIPA personal sector.  Beginning with October 2002, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","transactions include the Uniformed Services Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","largely of U.S. Treasury receipts from sales of foreign currencies to government agencies. Includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
