"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","16","    Gross value added of financial corporate business \1\","A454RC1",36.2,39.4,43.1,47.3,51.8,60,67.8,73.2,85.7,103.4,114.6,128.5,146.8,164.7,187.6,209.9,232.6,257.4,281.7,300.1,330.3,341.8,363.3,401.1,424.8,433,469.5,505.6,566.4,630.9,669,737,782.2,815,856.9,896.7,995.1,1083,1019.5,1007.6,1069,1134.3,1126.8,1183.1
"24","17","    Gross value added of nonfinancial corporate business \1\","A455RC1",540.5,558.3,603,669.4,750.8,809.8,876.7,989.7,1119.4,1272.7,1414.4,1534.5,1742.2,1802.6,1929.1,2161.4,2293.9,2383.2,2551,2765.4,2899.2,3035.2,3104.1,3241.1,3398.4,3677.6,3888,4119.4,4412.5,4668.3,4955.5,5279.4,5252.5,5307.7,5503.7,5877.5,6302.8,6740.3,6946,6991.4,6590.8,6952.4,7366.7,7682.5
"25","18","Consumption of fixed capital","B456RC1",42.9,47.5,52,56.5,63.1,74.2,88.6,97.8,110.1,125.1,144.3,166.7,192.4,212.8,219.3,228.8,244,258,270,287.3,303.9,321,336.1,344.1,359,380.1,408.3,435.1,466.9,499.9,539.3,590.1,632,654.5,669,695.6,743,800.9,840.1,864.3,862.5,860.1,893.7,933.5
"26","19","Net value added","A457RC1",497.5,510.8,551.1,613,687.6,735.7,788,892,1009.2,1147.5,1270.2,1367.8,1549.8,1589.8,1709.8,1932.6,2049.9,2125.2,2280.9,2478.1,2595.3,2714.2,2768,2897,3039.3,3297.5,3479.7,3684.4,3945.6,4168.5,4416.3,4689.4,4620.5,4653.1,4834.7,5181.9,5559.8,5939.4,6106,6127.1,5728.3,6092.3,6473,6748.9
"27","20","  Compensation of employees","A460RC1",357.1,376.5,399.4,443.9,502.2,552.2,575.5,651.4,735.3,845.1,958.4,1047.2,1157.6,1200.4,1263.1,1400,1496.1,1575.4,1678.4,1804.7,1905.7,2005.5,2044.8,2152.9,2244,2382.1,2511.5,2631.3,2814.6,3049.7,3256.5,3541.8,3559.4,3544.2,3651.3,3786.7,3976.3,4182.3,4361,4441.2,4173.7,4252,4472.7,4659.6
"28","21","    Wage and salary accruals","B461RC1",318.8,334.9,353.5,389.9,437.3,478.5,495.1,554.6,621.6,709,802.5,874.7,964.3,995,1044.7,1160.1,1243,1307.3,1397,1506,1590.1,1672.3,1692.3,1771.3,1838,1951.3,2077.5,2196.6,2369.3,2568.3,2755.6,2991.1,2989.9,2936.7,2979,3105.5,3267.5,3462.3,3636.2,3681.4,3435.3,3508.4,3687.5,3848.7
"29","22","    Supplements to wages and salaries","B462RC1",38.3,41.5,46,54,64.8,73.7,80.4,96.8,113.7,136.2,155.9,172.5,193.4,205.4,218.3,239.9,253.1,268.1,281.4,298.7,315.6,333.2,352.4,381.6,406,430.9,433.9,434.7,445.3,481.4,501,550.7,569.5,607.5,672.3,681.2,708.8,720,724.8,759.8,738.5,743.6,785.2,810.9
"30","23","  Taxes on production and imports less subsidies","W325RC1",50.2,54.2,59.5,63.7,70.1,74.4,80.2,86.7,94.6,102.7,108.8,121.5,146.7,152.9,168,185,196.6,204.6,216.8,233.8,248.2,263.5,285.7,302.5,318,347.8,354.2,365.6,381,393.1,414.6,439.4,434.5,461.9,484.2,517.7,558.4,593.3,607.7,615.2,589.2,612.2,645.8,657.4
"31","24","  Net operating surplus","W326RC1",90.3,80.1,92.1,105.4,115.4,109.1,132.4,153.9,179.3,199.7,203,199.1,245.5,236.5,278.7,347.5,357.2,345.2,385.6,439.6,441.5,445.2,437.5,441.6,477.3,567.5,614,687.5,750,725.7,745.1,708.2,626.7,647.1,699.2,877.5,1025.1,1163.7,1137.4,1070.8,965.4,1228.2,1354.5,1431.9
"32","25","    Net interest and miscellaneous payments","B471RC1",12.7,16.6,17.6,18.6,21.8,27.5,28.4,26,28.5,33.4,41.8,54.2,67.2,77.4,77,86,91.5,98.5,95.9,107.9,133.9,143.1,139.6,114.2,99.8,98.8,112.7,112.1,124.7,146.8,164.5,192.8,197.7,163.7,147.9,134.4,148.2,164,232.3,257.7,227.4,221.7,255.9,258.9
"33","26","    Business current transfer payments (net)","W327RC1",3.2,3.3,3.7,4,4.7,4.1,5,7,9,9.5,9.5,10.2,11.4,8.8,10.5,11.7,16.1,27.3,29.9,27.4,24,25.4,26.6,31.3,30.1,35.3,30.7,38,39.2,35.2,47.1,47.9,58.9,56.3,65.2,65.5,79.3,75.8,69.1,58.1,77.4,89.3,91.5,84.7
"34","27","    Corporate profits with IVA and CCAdj","A463RC1",74.4,60.2,70.8,82.8,88.9,77.5,98.9,121,141.9,156.8,151.8,134.7,166.8,150.2,191.2,249.8,249.6,219.5,259.9,304.3,283.5,276.7,271.3,296.1,347.5,433.5,470.6,537.4,586.2,543.7,533.5,467.5,370.1,427.2,486.1,677.5,797.6,923.9,835.9,755,660.6,917.1,1007.1,1088.3
"35","28","      Taxes on corporate income","B465RC1",33.3,27.3,30,33.8,40.4,42.8,41.9,53.5,60.6,67.6,70.6,68.2,66,48.8,61.7,75.9,71.1,76.2,94.2,104,101.2,98.5,88.6,94.4,108,132.4,140.3,152.9,161.4,158.7,171.4,170.2,111.2,97.1,132.9,187,271.9,307.6,293.8,227.4,177.8,222.9,246.8,307.6
"36","29","      Profits after tax with IVA and CCAdj","W328RC1",41,32.9,40.8,49,48.5,34.6,57,67.5,81.3,89.2,81.2,66.5,100.8,101.5,129.5,173.9,178.6,143.2,165.7,200.3,182.3,178.3,182.7,201.7,239.5,301.1,330.3,384.5,424.8,385.1,362.1,297.3,258.8,330.1,353.2,490.6,525.8,616.2,542.2,527.7,482.8,694.3,760.3,780.7
"37","30","        Net dividends","B467RC1",19,18.3,18.1,19.7,20.8,21.5,24.6,27.8,30.9,35.9,37.6,44.7,52.5,54.1,63.2,67.2,72,72.9,76.3,82.2,105.4,118.3,125.5,134.3,149.2,158,178,197.6,215.9,241,224.7,251.3,245.4,254.8,293.4,364.5,170.9,471.1,484.6,474.1,351.7,385.7,425.3,467.5
"38","31","        Undistributed profits with IVA and CCAdj","W332RC1",22,14.6,22.7,29.3,27.8,13.1,32.5,39.7,50.4,53.3,43.5,21.9,48.3,47.4,66.2,106.7,106.6,70.4,89.4,118.2,77,60,57.2,67.4,90.3,143.1,152.2,186.9,208.9,144,137.4,46,13.4,75.3,59.8,126.1,354.9,145.1,57.6,53.5,131.1,308.5,334.9,313.2
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","32","    Profits before tax (without IVA and CCAdj)","A446RC1",84.8,73.9,85,98.7,120.1,130.3,130.9,163.2,191.4,223.3,237.5,218.1,214.1,166,198.9,232,219.4,206.5,275.1,332.9,323.3,335.6,348.9,401.3,442.1,521.1,591.3,638.8,694.2,620.1,659,626.8,543,607.5,737.7,1024.4,1400.7,1565.9,1387.5,953.3,1087.7,1414.7,1415.2,1732.2
"42","33","    Profits after tax (without IVA and CCAdj)","A448RC1",44.8,39.1,46.9,56.3,70.1,77.5,79.3,97.9,117,138.4,147.5,130.9,129.7,99.5,118.3,134.5,120,96.8,144.6,191.3,177.3,190.2,210.3,252.6,271.1,327.9,373.5,407.3,448.8,371.8,400.2,361.8,339.7,415.1,494,718.3,988.3,1092.6,942,644.3,818.3,1041.4,1036.2,1282.8
"43","34","    Undistributed profits after tax (without IVA and CCAdj)","A450RC1",24.4,18.8,26.5,34.4,47,54.1,52.9,67.8,83.3,98.8,106,83.6,71.4,38.2,47,56,34.2,8.5,49,93.3,50.9,46.1,54,92.6,88.7,130.4,151.9,150,164.8,62.6,104.5,13.3,9.7,63.9,101.2,230.3,691.9,465.7,292.3,38,376.1,560.4,482.2,639
"44","35","    Inventory valuation adjustment","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,-2.6,-11.3,-34.3,-30.7,-38,-47.2,-44.5,3.2,-38.7,-62.6,-10.9
"45","36","    Capital consumption adjustment","A059RC1",9,8.1,7.8,9.8,9.1,5.6,-1.7,-4,-3,-4,-6.6,-10,4.2,14.6,33.3,54,75.1,61.1,61,58.9,51.5,35.7,27,24.6,28.7,41.6,50.2,57.7,69,73.8,79.7,63.6,63.4,109.4,85.6,51.8,-153.4,-176.4,-180.5,-67.1,-101.3,-75.2,35.4,-200.6
"46",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","    Profits before tax (without IVA and CCAdj)","A464RC1",71.2,58.5,67.4,79.5,99.5,110.2,110.7,138.2,159.5,183.7,197.2,184.1,185,140,163.4,197.6,173.5,149.7,213.5,264.1,243.1,243.3,226.8,258.6,308.7,391.9,431.2,471.3,506.8,460.5,468.6,432.5,315.1,342.3,425.9,662.1,957.1,1117.9,1042,831.2,712.9,990.5,1007,1247.5
"48","38","    Profits after tax (without IVA and CCAdj)","A466RC1",37.8,31.2,37.4,45.7,59.1,67.3,68.8,84.7,98.9,116.2,126.5,115.9,119,91.2,101.7,121.7,102.4,73.5,119.3,160.2,141.9,144.8,138.2,164.2,200.6,259.5,290.9,318.4,345.4,301.8,297.2,262.3,203.8,245.2,293,475.1,685.3,810.3,748.2,603.8,535.1,767.6,760.2,939.9
"49","39","    Inventory valuation adjustment","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,-2.6,-11.3,-34.3,-30.7,-38,-47.2,-44.5,3.2,-38.7,-62.6,-10.9
"50","40","    Capital consumption adjustment","B470RC1",9.1,8.3,8,9.9,9,5.5,-1.2,-3.2,-1.9,-3.2,-5.3,-7.2,6.5,17.8,35.2,56.2,76.2,62.7,62.6,62.3,56.7,46.3,39.6,40.3,42.9,54,57.6,63,65.3,67.5,68.9,51.8,47,87.5,71.5,49.7,-128.8,-156,-158.8,-31.7,-55.4,-34.7,62.7,-148.2
"51",NA,"  Value added, in billions of chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Gross value added of nonfinancial corporate business \2\","B455RX1",1806.9,1792.4,1866.3,2009,2132.7,2099,2068.2,2237.2,2402.9,2560.2,2640.4,2613.4,2717.8,2653,2781.1,3027.7,3157.9,3235.5,3402.5,3599.1,3658.8,3713.1,3695.4,3804.9,3905,4155.3,4349,4588.6,4887.8,5167.3,5452.4,5745.7,5637.8,5675.5,5818.1,6085.1,6302.8,6543.2,6606.4,6515.9,6036.8,6369.1,6595.6,6779.4
"53","42","      Consumption of fixed capital \3\","N456RX1",128.9,136.2,142.4,149.8,161.4,171.1,178.1,184.3,192.9,203.5,215.8,227.2,237.3,248.2,256.1,266.4,281.5,293.7,305.1,315.1,325.8,337.2,347,356.3,370.3,389.3,413.6,443.1,478.4,519.3,565.2,616.3,659.2,683.3,698.4,717.4,743,773.7,794.1,798.9,805.3,805.9,819.7,843.6
"54","43","      Net value added \4\","A457RX1",1678,1656.2,1724,1859.2,1971.3,1927.9,1890.1,2052.9,2210,2356.6,2424.6,2386.2,2480.4,2404.8,2525,2761.2,2876.3,2941.8,3097.4,3283.9,3332.9,3375.9,3348.4,3448.6,3534.7,3766,3935.4,4145.6,4409.4,4648,4887.2,5129.4,4978.6,4992.2,5119.7,5367.8,5559.8,5769.5,5812.3,5717,5231.5,5563.2,5776,5935.9
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Chained-dollar consumption of fixed capital of nonfinancial corporate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","business is calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","the 2005 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","4. Chained-dollar net value added of nonfinancial corporate business is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","difference between the gross product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
