"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"59","52","        Intermediate goods and services purchased \3\","W140RX1",373,382.1,400.6,431.8,462.2,480.4,512.5,535.2,525,523.1,522.1,525.1,536.5,522,559.6,551,535.9,532.2
"60","53","          Durable goods","B989RX1",14.4,14.8,15.8,17.6,19.2,20.6,22.1,22.4,22.1,22.2,22.3,22.6,23.3,23.1,24.2,23.7,23,22.6
"61","54","          Nondurable goods","B337RX1",125.9,129.4,135.4,145.2,155.6,162.1,173.3,179.7,176.5,176.8,176.9,178.4,183.4,178.3,191,187.9,182.3,180.8
"62","55","          Services","A988RX1",233.2,238.5,249.8,269.1,287.4,297.7,317,333,326.4,324.1,322.9,324.1,329.8,320.7,344.4,339.4,330.6,328.7
"63","56","      Less: Own-account investment \4\","W144RX1",14.2,14.4,15.7,16,16.6,17.6,19.1,19.1,18.6,19,19.1,19.7,20,20.3,20.3,18.8,17.4,17.2
"64","57","            Sales to other sectors","W145RX1",229.2,233.5,241.4,248.9,255.1,267.7,281.7,285.3,285.4,287.7,288.7,291.2,297.4,297.5,300.1,302.7,306.3,310.4
"65","58","              Tuition and related educational charges","B1065X1",55.8,56,57.3,58.8,60.6,62.6,63,63,63,61.1,61.2,61.7,62.5,63,63.3,63.2,63.3,63.7
"66","59","              Health and hospital charges","B1066X1",113,112.5,115.2,118.6,120.6,126.5,137.1,137.7,135.2,135.6,132.3,132.3,135.5,138.4,142.3,144.5,147.9,150.7
"67","60","              Other sales","W146RX1",61.8,66,69.8,72.3,74.8,79.3,82.1,84.8,87.3,91,95.2,97.2,99.5,96.1,94.7,95.3,95.5,96.5
"68","61","Residual","W100RX1",-11.5,-9.6,-7,-5.6,-3.4,-2.7,-1.4,-0.8,0.1,0,0.1,-0.2,-0.2,-2.2,-1.9,-2.9,-2.5,-2.4
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
