"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","Equals: Gross national product","A001RX1",4288,4295.8,4442.2,4678.9,4960.3,4939.8,4917.2,5186.8,5429.1,5728.4,5925.2,5908.3,6047.3,5934,6197.1,6634.1,6888,7110.4,7335.9,7643.9,7917.3,8075,8048.8,8319.4,8556,8893,9121.7,9463.1,9873.4,10295.3,10802.9,11259.2,11395,11597.1,11909.9,12341.6,12720.1,13028.3,13322,13316.9,12889,13253.4,13522,13803.8
"12","5","Less: Consumption of fixed capital","A262RX1",333.6,347.3,358.7,372.1,391.8,409.6,423.8,437.3,454.6,475.3,499.7,522.9,543.8,566.2,585.1,609.5,643.1,674.1,705.5,735.1,766.2,796.5,821.2,844,872.3,906.5,947,994.8,1051.4,1120.5,1199.4,1282.4,1350.8,1399.8,1441.3,1488.3,1541.4,1598.4,1660.9,1710,1736.6,1749.5,1776.3,1813.9
"13","6","        Private","A024RX1",241.4,253.6,264.9,278.6,298.1,315.1,327.7,339.4,354.6,373.2,394.8,414.7,432.3,451.1,465.7,484.5,510.9,534,557.6,580.1,604.1,627.1,645.1,662.3,686,716.5,753.7,797.6,850,913.9,986.2,1062.7,1125.5,1168.9,1204.5,1244.4,1290.8,1341,1395.6,1437.1,1454.9,1459.4,1479.4,1511.8
"14","7","        Government","A264RX1",96.9,98.1,97.9,97,96.7,97.4,98.8,100.6,102.4,104.2,106.6,109.6,112.8,116.3,120.6,126.4,133.8,142,150.1,157.5,164.8,172.4,179.3,185.1,189.7,193,195.8,199.2,202.9,207.6,213.8,220,225.4,231,236.8,243.9,250.6,257.4,265.4,273,281.5,289.4,296,301.2
"15","8","          General government","A265RX1",85.5,86.2,85.5,84.2,83.4,83.5,84.4,85.6,86.9,88.3,90.1,92.4,94.9,97.7,101.3,106.3,112.8,120,127.2,133.7,140.1,146.8,152.7,157.4,160.9,163.3,165.4,167.9,170.9,174.6,179.5,184.5,188.8,193.3,197.7,203.3,208.7,214.9,221.7,228.4,235.7,242.3,247.8,252
"16","9","          Government enterprises","A266RX1",10.7,11.2,11.7,12.3,13,13.6,14.3,14.8,15.3,15.8,16.5,17.2,17.9,18.6,19.3,20.1,21,21.9,22.8,23.6,24.5,25.4,26.5,27.5,28.6,29.5,30.4,31.2,31.9,32.9,34.2,35.5,36.6,37.7,39.1,40.6,41.9,42.6,43.6,44.6,45.8,47.1,48.2,49.3
"17","10","Equals: Net national product","A027RX1",3996.2,3986.2,4122.6,4349.9,4614.9,4569.9,4527,4788.7,5016.9,5299.5,5470.1,5419.3,5534.3,5383.5,5631,6051.3,6269.1,6458.1,6649.9,6929.1,7170.8,7294.8,7238,7487,7694.9,7998.2,8184.2,8476.6,8829.2,9180.2,9607.6,9979.4,10044.7,10197.3,10468.7,10853.3,11178.7,11429.8,11660.9,11606.6,11153.2,11503.6,11745,11989.3
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RX1",4245.7,4238,4366.5,4610.2,4884.3,4853.8,4826.9,5070.8,5317,5608.3,5742.9,5739.3,5912.1,5857.4,6044.7,6518.8,6774.8,6972.9,7256.3,7621.6,7798.6,7910.6,7901.7,8136.4,8342.8,8727,9021.6,9394.7,9862.4,10374.4,10852.5,11367.4,11451.4,11567.1,11818.7,12270,12718,13193.2,13217.6,13164.2,12650,13041.9,13270.9,13534.9
"20","12","  Gross national income \2\","A023RX1",4275.5,4267.4,4399.1,4645.4,4931.8,4907.8,4868.6,5120.7,5373,5663.9,5817.9,5813.5,5977.3,5925.5,6110.9,6581.3,6819.4,7002.9,7285.3,7658.1,7836.7,7958.4,7942.2,8175.7,8382.5,8756.9,9057.3,9432,9889.9,10395,10884.8,11410.3,11508.9,11621,11892.2,12364.7,12815.2,13263,13333.3,13319.2,12781,13232.4,13493.8,13745.5
"21","13","  Net domestic product","A362RX1",3966,3956.3,4089.3,4314.2,4566.6,4514.6,4484.5,4737.8,4959.7,5242.9,5393.2,5343.2,5467.7,5313.9,5563.5,5987.4,6224,6428.1,6621.1,6892.4,7132.6,7246.5,7197.3,7447.5,7655,7968.4,8148.5,8439.3,8801.8,9159.8,9575.4,9936.6,9987.2,10143.3,10395.2,10758.6,11081.6,11360,11545.3,11451.7,11022.1,11313.3,11522.4,11778.9
"22","14","  Net domestic income \3\","W256RX1",3953.1,3927.1,4044.7,4279.5,4537.1,4481.5,4434,4669.1,4901.1,5175.7,5281.2,5244.1,5394.5,5304.9,5473.8,5932.8,6153.1,6317.1,6568.8,6907,7049.8,7127.1,7088.4,7301.1,7478.4,7830,8083.1,8407.7,8818.4,9260.4,9657.8,10088.5,10101.5,10167.3,10377.4,10781.7,11176.7,11594.9,11556.5,11453.9,10914.3,11292.4,11494.4,11721
"23","15","  Net domestic purchases","W367RX1",4062.9,4037.4,4182.3,4422.1,4639.2,4547.7,4472,4782.8,5044.8,5326.5,5437.8,5286.5,5418.2,5303.5,5633.7,6156.8,6421.9,6647.3,6828.1,7037.3,7236.5,7315.3,7213.9,7467.1,7722.2,8072,8241.8,8545.5,8938.5,9415.4,9936.3,10391.9,10465.4,10697.7,11003.5,11447.2,11804.3,12089.6,12194.2,11943.4,11367.8,11724.5,11923.3,12172.7
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
