"","Table 6#5C# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"40","        Chemicals and allied products","33","B4333C0C",1009,1047,1058,1071,1066,1062,1057,1037,1027,1021,1020,1021,1023,1024,1005
"41","        Petroleum and coal products","34","B4334C0C",159,156,153,155,156,154,149,145,142,138,135,133,130,125,123
"42","        Rubber and miscellaneous plastics products","35","B4335C0C",844,849,869,872,852,867,897,941,963,965,984,999,996,1003,945
"43","        Leather and leather products","36","B4336C0C",143,142,140,132,122,118,117,113,106,95,89,84,76,71,61
"44","    Transportation and public utilities","37","A4337C0C",5124,5262,5351,5450,5409,5369,5502,5656,5777,5884,6036,6226,6422,6615,6617
"45","      Transportation","38","A4338C0C",3037,3169,3272,3305,3278,3268,3408,3556,3684,3783,3885,4038,4167,4267,4236
"46","        Railroad transportation","39","B4339C0C",276,268,262,246,237,229,226,220,220,211,208,211,209,201,192
"47","        Local and interurban passenger transit","40","B4340C0C",292,306,320,323,330,335,353,371,384,402,418,432,447,457,462
"48","        Trucking and warehousing \3\","41","B4341C0C",1426,1306,1333,1326,1306,1307,1381,1457,1515,1551,1597,1660,1726,1760,1752
"49","        Water transportation","42","B4342C0C",164,164,164,166,172,164,163,167,167,166,170,173,176,181,179
"50","        Transportation by air \3\","43","B4343C0C",572,802,851,899,889,887,921,953,995,1043,1062,1117,1159,1207,1197
"51","        Pipelines, except natural gas","44","B4344C0C",18,18,18,18,19,19,19,17,15,14,14,13,13,13,14
"52","        Transportation services","45","B4345C0C",289,305,324,327,325,327,345,371,388,396,416,432,437,448,440
"53","      Communications","46","A4346C0C",1183,1181,1163,1208,1187,1159,1163,1182,1197,1229,1292,1341,1406,1505,1533
"54","        Telephone and telegraph","47","B4347C0C",876,868,842,874,859,831,829,838,838,854,913,950,1003,1081,1101
"55","        Radio and television","48","B4348C0C",307,313,321,334,328,328,334,344,359,375,379,391,403,424,432
"56","      Electric, gas, and sanitary services","49","B4349C0C",904,912,916,937,944,942,931,918,896,872,859,847,849,843,848
"57","    Wholesale trade","50","B4350C0C",5707,5841,6064,6013,5851,5856,5787,5971,6201,6280,6462,6622,6725,6818,6553
"58","    Retail trade","51","B4351C0C",15468,15981,16472,16560,16124,16258,16692,17308,18030,18383,18759,19053,19609,20190,20245
"59","    Finance, insurance, and real estate","52","A4352C0C",6302,6382,6422,6496,6446,6369,6501,6620,6552,6637,6797,7022,7147,7148,7216
"60","      Depository institutions","53","B4353C0C",2158,2147,2156,2152,2067,2003,1988,1972,1935,1920,1926,1929,1922,1901,1902
"61","      Nondepository institutions","54","B4354C0C",356,354,352,360,364,392,444,468,447,492,547,628,669,645,669
"62","      Security and commodity brokers","55","B4355C0C",449,444,431,428,423,441,474,521,532,557,601,646,686,749,767
"63","      Insurance carriers","56","B4356C0C",1372,1390,1412,1457,1479,1462,1466,1468,1451,1449,1462,1501,1526,1497,1488
"64","      Insurance agents, brokers, and service","57","B4357C0C",607,640,649,661,670,654,666,687,697,707,724,740,743,744,759
"65","      Real estate","58","B4358C0C",1154,1189,1196,1207,1202,1184,1219,1259,1252,1274,1302,1341,1365,1370,1393
"66","      Holding and other investment offices","59","B4359C0C",206,218,226,231,241,233,244,245,238,238,235,237,236,242,238
"67","    Services","60","A4360C0C",22699,23690,25093,26093,26347,27166,28311,29461,30868,32232,33677,35177,36525,37918,38102
"68","      Hotels and other lodging places","61","B4361C0C",1332,1402,1463,1493,1444,1427,1441,1479,1522,1561,1603,1643,1710,1759,1733
"69","      Personal services","62","B4362C0C",1026,1014,1029,1060,1050,1068,1094,1118,1140,1163,1161,1175,1204,1228,1255
"70","      Business services","63","B4363C0C",3939,4255,4543,4782,4642,4934,5338,5794,6372,6876,7525,8168,8787,9401,9016
"71","      Auto repair, services, and parking","64","B4364C0C",849,886,922,955,909,911,962,1005,1061,1136,1182,1212,1269,1313,1341
"72","      Miscellaneous repair services","65","B4365C0C",309,334,353,368,320,324,340,320,343,358,360,368,365,358,363
"73","      Motion pictures","66","B4366C0C",264,273,303,317,315,315,325,356,394,421,447,467,485,485,472
"74","      Amusement and recreation services","67","B4367C0C",805,824,891,943,954,996,1053,1143,1228,1294,1360,1394,1449,1531,1493
"75","      Health services","68","B4368C0C",6349,6460,6785,7102,7412,7786,8040,8288,8496,8778,8989,9127,9257,9387,9674
"76","      Legal services","69","B4369C0C",842,893,935,919,918,927,939,940,937,945,963,991,1016,1035,1057
"77","      Educational services","70","B4370C0C",1432,1457,1500,1524,1568,1653,1701,1747,1799,1844,1901,1991,2063,2148,2237
"78","      Social services and membership organizations","71","A4371C0C",2698,2897,3085,3260,3541,3444,3633,3808,3933,4065,4241,4462,4640,4822,4920
"79","        Social services","72","B4372C0C",1321,1415,1514,1603,1695,1787,1900,2020,2118,2199,2304,2430,2538,2669,2818
"80","        Membership organizations","73","B4373C0C",1377,1482,1571,1657,1846,1657,1733,1788,1815,1866,1937,2032,2102,2153,2102
"81","      Other services \4\","74","B4374C0C",2123,2283,2459,2559,2471,2523,2595,2642,2808,2963,3111,3297,3418,3618,3768
"82","      Private households","75","B4375C0C",731,712,825,811,803,858,850,821,835,828,834,882,862,833,773
"83","  Government","76","A4376C0C",17237,17642,18045,18340,18383,18327,18261,18248,18335,18328,18435,18604,18747,19043,19445
"84","    Federal","77","A4377C0C",5314,5336,5354,5345,5260,5060,4829,4661,4530,4378,4269,4207,4167,4198,4119
"85","      General government","78","A4378C0C",4489,4487,4498,4486,4411,4240,4046,3866,3722,3575,3476,3416,3370,3416,3338
"86","        Civilian","79","B4379C0C",2121,2156,2176,2221,2198,2181,2136,2051,1984,1913,1869,1845,1821,1869,1790
"87","        Military \5\","80","B4380C0C",2368,2331,2322,2265,2213,2059,1910,1815,1738,1662,1607,1571,1549,1547,1548
"88","      Government enterprises","81","B4381C0C",825,849,856,859,849,820,783,795,808,803,793,791,797,782,781
"89","    State and local","82","A4382C0C",11923,12306,12691,12995,13123,13267,13432,13587,13805,13950,14166,14397,14580,14845,15326
"90","      General government","83","A4383C0C",11129,11499,11862,12151,12274,12404,12571,12710,12922,13079,13304,13528,13705,13964,14334
"91","        Education","84","B4384C0C",5648,5918,6112,6250,6308,6377,6479,6595,6769,6887,7070,7226,7367,7567,7784
"92","        Other \2\","85","B4385C0C",5481,5581,5750,5901,5966,6027,6092,6115,6153,6192,6234,6302,6338,6397,6550
"93","      Government enterprises \2\","86","B4386C0C",794,807,829,844,849,863,861,877,883,871,862,869,875,881,992
"94","Rest of the world \6\","87","A4387C0C",-66,-75,-83,-82,-82,-88,-407,-452,-451,-416,-447,-439,-486,-497,-521
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96"," 1. Full-time equivalent employees equals the number of employees on full-time schedules plus the number of employees on ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","part-time schedules converted to a full-time basis.  The number of full-time equivalent employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","in each industry is the product of the total number of employees and the ratio of average weekly hours per employee for all ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","employees to average weekly hours per employee on full-time schedules.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100"," 2. Beginning with 2001, reflects the reclassification of employees of Indian tribal governments from the private sector in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","accordance with the Consolidated Appropriations Act of 2001.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102"," 3. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103"," 4. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105"," 5. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106"," 6. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
