"","Table 3#13# Subsidies Less Current Surplus of Government Enterpr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","    Air carriers","7","L31207",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"15","    Other \1\","8","L31208",0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.9,0.6,0.3,0.9,1.2,1.6,1.6,1.8,2.3,1.9,1.9,1.7,1.7,1.6,1.3,1.4,1.5,1.5,1.3,1.3,1.6,2,2.2,1.8,1.4,1.3,1,1.1,1,1
"16","  Less: Current surplus of government enterprises","9","B097RC",-0.3,-0.5,-0.5,-0.3,-0.3,-0.3,-0.6,-0.6,-0.3,-0.4,-1.5,-1.6,-1.1,-1.8,-1.8,-3.6,-2.2,-2.9,-2.1,-2.3,-3.6,-2.5,-2.4,-2.9,-3.4,-2.4,-1.5,-1.9,-2.3,-1.9,-5.2,-1.3,-0.1,-1.8,-1.3,0.6,-1.7,1.1,1.6,0.6,-0.1,-2.8
"17","          Postal Service","10","L31210",-0.7,-0.8,-0.9,-0.7,-0.7,-0.8,-1.1,-1.1,-0.9,-1.1,-2.1,-2.3,-1.7,-2.4,-2.4,-4.3,-2.8,-3.7,-3.2,-3.5,-5.1,-4.3,-4.2,-4.8,-5.7,-5.3,-4.7,-5.8,-4.9,-4.7,-7.9,-5.9,-4.2,-5.9,-6.5,-2,-3.9,-4,-4.3,-4.5,-5.2,-6.5
"18","          Federal Housing Administration","11","L31212",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.4,0.5,0.6,0.4,0.5,1,1.3,1.6,1.8,2.8,1.8,1.3,2,2.2,2.8,3.1,2.9,2.8
"19","          Tennessee Valley Authority","12","L31213",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,0.3,0.3,0.6,0.7,0.6,0.7,0.9,1.2,1.5,1.6,1.8,1.8,1.7,0.7,2.1,2.4,1.9,2,1.6,2,2.3,2.8,2.9,2.6,3
"20","          Other \2\","13","L31214",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.4,0.7,0.7,0.7,0.3,0.5,0.3,0.3,0.7,0.5,0.5,0.7,0.9,1,1.6,0.3,0.2,0.7,0.9,-0.1,-0.5,1.3,-0.4,-1.8,0.6,0.2,-0.9,-0.4,-2.1
"21","State and local","14","A113RC",-1.2,-1.3,-1.4,-1.6,-1.6,-1.7,-1.6,-1.5,-1.5,-1.4,-1.5,-1.3,-1.5,-1.4,-0.8,-0.2,-0.2,-0.1,0,0.6,1.6,2.8,2.1,0.7,-1.1,-2.8,-2.5,-2.8,-4.5,-6.1,-6.3,-6.6,-7.2,-8.6,-8.5,-10.2,-12.5,-12.4,-9.9,-10.5,-9.7,-3.1
"22","  Subsidies","15","B114RC",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,7.8
"23","  Less: Current surplus of government enterprises","16","B115RC",1.2,1.3,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.4,1.6,1.5,0.9,0.4,0.4,0.3,0.3,-0.3,-1.2,-2.4,-1.6,-0.2,1.5,3.2,2.8,3.1,4.8,6.5,6.7,7,7.6,8.9,8.8,10.5,12.8,12.8,10.3,10.9,10.2,10.9
"24","          Water and sewerage","17","L31218",0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0,-0.3,-0.6,-0.9,-0.9,-1.1,-1.4,-1.8,-1.8,-1.2,-0.4,0.4,0.7,1.2,1.8,1.9,2,2.3,2.4,2.9,3.4,4.2,5,5.4,5.9,6.6,6.7,7
"25","          Gas and electricity","18","L31219",0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3,1.2,1.5,1.8,2.2,3,3.2,3.4,4.1,4.8,5.1,5.4,5.7,5.9,6.1,6.2,6.6,7.1,6.9,7.3,8,8.7,9.4
"26","          Toll facilities","19","L31220",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.9,1,1,1.2,1.2,1.4,1.4,1.7,1.7,1.7,1.7,1.7,1.8,1.9,2.1,2.5,2.6,2.8
"27","          Liquor stores","20","L31221",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9
"28","          Air and water terminals","21","L31222",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.5,0.7,0.8,0.9,1,1.1,1.3,1.3,1.3,1.6,1.7,1.8,2,2.2,2.4,2.6,2.7,2.6
"29","          Housing and urban renewal","22","L31223",0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0.2,0.2,0.1,0.1,0.1,-0.1,-0.3,-0.3,0.4,0.8,0.3,0.1,-0.8,-1.9,-2.2,-2.1,-1.9,-1.5,-1.4,-1.7,-2.5,-2.7,-2.3,-3.1,-6,-6.2,-7.5,-7.4
"30","          Public transit","23","L31224",-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.4,-0.5,-0.7,-1,-1.4,-1.7,-1.6,-1.8,-2,-2.5,-2.9,-4.1,-4.7,-5.6,-6.1,-6.5,-7.4,-8,-8.3,-8.7,-9.6,-10.7,-11.3,-11.5,-12.6,-13,-13.4,-13.9,-14.9,-16,-16.9,-17.7
"31","          Other \3\","24","L31225",0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,0,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.8,1,1.4,2.1,2.9,3.9,4.6,5.1,6.3,7.2,7.6,7.8,8.5,9.4,10.4,11.2,12,12.6,12.6,12.8,13,13.4
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33"," 1. Consists largely of subsidies to railroads and mass transit systems.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34"," 2. Consists largely of the Bonneville Power Administration, other electric power agencies, and insurance agencies other than ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","those insuring deposits in financial institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36"," 3. Consists of lotteries, off-track betting, local parking, and miscellaneous activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
