"","Table 7#7# Chain-Type Quantity and Price Indexes for Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"20","        Telecommunications","12","B314RA",22.03,22.81,12.3,7.41,3.9,3.87,4.17,5.24,7.79,7.37,7.41,9.29,12.81,10.25,3.8,5.15,6.89,16.21,22.07,29.36,21.43,17.69,17.95,20.54,21.77,22.89,25.74,35.68,34.12,29.03,29.74,33.17,29.22,30.75,33.85,39.01,42.34,44.26,42.93,43.61,53.91,65.4,66.01,69.83,78.04,72.74,61.94,61.48,65.41,76.49,83.85,84.89,87.93,89.39,82.43,90.23,91.65,100.52,101.85,104.91,97,96.37,87.41,87.78,92.06,94.1,99.44,100,102.89,103.31,155.67,155.65,147.95
"21","        Electric light and power","13","B571RA",49.33,55.12,34.47,18.68,10.14,10.26,13.2,20.23,29.31,35.6,40.68,41.08,37.75,29.48,16.1,18.18,26.86,44.8,68.46,83.77,102.59,91.91,87.61,100.67,111.73,103.25,86.84,96.18,108.8,112.27,95.86,96.3,90.68,90.49,97.42,101.71,115.12,135.07,159.82,173.77,175.79,196.01,201.08,210.78,222.97,201.43,177.84,195.45,218.05,229.65,227.64,222.78,228.12,217.4,188.83,186.61,173.78,186.73,133.29,117.63,133.92,110.78,164.23,170.86,150.24,138.94,126.54,100,99.06,106.17,123.75,172.55,178.22
"22","        Gas","14","B572RA",38.34,38.88,26.38,16.67,8.84,9.83,10.71,16.48,15.79,12.72,12.08,17.7,20.18,14.8,10.37,23.95,22.74,24.06,40.68,43.54,53.12,68.58,76.35,52.31,57.28,50.59,60.4,68.01,65.27,60.99,70.3,65.61,65.28,58.43,55.74,69.21,78.68,93.36,88.64,113.31,95.72,84.33,74.53,82.49,82.14,71.52,51.46,47.04,51.21,58.24,67.59,74.75,79.15,67.47,43.8,47.98,59.07,56.88,54.29,58.92,67.46,72.29,81.88,100.09,79.47,62.27,82,100,82.83,156.15,99.14,99.57,102.2
"23","        Petroleum pipelines","15","B574RA",279.29,186.06,247.33,125.46,53.05,72.41,100.66,138.45,157.55,91.64,132.49,117.1,123.33,117.9,112.86,106.23,72.67,87.79,137.39,138.19,123.86,142.56,121.21,167.36,189.78,131.42,74.4,68.83,74.4,69.65,57.29,57.83,47.73,90.07,123.62,78.65,57.83,64.97,142.69,157.81,95.76,111.16,153.42,96.53,99.98,221.48,477.44,660.2,251.43,102.27,105.42,133.3,109.75,51.63,61.38,35.27,35.37,38.42,48.08,46.31,40.1,46.9,84.14,93.7,105.62,100.99,92.32,100,93.2,119.61,137.24,88.67,81.77
"24","      Farm","16","B316RA",66.6,36.09,17.99,6.91,11.22,15.17,33.93,42.89,50.97,44.06,50.55,40.18,49.42,44.13,53.65,52.98,48.57,192.91,182.79,171.01,165.96,167.9,158.31,167.48,150.02,144.84,136.72,141.2,130.94,129.8,173.65,187.23,180.81,198.26,200.42,197.88,199.71,205.82,228.92,204.72,201.05,210.12,198.05,170.3,222.64,258.01,270.33,278.06,290.71,312.06,312.47,252.73,209.49,157.08,133,127.12,85.32,78.19,91.83,81.33,83.05,89.15,86.39,74.8,102.35,93.79,84.25,100,101.04,109.43,124,140.54,138.46
"25","      Mining exploration, shafts, and wells","17","B318RA",23.41,18.01,10.1,12.69,10.49,14.87,18.07,21.53,27.9,24.18,22.72,25.56,26.47,18.03,16.42,22.42,24.73,28.55,31.86,39.1,39.58,46.98,49.17,54.93,60.01,66.37,71.4,69.1,65.21,60.97,62.6,58.76,59.84,62.77,58.91,63.12,62.35,59.09,56.48,56.81,59.22,55.71,51.54,55.29,59.04,70.16,81.94,88.45,99.91,113.94,121.35,170.5,198.23,183.22,151.7,172.46,153.65,90.03,88.01,96.55,87.32,100.9,98.63,81.64,97.17,93.76,86.44,100,124.23,119.12,102.25,128.11,161.41
"26","        Petroleum and natural gas","18","B319RA",26.14,20.11,11.28,14.16,11.71,16.6,20.18,24.03,31.15,26.99,25.36,28.54,29.55,20.12,18.33,25.03,27.61,29.99,33.23,41.31,42.07,49.84,52.35,58.72,64.13,71.57,77.16,74.72,70.6,65.03,66.53,62,62.91,65.97,61.45,66.14,65.29,61.66,58.77,58.3,60.36,55.79,50.73,54.78,58.15,67.95,79.52,84,94.51,111.08,119.76,170.41,196.82,183.67,153.15,174.64,155.1,90.57,90.38,99.52,88.87,102.92,99.55,81.36,97.84,91.37,86.49,100,126.54,122.98,105.3,134.01,169.19
"27","        Other","19","B320RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.62,27.04,27.04,24.45,30.18,29.49,30.33,33.39,29.49,29.79,28.19,25.67,35.47,39.11,42.25,45.75,48.21,50.58,50.87,50.82,50.5,50.1,59.6,66.54,73.27,77.16,79.15,87.86,116.65,134.45,169.22,196.62,172.04,158.71,187.62,240.7,187.03,135.25,145.5,136.61,84.18,61.2,63.15,69.79,77.96,88.39,84.83,90.17,119.79,85.84,100,96.15,70.91,64.04,57.88,68.96
"28","      Other \4\","20","B317RA",21.27,17.77,13.76,10.73,12.09,8.48,6.59,5.28,6.59,6.19,5.95,6.77,6.19,3.43,1.2,2.05,3.34,7.35,8.44,7.06,8.55,13.32,6.64,8.44,11.98,12.49,16.35,12.2,18.06,17.37,19.13,26.57,23.47,25.37,27.75,29.87,35.9,40.31,36.32,43.72,53.03,62.32,61.03,54.43,51.87,49.31,48.37,49.37,56.58,64.68,76.03,68.48,68.48,70.38,81.13,106.98,151.25,122.43,136.44,107.91,122.41,141.75,137.76,165.75,150.29,128.63,123.21,100,91.15,96.2,99.05,103.58,101.73
"29","    Brokers' commissions on sale of structures","21","B321RA",65.18,50.9,34.74,25.66,26.63,23.44,25.86,29.89,33.84,25.38,26.83,32.24,40.84,20.59,14.56,16.92,28.85,71.07,50.9,42.44,33.84,34.46,33.84,31.9,36.33,37.79,44.38,43.61,44.38,50.27,51.87,59.6,63.11,67.81,66.57,72.73,90.18,95.74,89.58,76.65,67.47,54.53,44.49,39.65,59.45,70.4,62.46,60,78.05,72.5,66.18,60.02,55.66,51.85,52.94,66.99,78.76,77.18,79.25,83.55,89.65,92.21,79.58,76.74,79.08,83.72,91.39,100,107.84,121.9,122.99,129.52,119.5
"30","    Net purchases of used structures","22"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","  Residential","23","B012RA",17.15,10.33,8.61,4.49,3.6,4.96,6.99,8.88,9.65,9.77,13.94,15.71,16.63,8.34,5.01,4.34,5.07,21.42,27.49,33,30.5,41.8,34.92,34.29,35.49,38.47,44.72,40.94,38.38,38.74,48.67,45.2,45.33,49.7,55.56,58.78,56.91,51.69,50,56.75,58.28,54.59,69.79,82.16,81.4,64.17,55.72,69.17,84.23,89.5,85.98,67.39,61.85,50.32,71.53,82.03,83.01,93.04,93.16,92.6,88.68,80.93,70.37,82.15,88.16,96.79,93.05,100,102.02,110.22,117.59,118.79,119.12
"32","    New","24","B756RA",18.36,10.83,9.1,4.51,3.61,4.31,7.05,10.21,11.11,11.23,14.95,16.34,17.65,8.33,4.29,3.64,4.62,22.29,29.21,35.64,32.97,45.4,37.68,36.77,38.14,41.21,48.11,44.06,41.72,42.38,52.22,48.48,48.69,53.05,58.85,62.46,60.52,55.43,53.76,60.79,62.49,58.27,74.25,87.23,86.1,66.97,56.49,70.08,85.56,90.71,86.96,68.15,63.32,51.58,73.05,84.22,84.51,95.12,95.35,93.68,90.06,81.91,69.66,82.06,88.72,97.79,93.4,100,101.14,108.37,115.52,116.78,116.83
"33","      New housing units","25","B942RA",21.54,11.55,10.51,4.74,2.98,3.46,6.58,10.52,11.78,12.31,17.15,19.03,20.76,9.49,4.65,3.42,3.81,22.5,30.13,37.35,34.98,51.37,41.12,39.01,40.29,44.3,52.63,46.19,42.24,43.25,54.89,48.63,48.37,55.32,62.97,67.73,65.34,57.94,55.73,66.19,69.04,62.72,84.58,102.73,102.73,74.1,56.27,73.55,94.48,98.77,92.79,65.84,61.16,48.28,77.37,89.83,88.2,96.95,97.68,93.64,90.85,81.9,70.3,81.72,87.33,98.02,92.52,100,100.8,110.08,117.35,116.64,117.32
"34","        Permanent site","26","B943RA",24.1,12.92,11.76,5.3,3.34,3.87,7.36,11.77,13.18,13.78,19.19,21.29,23.22,10.62,5.2,3.82,4.26,25.08,33.35,41.38,39.07,57.48,45.9,43.24,44.66,49.11,58.03,50.24,45.67,46.84,59.65,52.7,52.41,59.77,67.81,72.37,69.2,60.72,57.88,68.01,69.98,63.3,85.3,103.19,102.71,74.32,56.89,74.78,96.49,100.94,94.48,66.4,61.26,47.69,77.68,90.94,89.43,99.41,100.27,96.19,93.45,84.14,72.17,83.66,88.86,99.23,92.54,100,100.58,110.06,118.28,119.19,120.91
"35","          Single-family structures","27","B944RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.63,50.06,47.44,50.6,54.03,59.28,57.93,51.59,50.56,55.58,52.77,45.85,63.64,75.65,74,56.79,51.86,72.21,92.77,95.85,84.96,55.89,50.87,38.97,67.34,77.76,76.71,87.37,93.95,92.33,89.24,80.82,70.58,85.3,93.02,102.58,92.8,100,99.66,110.57,118.76,120.06,121.05
"36","          Multifamily structures","28","B292RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.33,66.28,83.51,121.43,162.99,161.9,145.52,122.01,105.98,153.1,190.46,186.42,237.25,297.06,305.4,196.64,87.71,84.96,112.64,126.88,154.98,138.75,133.44,108.77,148.94,182.02,177.32,182.58,144.04,122.91,122.6,106.96,82.43,70.05,56.48,72.97,90.45,100,107.74,106.53,114.98,113.04,120.21
"37","        Manufactured homes","29","B945RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,2.42,2.86,1.46,1.74,1.85,2.97,3.05,3.32,5.42,8.05,8.71,8.54,9.64,9.44,9.37,11.87,15.21,20.82,25.23,28.13,32.01,45.4,57.36,54.81,74.63,95.22,100.99,69.97,47.66,57.24,68.34,70.54,70.82,58.76,60.26,56.87,73.38,74.39,71,61.11,59.94,56.41,52.74,49.17,42.9,53.4,65.21,80.74,92.22,100,103.85,110.29,103.74,78.56,63.29
"38","      Improvements","30","B946RA",8.54,7.87,4.98,3.67,5.15,6.4,8.14,9.15,9.01,8.05,8.68,8.78,9.02,5.07,3.35,4.25,6.84,21.76,27.12,31.45,27.78,29.59,28.67,31.13,32.57,33.03,36.07,38.28,40.17,39.55,44.64,47.61,48.55,44.64,46.24,46.22,45.1,46.23,46.77,45.67,44.98,46.57,48.85,49.77,45.83,49.58,56.23,61.38,64.11,71.24,73.08,74.06,68.65,59.44,62.73,70.81,75.71,90.75,89.45,93.62,87.92,81.5,68.34,83.04,91.99,97.51,95.66,100,101.74,103.75,110.2,116.44,114.75
"39","      Other \5\","31","B295RA",204.38,171.04,66.21,46.44,41.15,47.82,53.8,60.92,73.8,66.21,79.55,76.79,74.26,36.55,10.12,15.4,23.22,77.71,55.18,62.99,74.26,68.97,69.66,65.75,94.03,104.14,116.1,149.2,166.45,212.89,226.22,219.82,297.08,486.98,419.6,516.86,559.58,517.6,405.62,332.23,259.8,169.9,115.2,69.21,79.57,61.85,103.01,56.75,24.74,37.98,21.43,28.92,54.7,68.47,84.84,101.05,90.42,100.35,143.73,132.75,137.63,154.7,53.83,70.04,103.48,59.93,86.93,100,133.8,156.97,212.54,215.85,236.24
"40","    Brokers' commissions on sale of structures","32","B758RA",8.19,7.19,5.51,5.47,4.55,11.34,7.78,6.31,6,5.28,5.64,6.94,6.9,6.65,7.08,8.34,9.04,13.67,11.66,9.41,9.53,11.28,11.99,13.63,13.88,15.97,17.43,16.4,15.58,17.67,22.62,20.64,21.07,24.74,28.81,30.06,30.78,27.73,27.66,31.05,30.48,32.62,42.89,49.09,49.98,46.73,50.72,62.19,74.13,80.85,78.08,62.36,51.2,42.11,59.85,65.53,73.24,82.13,81.01,83.81,78.76,75.05,76.96,83.05,85.46,88.58,89.68,100,109.86,126.41,135.75,134.85,135.58
"41","    Net purchases of used structures","33"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Chain-type price indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","      Private fixed investment in structures","34","B349RG",7.52,7.21,6.57,5.57,5.57,5.82,5.94,6.07,6.8,6.83,6.82,6.99,7.57,8.28,8.99,9.45,9.95,11.02,13.28,14.55,14.66,14.96,16.27,16.71,16.92,16.88,17.23,18.1,18.48,18.37,18.44,18.51,18.48,18.57,18.55,18.75,19.3,20.01,20.68,21.75,23.24,24.36,26.01,27.74,30.1,33.69,37.25,39.38,43.14,48,53.51,58.93,65.6,70.14,69.75,71.05,72.83,75.11,77.37,80.34,83.2,85.5,86.84,87.4,90.72,94,97.67,100,103.39,106.59,109.81,114.49,119.69
"44","  Nonresidential","35","B009RG",7.41,7.01,6.41,5.56,5.61,5.63,5.9,5.9,6.7,6.58,6.51,6.61,7.07,7.89,8.57,8.76,9.15,10.25,12.42,13.82,13.77,13.94,15.56,15.96,16.27,16.08,16.4,17.8,18.56,18.38,18.48,18.46,18.35,18.5,18.67,18.94,19.49,20.19,20.82,21.87,23.31,24.83,26.74,28.68,30.91,35.15,39.34,41.25,44.81,49.15,54.87,59.97,68.31,73.76,71.82,72.42,74.11,75.54,76.72,79.98,83.1,85.77,87.32,87.29,90.22,93.5,97.39,100,104.23,107.72,109.69,114.04,119.76
"45","    New","36","B771RG",7.43,7.04,6.44,5.58,5.63,5.65,5.92,5.92,6.72,6.6,6.53,6.63,7.1,7.92,8.6,8.8,9.18,10.28,12.41,13.81,13.77,13.94,15.56,15.96,16.28,16.08,16.4,17.81,18.57,18.38,18.49,18.46,18.35,18.51,18.68,18.94,19.49,20.19,20.83,21.87,23.31,24.83,26.74,28.68,30.91,35.16,39.35,41.26,44.83,49.16,54.88,59.99,68.33,73.78,71.83,72.43,74.12,75.53,76.71,79.96,83.08,85.74,87.29,87.26,90.2,93.48,97.39,100,104.25,107.75,109.74,114.12,119.85
"46","      Nonresidential buildings, excluding farm","37","B306RG",6.73,6.35,5.48,4.62,4.45,5.06,5.1,5.4,6.1,6.09,6.02,6.26,6.82,7.78,8.42,8.32,8.7,10.38,13.01,14.44,14.06,14,15.85,16.29,16.36,15.92,16.22,17.6,18.29,17.79,17.64,17.6,17.54,17.76,18.09,18.46,19.06,19.75,20.37,21.4,23.01,24.43,26.53,28.67,30.98,34.39,37.74,39.06,41.7,45.66,50.67,56.41,61.52,65.39,67.41,70.01,72.25,74.77,77.51,80.38,83.23,85.85,87.09,87.62,90.57,94.02,97.8,100,103.22,106.99,111.51,116.44,121.05
