"","Table 5#1# Gross Saving and Investment","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"17","  Wage accruals less disbursements","10","B185RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0
"18","Gross government saving","11","A927RC",3.5,2.5,-0.2,0.1,0.4,0.1,0.3,0.3,3.5,2,1.3,3.1,6.1,-3.7,-6.4,-16.4,-17.3,7.3,17.3,14.4,4.5,14.7,20.8,16.2,15.7,12.7,20.9,24.7,21.1,11.3,21.6,26.5,22.5,24.2,28.5,25.5,28.8,30.7,20.3,29.6,42.8,20,8.8,24.6,38.2,33.3,-25.1,-1.3,15.1,42.5,57.1,17.7,24.8,-55.9,-85.7,-55.4,-60.9,-70.5,-27.9,-6.7,12.5,-38.6,-83.2,-157.2,-120,-43.4,-8.5,58.9,158.6,272.2,348.1,435.8,263.1,-21.9
"19","  Federal","12","A926RC",1.3,0.4,-1.9,-1.2,-0.7,-1.9,-1.6,-2.9,0.6,-0.9,-1.7,0.1,3,-6.6,-9.3,-19.4,-20.2,4.3,14.1,11.2,1,11.4,15.8,10.6,9.5,6.6,14.4,16.8,13.1,4.5,13.6,17.8,13.5,14,17.5,13.4,16,16.1,5.8,13.8,25.5,2.3,-9.5,-3.8,8.3,6.4,-47.7,-29.9,-20.6,-0.6,16.6,-22.8,-18.9,-93.1,-131.5,-121.6,-127.9,-139.2,-91.6,-77.2,-65.6,-104.3,-142.3,-222.2,-195.4,-130.9,-108,-51.5,33.4,132,203.4,302.8,170.7,-98
"20","    Consumption of fixed capital","13","A918RC",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.8,2.1,4.8,7.6,8.8,9.4,8.8,7.6,6.6,5.9,6.1,6.9,7.7,8.3,8.7,9.3,9.9,10,10.4,10.7,11,11.6,12.3,12.5,12.8,13.3,14.2,15.1,15.9,16.7,17.4,18.7,19.5,20.2,21.6,23.2,24.6,26.3,28,30.9,34.7,39.5,42.4,46.4,49.3,52.9,56.3,60.2,64.4,68.7,73,75.4,78.7,81.4,84,85.3,86.8,88.2,91.5,95.9,98.7,101.9
"21","    Current surplus or deficit (-), national income and product accounts","14","A923RC",1.1,0.2,-2.1,-1.3,-0.9,-2.2,-1.9,-3.2,0.2,-1.3,-2.1,-0.3,2.2,-8.7,-14.1,-27,-29.1,-5.1,5.2,3.5,-5.7,5.5,9.6,3.7,1.8,-1.7,5.7,7.5,3.2,-5.5,3.2,7.1,2.5,2.4,5.2,0.8,3.2,2.7,-8.3,-1.3,9.6,-14.4,-26.8,-22.5,-11.2,-13.9,-69.3,-53,-45.2,-26.9,-11.4,-53.8,-53.7,-132.6,-173.9,-168.1,-177.1,-192.1,-147.9,-137.4,-130,-173,-215.3,-297.5,-274.1,-212.3,-192,-136.8,-53.3,43.8,111.9,206.9,72,-199.9
"22","  State and local","15","A925RC",2.2,2.1,1.7,1.3,1.1,2,1.9,3.2,3,2.9,3,3,3.1,2.9,2.9,3,2.9,3,3.2,3.3,3.5,3.4,5.1,5.7,6.3,6.1,6.5,7.9,8,6.8,8,8.7,9,10.2,11,12.1,12.7,14.6,14.5,15.8,17.3,17.6,18.2,28.4,30,27,22.7,28.6,35.7,43.1,40.5,40.6,43.8,37.2,45.7,66.2,67,68.7,63.7,70.5,78.1,65.7,59.1,65,75.4,87.5,99.4,110.4,125.1,140.2,144.7,133,92.4,76.1
"23","    Consumption of fixed capital","16","A919RC",0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.9,1,1,1,1.1,1.2,1.4,1.5,1.4,1.4,1.5,1.8,2.1,2.1,2.1,2.6,2.7,2.8,2.9,3.1,3.5,3.9,4,4.2,4.4,4.7,5,5.4,5.7,6.2,6.9,7.5,8.3,9.3,10.6,11.8,12.9,14.3,17.7,20.2,21.3,22.6,24.4,27.4,31.7,36.3,39.5,40.9,42.4,44.7,47.9,51.5,54.9,58.8,63.1,66.9,69.9,73.9,78.9,84.1,88.9,94.2,99.5,106.4,115,123.7,127.7
"24","    Current surplus or deficit (-), national income and product accounts","17","A924RC",1.5,1.3,0.9,0.6,0.3,1.2,1.1,2.3,2,1.9,2,1.9,1.9,1.5,1.4,1.5,1.6,1.4,1.4,1.2,1.4,1.3,2.5,2.9,3.4,3.2,3.4,4.3,4.1,2.8,3.8,4.3,4.3,5.2,5.7,6.4,6.5,7.7,7,7.5,8,7.1,6.4,15.6,15.7,9.3,2.4,7.3,13.1,18.7,13,8.8,7.5,-2.3,4.8,23.8,22.3,20.8,12.2,15.6,19.3,2.6,-7.8,-4.9,1.5,8.6,15.3,21.4,31,40.7,38.3,18,-31.3,-51.5
"25","    Gross investment","18","A928RC",20.1,14.6,9.1,3.6,3.8,6.8,9.4,12.7,16.2,12.4,14.9,19.6,30.2,38.9,43.1,42.5,33.6,39.6,48.8,57.5,47.4,62,78.7,77,79.2,76.6,90.5,97.7,99.6,91.9,106.7,110.4,113.8,125.3,132.4,144.2,160,175.6,175.9,187.6,202.7,201.2,222.7,250.3,302.6,314,316.1,367.2,419.8,502.6,580.6,589.5,684,628.2,655,787.9,784.2,779.8,813.8,894,983.9,1008.2,1035.4,1051.1,1103.2,1214.4,1284,1382.1,1532.1,1616.2,1665.4,1679.4,1545.1,1456.2
"26","Gross private domestic investment","19","A006RC",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,436,490.6,477.9,570.8,516.1,564.2,735.5,736.3,747.2,781.5,821.1,872.9,861.7,800.2,866.6,955.1,1097.1,1143.8,1242.7,1390.5,1538.7,1636.7,1755.4,1586,1593.2
"27","Gross government investment","20","A782RC",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,40.4,43.8,44.7,44.4,44.8,44,46.3,49.4,57.4,64.5,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.8,139.4,158.8,173.2,184.3,186.2,197.7,215.8,220.3,223.1,220.9,225.6,238.2,250.1,264.6,277.1,304.7,319.8,335.8,351.9
"28","Net foreign investment","21","A124RC",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.8,4.8,0.9,-1.2,3.2,4.3,3.9,5,7.5,6.2,3.9,3.5,1.7,1.8,4,0.6,-3.6,8.7,7.1,21.4,8.9,-9,-10.4,1.4,11.4,6.3,-0.2,-32,-87,-110.9,-140.6,-152,-113.2,-86.7,-69.2,14.9,-38.7,-72.9,-108.3,-98,-110.7,-123.1,-199.7,-276,-395.8,-376.7,-488.9
"29","    Statistical discrepancy","22","A030RC",0.9,-0.3,0.9,0.5,0.7,0.5,-0.1,1.3,0.1,0.8,1.4,1.2,0.5,-0.9,-1.7,2.6,4,0.7,2.1,-0.7,1.8,1.7,3.9,3.1,4.6,3.9,3.1,-0.9,0.6,1.7,0.8,-0.6,-0.2,0.7,-0.4,1.2,1.9,6.4,4.8,4.3,2.9,6.9,11.3,8.7,8,10,17.7,24.5,21.6,21,35.7,33.9,27.5,2.5,47,18.6,11.7,43.9,3.3,-42.2,16.3,30.6,19.6,43.7,63.8,58.5,26.5,32.8,29.7,-31,-38.8,-128.5,-117.3,-116.7
"30","Addendum:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","  Gross saving as a percentage of gross national product","23","A938RC",18.4,16.2,10.7,5.3,5.5,9.4,12.9,13.5,17.4,13.5,14.5,18,23.4,24.5,22.5,18.1,13.3,17.4,19,21.5,17,20.4,21.9,20.5,19.5,19,20.9,22.4,21.3,19.1,20.7,20.9,20.7,21.1,21.3,21.4,21.8,21.3,20.4,20,20.1,18.6,18.6,19.3,21.1,20,18.1,18.6,19.4,20.8,21,19.6,20.7,19,17,19.4,18.2,16.5,17,18.3,17.6,16.8,16.9,15.9,15.6,16.3,16.9,17.2,18,18.8,18.3,18.4,16.5,15.1
