"","Table 7#11# Chain-Type Quantity and Price Indexes for Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"14","      Nondurable goods","6","B725RA",9.52,11.47,13.44,16.31,15.41,3.63,15.08,15.62,5.84,8.31,8.05,14.7,86.76,623.04,1015.79,1113.23,830.02,80.61,28.79,57.23,67.86,71.53,189.18,248.52,400.29,262.29,119.3,117.45,142.7,144.94,162.4,174.38,205.97,254.45,241.41,257.31,244.73,323.63,501.4,573.88,508.95,353.86,288.63,290.31,216.64,186.6,152.95,125.34,116.86,117.48,121.92,134.17,142.87,141.42,146.1,138.34,136.75,172.65,169.87,163.34,157.93,140.14,141.72,132.24,120.97,110.47,89.44,100,100.48,103.99,115.78,122.09,129,148.45
"15","      Services","7","B489RA",4.56,4.63,4.38,4.33,4.05,3.82,4.49,4.64,4.84,5.11,5.74,8.67,28.53,73.1,140.52,191.34,186.9,80.92,54.02,49,47.74,46.28,72.17,86.96,84.39,80.46,81.72,82.94,88.32,85.32,85.38,88.25,91.26,94.85,96.55,94.43,94.08,102.49,112.83,114.59,112.99,106.13,100.85,93.15,88.4,87.16,84.1,83.84,83.28,83.15,83.51,86.46,90.34,96.49,99.56,103.34,109.53,113.16,117.25,118.53,118.23,118.74,118.79,113.35,109.26,105.41,102.56,100,98.49,95.49,96.45,95.86,100.5,109.8
"16","        Compensation of general government employees, except own-account investment \3\","8","B395RA",13.06,13.43,13.06,12.22,10.8,10.52,12.72,12.75,13.48,14.28,15.43,26.84,86.65,215.76,417.4,505.51,472.28,145.11,78.97,76.68,81.05,85.53,148.16,170.4,166.85,156.5,148.63,144.73,142.6,134.16,130.76,130.65,133.3,139,136.62,136.62,136.75,150.62,164.31,166.46,166.66,154.57,142.81,131.82,125,123.09,121.32,118.87,117.83,118.61,117.6,118.31,121.95,124.7,126.6,128.31,130.65,131.24,132.43,130.82,130.73,129.92,129.48,121.86,116.46,110.46,104.42,100,96.38,93.37,90.89,90.55,91.09,92.73
"17","        Consumption of general government fixed capital \4\","9","B432RA",1.86,1.82,1.8,1.77,1.72,1.73,1.73,1.78,1.8,1.91,1.99,2.18,5.03,18.24,46.55,79.79,99.3,93.67,76.1,61.49,51.64,44.74,43.4,48.3,53.95,57.76,58.8,59.15,59.35,59.42,60.76,62.56,63.98,66.05,67.62,68.19,68.06,68.32,69.99,71.47,71.77,70.94,68.66,65.95,63.46,61.26,60.04,59.5,58.87,58.59,58.77,59.46,60.71,62.38,64.89,68.48,73.53,79.43,85.38,90.04,93.75,97.17,99.76,101.29,101.82,101.43,100.61,100,99.53,99.08,99.11,99.21,99.03,99.35
"18","        Other services","10","B726RA",0.06,0.06,0.04,0.06,0.07,0.05,0.07,0.08,0.08,0.08,0.13,0.14,0.65,1.32,1.04,9.09,6.58,2.76,4.66,6.76,9,8.52,22.98,34.23,27.42,23.01,28.79,32.93,44.25,43.28,45.47,50.97,54.93,57.17,61.9,55.93,55.03,63.77,76.21,77.43,72.9,67.33,67.31,59.97,56.2,56.83,50.89,53.59,53.74,52.65,54.79,62.1,68.17,82.09,86.89,93.38,106.04,112.11,118.87,121.69,117.78,117.94,116.7,109.14,103.48,100.32,101.04,100,101.32,96.32,104.02,102.45,118.09,148.01
"19","    Gross investment","11","B788RA",0.37,0.67,1,0.91,1.2,1.37,1.22,2.97,3.36,3.23,3.25,7.87,64.05,236.26,338.33,345.06,237.49,13.96,7.65,14.81,21.53,17.02,60.05,87.8,97.66,79.36,64.1,61.38,58.2,62.03,74.64,67.32,75.16,77.06,65.98,59.69,52.33,63.12,71.17,62.64,56.75,52.49,39.16,42.1,40.87,42.11,46.49,45.7,46.43,46.24,52.91,56.46,62.08,69.85,81.79,92.91,111.67,127.84,139.74,129.24,129.56,133.92,126.02,121.5,107.33,101.43,97.45,100,89.96,93.3,98.27,100.36,104.87,115.94
"20","      Structures","12","B808RA",7.54,12.68,19.17,19.22,19.69,26.86,22.65,63.17,74.55,63.73,53.57,176.95,965.97,2366.47,1242.14,542.68,356.33,52.44,24.3,54.96,53.82,69.59,263.97,416.63,423.82,358.14,275.2,256.77,262.63,291.97,281.75,248.87,264.82,218.85,178.72,137.04,122.13,129.07,118.95,115.72,124.17,101.75,128.12,116.04,114.73,105.21,101.76,90.31,91.38,92.64,78.28,90.59,86.15,101.51,120.71,116.8,142.87,155.31,167.47,154.62,124.21,115.48,85.25,94.06,85.41,92.15,96.5,100,82.63,76.1,72.18,69.33,68.01,65.07
"21","      Equipment and software","13","B873RA",0.1,0.21,0.31,0.24,0.45,0.4,0.39,0.74,0.76,0.94,1.22,1.67,26.7,136.89,281.25,317.96,219.63,11.32,6.43,12.05,18.83,13.58,47.01,67.17,76.8,61.71,50.53,48.72,45.27,47.66,60.75,55.05,62.1,66.19,57.09,52.84,46.22,56.65,65.21,56.83,50.46,47.4,32.35,36.05,34.87,36.87,41.81,41.85,42.55,42.25,50.54,53.33,59.81,66.91,78.19,90.55,108.61,125.1,136.97,126.71,130.57,136.5,131.28,125.12,110.23,102.68,97.58,100,91.01,95.85,102.2,105.09,110.58,124.05
"22","  Nondefense","14","B825RA",4.99,5.78,6.18,6.4,9.55,15.61,14.9,24.9,21.88,24.59,26.35,23.08,20.58,16.09,12.27,13.86,10.83,15.78,19.47,26.82,33.34,28,23.8,26.68,32.24,30.67,28.88,26.63,26.38,27.19,37.04,34.05,34.98,42.21,46.3,50.33,53.82,54.54,53.98,52.6,53.92,53.09,55.19,58.89,58.7,61.78,63.71,64.45,67.14,71.83,72.89,77.39,78.6,74.35,78.03,76.81,80.97,83.47,83.93,79.57,86.22,93.38,95.1,101.89,101.55,100.52,100.02,100,104.15,105.29,108.15,112.06,117.1,122.18
"23","    Consumption expenditures","15","B542RA",6.07,6.71,6.57,5.77,8.6,15.46,11.91,28.01,24.35,28.29,31.76,26.94,19.15,16.04,11.1,16.52,10.49,18.85,21.56,30.56,37.34,28.91,24.12,28.31,36.97,35.52,34.83,30.57,29.55,29.49,42.7,37.35,36.83,44.82,48.23,51.59,54.12,54.59,57.05,56.99,59.9,59.41,61.7,66.15,65.6,69.36,71.4,71.58,74.39,78.1,79.83,84.5,86.13,81.72,84.59,81.83,86.04,88.83,87.73,83.42,90.69,98.03,98.63,104.98,103.4,103.58,101.94,100,103.97,102.52,103.31,107.56,112.76,117.42
"24","      Durable goods \2\","16"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","      Nondurable goods","17"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","        Commodity Credit Corporation inventory change","18"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","        Other nondurables","19","B828RA",6.45,6.93,4.93,1.38,7.38,19.36,2.89,13.4,20.61,20.33,18.24,12.77,7.72,12.21,14.59,18.2,34.43,64.42,13.36,33.95,40.43,17.31,30.97,17.37,17.06,16.75,19.8,32.9,42.34,18.33,58.21,45.28,53.48,53.14,60.25,64.99,65.36,76.9,82.9,65.94,84.28,86.17,81.25,91.27,78.39,87.31,65.55,82.56,84.16,93.81,93.31,90.2,179.56,116.3,121.91,134.41,115.39,101.44,117.35,115.32,100.45,108.91,84.6,113.34,113.21,113.24,104.3,100,122.92,124.08,92.5,79.78,111.07,132.68
"28","      Services","20","B544RA",6.6,7.32,7.4,6.9,9.54,15.93,13.47,32.2,26.96,31.63,32.29,29.9,21.13,12.62,18.28,13.57,18.28,27.71,28.52,34.45,32.94,33.79,30.54,33.59,32.04,31.75,29.58,33.34,32.53,32.63,34.98,39.44,42.15,46.08,51.15,55.66,57.94,62.18,62.02,60.14,60.15,63.31,65.92,70.28,70.94,73.54,75.61,74.97,77.49,81.86,84.2,86.21,83.04,80.83,83.04,83.99,85.5,84.85,89.5,90.99,92.21,99.91,100.28,105.81,103.54,103.44,102.05,100,102.74,102.03,103.34,107.82,111.72,116.17
"29","        Compensation of general government employees, except own-account investment \3\","21","B545RA",14.07,16.8,15.26,14.58,20.14,35.89,32.87,83.61,67.19,79.68,79.26,72.57,46.59,16.08,20.22,8.98,15.79,44.08,53.82,60.7,57.71,64.06,58.31,56.38,51.49,49.03,49.89,51.15,52.45,54.11,53.7,58.28,59.81,63.09,67.12,68.84,70.19,72.97,76.5,78.58,79.52,80.57,83.15,85.48,85.88,90.37,92.08,96.79,99.12,101.61,101.4,104.1,101.06,99.09,100.5,100.49,100.64,99.17,100.85,103.39,103.81,108.91,108.65,110.62,110.17,107.07,102.77,100,99.39,100.48,100.83,103.98,103.4,105.63
"30","        Consumption of general government fixed capital \4\","22","B546RA",1.48,1.5,1.64,1.76,2,2.69,3.87,4.91,5.69,6.49,7.22,7.94,9.3,10.85,11.66,12.04,12.45,12.94,13.21,13.53,13.69,13.97,14.18,14.17,14.18,14.19,14.07,13.92,13.89,13.9,13.76,13.72,13.87,14.81,16.4,18.51,21.05,24.15,26.43,27.98,28.98,29.68,29.93,30.02,30.25,30.58,31.17,31.78,32.47,34.67,36.31,38.71,41.11,43.2,46.4,50.36,54.36,58.18,62,65.78,69.55,73.72,77.94,81.28,84.54,88.25,93.04,100,108.67,118.94,132.05,145.07,155.81,167.02
"31","        Other services","23","B730RA",3.98,3.8,4.91,4.07,6.05,8.44,3.06,6.75,7.08,7.57,9.37,8.29,6.52,7.82,17.24,14.21,19.41,15.59,8.26,15.26,14.3,10.76,8.33,16.12,16.76,18.11,12.96,20.03,17.15,15.87,21.86,27.99,32.93,38.6,45.9,54.08,56.83,62.67,57.01,48.95,47.34,53.98,57.75,66.9,68.12,69.28,72.52,63.91,67.59,75.55,81.64,82.34,76.04,71.24,73.84,74.44,76.44,74.69,83.64,82.46,83.58,96.54,96.07,108.12,100.36,103.72,104.73,100,106.43,97.78,96.1,99.73,109.87,116.07
"32","    Gross investment","24","B798RA",2.4,3.27,4.51,6.62,9.9,13.56,17.98,15.65,14.25,14.31,12.68,12.75,20.07,13.92,12.72,7.06,9.9,6.07,12.03,14.6,19.62,22.32,20.01,19.48,17.04,15.38,11.03,14.07,15.75,18.67,18.76,22.16,26.81,31.34,36.89,42.36,48.26,49.61,40.38,35.28,31.86,30.12,31.48,32.65,33.58,34.39,35.85,38.19,40.31,47.71,46.6,50.33,50.13,46.63,52.77,56.78,60.62,62.03,68.02,63.59,67.84,74.15,80.12,88.5,93.21,87.1,91.54,100,104.97,118.44,131.4,133.55,137.77,144.8
"33","      Structures","25","B830RA",13.85,19.02,26.74,41.26,60.4,63.05,87.45,81.19,72.53,67.24,58.75,56.63,59,44.94,39.09,19.07,14.82,-0.02,22.01,42.1,66.37,75.03,65,60.65,57.25,49.8,34.23,46.36,54.76,68.88,72.4,81.61,90.86,101.24,109.31,117.8,124.26,123.62,93.24,83.74,71.11,71.62,79.19,81.75,87.89,85.65,88.97,94.96,98.05,113.42,105.95,107.2,105.78,86.59,84.36,86.94,88.91,94.76,104.51,76.8,74.56,83.58,93.58,104.06,111.32,100.4,99.91,100,84.68,95.06,95.67,85.5,80.33,93.17
"34","      Equipment and software","26","B880RA",0.24,0.31,0.35,0.25,0.54,3.49,4.12,2.92,2.87,3.85,3.56,4.01,11.07,7.11,6.78,4.14,7.58,6.38,7.5,5.47,4.97,5.77,5.7,6.17,4.38,4.42,3.55,3.82,3.45,2.98,2.19,3.46,5.89,7.96,11.47,14.73,18.83,20.28,18.15,15.35,14.87,13.08,12.69,13.25,12.65,14.12,14.81,15.72,17.25,21.21,22.29,26.55,26.81,29.39,38.59,43.04,47.54,47.08,51.37,57.02,64.07,69.09,73.16,80.5,83.96,80.22,87.14,100,116.33,131.54,151.96,161.93,172.2,175.17
"35","State and local","27","B829RA",13.18,14.5,15.15,14.46,12.96,13.62,14.08,14.02,14.07,14.87,16.37,15.88,14.91,13.59,12.4,11.97,12.29,13.52,15.41,16.39,18.88,20.45,20.61,20.94,21.97,23.88,25.63,26.43,27.98,30.34,31.42,32.79,34.81,35.87,38.04,40.61,43.34,46.08,48.37,51.22,52.71,54.21,55.96,57.18,58.84,60.96,62.99,63.62,63.9,66.08,67.12,67.08,65.75,65.66,66.24,68.73,72.44,76.34,78.13,81.02,84.18,87.73,89.73,91.56,92.88,95.34,97.71,100,103.98,107.56,112.59,116.52,120.11,123.51
"36","  Consumption expenditures","28","B991RA",12.18,12.96,13.74,13.96,13.72,14.06,14.93,12.02,13.09,13.14,14.01,14.86,15.44,15.88,15.78,15.49,15.72,16.23,17.37,17.56,19.12,20.34,20.28,20.54,21.24,22.13,23.63,24.44,25.72,27.73,28.79,30.43,32.1,33,34.64,36.92,39.34,41.77,43.65,46.47,49.1,52.08,54.76,56.83,58.83,61.39,64.17,65.25,66.53,67.93,68.45,68.32,68.07,68.93,69.48,70.92,73.95,77.69,79.46,82.14,85.05,87.93,89.93,91.92,93.65,96,97.91,100,102.63,106.25,110.28,114.39,117.93,121.28
"37","    Durable goods \2\","29","B989RA",4.88,4.32,4.99,4.72,4.22,3.36,3.57,3.51,4.47,5.04,5.74,4.51,3.42,2.82,1.97,1.77,1.96,2.96,4.29,5.59,5.84,5.89,6.21,6.71,7.11,7.9,7.68,8.53,10.58,10.51,11.2,12.03,12.75,13.64,14.35,15.56,17.66,19.15,20.31,21.78,23.27,25.01,27.84,29.86,34.93,38.99,42.26,46.18,49.87,51.1,51.84,50.77,52.72,54.89,58.14,61.74,65.31,71.38,74.45,76.79,80.65,83.61,88.25,92.5,93.87,94.74,96.94,100,106.2,114.48,123.2,131.64,139.8,147.53
"38","    Nondurable goods","30","B337RA",4.83,5.82,6.86,7.65,7.51,8.14,7.73,6.89,6.7,7.78,8.17,8.51,8.68,8.49,8.04,7.89,7.85,6.89,7.4,6.99,8.81,9.91,8.43,8.36,8.27,8.51,9.95,9.18,9.38,11.5,13.95,14.57,15.52,15.67,16.1,17.15,18.33,19.28,19.92,21.81,24.77,28.68,32.72,34.59,35.85,37.14,41.71,45.44,48.61,50.01,49.43,46.64,46.13,47.2,49.75,52.72,56.71,62.53,64.54,66.54,69.52,72.39,76.85,81.39,85.87,91.14,94.63,100,103.08,110.66,120.38,128.91,136.09,141.4
"39","    Services","31","B988RA",13.53,14.21,14.83,14.88,14.65,14.93,16.14,12.75,14.12,13.81,14.74,15.77,16.48,17.13,17.18,16.87,17.16,18.04,19.26,19.56,20.96,22.16,22.49,22.81,23.68,24.68,26.17,27.31,28.75,30.7,31.44,33.26,35.05,36.07,37.92,40.41,43.02,45.7,47.78,50.76,53.35,56.2,58.67,60.77,62.78,65.49,67.91,68.46,69.35,70.74,71.43,71.81,71.56,72.33,72.45,73.56,76.4,79.77,81.48,84.25,87.13,90.01,91.61,93.21,94.61,96.64,98.34,100,102.51,105.56,108.87,112.38,115.4,118.45
"40","      Compensation of general government employees, except own-account investment \3\","32","B987RA",15.81,16.35,16.86,16.73,16.37,16.12,17.61,12.9,14.78,13.89,14.85,16.05,16.88,17.97,18.57,18.27,18.79,19.97,21.44,21.97,23.5,24.27,24.82,25.56,26.72,27.88,29.16,30.99,32.69,34.68,35.88,37.85,39.8,41.15,43.24,45.87,48.67,51.55,53.64,56.88,59.46,62.1,64.66,66.97,69.33,71.81,74.04,74.96,76.1,77.86,79.1,80.02,79.78,80.18,79.64,79.86,82.07,84.32,85.75,88.61,91.07,93.51,94.17,95.24,96.19,97.35,98.93,100,101.59,103.25,104.44,106.51,108.72,110.96
"41","      Consumption of general government fixed capital \4\","33","B986RA",8.57,9.15,9.74,10.27,10.59,10.8,10.99,11.27,11.66,12.12,12.71,13.21,13.42,13.41,13.21,12.96,12.74,12.61,12.71,12.99,13.44,14,14.6,15.18,15.83,16.63,17.57,18.53,19.62,20.82,22.03,23.27,24.56,25.89,27.38,29.07,30.91,32.9,35,37.08,39.08,40.93,42.66,44.19,45.73,47.36,48.89,50.26,51.43,52.56,53.85,55.23,56.43,57.44,58.52,60.04,62.15,64.61,67.14,69.88,73.29,77.22,80.96,84.46,87.92,91.59,95.67,100,105.04,110.97,117.48,123.97,129.92,135.67
"42","      Other services","34","B575RA",3.01,3.48,3.87,4.01,3.91,4.95,5.37,4.68,4.78,5.29,5.73,6.01,6.32,6.14,5.38,5.23,5.18,5.52,6.13,5.75,6.59,8.33,7.8,6.77,6.56,6.7,8.08,7,7.12,8.25,7.2,7.89,8.48,7.93,8.32,9.5,10.6,11.71,12.69,13.93,15.74,18.79,20.29,21,21.1,24.3,27.08,25.18,24.44,23.87,21.6,18.95,17.71,19.45,21.84,27.05,33.48,44.13,46.49,47.97,53.37,58.87,68.52,74.28,78.85,94.75,92.59,100,116.38,143.42,187.17,216.7,231.02,246.72
"43","  Gross investment","35","B799RA",16.89,19.75,20.08,16.45,10.82,12.42,11.68,19.56,16.92,19.71,22.92,18.79,13.76,8.09,4.29,3.53,4.09,7.32,11.25,14.25,19.26,21.85,22.6,23.13,25.15,30.04,32.61,33.39,35.79,39.34,40.48,41.01,44.22,45.82,49.84,53.44,57.21,61.03,64.79,67.7,64.9,60.79,59.02,57.05,57.41,57.9,57.36,56.42,53.06,58.1,61.02,61.33,56.09,52.58,53.23,59.73,66.18,70.69,72.54,76.32,80.46,86.8,88.8,90,89.49,92.43,96.82,100,109.98,113.41,122.94,126.05,129.86,133.43
"44","    Structures","36","B842RA",23.18,27.82,28.07,22.71,14.52,17,15.91,27.69,23.35,27.34,31.86,26.11,19.08,10.96,5.6,4.49,5.33,9.68,14.92,18.92,26.24,30.07,31.09,31.68,34.51,41.47,45.45,46.17,48.89,54.19,55.58,55.78,60.4,62.39,67.54,72.03,77.11,81.97,87.2,91.13,86.32,79.88,77.18,73.32,72.73,72.56,71.96,70.77,66.15,72.82,75.98,75.64,68.23,62.53,61.76,68.58,75.17,79.81,81.55,85.19,86.97,93.5,96.56,96.94,94.79,95.48,98.7,100,109.99,109.38,117.39,118.54,121.33,126.48
"45","    Equipment and software","37","B881RA",3.06,2.62,2.94,2.75,2.27,2.15,2.14,2.08,2.67,2.91,3.32,2.73,2.05,1.57,1.17,1.16,1.13,1.84,2.74,3.46,3.64,3.7,3.84,4.15,4.4,4.89,4.75,5.35,6.55,6.56,7.01,7.89,8.15,8.71,9.99,11.3,12.11,13.36,13.91,14.52,15.64,16.35,16.54,18.43,20.63,22.49,22.1,21.74,21.29,22.52,24.65,26.32,26.14,27.72,31.56,37.06,42.9,46.96,49.01,53.04,62.93,68.7,67.96,71.23,74.97,83.8,91.42,100,109.93,126.56,141.34,151.59,159.28,156.24
