"","Table 3#12# Government Transfer Payments to Persons","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"20","    Veterans life insurance","13","TRP350",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,3.1,1,0.8,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.9,0.7,0.8,0.6,0.6,0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.4,1.4,1.6,1.7,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,1.8,1.7,1.7
"21","    Workers' compensation","14","TRP375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2.2,2.2
"22","    Military medical insurance \1\","15","B1606C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.3,1.5,1.7,1.7,1.6,1.4,1.3,1.2,1.2,1.1,1.1,1.1,1.1
"23","  Veterans benefits","16","A1594C",0.5,0.5,1.5,0.7,0.5,0.4,0.4,1.8,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.8,2.6,5,5.5,4.4,4.2,4,3.5,3.3,3.2,3.3,3.7,3.7,3.8,3.8,3.8,3.7,3.8,3.8,3.9,4,4.2,4.1,4.8,5.1,5.8,6.6,7.5,8.5,9.3,10.5,12.9,12.8,12.3,12.5,13,13.4,14.4,14.9,15,14.8,15,14.9,14.8,15,15.4,15.8,16.2,16.7,17.5,17.8,18.7,19.4,20.3,21.3,22.2,23.2,24.8
"24","    Pension and disability","17","TRP450",0.4,0.4,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.9,1.6,2,2.1,2.1,2.2,2.1,2.2,2.4,2.5,2.7,2.8,2.9,3.1,3.3,3.4,3.6,3.7,3.9,4,4.2,4,4.4,4.6,5.1,5.4,5.9,6.3,6.5,7.1,7.8,8.5,9.2,9.7,10.6,11.4,12.5,13.3,13.7,13.7,14,14.2,14.2,14.6,15,15.6,15.9,16.2,16.8,16.9,17.6,18.3,19.1,20,20.9,21.9,23.3
"25","    Readjustment","18","TRP500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.3,1.8,1.9,1.9,1.7,1.2,0.6,0.5,0.5,0.6,0.7,0.7,0.6,0.5,0.3,0.2,0.1,0.1,0,0,0.1,0.3,0.5,0.7,1.2,1.7,2.2,2.8,3.4,5.1,4.3,3.1,2.8,2.4,2,1.9,1.6,1.4,1.1,0.9,0.7,0.6,0.4,0.4,0.3,0.4,0.5,0.7,0.9,1.1,1.1,1.2,1.2,1.3,1.3,1.5
"26","    Other \2\","19","TRP570",0.1,0.1,1,0.2,0.1,0,0,1.4,0.1,0.1,0,0,0,0,0,0.2,1.6,2.1,1.6,0.4,0.2,0.1,0.2,0.5,0.4,0.3,0.3,0.2,0.1,0.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","  Food stamp benefits","20","TRP600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.2,0.3,1.1,1.7,2,2.2,3.4,4.6,4.6,4.4,4.6,6.3,8.2,10.1,9.9,11.1,10.7,10.7,10.6,10.6,11.2,12.3,14.7,18.3,21.3,22.2,22.8,22.4,22,18.7,16.5,15.5,14.9,16
"28","  Black lung benefits","21","TRP650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.4,0.6,1.1,1,1,1,1,1,1.7,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.2,1.2,1.1,1,1,0.9,0.9
"29","  Supplemental security income","22","TRP700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.4,4.6,4.7,4.9,5.3,5.9,6.6,6.9,7.4,8.3,8.8,9.5,10,10.7,11.6,12.9,14.8,18.2,20.7,22.5,23.9,25.3,25.5,26.4,26.8,27.3,28.7
"30","  Direct relief","23","TRP730",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","  Earned income credit","24","TRP760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,0.9,0.8,1.3,1.3,1.2,1.2,1.2,1.1,1.4,1.4,2.7,4,4.4,4.9,8.3,9.4,11.4,15.4,19.2,21.7,23.2,26.2,27,26.7
"32","  Other \3\","25","TRP780",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.2,0.3,0.2,0.1,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.6,0.7,1,1.3,1.4,1.7,2.1,2.4,2.6,2.6,2.9,5,4.3,4.7,6.1,6.8,10.9,10,8.2,8.9,9.6,9.6,10.1,10.5,11.3,13.6,13.5,14.7,16.1,17.1,16.8,17.4,17.4,19.5,19.3,20,20.4,24.5
"33","State and local","26","B109RC",0.1,0.2,0.3,0.4,0.6,0.8,1,0.7,0.9,1.1,1.1,1.1,1.1,1,1,1,1.1,1.5,2,2.7,2.7,3.2,2.6,2.9,3,3.1,3.3,3.3,3.6,4,4.3,4.6,5,5.3,5.7,6.2,6.7,7.6,9.2,11.4,13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.4,90.8,98.6,109.5,127.8,156.6,180.1,195.4,206.9,217.8,224.3,227.5,235.3,252.7,271.3,304.4
"34","  Benefits from social insurance funds","27","A1595C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.5,2.8,3.2,3.7,4,4.4,4.9,5.5,6.4,7.2,7.9,9.2,10.5,11.5,11.4,11,10.7,10.9,10.7,10.4,10.6,11,11.3
"35","    Temporary disability insurance","28","S12200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1.1,1.4,1.5,1.6,1.7,1.9,2.2,2.8,2.9,2.3,2.2,2.1,2,2,2.1,2.2,2.3,2.4
"36","    Workers' compensation","29","S12300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.2,1.4,1.6,1.8,2,2.3,2.7,3,3.3,3.5,3.9,4.7,5.5,6,7,7.8,8.5,9.1,8.8,8.6,8.9,8.7,8.3,8.4,8.6,8.9
"37","  Public assistance","30","A1596C",0.1,0.2,0.2,0.4,0.6,0.8,1,0.7,0.9,1,1.1,1.1,1.1,1,1,1,1.1,1.2,1.6,1.8,2.3,2.4,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.5,3.8,3.9,4.2,4.6,4.9,5.3,5.7,6.6,8,10,11.6,14.3,17.3,19.6,21.5,22.1,26.9,29.6,32,34.3,37.6,44,49.6,53.1,58.4,62.3,67.2,73.3,78.5,85.3,94.9,111.1,138.2,160.2,174.9,185.8,195.8,201.9,205,212.1,228.6,245.7,277.3
"38","    Medical care","31","B1597C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.5,0.5,0.7,0.9,1.1,1.3,1.5,2,2.8,4.1,4.6,5.5,6.8,8.3,9.7,11.5,14.2,15.9,17.3,19.3,21.8,24.9,29.2,32.1,35.9,38.8,42.4,46.9,51.4,56.8,65,78.2,102.1,121.8,135.1,144.9,155,163.6,168.3,175,189.7,205.4,234.7
"39","      Medicaid","32","TRP800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.6,0.8,1,1.1,1.4,1.9,2.7,4,4.6,5.5,6.7,8.2,9.6,11.2,13.9,15.5,16.7,18.6,21.1,23.9,27.7,30.2,33.9,36.6,39.7,43.6,47.8,53,60.8,73.1,96.9,116.2,130.1,139.4,149.6,158.2,163.1,170,184.6,199.6,227.3
"40","      Other medical care \4\","33","TRP810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.6,0.7,0.7,1.1,1.5,1.9,2.1,2.2,2.8,3.2,3.6,3.7,4.1,5,5.2,5.5,5,5.5,5.4,5.4,5.2,5,5.1,5.8,7.4
"41","    Family assistance \5\","34","B1598C",NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.1,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.7,1.9,2.3,2.8,3.5,4.8,6.2,6.9,7.2,8,9.3,10.1,10.6,10.8,11.1,12.5,13.1,12.9,13.8,14.5,15.2,16.1,16.4,16.9,17.5,19.2,21.1,22.2,22.8,23.2,22.6,20.3,17.7,17,17.7,18.3,19.2
"42","    Supplemental security income \6\","35","B1599C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.2,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,2,2.1,2.1,2.2,2.4,2.4,2.6,3,3.2,3.4,3.4,1.3,1.5,1.5,1.6,1.6,1.8,2,2,2.1,2,2.1,2.3,2.6,2.9,3.1,3.4,3.8,3.8,4.1,3.9,3.8,3.8,3.6,3.7,3.9,4.2,4.4,4.5
"43","    General assistance","36","B1600C",NA,NA,NA,NA,0.5,0.7,0.8,0.4,0.4,0.5,0.5,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.7,0.7,0.8,1.1,1.2,1.2,1.2,1.2,1.4,1.6,1.7,1.9,2,2.2,2.3,2.5,2.6,2.9,2.9,3.2,3.5,3.7,3.4,3.5,3.3,3.3,3.5,3.6,3.7,3.3
"44","    Energy assistance","37","B1601C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0.3,1.3,1.6,1.6,1.7,1.9,2.1,2,1.7,1.8,1.4,1.6,1.6,1.6,1.5,2,1.5,1.3,1.4,1.3,1.4,1.7,2.5
"45","    Other \7\","38","B1602C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.7,3.1,3,3,3.3,3.6,4.2,4.7,5.4,6.3,7,7.8,8.6,9.4,9.7,10.6,11.4,11.9,12.3,13.1
"46","  Education","39","B1603C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1,1.1,1.2,1.3,1.6,1.7,1.9,2.1,2.2,2.4,2.6,2.7,2.9,3.1,3.5,3.9,4,4.2,4.6,5.3,5.7,6,6.6,7.6,8.7,9.1,9.1,9.8,10.5,11.3,12.2
"47","  Employment and training","40","B1604C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.6,0.9,0.9,1.9,1.7,1.7,1.4,1.1,1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,0.9,1,1.1,1,1.2,1.4
"48","  Other \8\","41","B1605C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.8,0.3,0.6,0.1,0.2,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.7,0.7,0.5,0.7,0.8,0.9,1,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.8,2,2.2,2.2
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50"," 1. Consists of payments for medical services for dependents of active duty military personnel at nonmilitary facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
