"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",56103,58014,58581,59314,61121,61269,62312,62639,64785,67110,69827,71980,72943,72409
"102","95","          Coffee, tea, and other beverage materials","DCTMRX0",6873,7761,7206,7144,7496,7499,7666,7626,7919,8280,8578,9053,9416,9468
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",49213,50253,51372,52174,53624,53769,54646,55011,56864,58830,61249,62928,63529,62944
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",66290,69028,71378,73819,77074,81116,82828,83060,85119,89577,95137,101899,105804,106936
"105","98","        Spirits","DLIQRX0",13863,14058,13943,15211,16341,17714,18684,19441,19944,20933,21866,23669,24940,25339
"106","99","        Wine","DWINRX0",12696,13277,13584,14326,15162,16174,17201,17785,18272,19363,20538,22138,23312,23639
"107","100","        Beer","DMLTRX0",39926,41892,44074,44465,45728,47358,47001,45838,46904,49281,52732,56091,57553,57962
"108","101","      Food produced and consumed on farms (6)","DFFDRX0",586,543,475,492,471,405,342,379,327,310,343,429,370,364
"109","102","    Clothing and footwear","DCLORX0",201043,210794,217727,231000,246168,258080,260520,268496,283421,297273,315542,331476,345928,345018
"110","103","      Garments","DGARRX0",163046,170699,176357,186820,198427,208058,210320,217461,230285,242428,258975,272214,284813,284503
"111","104","        Women's and girls' clothing (10)","DWGCRX0",91236,95666,97939,105011,113700,120977,122741,127530,134681,141737,151928,158985,165927,167191
"112","105","        Men's and boys' clothing (11)","DMBCRX0",63723,66888,69951,72555,74957,76856,76842,78613,83712,88026,93559,99072,103935,102168
"113","106","        Children's and infants' clothing (12)","DCICRX0",8044,8092,8433,9216,9745,10227,10739,11319,11896,12666,13489,14162,14965,15139
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",38046,40164,41439,44275,47895,50181,50336,51131,53200,54876,56567,59264,61123,60534
"115","108","        Clothing materials","DCSMRX0",2731,2797,2832,3158,3578,3881,4058,4439,4681,4925,5185,5485,5888,5964
"116","109","        Standard clothing issued to military personnel","DMICRX0",290,288,315,305,287,317,339,380,524,366,380,415,460,435
"117","110","        Shoes and other footwear","DSHURX0",35041,37106,38325,40840,44056,46008,45959,46318,47997,49587,51001,53365,54783,54149
"118","111","    Gasoline and other energy goods","DGOERX0",264326,268506,273925,283768,292456,287126,289198,293983,302154,306527,304824,298378,300687,287444
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",233846,238803,246052,256104,263488,261341,263552,267499,276279,282091,283798,278855,280948,271656
"120","113","        Gasoline and other motor fuel","DGASRX0",228390,233733,241475,250761,259161,256698,259352,263465,271714,277307,278113,273130,275411,266424
"121","114","        Lubricants and fluids","DLUBRX0",5087,4822,4479,5070,4412,4653,4293,4186,4624,4826,5684,5723,5542,5241
"122","115","      Fuel oil and other fuels (29)","DFULRX0",32121,31081,28815,28423,29846,26209,26048,26934,26192,24590,21026,19529,19745,16026
"123","116","        Fuel oil","DOILRX0",29000,27784,25997,25875,26749,23197,23420,24298,23675,22123,18715,17449,17686,14271
"124","117","        Other fuels","DLPFRX0",3201,3323,2883,2664,3112,2978,2638,2661,2550,2483,2311,2079,2058,1761
"125","118","    Other nondurable goods","DONGRX0",442991,462637,488080,514365,546265,574243,592898,612456,640091,662633,683044,708409,729409,728712
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRX0",117083,125333,137142,154600,173254,189577,206068,218308,232826,241623,247268,256795,263102,258851
"127","120","        Pharmaceutical products","DPNPRX0",115562,123902,135761,153015,171477,187589,203980,216105,230539,239197,244722,254087,260215,255749
"128","121","          Prescription drugs","DRXDRX0",93371,101492,113464,130639,147884,163537,179662,189972,204572,214853,218890,227135,231853,225485
"129","122","          Nonprescription drugs","DNRDRX0",20152,20585,20878,21457,22888,23605,24111,25872,25843,24363,25832,26953,28380,30343
"130","123","        Other medical products","DOMPRX0",1450,1398,1384,1582,1773,1977,2086,2203,2290,2427,2546,2710,2890,3116
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRX0",58836,61590,64910,70592,78743,85553,89541,95712,100939,105837,114029,120838,128634,133024
"132","125","        Games, toys, and hobbies","DDOLRX0",17878,18800,20022,22523,25881,29114,31304,34777,37938,41341,46171,50797,55981,61222
"133","126","        Pets and related products","DPRPRX0",22131,22647,23503,24596,26213,27867,29008,30368,31393,32199,33628,34458,35964,35416
"134","127","        Flowers, seeds, and potted plants","DFLORX0",18039,19572,21019,22665,25387,26808,27330,28346,28964,29300,31055,32256,33381,33662
"135","128","        Film and photographic supplies","DFLMRX0",2724,2555,2369,2463,2659,2784,2678,2687,2876,3054,3175,3394,3559,3604
"136","129","      Household supplies (parts of 32 and 36)","DHOURX0",72750,76027,79594,81080,84611,85373,85891,87894,93722,98586,102955,107419,111436,110949
"137","130","        Household cleaning products","DCLERX0",27708,28903,29900,29990,30645,30541,30436,30623,32002,33297,34460,35242,36234,36344
"138","131","        Household paper products","DPAPRX0",24662,24673,25691,26264,27752,27290,27843,28842,30020,30138,30742,31047,31544,30600
"139","132","        Household linens","DLINRX0",14638,15939,16997,17688,18703,19750,19994,20893,23389,25626,27445,30753,33983,35390
"140","133","        Sewing items","DSEWRX0",805,860,962,1042,1149,1213,1236,1319,1391,1464,1541,1630,1750,1772
"141","134","        Miscellaneous household products","DMHPRX0",6256,6562,6830,6758,7003,6903,6705,6496,7053,8083,8766,8865,8359,7655
"142","135","      Personal care products (part of 118)","DOPCRX0",52684,55952,58916,61651,65379,68592,70445,72676,74845,76549,79485,82784,85422,88665
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRX0",26009,28445,30955,33016,35688,37477,39048,40320,41903,43290,45219,47562,49637,52123
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRX0",25320,25916,26113,26459,27124,28236,28206,28820,29198,29347,30142,30910,31336,32007
"145","138","        Electric appliances for personal care","DEAPRX0",1693,1843,2009,2289,2644,2951,3232,3566,3756,3914,4125,4312,4455,4548
"146","139","      Tobacco (127)","DTOBRX0",89973,91245,91501,88194,82287,80326,78864,76074,74728,74105,71055,69894,68130,65881
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRX0",53810,53899,54960,55552,57505,59626,57311,56375,57655,60740,63229,65841,68313,68299
"148","141","        Newspapers and periodicals","DMAGRX0",34442,35281,36993,36952,37543,38431,37553,37077,37609,39167,40553,42095,43834,43905
"149","142","        Stationery and miscellaneous printed materials","DSTYRX0",19295,18674,18209,18757,19992,21145,19796,19353,20071,21575,22676,23747,24480,24394
"150","143","      Net expenditures abroad by U.S. residents (131)","DNFRRX0",1862,2126,4200,4625,4488,5236,5583,6040,5825,5419,5023,4897,4785,4075
"151","144","        Expenditures abroad by U.S. residents","DABDRX0",3379,3440,5458,5903,5952,6703,7201,7664,7702,7448,7275,7507,7730,7372
"152","145","          Government employees' expenditures abroad","DARTRX0",3234,3298,5242,5670,5717,6438,6917,7361,7398,7154,6988,7211,7425,7081
"153","146","          Private employees' expenditures abroad","DARSRX0",145,142,216,233,235,265,284,302,304,294,287,296,305,291
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRX0",1517,1314,1258,1279,1464,1466,1618,1624,1877,2029,2252,2610,2945,3297
"155","148","Services","DSERRX0",4208206,4331433,4465027,4661823,4852793,5093272,5218687,5318118,5418406,5577583,5745081,5899719,6040776,6083085
"156","149","  Household consumption expenditures (for services)","DHCERX0",4068565,4183260,4327233,4510621,4690395,4917813,5028840,5109348,5198991,5359298,5531006,5664432,5796118,5817566
"157","150","    Housing and utilities","DHUTRX0",1234871,1261689,1290403,1329758,1371775,1413675,1451500,1462002,1480200,1512765,1582841,1616719,1631801,1647242
"158","151","      Housing","DHSGRX0",1017348,1037129,1066046,1100623,1138687,1174164,1213740,1219351,1233042,1264140,1328896,1367077,1377549,1397201
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRX0",253542,253761,257341,261778,266189,267944,272610,270448,260967,261298,264687,273663,288949,295356
"160","153","          Tenant-occupied mobile homes","DTMHRX0",8199,8090,7910,7554,7114,7529,8536,9040,9193,9220,9068,8252,7396,7144
"161","154","          Tenant-occupied stationary homes","DTSPRX0",241306,241336,244823,249380,253968,254965,258313,255463,245601,245606,248896,258396,274395,280938
"162","155","          Tenant landlord durables","DTLDRX0",4442,4644,4857,5055,5278,5559,5835,5989,6181,6472,6723,7014,7156,7271
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX0",751951,771336,796291,825943,859160,890657,925667,933538,956255,984778,1044497,1073735,1068888,1082201
"164","157","          Owner-occupied mobile homes","DOMHRX0",29341,29992,30722,30971,31229,32558,37234,36742,35510,34468,33100,29318,25716,25180
"165","158","          Owner-occupied stationary homes","DOSTRX0",722611,741345,765570,794972,827932,858100,888432,896797,920745,950310,1011397,1044416,1043171,1057021
"166","159","        Rental value of farm dwellings (22)","DFARRX0",11506,11563,11910,12283,12632,14763,14664,14623,14948,17179,18829,18812,18770,18719
"167","160","        Group housing (23)","DGRHRX0",992,1065,1046,1098,1104,1097,1052,955,952,917,884,888,920,930
"168","161","      Household utilities","DUTLRX0",218671,225811,225436,230111,233752,240120,237770,242952,247621,248804,253945,249841,254368,250540
"169","162","        Water supply and sanitation (25)","DWRSRX0",55431,57234,58496,59435,61325,61943,62521,63146,63918,63359,63579,65586,66111,66008
"170","163","          Water supply and sewage maintenance","DWSMRX0",46172,47142,47656,47719,48793,49181,49923,50916,51255,50290,50338,51539,52357,52261
"171","164","          Garbage and trash collection","DREFRX0",9413,10201,10909,11739,12527,12750,12603,12262,12681,13070,13241,14046,13754,13747
"172","165","        Electricity and gas","DELGRX0",163153,168488,166861,170602,172282,178102,175155,179729,183646,185420,190366,184311,188298,184594
"173","166","          Electricity (27)","DELCRX0",101863,103531,103223,110575,111652,115487,113334,118584,120632,123043,128720,125780,127662,126732
"174","167","          Natural gas (28)","DGHERX0",64385,69454,67603,60859,61478,63461,62726,61314,63352,62517,61646,58478,60684,57733
"175","168","    Health care","DHLCRX0",947494,967086,997112,1029504,1045587,1081525,1135446,1202320,1229418,1268646,1315952,1340006,1375484,1416431
"176","169","      Outpatient services","DOUTRX0",423045,434691,444966,459246,468138,490231,517987,552398,580300,608523,636465,652850,669619,691813
"177","170","        Physician services (44)","DPHYRX0",209148,214180,219946,227908,234086,248688,262964,284086,302608,316943,332403,343516,347877,359490
"178","171","        Dental services (45)","DDENRX0",71042,71516,72825,74924,76640,79668,83490,87124,86526,88606,88999,88911,89790,88978
"179","172","        Paramedical services (46)","DPMSRX0",144077,150044,153168,157343,158310,162589,172215,181664,191303,203030,215063,220474,232062,243727
"180","173","          Home health care","DHHCRX0",52062,54638,53449,51625,48789,46623,48216,48818,51903,56718,61216,63650,69155,74808
"181","174","          Medical laboratories","DMLBRX0",10973,11603,13013,15019,16572,18873,21256,22263,23994,25699,26704,27996,28275,29708
"182","175","          Other professional medical services","DOMDRX0",80805,83521,86407,90448,92781,97035,102701,110646,115444,120623,127143,128845,134677,139348
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRX0",60160,61041,58978,60639,60840,62505,65818,69348,71955,75000,77951,81421,84619,86282
"184","177","            All other professional medical services","DOMORX0",20648,22483,27430,29810,31941,34531,36883,41297,43488,45623,49192,47424,50058,53066
"185","178","      Hospital and nursing home services","DHPNRX0",526410,534149,554223,572421,579469,592782,618712,650939,649371,660154,679487,687208,705907,724720
"186","179","        Hospitals (51)","DHSPRX0",425346,430487,446892,462357,471098,484333,510057,540904,537562,548919,567007,575811,592209,611348
"187","180","          Nonprofit hospitals' services to households","DNPHRX0",283104,285258,298622,310236,318397,325611,338696,360495,358372,370355,384721,389859,400062,408224
"188","181","          Proprietary hospitals","DFPHRX0",47191,50656,52731,54147,53063,53742,57673,64636,67497,67555,70606,72914,76822,82621
"189","182","          Government hospitals","DGVHRX0",95054,94576,95541,97977,99641,104983,113690,115774,111694,111010,111679,113039,115326,120503
"190","183","        Nursing homes (52)","DNRSRX0",100991,103750,107398,110078,108260,108297,108560,110064,111799,111234,112480,111381,113676,113359
"191","184","          Nonprofit nursing homes' services to households","DNPNRX0",33632,34343,36517,38067,38172,38260,38914,39552,40089,39570,40263,39532,39702,39310
"192","185","          Proprietary and government nursing homes","DFPNRX0",67358,69407,70881,72011,70088,70038,69646,70512,71710,71665,72217,71849,73974,74049
"193","186","    Transportation services","DTRSRX0",213840,231365,248818,259174,273489,286224,283587,275842,276735,283227,285900,284986,288340,273792
"194","187","      Motor vehicle services","DMVSRX0",160849,174428,189460,195374,205811,213328,212517,203821,202534,205102,209118,209060,210751,199290
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRX0",124612,130149,134700,139493,144331,148670,150916,148845,151701,153345,154903,150554,150391,140281
"196","189","        Other motor vehicle services (61)","DOVSRX0",37688,44861,54220,55414,60630,63662,60934,54741,50855,51769,54215,58559,60465,59216
"197","190","          Motor vehicle leasing","DMVLRX0",20938,25923,32976,33317,37085,39213,36655,31588,27679,27502,29491,33992,36520,36266
"198","191","            Auto leasing","DALERX0",14499,16531,20564,19493,20619,20997,21139,18211,16018,13470,14184,18226,20457,21082
"199","192","            Truck leasing","DTLERX0",6438,9391,12411,13822,16463,18214,15514,13375,11660,14032,15307,15767,16064,15185
"200","193","          Motor vehicle rental","DMVRRX0",5689,6619,7171,7474,8032,8352,8415,8243,8438,9598,9953,10235,10106,9986
"201","194","          Parking fees and tolls","DPFTRX0",11677,12469,13586,14257,14919,15405,15382,14718,14772,14693,14771,14359,13929,13092
"202","195","      Public transportation","DPUBRX0",53034,57030,59679,63879,67719,72706,70976,71922,74169,78153,76782,75934,77583,74476
"203","196","        Ground transportation (63)","DGRDRX0",22985,22365,22787,24611,25678,26359,26969,26714,25473,26232,26405,27139,26891,27821
"204","197","          Railway transportation","DIRRRX0",560,533,535,553,570,633,662,665,660,728,733,744,849,891
"205","198","          Road transportation","DROTRX0",22440,21850,22271,24083,25135,25743,26321,26060,24818,25503,25672,26395,26039,26927
