"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206"
"11","3","  Durable goods","DDURRC0",43649,45464,46336,44103,45456,46434,45925,44689,42241,43320,44581,46683,47702,49047,49567,51546,52589,53882,54701,55739,57995,59477,61376,59377,64915,64817,66700,69128,72311,69720,72323,72626,71104,74482,74698,75641,80858,83084,87544,87826,90010,90448,90629,90844,89611,91009,92010,87326,98053,100989,103442,107303,110704,114065,117591,123418,131813,131296,130799,128203,126650,130582,136325,127148,131786,136693,146787,153393,163297,165898,169845,175455,183930,189223,193990,200704,198170,216187,216742,222300,223277,222101,230932,229049,232055,211916,225364,236230,246046,240936,251926,236842,246437,249227,252108,264356,268909,289584,302363,319270,331440,341270,342075,353839,368010,373251,396451,383753,391628,407293,445708,441133,418497,439101,460541,449949,470441,473223,470389,486162,486449,493343,505640,491885,515394,498408,493569,480946,471690,475248,484335,477454,496179,500989,512092,523065,527853,547844,556638,573796,588823,598720,609310,631828,621246,626905,642542,652259,659838,676342,679363,689639,705604,696574,722792,737149,737921,769795,785952,826355,821324,856434,873104,878561,923546,905010,915046,919516,930929,923893,928850,1001714,981300,986442,1010381,990286,979445,1007302,1037502,1034952,1045853,1052297,1065048,1083144,1089242,1117911,1122472,1092342,1132503,1125073,1132350,1142178,1152974,1154918,1161387,1172730,1145757,1126510,1088462,1019886,1025244,1011535,1051283
"12","4","    Motor vehicles and parts","DMOTRC0",18090,19335,20073,17658,19343,19942,20130,18912,16475,17127,17870,19416,20345,21303,21146,22751,23440,24220,24378,24947,25637,25876,27107,24587,29803,29031,29793,29952,31713,28734,29679,29583,27788,30514,30241,29862,33715,34446,36819,36675,37648,37131,37673,37340,34926,36242,36415,30569,40977,42504,43688,45763,46750,48431,49577,52700,57071,55834,54038,50489,47025,48140,52135,45364,47653,48551,55500,58869,65798,66961,68708,71220,78285,78729,79879,82290,80468,92443,91180,92601,92680,86786,91801,89432,91768,74693,84156,87103,96733,89827,98766,86737,97178,96916,98652,107309,106024,121549,127089,137119,143397,147234,146100,152035,162848,165666,185417,166330,169549,180300,208067,192160,169526,186315,204254,192628,205898,202318,196832,203806,206096,207677,216833,200478,218403,206218,202933,192921,181698,181444,191685,188165,198408,202283,206549,211953,210885,223647,225960,238369,247101,245670,247732,258868,250106,251630,257579,263521,269108,273434,273747,277651,291029,279468,296895,304939,294232,315038,320680,350869,333629,357349,361030,350913,379272,353586,358780,361274,372481,365645,368932,426100,393772,395262,421367,394986,389432,403574,412760,400346,400762,400667,404252,413251,408555,425143,425434,379454,395505,394481,400437,398107,399627,401268,398340,401943,382650,357540,332723,296416,300596,299463,331706
"13","5","      New motor vehicles (55)","DNMVRC0",13349,14077,14962,12103,14637,14589,15030,13610,11175,12035,12534,14054,14725,15543,14990,16979,17309,18042,17626,18570,18815,19166,20399,17612,22901,21701,22018,22243,23723,20864,21936,21662,19799,22216,21472,20837,24972,25297,26848,26843,27134,26628,27061,26545,24328,24955,25158,19311,29200,29800,30645,32495,33155,34571,35155,37801,41544,40179,38209,34908,31530,31890,35069,28275,30966,30771,36832,39704,45386,45615,46651,48904,54272,55526,55842,57791,56159,66451,63861,64465,64445,58435,62321,60424,61325,46093,54349,55558,63679,56260,63724,52903,62522,62041,62223,70326,68920,82920,85878,93749,98252,99929,96346,104137,111958,113681,132114,113567,117560,128379,153239,137009,117598,129643,141272,126646,141176,138151,133936,139618,140230,139095,149270,128621,146676,135976,132453,123551,109768,110759,115990,115096,123171,124475,127714,131400,128004,138215,138967,150398,150130,150538,148918,155215,143900,146172,145871,153861,153542,152666,150044,155631,157327,151762,166539,173207,165647,185811,174587,191451,190771,200416,202513,206534,218980,209580,212233,202041,217260,215267,211837,275708,244765,231985,256211,241242,237067,254697,261570,253093,255986,250254,250805,252677,243896,265429,266859,219393,231708,231603,236765,232110,237958,235160,228003,232007,215891,195932,177343,148880,149349,150407,182078
"14","6","        New autos","DNEARC0",12908,13601,14494,11710,14179,14118,14572,13199,10805,11674,12176,13681,14231,15043,14429,16357,16709,17410,16946,17855,18105,18456,19614,16933,22115,20888,21146,21267,22717,19879,20907,20613,18776,21166,20370,19772,23647,23892,25354,25151,25383,24912,25341,24784,22797,23465,23570,17948,27437,27660,28135,29552,29887,31008,31743,33829,36696,35617,33480,29931,27137,27173,29878,23832,26900,26116,31139,33170,37735,37446,37539,39948,43438,44630,44756,44803,43410,51437,49228,50009,51016,47042,50289,48714,52329,38646,46428,48178,56001,47762,54352,44623,51313,51492,51697,58842,56549,66772,67486,73308,76901,77632,74177,79866,82497,84144,97683,80696,87616,94235,112487,101541,84544,90795,101891,87913,100443,96902,92567,96789,94534,93636,100517,82862,97024,90436,88986,82254,71197,71532,73241,73155,78682,76586,77165,79632,76100,81624,82146,88230,86462,86130,85566,87526,79674,81560,81504,85778,83293,82243,79672,81849,82691,76575,84109,85929,82679,89885,84533,90393,89596,95585,96290,100260,105318,101976,99185,94528,98023,93902,89861,113473,97885,94328,99711,92293,93103,90671,92160,89273,92887,90916,89256,94576,94282,99444,101479,94587,100342,99599,101817,98169,98639,95636,90783,98737,96691,96396,81343,67363,64231,61349,87352
"15","7","          New domestic autos","DNDCRC0",11794,12393,13271,10466,13040,13122,13647,12383,10072,10937,11435,13008,13551,14431,13827,15703,15998,16648,16228,17130,17225,17536,18659,15952,21115,19812,19962,20011,21416,18623,19527,19150,17325,19528,18637,17926,21497,21729,22946,22716,23086,22284,22687,21867,19959,20358,20476,14203,23535,23445,23770,25742,25736,26750,27132,28590,31194,30009,28400,24030,21520,22477,24159,18496,20419,19734,24217,26874,31534,31139,30302,31860,34853,34097,34651,34718,33335,40587,38013,38289,37738,32088,36229,33910,34830,24649,30191,31015,37167,29494,36317,26094,32337,33912,32228,35687,34575,43395,43217,44909,49609,49140,47289,49305,52502,51561,63279,44586,54838,59080,73282,60128,49752,53248,60400,49348,61604,57721,54010,58226,59797,57511,64885,50179,61952,56497,56874,50713,45460,44235,45510,46947,49866,47474,49919,51010,49867,53036,54256,60349,59031,58096,56677,60512,53493,54859,56549,60787,59782,58280,53864,55550,54366,50262,55058,54902,52971,59618,55476,59950,59660,62415,62795,63142,70315,67291,64960,60142,66031,60415,57984,78886,65203,62987,67677,61145,60561,60655,61277,59392,60861,57979,58116,59981,61476,65362,66109,59868,65748,62431,64111,59153,62288,59689,55719,62638,61392,58782,48903,41972,40181,37896,58292
"16","8","          New foreign autos","DNFCRC0",1114,1208,1223,1244,1139,996,925,816,733,737,741,673,680,612,602,654,711,762,718,725,880,920,955,981,1000,1076,1184,1256,1301,1256,1380,1463,1451,1638,1733,1846,2150,2163,2408,2435,2297,2628,2654,2917,2838,3107,3094,3745,3902,4215,4365,3810,4151,4258,4611,5240,5502,5608,5080,5902,5617,4696,5719,5336,6481,6381,6922,6295,6201,6306,7237,8087,8585,10533,10105,10085,10075,10850,11215,11720,13278,14954,14060,14804,17499,13997,16237,17163,18834,18268,18035,18529,18976,17581,19469,23155,21974,23378,24270,28399,27291,28492,26887,30561,29995,32583,34405,36110,32778,35155,39205,41413,34792,37548,41491,38565,38839,39181,38557,38563,34738,36124,35631,32683,35072,33939,32112,31541,25738,27297,27730,26208,28816,29112,27246,28622,26233,28587,27890,27881,27431,28034,28890,27014,26181,26701,24955,24991,23511,23962,25808,26299,28325,26313,29051,31027,29708,30267,29057,30443,29937,33170,33495,37119,35003,34685,34225,34385,31992,33487,31877,34587,32682,31341,32034,31148,32542,30016,30883,29881,32026,32936,31140,34595,32806,34082,35370,34719,34594,37168,37706,39016,36351,35947,35063,36099,35299,37614,32440,25391,24050,23453,29061
"17","9","        New light trucks","DNWTRC0",441,476,468,393,458,471,458,411,370,361,358,373,494,500,561,622,600,632,680,715,710,711,785,679,786,813,872,976,1006,985,1029,1049,1023,1050,1102,1065,1325,1405,1494,1692,1751,1716,1720,1761,1531,1490,1588,1363,1763,2140,2510,2943,3268,3563,3412,3972,4848,4562,4729,4977,4393,4717,5191,4443,4066,4655,5693,6534,7651,8169,9112,8956,10834,10896,11086,12988,12749,15014,14633,14456,13429,11393,12032,11710,8996,7447,7921,7380,7678,8498,9372,8280,11209,10549,10526,11484,12371,16148,18392,20441,21351,22297,22169,24271,29461,29537,34431,32871,29944,34144,40752,35468,33054,38848,39381,38733,40733,41249,41370,42829,45696,45459,48753,45760,49652,45540,43467,41297,38571,39227,42749,41942,44489,47890,50549,51768,51904,56591,56821,62168,63668,64408,63352,67690,64226,64612,64367,68083,70249,70423,70372,73782,74636,75187,82430,87278,82968,95926,90053,101058,101174,104831,106223,106274,113661,107604,113048,107514,119237,121365,121976,162235,146881,137658,156500,148950,143964,164026,169410,163819,163099,159339,161549,158101,149615,165985,165380,124806,131366,132004,134948,133941,139319,139524,137220,133270,119201,99536,96000,81517,85118,89058,94726
"18","10","      Net purchases of used motor vehicles (56)","DNPVRC0",2426,2898,2672,3137,2248,2833,2621,2811,2837,2588,2710,2679,2863,2971,3330,2844,3179,3200,3736,3275,3648,3464,3445,3711,3534,3902,4328,4152,4296,4189,3910,4069,4126,4338,4718,4895,4441,4639,5246,4917,5308,5114,5175,5215,4824,5237,5100,4891,5011,5670,5781,5786,5892,6000,6324,6545,6880,6863,6868,6389,6349,6704,7279,7540,6900,7572,8149,8531,9352,10196,10619,10497,11338,10444,11223,11239,10919,11707,12635,12827,12608,12290,12883,11955,12846,11059,11824,12962,13573,14469,14876,14285,14984,14538,15928,15774,15818,16788,18912,20327,21966,24344,27344,25274,27984,28448,29580,28996,28624,28430,30949,31710,28971,33125,38526,41181,38594,37763,36562,37809,39686,42195,40175,43948,43071,41886,42215,41632,44679,42382,47558,45547,47029,49461,50027,51007,53277,54927,55559,56326,63849,61798,64845,69130,71889,70369,75976,73334,78452,83222,86085,83711,94919,89126,90783,92136,88901,89601,107136,119778,102667,116222,117163,102357,117889,102424,104699,117912,114457,108960,116098,108531,107953,121784,122881,111869,110072,106022,107300,103139,100278,105759,108307,114114,117360,111857,110511,111098,113281,113026,113016,114775,109803,113974,117716,116628,114071,108591,103104,95788,99819,98195,98904
"19","11","        Used autos","DNPURC0",2354,2819,2595,3072,2172,2755,2545,2743,2776,2528,2651,2617,2781,2889,3237,2741,3080,3095,3624,3157,3531,3347,3316,3599,3404,3768,4185,3991,4130,4026,3740,3896,3957,4149,4518,4716,4246,4463,5084,4747,5134,4937,4986,5007,4626,5028,4875,4707,4792,5428,5528,5516,5608,5741,6065,6253,6535,6518,6523,6044,6000,6355,6930,7191,6556,7228,7805,8187,8946,9726,10085,9899,10707,9781,10528,10512,10171,10827,11709,11805,11615,11376,11726,10583,11587,9848,10394,11562,12126,12889,13184,12844,13066,12782,14270,14086,14298,14628,16286,17292,18746,20998,24090,21822,23931,24473,24924,24368,23836,22614,23602,25075,22915,25909,31077,33683,30319,29160,27749,28531,29901,32213,29013,32861,30064,29135,29309,28744,31946,29142,33021,31400,32784,34551,34680,35561,37654,38256,39056,38498,46364,44171,47261,49590,51307,48912,53296,48505,51039,55232,57165,53229,62395,55161,54330,56345,53620,52407,63465,68242,57360,64467,65085,55106,65116,54389,54744,65785,60639,58934,60792,54601,55951,62392,62191,56433,55559,53058,53390,51341,49109,52787,53483,56131,57367,55437,54524,55366,55503,54577,53684,53179,49937,50902,51706,51367,50832,48783,46141,40831,42471,41660,42316
"20","12","          Net transactions in used autos","DNETRC0",728,1096,848,1436,556,1156,1032,1168,1380,1128,1208,1044,1208,1236,1584,1004,1324,1276,1756,1192,1548,1384,1316,1656,1356,1732,2040,1668,1860,1948,1676,1704,1932,2032,2272,2392,1940,2129,2651,2160,2499,2457,2494,2442,2294,2600,2370,2369,2051,2370,2452,2334,2353,2193,2589,2630,2758,2934,3029,2623,3055,3079,3210,3801,3076,3638,3914,3760,4036,4722,4825,4345,5125,4458,5184,5133,5053,4929,5717,6065,6044,6217,6912,6287,7283,6095,6310,6888,6850,7429,7400,7230,7149,7366,8433,7776,7548,7000,8196,9103,10917,12750,15769,13904,16074,16028,16093,15820,15253,13647,13085,14639,12620,13453,17152,20307,18310,17720,15888,16382,16347,19024,16093,18918,17518,17806,17801,17790,19956,17936,21450,19714,21314,22613,22265,22508,24535,24176,23977,23264,29878,27296,29431,29065,31357,28628,33529,29643,30236,33672,35224,31507,39346,33354,31175,33089,32580,31468,41699,45332,36180,41366,41655,33671,41341,32882,33040,42736,37222,34155,36983,31356,31632,38699,40268,34249,33727,33198,32237,30111,29147,28798,29365,31831,31788,30803,31828,31293,30952,31142,30110,29103,27442,27210,27094,27274,26861,25940,23976,21682,22239,20997,21541
