"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"11","3","  Durable goods","DDURRX0",500653,492218,502574,491113,502061,517479,508393,519549,525355,514824,526204,539250,520949,535585,540903,550198,553112,544948,547808,555116,557003,561392,565832,565121,578047,576222,583927,576765,572417,583405,596128,611796,601916,605913,622116,627993,618306,625757,627509,642019,664115,660870,658878,674560,690354,707437,707904,728580,703499,720040,725683,737070,751322,764191,762586,769863,774986,769112,773840,793177,810439,832553,824550,805711,811340,806083,806851,818509,839672,831807,825241,826110,829521,852738,842993,828927,839322,855748,847131,867450,839972,957230,924264,887663,903029,919552,914862,940435,904012,921784,950252,969527,927446,919278,928668,961744,948390,923697,940303,964234,972557,985544,997560,1032696,1009356,1008654,1028073,1022524,1020759,1030376,1041975,1031795,1061892,1021127,1051884,1048343,1075908,1066992,1067211,1094045,1076331,1081995,1091553,1127953,1080376,1132448,1175852,1118023,1086169,1077623,1099115,1118476,1149493,1133624,1143715,1144466,1129070,1144554,1158106,1137985,1160219,1160181,1164297,1179284,1184397,1178352,1188329,1184795,1200285,1184572,1186991,1207832,1220164,1225801,1227180,1210533,1203672,1193239,1182597,1179971,1179589,1167634,1138389,1157370,1122981,1081358,1082705,1066215,1094674,1091756,1075173,1059233,1072459,1083545,1106437,1180558,1081249,1108211,1121634
"12","4","    Motor vehicles and parts","DMOTRX0",251001,247126,256542,242553,247913,263599,249153,261053,262523,251738,260751,273388,257116,268454,268424,274406,270927,261041,264856,269920,269727,270899,273642,266687,286089,277587,283787,273157,269913,275489,285346,301682,285103,288798,300888,305773,287885,290140,291441,302279,321952,312280,302595,316198,330486,343621,339192,354564,325288,330902,332689,345839,353043,360431,354216,355569,352697,339568,342506,348999,366695,383485,368494,345878,349753,342701,341862,349994,364883,358078,351039,350674,348930,375203,365211,344687,354323,371977,355806,371540,356430,465512,414779,367540,379992,391377,387568,407766,369947,387666,417895,432691,388139,376648,380100,408639,397074,381226,388101,407127,403270,405652,410462,434031,407959,403961,416706,407814,406203,409453,412012,404828,429353,388266,407838,402079,426997,413332,410898,424569,409575,402267,414652,436888,396957,437187,482041,414610,386031,360377,379775,395402,398506,387681,393569,396727,385403,397612,412659,392230,396143,399201,397778,402086,402585,404403,400109,402020,409724,400435,391193,402553,407802,411627,400677,395369,390096,388818,374349,368370,361865,354097,328756,351095,333525,307090,305046,306464,317572,309115,306948,296506,308091,313972,331221,388210,286033,310028,314672
"13","5","      New motor vehicles (55)","DNMVRX0",139469,141109,146615,139955,142812,148023,140165,144512,143729,141026,148197,160192,143731,148293,154381,145938,152549,143539,142122,145229,144642,148473,148853,148590,150767,147274,151881,142609,149139,143014,155636,165778,156489,158977,166361,172787,157263,160386,159351,170233,183848,182459,161120,163358,177935,184974,175595,191593,179595,185056,185567,185715,194821,197733,193222,195638,195210,196806,193785,204949,209454,215766,208507,202677,203261,196988,197347,201389,213139,203657,193331,188361,202774,215007,211627,203783,202156,218444,204305,206129,206821,305631,264292,230480,239146,243972,236318,240174,218108,227848,254783,269429,233853,225985,227353,258509,239470,229087,238519,255543,252134,254576,253132,278169,252729,247263,260747,252603,259056,255407,256233,249789,269272,233171,249323,247575,263980,254792,248699,256807,238355,239193,249005,269070,246682,275808,324508,253681,229693,205172,220209,235357,237888,229087,229419,234388,228076,235486,251951,228288,234886,233350,234101,237777,241056,245769,238423,237894,241859,236973,224389,233194,238520,243384,235826,230132,225889,223788,213577,207329,204292,192819,172156,198433,179011,157847,155397,155800,162657,153380,151397,142652,159819,159417,179662,235194,142350,163636,170089
"14","6","        New autos","DNEARX0",76328,76807,79758,76230,79699,81239,76484,80466,80022,78185,82984,87239,75261,80199,84483,77156,82753,76246,75273,75831,76298,76890,77030,79268,80669,77422,77688,71239,75510,71867,78917,83326,78585,79430,80458,87107,77198,80757,79963,84801,88212,86448,77369,81375,84628,85976,81254,93938,82493,87590,89357,88982,93851,95121,93854,95112,91370,98137,95781,98117,101726,104377,100740,98781,99988,97059,96094,95318,96251,96123,90762,88462,93759,98996,93036,90064,89293,94556,88170,88583,86311,129213,110124,92134,96536,97207,93984,97832,90289,90690,98962,101805,94767,87639,90506,95008,97213,89896,91813,92317,89388,90943,91678,98571,87751,88509,94459,87283,91830,93432,96270,91029,95983,87533,90399,89398,91689,94016,93372,98474,91833,93724,97104,106984,93445,97410,105410,101400,99282,94718,93722,94341,106517,97332,94375,101751,98071,96632,105740,99672,96844,95252,96398,100415,99743,98168,96311,93025,98050,94233,88475,89667,92764,96697,98685,99941,98890,97004,94363,95065,99043,94849,84071,84217,73385,71815,64871,66129,64756,63995,64279,56914,61530,64082,82231,114547,63003,69358,71086
"15","7","          New domestic autos","DNDCRX0",51288,51158,53920,51404,53012,55110,53001,55880,55534,55082,58405,62548,53908,58187,60122,55043,59641,52671,52312,50464,50969,52378,51475,54409,54548,50391,50077,46495,50885,46113,52682,53864,51099,50509,51776,55526,50288,51046,51096,55933,58511,57651,48718,51989,59016,57294,53109,62808,54730,58309,59716,58656,60090,62754,60165,63063,59592,59856,60982,63081,67495,69639,67728,65246,66533,63430,62774,62880,62746,61833,58954,54404,62911,67431,62173,56735,57313,62186,56194,56391,57163,93651,77390,59432,64781,65365,61511,65992,60068,60113,67423,70990,62181,58809,58707,63452,63379,57412,60636,62546,59773,60069,60794,67953,56084,58687,62722,58384,61523,60307,62639,57790,61988,55306,59626,57728,59411,58003,59545,63734,60212,60261,63834,72876,59860,63025,69664,65657,64076,59554,59850,59574,71785,63643,59972,65088,61084,59645,67044,63116,60157,57866,58436,59677,62638,62419,60732,57553,61407,59104,53629,55587,57051,60770,62608,63968,64846,62306,57135,57457,61380,57364,49037,51637,44615,44541,39757,42072,41376,39800,39580,34596,38144,40001,54836,80496,38091,43882,45858
"16","8","          New foreign autos","DNFCRX0",25041,25649,25839,24826,26688,26130,23483,24586,24488,23104,24580,24691,21354,22013,24361,22114,23112,23576,22961,25367,25330,24513,25556,24859,26121,27031,27611,24743,24625,25753,26236,29462,27486,28921,28681,31581,26910,29711,28867,28868,29700,28797,28651,29386,25612,28682,28145,31130,27763,29281,29641,30327,33761,32368,33689,32049,31778,38281,34798,35036,34232,34738,33013,33535,33455,33629,33319,32438,33505,34289,31808,34058,30849,31564,30862,33329,31980,32369,31975,32191,29148,35562,32735,32702,31755,31842,32473,31840,30221,30577,31539,30815,32586,28829,31800,31555,33834,32484,31177,29772,29615,30874,30884,30617,31667,29822,31737,28899,30307,33125,33631,33239,33994,32227,30773,31670,32278,36013,33827,34741,31621,33463,33270,34108,33585,34385,35746,35743,35206,35164,33872,34767,34732,33688,34403,36663,36986,36987,38696,36556,36687,37386,37962,40738,37106,35749,35579,35472,36643,35129,34846,34081,35713,35926,36077,35973,34044,34698,37228,37607,37663,37485,35034,32580,28770,27274,25115,24056,23380,24195,24699,22318,23386,24081,27396,34053,24915,25479,25231
"17","9","        New light trucks","DNWTRX0",63153,64328,66884,63748,63074,66783,63692,64018,63680,62821,65178,72970,68545,68123,69908,68847,69827,67353,66915,69487,68415,71679,71919,69392,70170,69938,74296,71480,73737,71257,76832,82577,78023,79670,86040,85813,80193,79752,79513,85568,95788,96166,83886,82114,93445,99138,94469,97808,97220,97596,96351,96870,101120,102761,99527,100688,103943,98873,98191,106974,107899,111563,107935,104070,103459,100109,101416,106205,116987,107667,102691,100020,109129,116127,118657,113788,112932,123944,116186,117594,120539,176475,154200,138344,142617,146777,142350,142358,127832,137172,155831,167629,139117,138361,136874,163497,142307,139217,146719,163196,162703,163596,161428,179549,164913,158717,166260,165240,167168,161949,159962,158732,173242,145624,158890,158143,172244,160759,155324,158355,146558,145523,151943,162126,153255,178420,219217,152293,130349,110309,126386,140983,131154,131655,134997,132479,129862,138804,146103,128414,138022,138112,137691,137258,141294,147722,142189,145058,143868,142858,136046,143742,145919,146758,136997,129886,126636,126442,118810,111727,104438,97084,87263,114131,105758,85583,90582,89645,98202,89426,87073,85948,98671,95575,97146,119884,79237,94328,99107
"18","10","      Net purchases of used motor vehicles (56)","DNPVRX0",75385,70469,74039,66218,68753,78573,72219,79360,81489,73545,74494,74834,75365,81421,75118,89749,79207,78480,83354,85900,85892,82546,85023,78177,95220,90139,91366,90171,81020,92138,88854,94273,87007,88433,92436,91194,88837,88083,90171,89852,95156,87363,100302,112264,111103,116709,122174,120644,103045,102740,104073,116697,114400,118831,116806,115750,112618,98003,103687,99010,111924,122438,114405,98724,101730,100854,100227,104016,105542,110055,114171,118174,103383,116831,110558,97337,108474,109676,108187,121600,107170,113849,106633,94211,97846,104095,108531,123659,108927,116156,119292,119325,111034,107501,109661,106620,114254,109071,105742,107616,106958,106509,112467,110369,109575,111726,110012,109887,101797,108033,109215,109351,113311,109902,112518,108485,116673,111907,115298,119722,123406,115290,118714,119409,102805,112773,108972,113053,109147,107727,110430,110754,110405,109276,114847,113497,109678,114094,112332,115906,112761,117460,115488,115249,113017,110132,112103,115556,118766,114731,118044,120369,120389,118849,116208,117113,116482,117504,113159,113187,109655,113565,109746,106281,108538,103534,104085,105321,110263,111097,111873,110285,104260,111162,107882,109114,100062,102316,101053
"19","11","        Used autos","DNPURX0",54689,50104,53076,45404,47595,56235,49890,56068,58911,49996,50206,49033,49611,54694,48481,62846,51660,50975,55822,57174,57038,52420,55706,48258,61879,57689,60275,57963,48010,58000,54548,58185,50793,52271,58090,57324,54358,53539,54040,51319,59160,50096,58376,68417,65960,66797,69337,70272,57947,57699,58870,66106,62738,66845,64604,64698,63853,52303,57152,53255,60045,71298,62597,51944,55674,53639,50968,54940,58373,61190,64360,68254,54668,64659,58694,54078,60626,58438,58069,64381,56213,56372,56284,47411,53145,53952,55819,63409,56844,59480,61450,60285,55939,53953,56065,53476,58249,55526,53381,54378,53881,53513,56570,55713,54795,56178,55359,55044,49853,53235,54052,54354,56642,54543,55691,52922,57579,54719,56693,59006,61211,56326,58663,59977,50393,55963,53356,55765,54079,53652,54372,54328,53660,53563,55947,55493,52848,55104,54017,55690,53119,54922,53537,53056,51850,49965,50042,51634,52736,50611,52031,52854,52932,52133,51583,52648,52529,52827,50771,50589,49543,51451,49528,47158,47595,44426,45187,45019,46863,47930,48942,47963,44974,48438,47157,48987,44867,46442,45923
"20","12","          Net transactions in used autos","DNETRX0",28504,26610,27636,21354,23015,30219,25105,30529,32692,26039,25414,26387,25504,29078,23576,36154,26464,25488,30042,31927,30859,27203,31014,25172,36219,32518,34985,32965,23908,32779,28968,32175,25401,27169,32959,32569,30496,29866,30313,27334,34283,25922,33255,42107,39567,39476,41818,43006,33453,33489,34376,39583,36087,39675,37633,37963,37616,28592,33163,29262,33467,43555,35805,27702,31413,29585,26517,29779,32522,34630,37182,40474,28509,37047,31604,26881,32378,30470,30572,36827,30583,30584,30446,22265,27273,28268,30478,38597,32515,35413,38534,37854,33832,31950,33523,30459,32095,31537,31430,32067,31222,30597,31449,30950,32142,31599,31279,32022,30846,30827,30826,30366,30942,30570,31204,30774,30522,31306,32261,33181,31740,33037,31247,31286,29915,31554,31555,32369,31165,30638,31396,31234,30823,29846,31451,31116,30572,30735,29864,29799,30082,29573,29242,29283,28457,27627,28521,27931,28754,27822,27663,28385,27733,27774,27685,27573,27590,27222,26488,27110,25883,26550,25846,24630,24798,24317,22566,23938,25110,25424,24600,24606,22957,23988,23881,23924,23673,23292,22842
"21","13","          Used auto margin","DMARRX0",28831,25902,28070,27643,28041,28319,27874,27519,27953,26529,27711,24896,26870,27907,28141,27990,27986,28509,28049,27071,28376,27778,26680,25545,27276,26990,26816,26719,26804,27031,27881,28016,27922,27377,27019,26617,25794,25595,25625,26194,26438,26674,26809,27106,27468,28552,28550,28141,26060,25747,25960,27703,28173,28394,28402,28115,27570,25628,25445,25856,28330,28636,28395,26354,25952,25931,26796,27183,27591,28155,28509,28769,28589,29069,29270,30058,30569,30474,29866,29209,27786,27936,27923,27991,28175,27790,27189,26139,25926,25494,24107,23629,23485,23459,24016,24693,27989,25708,23520,23848,24265,24586,26936,26606,24236,26288,25799,24760,20735,24171,25004,25705,27424,25743,26239,23941,28799,25201,26225,27625,31353,24985,29158,30440,22262,26145,23555,25125,24620,24721,24664,24740,24516,25386,26174,26049,23951,26078,25881,27635,24699,26999,25937,25393,25024,23987,23233,25365,25681,24469,25934,26018,26750,25935,25485,26670,26545,27188,25845,25010,25189,26359,25178,24051,24367,21772,24273,22631,23276,24014,25780,24774,23413,25796,24608,26308,22534,24563,24563
"22","14","          Employee reimbursement","DREERX0",-1975,-1990,-1954,-1930,-2009,-2030,-2019,-1918,-1970,-1937,-1944,-2005,-1985,-1875,-1911,-1891,-1963,-1981,-1946,-1917,-1961,-1965,-1980,-1985,-1988,-1895,-1872,-1891,-1893,-1899,-1876,-1850,-1879,-1831,-1845,-1856,-1857,-1824,-1849,-1851,-1838,-1825,-1796,-1787,-1754,-1766,-1797,-1821,-1815,-1824,-1805,-1784,-1767,-1762,-1775,-1782,-1767,-1727,-1708,-1705,-1706,-1740,-1757,-1729,-1710,-1697,-1718,-1713,-1692,-1721,-1713,-1713,-1722,-1727,-1737,-1727,-1798,-1819,-1833,-1828,-1841,-1837,-1805,-1777,-1747,-1718,-1683,-1659,-1671,-1668,-1652,-1659,-1679,-1694,-1732,-1768,-1748,-1739,-1750,-1739,-1710,-1696,-1697,-1708,-1705,-1676,-1673,-1713,-1737,-1732,-1748,-1710,-1750,-1772,-1767,-1768,-1767,-1794,-1796,-1792,-1773,-1768,-1743,-1761,-1776,-1744,-1756,-1731,-1709,-1718,-1690,-1651,-1679,-1696,-1696,-1686,-1695,-1704,-1717,-1700,-1673,-1633,-1626,-1605,-1618,-1628,-1658,-1669,-1695,-1663,-1597,-1573,-1594,-1606,-1611,-1624,-1634,-1604,-1582,-1565,-1546,-1493,-1519,-1533,-1579,-1624,-1627,-1565,-1539,-1520,-1493,-1464,-1431,-1441,-1401,-1366,-1384,-1435,-1477
