"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRG3",23.514,23.74,24.104,24.738,25.093,25.362,25.754,25.563,25.247,24.961,24.674,24.528,24.398,24.533,25.137,25.666,26.711,26.939,26.902,27.224,27.289,27.132,27.233,27.162,27.138,27.06,27.057,27.064,27.187,27.084,26.891,26.754,26.792,26.769,26.857,26.864,26.94,27.14,27.435,27.591,27.836,28.049,28.268,28.366,28.83,28.844,28.77,28.635,28.826,28.861,28.952,29.028,28.987,29.132,29.173,29.283,29.319,29.198,29.273,29.223,29.31,29.377,29.424,29.505,29.539,29.542,29.722,29.792,29.932,29.923,29.979,30.051,30.118,30.292,30.367,30.368,30.644,30.867,31.061,31.24,31.216,31.29,31.623,31.866,32.161,32.434,32.733,33.062,33.292,33.692
"12","4","    Durable goods","DDURRG3",41.332,41.712,41.945,42.491,42.815,43.377,44.886,44.967,44.816,44.522,43.981,43.929,43.795,44.131,44.743,45.481,47.163,47.477,47.495,47.953,48.281,47.712,48.206,47.074,47.532,47.586,47.281,47.373,47.751,46.552,45.789,45.522,45.806,46.03,46.468,46.591,46.769,46.869,47.547,48.167,48.555,49.226,49.221,49.317,50.193,49.991,49.939,49.761,50.63,50.823,50.814,50.792,50.718,50.658,50.502,50.414,50.423,50.661,50.892,50.829,50.836,50.902,51.069,50.868,50.885,51.04,51.184,51.345,51.42,51.39,51.334,51.232,51.24,51.08,50.826,50.546,50.479,50.695,50.92,51.153,51.046,51.271,51.836,52.359,52.699,53.02,53.462,53.949,54.264,54.671
"13","5","    Nondurable goods","DNDGRG3",17.642,17.814,18.136,18.684,18.991,19.182,19.368,19.169,18.879,18.637,18.426,18.288,18.173,18.257,18.781,19.211,20.02,20.202,20.159,20.413,20.434,20.358,20.394,20.478,20.389,20.304,20.347,20.341,20.409,20.477,20.396,20.301,20.3,20.242,20.262,20.25,20.299,20.488,20.684,20.747,20.939,21.052,21.276,21.361,21.701,21.742,21.676,21.566,21.632,21.639,21.732,21.813,21.782,21.939,22.004,22.127,22.161,22.006,22.047,22.005,22.092,22.15,22.171,22.287,22.319,22.297,22.461,22.506,22.641,22.636,22.705,22.797,22.866,23.082,23.209,23.261,23.573,23.773,23.94,24.089,24.083,24.121,24.374,24.538,24.792,25.027,25.267,25.53,25.72,26.079
"14","6","  Services","DSERRG3",9.022,9.072,9.289,9.499,9.555,9.649,9.794,9.83,9.823,9.844,9.875,9.946,9.989,10.026,10.179,10.31,10.498,10.575,10.632,10.793,10.869,10.955,11.071,11.156,11.273,11.359,11.508,11.622,11.688,11.711,11.731,11.783,11.852,11.895,11.952,12.025,12.095,12.165,12.267,12.343,12.455,12.514,12.619,12.711,12.803,12.847,12.908,12.973,13.068,13.163,13.287,13.403,13.463,13.537,13.627,13.698,13.733,13.793,13.86,13.919,14.002,14.07,14.122,14.167,14.233,14.274,14.321,14.396,14.466,14.539,14.612,14.677,14.739,14.801,14.876,14.97,15.065,15.204,15.344,15.496,15.602,15.715,15.837,15.987,16.178,16.371,16.561,16.762,16.977,17.208
"15","7","Gross private domestic investment","B006RG3",17.93,18.643,19.28,19.495,19.758,20.188,20.757,20.885,20.818,20.78,20.552,20.461,20.435,20.741,21.32,21.803,22.613,22.966,23.06,23.274,23.36,23.438,23.45,23.336,23.292,23.382,23.556,23.5,23.53,23.628,23.61,23.619,23.6,23.752,24.043,24.367,24.877,25.146,25.584,25.772,26.016,26.121,26.285,26.376,26.119,26.244,26.273,26.339,26.348,26.456,26.53,26.572,26.598,26.639,26.62,26.571,26.526,26.54,26.53,26.533,26.548,26.561,26.556,26.526,26.534,26.478,26.388,26.453,26.368,26.581,26.615,26.886,26.9,26.954,26.993,27.301,27.18,27.614,27.621,27.952,28.072,28.188,28.343,28.676,28.945,29.206,29.364,29.996,30.303,30.625
"16","8","  Fixed investment","B007RG3",16.817,17.476,17.917,18.28,18.469,18.879,19.467,19.692,19.652,19.623,19.399,19.326,19.324,19.64,20.193,20.573,21.273,21.592,21.76,21.987,22.098,22.204,22.237,22.188,22.2,22.316,22.497,22.453,22.46,22.554,22.553,22.574,22.568,22.724,23.008,23.316,23.804,24.06,24.48,24.663,24.898,25.011,25.183,25.286,25.052,25.155,25.182,25.236,25.278,25.374,25.443,25.48,25.512,25.562,25.547,25.498,25.443,25.462,25.445,25.444,25.461,25.481,25.474,25.443,25.457,25.411,25.319,25.377,25.292,25.517,25.546,25.828,25.843,25.896,25.937,26.246,26.107,26.561,26.556,26.889,27.005,27.133,27.305,27.64,27.921,28.19,28.358,28.998,29.306,29.623
"17","9","    Nonresidential","B008RG3",21.416,22.101,22.695,23.093,23.225,23.896,24.753,25.121,24.934,24.892,24.786,24.632,24.665,24.902,25.422,26.288,27.2,27.662,27.911,28.222,28.365,28.442,28.349,28.353,28.365,28.58,28.802,28.78,28.885,29.033,28.828,28.881,28.778,28.95,29.424,30.049,30.901,31.159,31.968,32.402,32.91,33.089,33.318,33.575,33.196,33.381,33.436,33.532,33.589,33.781,33.931,33.996,34.002,34.033,33.999,33.878,33.824,33.792,33.751,33.767,33.77,33.813,33.804,33.766,33.789,33.768,33.794,33.785,33.784,33.944,33.953,34.137,34.188,34.274,34.369,34.539,34.485,34.823,34.895,35.215,35.399,35.583,35.819,36.165,36.431,36.789,37.098,37.677,37.944,38.295
"18","10","      Structures","B009RG3",7.526,7.622,7.89,8.154,8.371,8.601,8.823,8.905,8.754,8.633,8.588,8.605,8.589,8.562,8.745,9.116,9.484,9.716,9.877,9.969,10.052,10.018,9.997,10.018,10.048,10.19,10.322,10.307,10.164,10.062,10.066,10.08,10.107,10.189,10.327,10.558,11.025,10.99,11.287,11.4,11.523,11.667,11.729,11.701,11.383,11.455,11.5,11.535,11.457,11.522,11.566,11.575,11.615,11.545,11.49,11.414,11.413,11.435,11.447,11.489,11.506,11.544,11.532,11.567,11.602,11.625,11.655,11.664,11.647,11.78,11.796,11.98,12.003,12.09,12.12,12.359,12.329,12.6,12.615,12.777,12.831,12.901,12.99,13.17,13.355,13.523,13.632,13.976,14.174,14.408
"19","11","      Equipment and software","B010RG3",33.467,34.877,35.661,35.978,35.791,36.843,38.375,39.066,38.988,39.202,39.053,38.624,38.75,39.407,40.215,41.406,42.71,43.243,43.433,43.965,44.106,44.381,44.209,44.162,44.113,44.267,44.465,44.44,45.115,45.81,45.259,45.353,45.01,45.219,46.039,46.991,47.836,48.605,49.82,50.616,51.582,51.624,52.038,52.794,52.782,53.054,53.06,53.206,53.602,53.909,54.171,54.31,54.206,54.497,54.577,54.502,54.359,54.201,54.056,53.968,53.923,53.922,53.934,53.731,53.69,53.574,53.554,53.507,53.552,53.589,53.566,53.526,53.593,53.575,53.735,53.524,53.472,53.622,53.761,54.143,54.457,54.731,55.086,55.486,55.687,56.144,56.626,57.208,57.387,57.688
"20","12","    Residential","B011RG3",9.231,9.743,9.957,10.204,10.387,10.499,10.74,10.797,10.882,10.869,10.615,10.62,10.605,10.878,11.292,11.272,11.641,11.776,11.839,11.948,12.009,12.113,12.228,12.153,12.161,12.175,12.281,12.232,12.166,12.2,12.342,12.337,12.394,12.498,12.583,12.59,12.693,12.887,12.908,12.851,12.813,12.845,12.932,12.883,12.823,12.837,12.837,12.848,12.868,12.877,12.873,12.882,12.921,12.97,12.972,12.987,12.946,12.997,13,12.988,13.011,13.009,13.005,12.987,12.99,12.94,12.794,12.879,12.759,12.965,13.002,13.287,13.273,13.29,13.277,13.648,13.455,13.945,13.861,14.169,14.194,14.243,14.324,14.596,14.847,14.984,14.988,15.58,15.879,16.112
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","B020RG3",21.466,23.055,24.23,24.829,24.985,24.851,24.557,24.176,23.749,23.308,22.94,22.693,22.325,22.369,22.576,22.991,24.356,25.244,25.979,26.405,25.746,25.665,25.615,25.578,25.68,25.636,25.553,25.445,25.326,25.235,25.184,25.179,25.255,25.364,25.496,25.672,25.873,26.141,26.436,26.741,27.109,27.314,27.394,27.363,27.099,26.99,26.971,27.015,26.865,26.899,27.122,27.406,27.444,27.4,27.528,27.441,27.57,27.935,27.886,28.093,28.139,27.873,27.855,27.893,27.932,27.892,27.827,27.857,27.925,27.917,28.14,28.444,29.085,28.989,29.018,28.912,29.392,29.637,29.983,30.497,31.025,30.985,30.953,31.124,31.351,31.997,31.61,31.836,32.32,32.376
"24","16","    Goods","B253RG3",24.548,26.888,28.602,29.472,29.659,29.452,29.009,28.446,27.833,27.193,26.665,26.303,25.804,25.842,26.107,26.656,28.479,29.635,30.551,31.033,30.076,29.852,29.685,29.557,29.656,29.558,29.439,29.309,29.167,29.074,29.023,29.019,29.101,29.237,29.407,29.637,29.944,30.283,30.637,30.972,31.323,31.494,31.527,31.457,31.149,31.035,31.06,31.182,31.434,31.263,31.302,31.634,31.604,31.56,31.718,31.594,31.868,32.356,32.201,32.457,32.326,31.871,31.826,31.853,31.989,31.918,31.786,31.771,31.944,31.824,32.085,32.475,33.349,33.214,33.217,33.013,33.713,34,34.457,35.158,35.939,35.771,35.619,35.756,35.925,36.834,36.158,36.384,37.015,36.909
"25","17","    Services","B646RG3",16.207,15.503,15.142,15.02,15.141,15.234,15.357,15.468,15.533,15.62,15.671,15.726,15.681,15.75,15.823,15.914,16.172,16.438,16.773,17.104,17.175,17.467,17.721,17.921,18.042,18.133,18.132,18.074,18,17.906,17.851,17.842,17.911,17.959,18.003,18.055,17.99,18.096,18.264,18.522,18.988,19.317,19.539,19.599,19.416,19.304,19.173,19.026,18.189,18.559,19.083,19.284,19.436,19.392,19.466,19.453,19.296,19.436,19.583,19.698,20.088,20.162,20.197,20.255,20.117,20.129,20.189,20.32,20.177,20.394,20.542,20.672,20.866,20.839,20.92,21.014,21.057,21.226,21.371,21.533,21.604,21.784,21.967,22.196,22.515,22.683,22.812,23.032,23.25,23.581
"26","18","  Imports","B021RG3",14.707,15.742,16.585,17.151,17.551,17.611,17.437,17.157,16.771,16.597,16.525,16.59,16.901,17.26,17.815,18.643,20.194,21.28,21.896,21.983,21.087,20.745,20.382,20.047,19.872,19.678,19.588,19.591,19.815,19.906,20.032,20.048,19.799,19.812,19.852,19.912,19.969,20.124,20.245,20.436,20.525,20.539,20.417,20.212,19.729,19.524,19.497,19.55,19.585,19.681,19.775,19.968,19.909,19.903,20.002,19.948,19.969,19.948,19.928,19.919,19.691,19.723,19.653,19.756,19.936,20.023,20.141,20.252,20.433,20.536,20.507,20.57,20.736,20.648,20.792,21.011,21.111,21.334,21.277,21.403,21.397,21.344,21.351,21.364,21.506,21.669,21.713,21.868,21.959,22.055
"27","19","    Goods","B255RG3",14.367,15.752,16.868,17.613,17.991,18.048,17.822,17.475,17.052,16.852,16.769,16.859,17.33,17.78,18.463,19.475,21.389,22.804,23.663,23.852,22.394,22.006,21.582,21.204,21.021,20.827,20.772,20.831,21.091,21.238,21.441,21.472,21.183,21.216,21.272,21.34,21.406,21.591,21.716,21.967,22.004,22.018,21.851,21.579,20.941,20.66,20.621,20.663,20.589,20.77,20.923,21.205,21.144,21.107,21.137,20.987,20.954,20.882,20.875,20.862,20.514,20.472,20.307,20.282,20.413,20.502,20.644,20.768,21.079,21.194,21.113,21.162,21.236,21.058,21.218,21.453,21.476,21.796,21.714,21.895,21.813,21.729,21.729,21.735,21.883,22.049,22.03,22.211,22.345,22.432
"28","20","    Services","B656RG3",15.812,15.717,15.722,15.814,16.289,16.371,16.363,16.272,15.992,15.878,15.818,15.799,15.652,15.772,15.968,16.222,16.684,16.859,16.931,16.894,17.182,16.993,16.787,16.55,16.388,16.197,16.052,15.967,16.114,16.109,16.107,16.095,15.933,15.915,15.923,15.965,16.006,16.101,16.203,16.287,16.453,16.463,16.416,16.331,16.128,16.048,16.033,16.093,16.304,16.26,16.256,16.284,16.233,16.279,16.482,16.583,16.687,16.746,16.706,16.701,16.684,16.835,16.938,17.257,17.513,17.592,17.657,17.735,17.663,17.735,17.805,17.89,18.225,18.325,18.427,18.596,18.854,18.855,18.854,18.856,19.011,19.025,19.045,19.071,19.186,19.33,19.522,19.599,19.588,19.697
"29","21","Government consumption expenditures and gross investment","B822RG3",8.905,8.923,8.784,8.887,9.037,9.117,9.325,9.394,9.571,9.501,9.383,9.474,9.417,9.37,9.515,9.65,10.11,10.029,10.103,10.23,10.121,10.269,10.39,10.504,10.428,10.447,10.397,10.446,10.512,10.609,10.696,10.782,10.849,11.038,11.176,11.311,11.506,11.688,11.807,11.865,12.091,12.202,12.284,12.358,12.443,12.569,12.67,12.725,12.707,12.669,12.605,12.63,12.68,12.727,12.862,12.969,12.978,13.048,13.074,13.162,13.301,13.35,13.41,13.531,13.612,13.654,13.639,13.857,13.946,14.007,14.148,14.178,14.272,14.336,14.48,14.688,14.791,14.916,15.181,15.285,15.387,15.559,15.743,15.993,16.189,16.388,16.617,16.886,17.025,17.32
"30","22","  Federal","B823RG3",10.413,10.347,9.963,9.949,9.991,10.002,10.142,10.163,10.561,10.547,10.34,10.565,10.528,10.378,10.421,10.442,11.036,10.79,10.814,10.952,10.785,10.957,11.05,11.226,11.065,11.106,11.034,11.117,11.234,11.265,11.373,11.477,11.633,11.925,12.044,12.188,12.359,12.571,12.649,12.671,12.981,13.056,13.162,13.299,13.472,13.62,13.749,13.811,13.677,13.594,13.478,13.506,13.505,13.543,13.75,13.91,13.874,13.908,13.885,13.964,14.084,14.129,14.218,14.377,14.439,14.458,14.405,14.724,14.842,14.9,15.117,15.12,15.177,15.228,15.401,15.709,15.73,15.746,16.077,16.104,16.081,16.271,16.437,16.757,16.91,17.12,17.437,17.681,17.71,17.971
"31","23","    National defense","B824RG3",10.464,10.462,9.604,9.619,9.8,9.898,10.091,10.154,10.392,10.334,10.223,10.341,10.302,10.165,10.316,10.471,10.85,10.629,10.658,10.811,10.565,10.736,10.821,10.995,10.811,10.852,10.779,10.857,11.015,11.024,11.156,11.262,11.382,11.683,11.852,12.012,12.203,12.41,12.466,12.51,12.838,12.886,12.994,13.11,13.27,13.387,13.54,13.602,13.433,13.361,13.266,13.301,13.285,13.326,13.49,13.661,13.59,13.642,13.608,13.692,13.779,13.833,13.934,14.041,14.154,14.161,14.082,14.439,14.509,14.516,14.726,14.73,14.788,14.866,15.059,15.381,15.349,15.351,15.724,15.715,15.673,15.867,16.042,16.393,16.476,16.674,16.98,17.205,17.233,17.518
"32","24","    Nondefense","B825RG3",9.69,9.343,10.635,10.54,10.023,9.774,9.774,9.689,10.488,10.594,10.161,10.658,10.647,10.491,10.199,9.709,11.179,10.736,10.669,10.645,11.125,11.305,11.455,11.614,11.648,11.685,11.621,11.73,11.562,11.737,11.667,11.751,12.119,12.323,12.125,12.155,12.184,12.4,12.613,12.488,12.653,12.903,12.976,13.238,13.475,13.827,13.787,13.867,13.975,13.845,13.645,13.635,13.701,13.718,14.133,14.233,14.376,14.312,14.351,14.397,14.679,14.672,14.705,15.074,14.916,14.985,15.042,15.203,15.502,15.743,15.976,15.973,16.019,15.98,16.083,16.334,16.535,16.6,16.764,16.934,16.992,17.153,17.27,17.444,17.888,18.136,18.486,18.798,18.83,18.981
"33","25","  State and local","B829RG3",7.233,7.357,7.515,7.759,8.039,8.206,8.503,8.635,8.541,8.404,8.39,8.336,8.261,8.322,8.569,8.823,9.13,9.289,9.46,9.582,9.589,9.703,9.898,9.884,9.987,9.956,9.954,9.936,9.909,10.137,10.194,10.251,10.173,10.212,10.384,10.511,10.75,10.898,11.083,11.194,11.308,11.475,11.525,11.514,11.487,11.588,11.656,11.702,11.832,11.85,11.851,11.872,11.985,12.042,12.096,12.141,12.203,12.318,12.402,12.504,12.669,12.726,12.75,12.828,12.934,13.006,13.035,13.139,13.198,13.264,13.325,13.383,13.517,13.596,13.711,13.821,14.009,14.247,14.447,14.633,14.874,15.029,15.235,15.412,15.657,15.847,15.987,16.286,16.537,16.869
