"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRG3",23.514,23.74,24.104,24.738,25.093,25.362,25.754,25.563,25.247,24.961,24.674,24.528,24.398,24.533,25.137,25.666,26.711,26.939,26.902,27.224,27.289,27.132,27.233,27.162,27.138,27.06,27.057,27.064,27.187,27.084,26.891,26.754,26.792,26.769,26.857,26.864,26.94,27.14,27.435,27.591,27.836,28.049,28.268,28.366,28.83,28.844,28.77,28.635,28.826,28.861,28.952,29.028,28.987,29.132,29.173,29.283,29.319,29.198,29.273,29.223,29.31,29.377,29.424,29.505,29.539,29.542,29.722,29.792,29.932,29.923,29.979,30.051,30.118,30.292,30.367,30.368,30.644,30.867,31.061,31.24,31.216,31.29,31.623,31.866,32.161,32.434,32.733,33.062,33.292,33.692
"12","4","    Durable goods","DDURRG3",41.332,41.712,41.945,42.491,42.815,43.377,44.886,44.967,44.816,44.522,43.981,43.929,43.795,44.131,44.743,45.481,47.163,47.477,47.495,47.953,48.281,47.712,48.206,47.074,47.532,47.586,47.281,47.373,47.751,46.552,45.789,45.522,45.806,46.03,46.468,46.591,46.769,46.869,47.547,48.167,48.555,49.226,49.221,49.317,50.193,49.991,49.939,49.761,50.63,50.823,50.814,50.792,50.718,50.658,50.502,50.414,50.423,50.661,50.892,50.829,50.836,50.902,51.069,50.868,50.885,51.04,51.184,51.345,51.42,51.39,51.334,51.232,51.24,51.08,50.826,50.546,50.479,50.695,50.92,51.153,51.046,51.271,51.836,52.359,52.699,53.02,53.462,53.949,54.264,54.671
"13","5","      Motor vehicles and parts","DMOTRG3",22.221,22.239,22.575,22.9,23.15,23.43,25.255,25.05,25.153,25.223,24.943,24.955,24.995,25.196,25.155,25.209,25.993,26.174,26.257,27.277,27.934,27.458,28.21,26.449,27.221,27.264,26.643,26.843,27.533,26.019,25.325,25.358,25.765,26.17,26.666,26.842,27.094,27.049,27.778,28.312,28.914,29.553,29.387,29.328,30.375,30.335,30.533,30.369,31.783,31.996,31.95,31.915,31.653,31.441,31.16,31.004,31.022,31.391,31.795,31.758,31.777,32.021,32.235,31.982,31.995,32.198,32.362,32.47,32.574,32.523,32.531,32.45,32.566,32.366,32.137,31.943,31.847,32.013,32.106,32.174,31.811,32.073,32.739,33.267,33.263,33.428,33.689,33.983,34.013,34.199
"14","6","      Furnishings and durable household equipment","DFDHRG3",39.109,39.636,40.027,40.553,40.798,41.325,41.894,42.014,41.34,40.527,40.165,40.065,39.857,40.335,41.624,43.119,45.093,45.691,45.564,45.419,45.351,44.862,44.975,44.755,44.794,44.997,45.238,45.227,45.069,45.027,44.835,44.474,44.461,44.44,44.583,44.591,44.489,44.651,44.963,45.44,45.387,45.621,45.718,45.837,46.092,45.523,45.266,45.302,45.375,45.595,45.66,45.668,45.82,45.96,46.03,46.096,46.096,46.161,46.148,46.121,46.139,46.086,46.035,46.042,46.027,46.037,46.094,46.237,46.258,46.233,46.108,45.999,45.936,45.909,45.798,45.766,45.819,46.001,46.376,46.731,46.893,47.066,47.409,47.719,48.439,48.962,49.342,49.771,50.226,50.724
"15","7","      Recreational goods and vehicles","DREQRG3",161.352,163.319,162.746,165.311,167.188,170.197,174.903,178.26,179.757,179.833,178.294,178.701,176.645,175.611,178.143,179.875,184.387,182.206,180.553,177.838,176.516,174.867,174.675,173.728,172.545,172.555,173.393,172.405,171.306,168.607,165.598,163.193,162.819,161.607,161.874,161.537,161.949,163.016,164.225,165.96,166.301,168.761,170.5,172.694,175.07,175.5,174.128,172.128,169.795,168.95,168.978,169.04,169.806,170.443,170.675,170.453,170.084,169.764,169.234,168.646,168.188,167.751,167.362,166.997,166.919,167.235,167.541,167.266,165.859,165.416,164.964,164.617,164.314,163.555,162.681,161.196,160.924,160.887,161.196,161.509,162.03,161.918,161.75,162.718,163.917,164.544,165.776,166.9,167.952,169.072
"16","8","      Other durable goods","DODGRG3",30.258,30.608,29.984,30.176,30.184,30.5,30.749,30.941,31.021,30.908,29.993,29.852,29.707,29.799,30.069,30.45,31.676,31.708,32.155,31.854,31.718,31.666,31.667,32.046,31.945,31.783,31.974,31.977,32.046,31.526,30.889,30.59,30.885,30.821,30.866,30.905,30.998,31.137,31.29,31.345,31.194,31.451,31.468,31.475,31.363,31.538,31.443,31.401,31.571,31.602,31.595,31.571,31.641,31.676,31.69,31.677,31.694,31.6,31.575,31.552,31.607,31.207,31.579,31.493,31.603,31.567,31.528,31.85,32.24,32.483,32.512,32.557,32.306,32.485,32.385,31.952,31.921,32.213,32.317,32.64,32.903,32.923,33.088,33.247,33.396,33.392,33.856,34.423,34.982,35.334
"17","9","    Nondurable goods","DNDGRG3",17.642,17.814,18.136,18.684,18.991,19.182,19.368,19.169,18.879,18.637,18.426,18.288,18.173,18.257,18.781,19.211,20.02,20.202,20.159,20.413,20.434,20.358,20.394,20.478,20.389,20.304,20.347,20.341,20.409,20.477,20.396,20.301,20.3,20.242,20.262,20.25,20.299,20.488,20.684,20.747,20.939,21.052,21.276,21.361,21.701,21.742,21.676,21.566,21.632,21.639,21.732,21.813,21.782,21.939,22.004,22.127,22.161,22.006,22.047,22.005,22.092,22.15,22.171,22.287,22.319,22.297,22.461,22.506,22.641,22.636,22.705,22.797,22.866,23.082,23.209,23.261,23.573,23.773,23.94,24.089,24.083,24.121,24.374,24.538,24.792,25.027,25.267,25.53,25.72,26.079
"18","10","      Food and beverages purchased for off-premises consumption","DFXARG3",16.454,16.497,16.849,17.458,17.628,17.709,17.824,17.425,17.185,17.014,16.825,16.731,16.566,16.689,17.243,17.599,18.602,18.779,18.726,19.15,19.244,19.241,19.351,19.249,18.974,18.843,18.882,18.89,18.929,19.049,18.852,18.714,18.692,18.563,18.5,18.412,18.393,18.627,18.823,18.864,19.038,19.111,19.379,19.44,20.014,20.187,20.037,19.939,19.905,19.791,19.837,19.819,19.774,20.025,20.009,20.208,20.262,20.113,20.047,19.996,20.186,20.232,20.262,20.348,20.436,20.354,20.538,20.55,20.767,20.787,20.935,21.045,21.003,21.3,21.461,21.457,21.951,22.191,22.3,22.373,22.148,22.056,22.319,22.405,22.62,22.794,22.968,23.24,23.335,23.698
"19","11","      Clothing and footwear","DCLORG3",45.764,46.668,47.116,48.053,49.041,49.835,50.123,50.128,48.971,47.969,47.115,46.495,46.25,46.33,47.41,49.04,50.832,51.618,51.637,51.458,51.087,50.137,49.642,51.201,51.275,50.329,50.107,49.88,50.456,50.38,50.76,50.495,50.311,50.261,50.489,50.481,50.82,51.163,51.588,51.803,51.953,52.037,52.132,52.308,52.33,52.342,52.336,52.309,52.509,52.669,52.906,53.022,53.146,53.429,53.629,53.732,53.758,53.646,53.895,53.873,53.672,53.882,54.1,54.163,54.222,54.323,54.469,54.697,54.875,55,54.957,54.93,55.137,55.254,55.562,55.724,56.175,56.639,57.209,57.78,58.431,58.96,59.611,60.19,61.093,62.218,63.233,64.051,64.884,65.648
"20","12","      Gasoline and other energy goods","DGOERG3",7.538,7.751,7.987,8.348,8.731,8.962,9.122,9.187,9.158,9.145,9.128,9.102,9.111,9.129,9.292,9.407,9.516,9.494,9.429,9.526,9.59,9.637,9.709,9.718,9.816,9.939,10.143,10.233,10.227,10.231,10.175,10.15,10.205,10.259,10.35,10.403,10.453,10.521,10.728,10.802,11.028,11.157,11.139,11.134,11.181,10.946,11.01,10.827,11.023,11.11,11.102,11.35,11.217,11.218,11.456,11.485,11.477,11.171,11.425,11.357,11.318,11.387,11.351,11.605,11.497,11.359,11.476,11.441,11.403,11.284,11.265,11.397,11.593,11.703,11.737,11.863,11.871,11.897,12.046,12.198,12.284,12.371,12.442,12.48,12.565,12.547,12.666,12.705,12.851,13.091
"21","13","      Other nondurable goods","DONGRG3",15.032,15.162,15.362,15.642,15.873,16.015,16.347,16.366,16.115,15.831,15.688,15.556,15.53,15.563,16.022,16.356,16.796,16.905,16.896,17.006,16.962,16.949,16.981,16.971,17.106,17.283,17.266,17.217,17.215,17.255,17.277,17.309,17.377,17.387,17.451,17.556,17.644,17.735,17.779,17.807,17.961,18.133,18.483,18.662,18.752,18.773,18.769,18.714,18.811,18.953,19.182,19.284,19.341,19.346,19.353,19.373,19.398,19.407,19.395,19.402,19.458,19.463,19.449,19.484,19.517,19.683,19.811,19.925,20.006,20.014,20.025,20.063,20.168,20.3,20.352,20.401,20.513,20.657,20.778,20.894,21.001,21.072,21.277,21.52,21.725,21.955,22.118,22.321,22.476,22.709
"22","14","  Services","DSERRG3",9.022,9.072,9.289,9.499,9.555,9.649,9.794,9.83,9.823,9.844,9.875,9.946,9.989,10.026,10.179,10.31,10.498,10.575,10.632,10.793,10.869,10.955,11.071,11.156,11.273,11.359,11.508,11.622,11.688,11.711,11.731,11.783,11.852,11.895,11.952,12.025,12.095,12.165,12.267,12.343,12.455,12.514,12.619,12.711,12.803,12.847,12.908,12.973,13.068,13.163,13.287,13.403,13.463,13.537,13.627,13.698,13.733,13.793,13.86,13.919,14.002,14.07,14.122,14.167,14.233,14.274,14.321,14.396,14.466,14.539,14.612,14.677,14.739,14.801,14.876,14.97,15.065,15.204,15.344,15.496,15.602,15.715,15.837,15.987,16.178,16.371,16.561,16.762,16.977,17.208
"23","15","    Household consumption expenditures","DHCERG3",8.633,8.68,8.883,9.083,9.134,9.221,9.36,9.395,9.391,9.411,9.441,9.509,9.548,9.583,9.727,9.846,10.022,10.093,10.147,10.305,10.38,10.466,10.581,10.667,10.778,10.862,11.005,11.115,11.177,11.199,11.218,11.267,11.332,11.373,11.426,11.492,11.556,11.623,11.719,11.788,11.894,11.949,12.049,12.135,12.222,12.266,12.323,12.389,12.488,12.571,12.683,12.8,12.88,12.969,13.067,13.139,13.168,13.221,13.282,13.339,13.421,13.487,13.538,13.582,13.644,13.682,13.728,13.801,13.871,13.944,14.014,14.078,14.133,14.19,14.263,14.351,14.441,14.573,14.707,14.852,14.957,15.063,15.18,15.325,15.509,15.696,15.878,16.07,16.272,16.492
"24","16","      Housing and utilities","DHUTRG3",10.846,10.903,11.119,11.431,11.535,11.609,11.709,11.811,11.919,11.96,12.015,12.121,12.26,12.311,12.414,12.487,12.65,12.758,12.884,13.083,13.193,13.286,13.361,13.522,13.7,13.828,14.036,14.223,14.305,14.297,14.322,14.381,14.471,14.535,14.567,14.616,14.672,14.712,14.823,14.86,14.928,14.962,15.058,15.17,15.198,15.285,15.357,15.431,15.418,15.524,15.608,15.712,15.769,15.819,15.894,15.953,15.988,16.068,16.108,16.117,16.187,16.212,16.278,16.294,16.359,16.402,16.418,16.484,16.496,16.544,16.592,16.614,16.643,16.679,16.714,16.775,16.847,16.909,16.939,17.039,17.123,17.178,17.252,17.346,17.447,17.565,17.667,17.796,17.923,18.077
"25","17","      Health care","DHLCRG3",4.318,4.412,4.651,4.752,4.721,4.771,4.84,4.822,4.826,4.85,4.865,4.882,4.896,4.902,4.972,5.064,5.146,5.178,5.172,5.246,5.337,5.407,5.492,5.527,5.643,5.657,5.725,5.773,5.857,5.88,5.907,5.942,6.046,6.076,6.106,6.189,6.274,6.286,6.327,6.399,6.488,6.529,6.62,6.7,6.772,6.782,6.868,6.937,6.908,6.981,7.056,7.196,7.263,7.462,7.612,7.696,7.68,7.656,7.67,7.704,7.767,7.845,7.905,7.973,8.012,8.055,8.13,8.181,8.269,8.334,8.397,8.483,8.538,8.608,8.659,8.721,8.808,8.933,9.08,9.241,9.382,9.507,9.66,9.812,9.971,10.117,10.262,10.429,10.61,10.826
"26","18","      Transportation services","DTRSRG3",9.294,9.268,9.271,9.296,9.38,9.63,10.203,10.614,10.562,10.564,10.609,10.83,10.917,10.941,11.167,11.455,11.669,11.836,11.999,12.151,12.079,12.216,12.486,12.65,12.681,12.847,13.031,13.184,13.215,13.341,13.409,13.519,13.573,13.654,13.721,13.814,14.007,14.154,14.211,14.249,14.438,14.608,14.744,14.932,14.962,15.032,15.141,15.264,15.367,15.498,15.615,15.692,15.791,15.82,15.91,16.043,16.173,16.326,16.427,16.493,16.587,16.717,16.765,16.758,16.748,16.759,16.779,16.829,16.946,16.966,17.014,17.074,17.145,17.257,17.338,17.434,17.416,17.474,17.677,17.865,18.009,18.185,18.36,18.51,18.747,18.98,19.175,19.455,19.772,20.152
"27","19","      Recreation services","DRCARG3",11.128,11.153,11.364,11.579,11.453,11.583,11.835,12.002,11.72,11.887,12.015,12.085,11.804,11.948,12.139,12.204,12.103,12.358,12.565,12.666,12.514,12.797,13.098,13.095,12.94,13.321,13.68,13.919,13.689,13.91,14.179,14.422,14.044,14.333,14.754,14.944,14.683,14.916,15.031,15.176,15.264,15.433,15.529,15.793,16.137,16.201,16.073,15.95,16.09,16.358,16.624,16.829,16.938,17.018,17.153,17.237,17.401,17.485,17.616,17.738,17.84,17.933,18.012,18.127,18.162,18.264,18.433,18.61,18.719,18.802,18.965,19.036,19.109,19.22,19.335,19.399,19.568,19.737,19.795,19.992,20.13,20.313,20.552,20.866,21.202,21.443,21.702,21.894,22.096,22.361
"28","20","      Food services and accommodations","DFSARG3",10.125,10.147,10.352,10.707,10.787,10.828,10.903,10.695,10.59,10.53,10.466,10.467,10.435,10.529,10.842,10.988,11.47,11.489,11.409,11.641,11.711,11.729,11.814,11.784,11.654,11.609,11.666,11.703,11.755,11.86,11.785,11.755,11.803,11.77,11.758,11.717,11.7,11.849,11.989,12.046,12.197,12.245,12.373,12.336,12.557,12.622,12.576,12.644,12.829,13.006,13.142,13.223,13.345,13.381,13.428,13.457,13.537,13.624,13.713,13.814,13.874,13.965,14.066,14.143,14.229,14.301,14.318,14.41,14.46,14.542,14.556,14.589,14.685,14.733,14.865,15.01,15.105,15.282,15.5,15.696,15.946,16.176,16.339,16.538,16.746,16.965,17.224,17.454,17.677,17.933
"29","21","      Financial services and insurance","DIFSRG3",7.117,7.17,7.404,7.522,7.543,7.637,7.767,7.793,7.775,7.794,7.832,7.894,7.944,7.923,7.984,8.054,8.059,8.038,8.052,8.148,8.275,8.435,8.669,8.883,9.243,9.458,9.668,9.786,9.847,9.849,9.88,9.95,10.077,10.127,10.197,10.304,10.401,10.445,10.524,10.625,10.768,10.822,10.89,10.921,10.92,10.911,11.037,11.209,11.628,11.58,11.629,11.762,11.937,12.072,12.239,12.389,12.392,12.438,12.628,12.821,13.05,13.137,13.094,13.071,13.103,13.028,13.086,13.193,13.392,13.576,13.743,13.893,13.876,13.909,14.023,14.186,14.499,14.76,14.982,15.129,15.073,15.06,15.176,15.423,15.716,16.118,16.526,16.87,17.309,17.637
"30","22","      Other services","DOTSRG3",9.432,9.489,9.746,9.88,9.956,10.071,10.205,10.245,10.265,10.301,10.369,10.442,10.476,10.471,10.623,10.809,10.987,11.074,11.156,11.335,11.433,11.5,11.595,11.658,11.853,11.907,12.028,12.107,12.206,12.135,12.149,12.206,12.273,12.29,12.383,12.511,12.657,12.713,12.837,12.96,13.081,13.144,13.263,13.401,13.529,13.537,13.611,13.62,13.815,13.829,14.032,14.18,14.226,14.314,14.406,14.468,14.454,14.499,14.531,14.586,14.653,14.74,14.767,14.859,14.974,15.037,15.104,15.18,15.272,15.354,15.46,15.553,15.669,15.751,15.85,15.952,15.967,16.166,16.377,16.539,16.61,16.74,16.835,16.943,17.21,17.429,17.617,17.84,18.048,18.268
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRG3",31.905,32.17,33.457,34.295,34.71,35.35,35.97,35.979,35.664,35.666,35.815,36.08,36.338,36.543,37.423,38.627,39.776,40.319,40.584,40.728,40.608,40.433,40.469,40.245,40.8,40.896,41.32,41.649,42.076,42.081,42.215,42.454,42.815,42.951,43.368,44.041,44.611,44.963,45.503,46.124,46.817,47.12,47.577,47.87,48.115,48.214,48.891,49.092,48.437,49.287,50.182,49.903,47.897,46.327,45.493,45.419,45.992,46.551,47.166,47.286,47.298,47.428,47.421,47.499,47.907,48.118,48.288,48.378,48.286,48.249,48.477,48.558,49.203,49.633,49.83,50.306,50.764,51.31,51.814,52.39,52.498,53.123,53.454,53.895,54.457,54.912,55.494,56.258,57.313,58.35
"32","24","Gross private domestic investment","B006RG3",17.93,18.643,19.28,19.495,19.758,20.188,20.757,20.885,20.818,20.78,20.552,20.461,20.435,20.741,21.32,21.803,22.613,22.966,23.06,23.274,23.36,23.438,23.45,23.336,23.292,23.382,23.556,23.5,23.53,23.628,23.61,23.619,23.6,23.752,24.043,24.367,24.877,25.146,25.584,25.772,26.016,26.121,26.285,26.376,26.119,26.244,26.273,26.339,26.348,26.456,26.53,26.572,26.598,26.639,26.62,26.571,26.526,26.54,26.53,26.533,26.548,26.561,26.556,26.526,26.534,26.478,26.388,26.453,26.368,26.581,26.615,26.886,26.9,26.954,26.993,27.301,27.18,27.614,27.621,27.952,28.072,28.188,28.343,28.676,28.945,29.206,29.364,29.996,30.303,30.625
"33","25","  Fixed investment","B007RG3",16.817,17.476,17.917,18.28,18.469,18.879,19.467,19.692,19.652,19.623,19.399,19.326,19.324,19.64,20.193,20.573,21.273,21.592,21.76,21.987,22.098,22.204,22.237,22.188,22.2,22.316,22.497,22.453,22.46,22.554,22.553,22.574,22.568,22.724,23.008,23.316,23.804,24.06,24.48,24.663,24.898,25.011,25.183,25.286,25.052,25.155,25.182,25.236,25.278,25.374,25.443,25.48,25.512,25.562,25.547,25.498,25.443,25.462,25.445,25.444,25.461,25.481,25.474,25.443,25.457,25.411,25.319,25.377,25.292,25.517,25.546,25.828,25.843,25.896,25.937,26.246,26.107,26.561,26.556,26.889,27.005,27.133,27.305,27.64,27.921,28.19,28.358,28.998,29.306,29.623
"34","26","    Nonresidential","B008RG3",21.416,22.101,22.695,23.093,23.225,23.896,24.753,25.121,24.934,24.892,24.786,24.632,24.665,24.902,25.422,26.288,27.2,27.662,27.911,28.222,28.365,28.442,28.349,28.353,28.365,28.58,28.802,28.78,28.885,29.033,28.828,28.881,28.778,28.95,29.424,30.049,30.901,31.159,31.968,32.402,32.91,33.089,33.318,33.575,33.196,33.381,33.436,33.532,33.589,33.781,33.931,33.996,34.002,34.033,33.999,33.878,33.824,33.792,33.751,33.767,33.77,33.813,33.804,33.766,33.789,33.768,33.794,33.785,33.784,33.944,33.953,34.137,34.188,34.274,34.369,34.539,34.485,34.823,34.895,35.215,35.399,35.583,35.819,36.165,36.431,36.789,37.098,37.677,37.944,38.295
"35","27","      Structures","B009RG3",7.526,7.622,7.89,8.154,8.371,8.601,8.823,8.905,8.754,8.633,8.588,8.605,8.589,8.562,8.745,9.116,9.484,9.716,9.877,9.969,10.052,10.018,9.997,10.018,10.048,10.19,10.322,10.307,10.164,10.062,10.066,10.08,10.107,10.189,10.327,10.558,11.025,10.99,11.287,11.4,11.523,11.667,11.729,11.701,11.383,11.455,11.5,11.535,11.457,11.522,11.566,11.575,11.615,11.545,11.49,11.414,11.413,11.435,11.447,11.489,11.506,11.544,11.532,11.567,11.602,11.625,11.655,11.664,11.647,11.78,11.796,11.98,12.003,12.09,12.12,12.359,12.329,12.6,12.615,12.777,12.831,12.901,12.99,13.17,13.355,13.523,13.632,13.976,14.174,14.408
"36","28","      Equipment and software","B010RG3",33.467,34.877,35.661,35.978,35.791,36.843,38.375,39.066,38.988,39.202,39.053,38.624,38.75,39.407,40.215,41.406,42.71,43.243,43.433,43.965,44.106,44.381,44.209,44.162,44.113,44.267,44.465,44.44,45.115,45.81,45.259,45.353,45.01,45.219,46.039,46.991,47.836,48.605,49.82,50.616,51.582,51.624,52.038,52.794,52.782,53.054,53.06,53.206,53.602,53.909,54.171,54.31,54.206,54.497,54.577,54.502,54.359,54.201,54.056,53.968,53.923,53.922,53.934,53.731,53.69,53.574,53.554,53.507,53.552,53.589,53.566,53.526,53.593,53.575,53.735,53.524,53.472,53.622,53.761,54.143,54.457,54.731,55.086,55.486,55.687,56.144,56.626,57.208,57.387,57.688
"37","29","        Information processing equipment and software","B679RG3",245.266,253.897,258.678,260.418,257.328,258.889,261.528,262.751,262.779,261.284,260.819,263.031,266.825,264.084,267.254,272.336,281.981,283.797,285.566,283.146,285.137,282.549,275.368,271.301,274.815,277.364,278.502,279.821,275.577,278.853,279.417,287.559,286.336,282.288,281.817,283.947,291.937,280.727,298.547,295.386,303.783,302.634,301.894,314.798,307.798,309.696,310.154,309.619,309.794,311.07,313.179,314.319,310.907,312.183,309.981,308.467,307.009,308.692,304.157,304.604,302.029,301.406,297.859,294.187,290.767,289.323,287.315,285.562,285.627,285.151,282.43,282.277,280.719,276.224,277.812,271.018,267.377,264.141,260.4,258.707,258.786,258.775,259.587,258.898,257.268,256.816,256.505,258.044,258.723,258.677
