"","Table 6#21C# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"43","36","  Transportation and public utilities","A3436C0",-2731,1437,-5005,-7594,-2044,959,6032,15238,12146,15271,10874,7299,-16164,-23599
"44","37","    Transportation","A3437C0",-231,282,-3639,-4606,-4244,-4364,-713,2545,2639,6043,8644,10815,6396,6065
"45","38","      Railroad transportation","B3438C0",-395,-562,-2002,-1030,-936,-1332,-1383,598,-172,371,-671,-254,-1075,1620
"46","39","      Local and interurban passenger transit","B3439C0",-58,-39,108,-100,193,140,102,147,304,431,347,463,210,491
"47","40","      Trucking and warehousing","B3440C0",758,805,320,909,1629,2403,2863,2686,1370,1755,2648,4824,4222,3814
"48","41","      Water transportation","B3441C0",-240,100,128,111,153,-120,-34,-164,-115,-13,155,271,-112,238
"49","42","      Transportation by air","B3442C0",-521,-92,-2472,-4491,-5533,-5692,-2631,-794,1001,3323,5909,5374,3440,800
"50","43","      Pipelines, except natural gas","B3443C0",145,65,58,91,-30,64,66,79,126,74,107,55,-391,-907
"51","44","      Transportation services","B3444C0",79,4,221,-96,281,172,304,-7,126,102,149,83,102,9
"52","45","    Communications","A3445C0",1143,2376,-364,139,3935,5261,7431,7252,2174,142,-7375,-8258,-29387,-33489
"53","46","      Telephone and telegraph","B3446C0",2127,3590,2241,2541,4638,5147,5121,5478,1691,1755,-4686,-5751,-16251,-28692
"54","47","      Radio and television","B3447C0",-983,-1213,-2605,-2402,-704,114,2309,1774,483,-1613,-2690,-2507,-13136,-4797
"55","48","    Electric, gas, and sanitary services","B3448C0",-3643,-1221,-1002,-3127,-1735,62,-686,5442,7332,9087,9605,4742,6826,3825
"56","49","  Wholesale trade","B3449C0",9528,14876,12678,8159,9862,11881,11642,15219,11501,13524,17871,12231,21086,22048
"57","50","  Retail trade","B3450C0",11649,8562,7926,8134,10618,10295,18719,21175,18621,24537,28327,33879,32195,30396
"58","51","  Finance, insurance, and real estate","A3451C0",1893,9976,6885,9901,30342,53547,29091,21743,33565,22592,28591,-7564,23579,-6588
"59","52","    Depository institutions","B3491C0",18561,18187,19165,26927,40138,48187,35559,30922,34020,28126,28413,26224,47030,66759
"60","53","      Federal Reserve banks","B3453C0",-1609,585,-1130,-1932,-206,1345,505,-2170,-678,2205,3319,-1309,890,5461
"61","54","      Commercial and mutual depository institutions","B3492C0",20170,17601,20296,28859,40344,46841,35053,33092,34698,25921,25093,27532,46141,61298
"62","55","    Nondepository institutions","B3493C0",1194,2249,4121,5460,6701,9295,9411,8395,8437,11263,10202,11424,14625,10749
"63","56","    Security and commodity brokers","B3456C0",-337,-3307,-5213,-3273,-7392,-5911,-5367,-12941,-11799,-9415,979,-19242,-20362,-42868
"64","57","    Insurance carriers","B3457C0",-8371,690,1930,-7122,-954,7056,-7103,13685,-490,-607,-10645,-11481,-5844,-18553
"65","58","    Insurance agents, brokers, and service","B3458C0",1682,1434,1379,1509,900,950,1186,981,875,434,1002,2144,1429,2310
"66","59","    Real estate","B3459C0",-4099,-5286,-7428,-9655,-10962,-9176,-8168,-7070,-5420,-6549,-6730,-9342,-8417,-8944
"67","60","    Holding and other investment offices","B3460C0",-6738,-3990,-7068,-3945,1911,3148,3574,-12229,7942,-661,5371,-7292,-4883,-16042
"68","61","  Services","A3461C0",4136,3602,743,6199,7396,13682,15150,18117,17245,16552,14600,-2647,-717,-43175
"69","62","    Hotels and other lodging places","B3462C0",-2368,-1944,-1684,-2117,-1501,-990,-210,-238,632,1047,418,-733,448,1540
"70","63","    Personal services","B3463C0",388,530,851,894,716,845,893,1181,1182,1125,950,764,1398,2062
"71","64","    Business services","B3464C0",965,1541,957,2695,1007,4995,4655,5346,3379,3919,5457,-10065,-15291,-55037
"72","65","    Auto repair, services, and parking","B3465C0",-559,-967,-1098,-729,-699,-569,-38,-226,-351,-383,113,411,109,-411
"73","66","    Miscellaneous repair services","B3466C0",385,562,580,541,482,418,481,591,523,746,537,634,700,661
"74","67","    Motion pictures","B3467C0",-1062,-434,-1987,-1729,-1689,-309,290,-887,-919,-1461,-2333,-3058,-439,-1475
"75","68","    Amusement and recreation services","B3468C0",-982,-500,-344,-619,-479,230,-378,-261,-381,-674,-522,-1848,-1653,-2583
"76","69","    Other services","A3469C0",7370,4813,3468,7263,9561,9062,9456,12612,13181,12233,9978,11248,14011,12067
"77","70","      Health services","B3470C0",4333,2721,1500,4493,7124,6167,7106,8766,8691,8470,6877,6748,10388,14340
"78","71","      Legal services","B3471C0",1409,843,787,1041,888,1394,1062,1607,1844,1778,2312,2314,2296,3074
"79","72","      Educational services","B3472C0",266,299,-21,343,521,366,314,512,508,433,90,995,556,474
"80","73","      Other \1\","B3473C0",1361,950,1203,1385,1027,1136,974,1727,2139,1552,700,1192,770,-5821
"81","74","Rest of the world","A3474C0",31307,25090,35529,51114,52142,45056,56348,39800,60175,61580,60346,60492,79819,116207
"82","75","  Receipts from the rest of the world \2\","B3475C0",31011,26452,27632,37261,34043,33645,49481,44873,68805,70285,75506,63539,84147,116147
"83","76","  Less: Payments to the rest of the world \3\","B3476C0",-296,1362,-7897,-13853,-18099,-11411,-6867,5073,8630,8705,15160,3047,4328,-60
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services; membership organizations; engineering and management services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","except for commercial research and testing services and for management and public relations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of receipts by all U.S. residents of their share of the reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","their incorporated foreign affiliates and reinvested earnings of their unincorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Consists of payments to foreign residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
