"","Table 6#8D# Persons Engaged in Production by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"58","51","      Warehousing and storage","N4651C0",461,473,492,496,503,516,548,583,611,633,641,605
"59","52","    Information","N4652C0",3171,3320,3545,3536,3297,3124,3031,2985,2980,2988,2930,2782
"60","53","      Publishing industries (includes software)","N4653C0",989,1015,1060,1015,955,907,890,894,903,929,894,814
"61","54","      Motion picture and sound recording industries","N4654C0",370,378,368,390,386,390,378,367,365,372,388,384
"62","55","      Broadcasting and telecommunications","N4655C0",1407,1477,1582,1631,1512,1402,1352,1317,1295,1360,1328,1285
"63","56","      Information and data processing services","N4656C0",406,450,534,500,444,426,410,406,416,327,320,299
"64","57","    Finance and insurance","N4657C0",5639,5722,5720,5881,5872,5987,6047,6139,6293,6281,6136,5829
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4658C0",2442,2481,2441,2562,2627,2722,2776,2849,2892,2849,2702,2556
"66","59","      Securities, commodity contracts, and investments","N4659C0",761,789,844,904,847,842,850,875,914,957,968,893
"67","60","      Insurance carriers and related activities","N4660C0",2291,2307,2288,2328,2314,2339,2334,2330,2401,2390,2380,2297
"68","61","      Funds, trusts, and other financial vehicles","N4661C0",145,145,148,87,84,84,87,85,87,85,86,82
"69","62","    Real estate and rental and leasing","N4662C0",2188,2219,2245,2326,2322,2388,2454,2480,2549,2511,2445,2274
"70","63","      Real estate","N4663C0",1583,1603,1617,1671,1697,1772,1837,1859,1914,1892,1832,1733
"71","64","      Rental and leasing services and lessors of intangible assets \5\","N4664C0",605,616,628,656,625,616,618,620,635,619,613,541
"72","65","    Professional, scientific, and technical services","N4665C0",6901,7201,7576,7781,7489,7525,7695,7943,8268,8507,8669,8288
"73","66","      Legal services","N4666C0",1188,1207,1223,1268,1272,1326,1331,1340,1354,1324,1335,1287
"74","67","      Computer systems design and related services","N4667C0",1102,1218,1338,1363,1219,1194,1222,1283,1349,1434,1519,1480
"75","68","      Miscellaneous professional, scientific, and technical services \6\","N4668C0",4612,4776,5015,5150,4999,5005,5142,5321,5565,5750,5816,5521
"76","69","    Management of companies and enterprises \7\","N4669C0",1581,1614,1626,1634,1624,1661,1669,1743,1762,1809,1816,1797
"77","70","    Administrative and waste management services","N4670C0",7643,8026,8383,7944,7767,7655,7997,8236,8446,8635,8297,7525
"78","71","      Administrative and support services","N4671C0",7338,7718,8072,7618,7437,7327,7666,7894,8094,8270,7929,7173
"79","72","      Waste management and remediation services","N4672C0",306,309,311,326,330,328,330,341,351,366,368,352
"80","73","    Educational services","N4673C0",2186,2257,2338,2445,2567,2602,2708,2740,2813,2875,2988,3026
"81","74","    Heath care and social assistance","N4674C0",12109,12318,12589,12870,13266,13603,13814,14130,14651,14940,15294,15545
"82","75","      Ambulatory health care services","N4675C0",4128,4149,4251,4390,4541,4766,4855,5002,5234,5356,5462,5595
"83","76","      Hospitals","N4690C0",3449,3508,3536,3765,3873,3931,3982,4069,4149,4254,4350,4394
"84","77","      Nursing and residential care facilities","N4691C0",2320,2356,2404,2472,2520,2554,2573,2606,2665,2689,2757,2802
"85","78","      Social assistance","N4692C0",2212,2305,2398,2243,2332,2352,2404,2453,2603,2641,2725,2754
"86","79","    Arts, entertainment, and recreation","N4693C0",1691,1744,1838,1877,1909,1931,1937,2017,2017,2088,2102,2013
"87","80","      Performing arts, spectator sports, museums, and related activities","N4694C0",677,683,712,716,733,757,747,787,782,804,820,779
"88","81","      Amusements, gambling, and recreation industries","N4695C0",1014,1061,1125,1161,1176,1175,1190,1230,1234,1283,1282,1234
"89","82","    Accommodation and food services","N4696C0",8254,8508,8717,8595,8611,8738,8770,9206,9500,9655,9637,9165
"90","83","      Accommodation","N4697C0",1621,1666,1708,1724,1668,1658,1481,1717,1724,1741,1751,1591
"91","84","      Food services and drinking places","N4698C0",6633,6843,7008,6871,6943,7080,7289,7489,7776,7914,7886,7573
"92","85","    Other services, except government","N4699C0",6483,6562,6651,6606,6839,6891,6915,6890,6942,7013,7027,6821
"93","86","  Government","A4376C0",18701,18844,19126,19417,19843,19872,19856,19872,19950,20209,20468,20474
"94","87","    Federal","A4377C0",4205,4162,4196,4120,4235,4203,4150,4104,4097,4137,4189,4216
"95","88","      General government","A4378C0",3417,3370,3416,3342,3448,3436,3414,3378,3379,3374,3430,3537
"96","89","        Civilian","B4379C0",1846,1821,1869,1794,1871,1834,1822,1828,1832,1832,1864,1952
"97","90","        Military \8\","B4380C0",1571,1549,1547,1548,1577,1602,1592,1550,1547,1542,1566,1585
"98","91","      Government enterprises","B4381C0",788,792,780,778,787,767,736,726,718,763,759,679
"99","92","    State and local","A4382C0",14496,14682,14930,15297,15608,15669,15706,15768,15853,16072,16279,16258
"100","93","      General government","A4383C0",13581,13762,14000,14324,14591,14644,14670,14740,14823,15005,15182,15122
"101","94","        Education","B4384C0",7234,7372,7572,7742,7898,7912,7952,7997,8040,8127,8232,8240
"102","95","        Other \9\","B4385C0",6347,6390,6428,6582,6693,6732,6718,6743,6783,6878,6950,6882
"103","96","      Government enterprises \9\","B4386C0",915,920,930,973,1017,1025,1036,1028,1030,1067,1097,1136
"104","97","Rest of the world \10\","A4387C0",-401,-441,-396,-541,-549,-592,-628,-665,-686,-725,-748,-791
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. Equals the number of full-time equivalent employees plus the number of self-employed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","persons.  Unpaid family workers are not included.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","3. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","4. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","8. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","9. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","10. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
