"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"12","5","Manufacturing","J1803C0",1898,1724,1713,2158,2406,2638,2326,2598,6233,8420,10350,7071,6890,6406,7217,8068,8428,9480,10990
"13","6","  Durable goods","J1804C0",1298,1079,1091,1416,1460,1554,1388,1714,2577,3315,2886,4045,3693,3253,3458,4112,4430,5086,5984
"14","7","  Nondurable goods","J1805C0",600,645,622,742,946,1084,938,884,3656,5105,7464,3026,3197,3153,3759,3955,3998,4394,5006
"15","8","Transportation and public utilities","A1806C0",2760,2930,3397,4077,4483,5569,5643,6763,6895,7575,8279,7204,7624,7842,8183,9550,9491,10441,9338
"16","9","  Transportation","B1807C0",2070,2180,2489,2945,3273,4233,4103,4846,5288,5799,6127,5068,5341,5751,6092,7497,7011,8236,9387
"17","10","  Communication","B1808C0",26,36,57,34,31,48,49,65,190,176,234,1492,1507,1506,1657,1437,1595,869,-406
"18","11","  Electric, gas, and sanitary services","B1809C0",664,714,851,1098,1179,1288,1491,1852,1417,1600,1918,644,775,585,435,616,885,1336,357
"19","12","Wholesale trade","J1810C0",3801,3861,4113,4910,5273,6464,6491,7136,6410,7826,8542,7603,6298,5818,6042,6745,7890,8177,10439
"20","13","Retail trade","J1811C0",12874,13108,14053,14820,17321,18345,19091,21223,21823,24241,25279,21828,21525,21684,24987,26111,26693,29310,28840
"21","14","Finance, insurance, and real estate","J1812C0",6922,6298,7807,8232,7005,5759,5970,9211,10318,12794,12915,11970,9177,2969,4601,-1635,-10421,-16109,-9856
"22","15","Services","J1813C0",27898,29195,30711,32743,35222,37211,40722,46164,54661,60115,64817,72576,73097,76705,84618,97503,106971,118150,133056
"23","16","  Hotels and other lodging places","B1814C0",371,371,402,368,331,223,359,784,1365,1617,1570,1160,621,4,148,-669,-1529,-2253,-4161
"24","17","  Personal services","B1815C0",2722,2784,2851,3037,3167,3465,3610,4349,4301,4794,4994,6559,6371,6870,7620,8222,9842,10805,11976
"25","18","  Business services","B1816C0",2110,2210,2549,3113,3499,3850,4259,5703,7846,8673,10192,12321,12567,14511,16720,19365,22011,24352,29927
"26","19","  Auto repair, services, and parking","B1817C0",1553,1577,1953,2250,2508,2756,3137,3683,2774,3280,3285,5231,5583,5587,6322,7375,7666,8284,8643
"27","20","  Miscellaneous repair services","B1818C0",904,849,976,1083,1170,1329,1433,1561,1771,2020,1989,2823,2378,2530,3159,3587,3163,3474,3469
"28","21","  Motion pictures","B1819C0",197,189,230,253,223,140,130,446,713,947,890,2059,1829,2016,2189,2520,2982,2908,3558
"29","22","  Amusement and recreation services","B1820C0",251,352,303,321,499,475,569,603,1617,1953,2048,1617,1766,1549,1590,2358,2396,3077,3466
"30","23","  Health services","J1821C0",11491,11723,11508,11473,11546,11905,12898,14423,16590,17250,18118,17311,17867,18857,19307,22045,24435,26714,31938
"31","24","  Legal services","B1822C0",4481,5071,5557,6104,6598,7043,7287,7700,9826,10489,11251,11362,11246,12458,13966,17477,18911,21577,23520
"32","25","  Other \1\","B1823C0",3818,4069,4382,4741,5681,6025,7040,6912,7858,9092,10480,12131,12870,12322,13596,15224,17094,19211,20719
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","gardens; membership organizations and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
