"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"56","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5456,5660,6012,6249,6044,6579,6766,7119
"57","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16599,17561,18066,18007,17455,17255,17070,19388
"58","51","A Retail trade industries","KS440",340561,357859,385517,407133,396311,422575,435627,448311
"59","52","A   Motor vehicle and parts dealers","KS4410",106600,108868,121928,134232,125404,144330,150556,151930
"60","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",20291,22218,24336,26437,25844,27540,30181,32025
"61","54","A   Building material and garden equipment and supplies dealers","KS4440",34030,36369,38660,40040,40016,42367,45819,50432
"62","55","A   Food and beverage stores","KS4450",28819,30065,31910,31757,32485,33153,32739,33373
"63","56","A   Clothing and clothing accessories stores","KS4480",27573,28723,29996,32527,31460,32984,33183,33478
"64","57","A   General merchandise stores","KS4520",59047,59921,62618,63682,63551,65107,65803,69104
"65","58","D     Department stores","KS45210",42469,41766,42422,41797,39701,38166,36279,36131
"66","59","D     Other general merchandise stores","KS45290",16550,18145,20196,21885,23830,26879,29408,32782
"67","60","A   Other retail stores","KS44X0",64235,71703,76055,78444,77518,77289,77825,78266
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
