"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"43","32","Q1HHO1 C Household operation","Q1HHO10",475572,481772,486254,487325,487397,486771,486663,492468,490195,483894,478910,482297,481147,472292,482672,485728,496546,489037,491720,487850,488009,482578,491101,479931,486930,485110,497374,500380,497884,499165,500589,499344,510968,508738,516125,513219,506365,525109,518643,517168,515391,528166,530338,533381,537243,536207,531021,542336,541091,544911,544580,543285,549233,564274,551161,558390,558512,561699,558440,561814,559131,562137,553190,564640,571776,572668,580781,583975,576070,571315,588190,589319,581148,593469,594613,595152,600345,598051,592189,597957,596317,604122,608588,607840,610149,608581,604618,616522,613868,612170,622291,622190,627642,642445,632742,642020,629706,640366,646358,638474,649026,659758,655572,657363,660556,654090,654075,660736,664649,663886,679085,675949,681732,688795,693132,696275,699066,698023,691248,704331,702584,704835,702634,707137,718566,725946,718163,724112,725974,725816,729571,746006,729319,726787,732916,719149,723788,720896,724291,725047,716854,727837,714056,724838,723047,734081,734484,736958,741144,738699,737562,735829,740518,747596,747402,748179,751444,754105,742165,746265,757860,758105,765420,769635,768930,777770,783416,790285,794371,802549,784207,796183,796974,796169,801959,800902,812345,807584,811317,818783,816035,817920,825817,817661,822027
"44","33","Q1MED1 C Medical care","Q1MED10",886453,888621,891728,896407,901109,906762,912769,914377,914401,917910,920371,919847,918641,923941,922589,927340,923442,928644,931410,934736,936539,941278,944714,951427,956507,957117,963549,966254,969434,971627,973601,976841,980204,980277,979181,983079,983689,988172,984432,985041,984822,986332,989573,988915,988233,990816,993228,993070,994507,996664,997639,998881,1003304,1000185,1003377,1004461,1007312,1007970,1010626,1012551,1017802,1018972,1023090,1023175,1027244,1027817,1028243,1032410,1033909,1036625,1036199,1040695,1040110,1035809,1045044,1048748,1048870,1054949,1053305,1055705,1058958,1063916,1065451,1072981,1065062,1072055,1073480,1077281,1077257,1082935,1089855,1090756,1095983,1095691,1102501,1105973,1117072,1120216,1120252,1121739,1124102,1129414,1131254,1134678,1134470,1136395,1143730,1143559,1147994,1148579,1148420,1154013,1158496,1158167,1158204,1167841,1171240,1178745,1188492,1196374,1185409,1186749,1199164,1211567,1215015,1215819,1221436,1225907,1231621,1237201,1238992,1251212,1245120,1253222,1255586,1256646,1270632,1270998,1283498,1291234,1294694,1306354,1308242,1319220,1325908,1333779,1338165,1340614,1345012,1356099,1359059,1360022,1370621,1373972,1379613,1383706,1389104,1395037,1399350,1401823,1402237,1414859,1415956,1424192,1425106,1428346,1439190,1440067,1441894,1441870,1451751,1459085,1463800,1466968,1476142,1479724,1486705,1492346,1494843,1502227,1504627,1512948,1512802,1516372,1519978
"45","34","Q1PBU1 C Personal business","Q1PBU10",328753,326149,326607,327874,329637,329917,330311,331658,330359,332004,332467,334349,333340,342705,345788,352381,349573,348856,350069,353142,350279,352144,354241,355594,360538,357999,355422,355718,355966,356117,358053,358187,359384,360285,362252,366894,369056,375460,375094,376619,377153,381390,380991,384409,383293,391358,388161,389029,393132,389811,388215,383698,383304,379811,377805,380641,379617,377972,377951,379584,378059,379439,382269,384539,385978,387094,388733,388426,391245,389466,391838,396447,396755,398733,402906,399062,402237,402464,399898,400065,405612,403844,406873,409504,413299,417849,417089,416000,424788,421240,429710,433796,433203,437969,435478,435737,434378,441311,443699,447726,449139,457716,455505,459306,463646,459608,465274,469721,478557,478034,480185,489107,491959,490320,496326,499054,498331,501620,517362,522898,527966,539438,542209,535012,528607,531664,539184,542537,544182,546036,542807,549540,544688,536602,536774,538101,535384,530586,526488,526823,526537,529416,532063,531033,524553,525502,526079,527362,528974,529135,542769,535707,528187,533238,539896,533874,535599,534818,537276,537869,547034,549616,547104,547131,552090,557718,561789,559810,565810,565616,566673,571800,569967,566899,572501,575536,576323,580695,588425,596237,594108,598313,600259,602588,606313
"46","35","Q1TRN1 C Transportation","Q1TRN10",633380,599823,595019,598850,588481,591067,592569,587090,586698,577361,570551,560890,530124,540911,568707,543856,542029,549719,556281,547218,559166,543147,545844,560736,567427,571558,567794,563032,577549,586032,584257,584282,591485,591588,584530,603689,594037,587850,586706,602759,611575,604654,610995,607308,613325,619264,624786,628328,636222,644185,634814,652036,629941,636538,639644,643434,640523,652249,655117,653914,644645,640557,651294,636410,644372,664744,646950,662499,665409,653828,664633,679883,665947,677656,684244,690073,688938,680165,685311,693393,690099,695672,698608,695237,716180,714003,723861,710402,706348,717101,729715,745538,729365,731183,749608,756009,740579,742815,748892,762760,784138,770697,764100,781586,796504,814187,811542,833663,801685,812370,813752,831418,838254,845730,843673,842828,836231,832468,832784,847445,859880,881352,868926,846285,847386,833338,836624,846490,859684,853761,850381,857047,852284,878877,866656,849101,848683,862654,859214,866622,837827,959398,917060,866076,884535,884919,869071,900571,853018,879697,916624,926635,867544,862312,887241,935545,891448,884638,899889,912460,903780,901348,911239,936680,913253,896987,928760,950958,919739,919270,921241,906742,931960,884245,942432,930842,936023,932677,926021,959390,925662,921753,954653,954295,944438
"47","36","Q1USE1 C   User-operated transportation","Q1USE10",589347,555072,552087,555929,545269,548094,549460,543895,543054,533219,526218,517328,486966,498237,527075,500325,498856,506786,512914,504294,516772,500436,504000,516248,525035,529131,525353,521344,536220,543006,538728,540307,547610,550412,542530,560493,551793,545443,544649,560057,568875,561604,568177,564073,569161,575535,580195,583497,591760,599118,588752,606461,583179,589791,592379,596404,592943,604103,606080,605238,595689,592419,603690,588418,596205,616883,599412,614089,617018,604881,615018,629909,616042,626091,632743,638442,636545,629361,633314,641442,637553,643086,647904,640696,662954,660676,669621,656810,653357,663351,675702,692300,675519,678234,696507,701714,686108,687593,693244,706826,727940,714652,707945,725432,740006,757453,754690,776869,743959,754627,756254,773987,780583,787712,785441,784330,777702,773170,773400,790156,800888,822336,808699,786203,786727,773225,776654,787291,799626,794332,790101,799213,793101,819653,808350,789958,790085,804349,801150,808667,788640,906897,863930,813525,829440,829655,813192,845292,797189,823614,860810,870868,812954,807135,831869,878226,833679,828551,843760,856413,847142,844601,854563,880798,855945,840569,871558,895729,863096,861596,862890,847007,873249,825622,883465,872709,876876,872923,865629,899451,865216,861041,893101,894014,883497
"48","37","Q1PLT1 C   Purchased local transportation","Q1PLT10",10575,10734,10906,10473,10751,10705,10692,10790,11021,11564,11540,11159,10742,10916,10928,10815,10811,10908,10832,10832,10834,10747,10711,10643,10750,10747,10758,10750,10818,10712,10642,10523,10563,10581,10553,10582,10537,10475,10479,10617,10636,10692,10788,10923,10866,11005,11049,11241,10835,11131,11133,11283,11287,11354,11303,11111,11300,11288,11338,11382,11356,11338,11420,11317,11379,11269,11136,11165,11209,11047,11053,11133,10973,11097,10943,10986,10957,11038,11148,10914,10954,10898,10765,10840,10828,10884,10812,10962,10750,10943,11004,11024,11043,10966,11067,11161,11451,11678,11719,11661,11740,11436,11834,11974,11977,12067,12148,12147,12138,12009,11971,12007,12230,12088,11986,12090,12082,12294,12116,12110,12383,11970,12205,12328,12221,12211,12299,12164,12214,12229,12205,12295,12210,12203,12075,12272,12171,12140,12223,12085,11991,11930,11933,12056,11865,11934,11910,11824,11789,11890,11652,11648,11745,11638,11648,11608,11384,11359,11413,11213,11134,11181,11089,11109,11014,10786,10998,10873,10831,10790,10749,10816,10885,10954,11005,11057,11109,11140,11172,11202,11191,11179,11167,11155,11143
"49","38","Q1PIT1 C   Purchased intercity transportation","Q1PIT10",33418,33823,32007,32387,32335,32184,32317,32280,32490,32446,32600,32185,32116,31503,30651,32426,32096,31798,32289,31834,31395,31689,30927,33514,31492,31540,31499,30779,30456,32214,34688,33284,33146,30593,31361,32532,31661,31832,31513,32061,32082,32312,32054,32278,33215,32712,33493,33547,33608,33905,34800,34255,35314,35246,35820,35776,36140,36714,37564,37139,37503,36668,36008,36536,36648,36476,36269,37114,37074,37759,38422,38696,38800,40394,40471,40539,41394,39645,40773,40963,41546,41627,39848,43742,42344,42390,43400,42566,42182,42746,42962,42148,42718,41914,41996,43082,42922,43413,43799,44181,44416,44555,44216,44125,44497,44683,44702,44674,45545,45698,45507,45443,45453,45954,46260,46413,46455,47011,47275,45162,46582,47014,48001,47739,48426,47896,47661,47032,47853,47223,48092,45580,47064,47100,46319,47020,46571,46248,45933,45971,36574,39790,40678,40073,42986,43095,43863,43135,44031,44056,43787,43662,42604,43462,43473,45427,46613,44706,44551,44626,45483,45552,45525,44445,46337,45662,46119,44002,45759,46997,47832,49467,47963,48216,47977,46996,48140,48914,49798,48707,49860,50290,50931,49276,50289
"50","39","Q1RCR1 C Recreation","Q1RCR10",273598,274330,276034,277299,275642,275015,276515,276134,277586,278254,280357,277721,274957,278102,279437,277212,279525,280743,283356,282477,284170,283649,282752,284305,291087,290923,288399,290255,291567,293781,296868,298022,300488,303510,304488,309894,315336,311909,313163,317637,321216,320420,325017,325925,329211,329188,331654,334442,333692,336855,342062,343631,346695,350853,352616,355258,356663,362251,364225,366093,369028,367072,373093,372390,378663,384356,384005,389006,393798,393593,397523,400328,398612,399555,404346,408587,409987,415949,419680,419141,420114,425034,426621,432935,430082,436970,440291,442236,444304,446248,450172,451110,453359,456399,460182,462349,468534,472131,472699,476711,481010,485309,492045,496215,498769,503747,505891,510975,512779,521618,526573,529390,533666,538878,542065,547951,555788,557036,558951,566553,567057,574314,582819,582760,581536,581471,587592,589115,594878,593982,596864,596155,603494,601796,605122,605913,609984,610476,615214,617739,603664,617862,626659,628709,633161,635738,637723,642104,644494,641694,647100,646034,650861,653619,656519,662780,662956,662774,670365,676913,681616,689143,694490,703270,703194,707710,709297,713110,714574,725252,730775,725598,732597,733522,741447,743105,742823,746988,748511,754374,762574,771986,775629,779290,775770
"51","40","Q1TED1 C Education and research","Q1TED10",124820,125072,125211,125124,125399,125506,125976,126320,126058,125891,125891,125865,125652,125910,126366,126680,126882,127026,127316,127466,127763,127897,128277,128454,129296,129690,129949,130028,129992,130385,130902,131375,131466,131100,130920,131015,131238,131538,131669,131726,131701,132309,132836,133295,133644,133465,133495,133712,133850,133922,133814,133952,134174,134513,134928,135267,135083,135288,136059,136546,136818,137150,137530,137749,138087,138244,138273,138726,139137,139546,139910,140312,140904,141275,141618,142093,142427,142712,143283,143974,143881,143460,143519,143619,143388,143483,143835,144382,144883,145380,145895,146361,146942,147361,147867,148354,149425,150109,150730,150987,151265,151852,152124,152163,152189,153193,154284,154475,154742,155412,155846,156411,156685,157133,157682,158036,158100,158278,159122,159975,161013,161632,162115,162480,163013,163542,164176,164555,164989,165484,165993,166257,167107,167819,168530,169156,170002,170379,170265,170281,170746,171727,172081,172249,172132,172454,172849,172975,172995,173415,174148,174688,174768,174677,174819,174930,175453,175679,175436,175040,174511,174277,174282,174238,174110,174103,174554,174650,174799,174999,175225,175648,175931,175988,176146,176393,176797,177338,177976,178668,179116,179292,179431,179509,179853
"52","41","Q1RAW1 C Religious and welfare activities","Q1RAW10",115725,116952,118530,119594,120744,121655,122916,124093,124458,123591,123633,122866,122234,122173,121863,121834,122044,122553,122845,123044,123106,123409,123982,124077,125073,127121,128209,129907,130083,130938,132271,134195,134912,135050,134452,133861,132500,131625,132018,132481,132908,133374,133742,134185,134471,134406,134366,135028,136135,136678,137333,138015,139168,140396,141531,142408,143475,144345,144839,144110,142339,141493,141595,141872,141878,142191,142138,142315,142634,143039,143552,144086,145323,146886,148073,148242,149033,150209,150860,151377,151779,152532,152859,151748,149589,148364,148188,148598,148845,148855,149446,149610,149820,150183,150550,150943,151818,152971,154205,155205,156213,157600,159140,160017,161030,161403,161957,161697,160781,160214,160512,160386,160820,161570,162030,162379,162803,163608,164623,165358,166959,168120,169445,170503,171211,171636,172389,173400,174500,175707,177087,176452,176410,176493,177821,178552,179587,180548,181730,183067,183887,184792,185591,186248,186620,187276,187889,188987,190031,191390,192782,193706,194274,194760,195380,194907,193807,192391,192596,193123,193315,193239,193637,193477,193542,194454,195291,196092,197262,198299,199577,200075,200401,200988,200999,201953,203541,204672,204639,203199,200940,200165,199843,199641,200292
"53","42","Q1FTO1 C Foreign travel and other, net","Q1FTO10",-9108,-10121,-10715,-10390,-10775,-11240,-11767,-12415,-14320,-16478,-19766,-20502,-18525,-16187,-16379,-17978,-20516,-22494,-22661,-23046,-23841,-24685,-25534,-25576,-27145,-28555,-26244,-30474,-27537,-26609,-27088,-30625,-28021,-28942,-26625,-25374,-27241,-30290,-27500,-29222,-30403,-29217,-29043,-28019,-25748,-28837,-19704,-27334,-20215,-21214,-30190,-23716,-23276,-26771,-26718,-23441,-24009,-24579,-29401,-28899,-31207,-23536,-22703,-30666,-30820,-20433,-33124,-32302,-36197,-33012,-34917,-36863,-31884,-27414,-34411,-31059,-37853,-36275,-25223,-27239,-27636,-40701,-41032,-36850,-33376,-29996,-30515,-31512,-29974,-28210,-26621,-28047,-29345,-28415,-24612,-22789,-22681,-20612,-18050,-22353,-20302,-16659,-13527,-14565,-13213,-15082,-15797,-20055,-19584,-18871,-16741,-16463,-17736,-18334,-16809,-16307,-17478,-17948,-18334,-17251,-19018,-16651,-12496,-17282,-13236,-12931,-11104,-10732,-9958,-10095,-10742,-12030,-12869,-12210,-14162,-1909,-2513,-5789,-5987,-7239,-4366,-6516,-7627,-7902,-4026,-4119,-6208,-4787,-6652,-5252,-8499,-15300,-10987,-13444,-16997,-13433,-6412,-8159,-6059,-4438,-9295,-6770,-6157,-6337,-10182,-12867,-13658,-11817,-8803,-12820,-13630,-13338,-9051,-7819,-9860,-10672,-12558,-15724,-18620,-18557,-17156,-18872,-20523,-20983,-21174
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","  Business annually (NIPA table 2.5.6 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
