"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"36","18","    Net purchases of used autos and used light trucks","W242RX1","-60,573.0","-61,104.0","-58,291.0","-60,327.0","-57,340.0","-61,997.0","-61,321.0","-62,659.0","-69,335.0","-69,987.0","-77,742.0","-66,429.0","-58,423.0","-57,005.0","-61,826.0","-66,930.0"
"37","19","      Used autos","B140RX1","-32,611.0","-32,144.0","-29,168.0","-29,308.0","-27,949.0","-30,965.0","-30,939.0","-30,563.0","-31,771.0","-32,853.0","-34,390.0","-30,419.0","-28,785.0","-27,525.0","-29,767.0","-32,045.0"
"38","20","      Used light trucks (including utility vehicles)","W243RX1","-27,907.0","-28,918.0","-29,108.0","-31,022.0","-29,391.0","-31,016.0","-30,362.0","-32,086.0","-37,564.0","-37,131.0","-43,352.0","-36,012.0","-29,642.0","-29,483.0","-32,062.0","-34,888.0"
"39","21","  Gross government investment","AB64RX1","13,587.0","14,189.0","14,518.0","14,766.0","15,730.0","15,662.0","16,672.0","18,357.0","18,969.0","19,214.0","17,522.0","17,165.0","15,674.0","14,934.0","14,748.0","16,269.0"
"40","22","    Autos","B144RX1","3,816.0","3,694.0","3,837.0","3,591.0","3,619.0","3,635.0","4,028.0","4,445.0","4,576.0","4,319.0","3,558.0","3,407.0","3,322.0","2,834.0","2,784.0","3,171.0"
"41","23","    Trucks","B708RX1","9,755.0","10,488.0","10,673.0","11,177.0","12,119.0","12,033.0","12,653.0","13,923.0","14,403.0","14,899.0","13,963.0","13,757.0","12,359.0","12,088.0","11,951.0","13,091.0"
"42","24","  Net exports","AB63RX1","-99,586.0","-110,574.0","-108,465.0","-112,024.0","-108,565.0","-112,077.0","-106,417.0","-115,099.0","-99,306.0","-76,598.0","-53,263.0","-76,060.0","-74,997.0","-94,973.0","-100,689.0","-106,225.0"
"43","25","    Exports","AB69RX1","28,831.0","29,030.0","27,951.0","31,399.0","34,549.0","38,372.0","45,399.0","50,331.0","61,785.0","65,939.0","39,974.0","54,545.0","64,953.0","70,194.0","72,876.0","75,052.0"
"44","26","      Autos","B142RX1","12,980.0","13,142.0","14,061.0","15,746.0","16,459.0","17,001.0","20,858.0","24,270.0","32,017.0","37,468.0","20,836.0","27,855.0","33,373.0","38,021.0","40,892.0","44,404.0"
"45","27","      Trucks","B706RX1","15,937.0","15,969.0","13,873.0","15,636.0","18,116.0","21,453.0","24,614.0","26,118.0","29,794.0","28,459.0","19,138.0","26,689.0","31,580.0","32,229.0","32,109.0","30,920.0"
"46","28","    Imports","AB70RX1","128,417.0","139,604.0","136,415.0","143,423.0","143,114.0","150,449.0","151,815.0","165,430.0","161,091.0","142,537.0","93,237.0","130,605.0","139,950.0","165,167.0","173,565.0","181,277.0"
"47","29","      Autos","B143RX1","68,978.0","74,621.0","72,551.0","76,985.0","74,308.0","74,658.0","71,804.0","79,436.0","78,193.0","77,867.0","54,981.0","73,993.0","80,607.0","95,986.0","105,963.0","107,306.0"
"48","30","      Trucks","B707RX1","59,345.0","64,894.0","63,788.0","66,337.0","68,776.0","75,835.0","80,113.0","86,092.0","82,985.0","64,688.0","38,256.0","56,582.0","59,317.0","69,135.0","67,391.0","73,881.0"
"49","31","Change in private inventories","AB65RX1","12,180.0","10,631.0","-13,896.0","13,092.0","6,944.0","1,517.0","-1,294.0","1,703.0","-4,410.0","-6,273.0","-23,228.0","14,418.0","5,858.0","20,522.0","13,616.0","9,484.0"
"50","32","  Autos","A145RX1","2,252.0","3,751.0","-3,883.0","7,081.0","-2,704.0","-4,162.0","-1,786.0","3,320.0","-2,391.0","6,168.0","-8,460.0","5,593.0","3,107.0","12,636.0","10,517.0","3,373.0"
"51","33","    New","B146RX1","1,189.0","1,178.0","-6,776.0","8,043.0","-1,362.0","-1,603.0","-1,106.0","2,758.0","-3,903.0","6,548.0","-12,164.0","3,437.0","-571.0","7,764.0","5,243.0","-2,024.0"
"52","34","      Domestic","AB71RX1","-87.0","639.0","-7,368.0","6,772.0","-1,123.0","-567.0","-636.0","1,521.0","-3,048.0","4,425.0","-8,996.0","2,495.0","762.0","5,749.0","3,754.0","-832.0"
"53","35","      Foreign","AB72RX1","1,326.0","551.0","669.0","1,278.0","-242.0","-1,024.0","-468.0","1,230.0","-865.0","2,118.0","-3,167.0","944.0","-1,291.0","2,029.0","1,491.0","-1,164.0"
"54","36","    Used","B147RX1","1,043.0","2,392.0","2,013.0","-220.0","-1,311.0","-2,375.0","-682.0","733.0","1,206.0","-428.0","3,704.0","2,200.0","3,580.0","5,055.0","5,358.0","5,271.0"
"55","37","  Trucks","B709RX1","10,435.0","7,035.0","-10,246.0","5,955.0","9,717.0","5,929.0","615.0","-1,834.0","-1,997.0","-12,373.0","-14,768.0","8,756.0","2,754.0","7,943.0","3,220.0","6,049.0"
"56","38","    New","W244RX1","10,243.0","5,328.0","-12,957.0","6,242.0","9,001.0","5,085.0","79.0","-2,682.0","-3,003.0","-13,540.0","-16,500.0","8,542.0","2,806.0","8,594.0","2,616.0","3,632.0"
"57","39","      Domestic","AB73RX1","9,832.0","4,309.0","-12,468.0","4,689.0","8,935.0","5,131.0","-566.0","-3,466.0","-2,297.0","-14,608.0","-12,824.0","7,694.0","2,978.0","7,518.0","2,480.0","3,550.0"
"58","40","      Foreign","AB74RX1","471.0","947.0","-559.0","1,507.0","57.0","-63.0","663.0","795.0","-704.0","1,024.0","-3,676.0","843.0","-178.0","1,073.0","133.0","69.0"
"59","41","    Used \1\","W245RX1","802.0","1,725.0","1,483.0","-26.0","782.0","852.0","532.0","806.0","965.0","1,223.0","1,732.0","283.0","18.0","-469.0","636.0","2,464.0"
"60","42","Residual","A974RX1","-6,000.0","-1,700.0","5,900.0","2,000.0","3,100.0","2,200.0","100.0","0.0","600.0","200.0","200.0","-1,200.0","-1,900.0","-332,776.0","-349,072.0","-364,084.0"
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","43","  Final sales of motor vehicles to domestic purchasers","AB75RX1","438,155.0","444,280.0","449,282.0","464,685.0","472,583.0","496,688.0","509,603.0","509,924.0","501,336.0","409,335.0","323,315.0","383,911.0","423,328.0","473,878.0","505,809.0","545,718.0"
"63","44","  Private fixed investment in new autos and new light trucks","AB76RX1","161,574.0","162,311.0","152,637.0","150,363.0","145,395.0","159,098.0","173,150.0","186,645.0","187,814.0","150,478.0","99,816.0","140,475.0","155,937.0","175,882.0","197,415.0","215,350.0"
"64","45","  Domestic output of new autos \2\","B148RX1","113,144.0","114,963.0","106,733.0","111,095.0","98,380.0","97,717.0","108,837.0","109,691.0","106,089.0","101,803.0","59,868.0","77,334.0","83,838.0","110,781.0","115,913.0","115,668.0"
"65","46","  Sales of imported new autos \3\","B149RX1","75,568.0","80,533.0","78,856.0","85,124.0","83,344.0","86,248.0","87,342.0","96,061.0","99,820.0","89,560.0","73,943.0","84,468.0","91,863.0","100,016.0","104,325.0","108,238.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Consists of sales of imported new autos in personal consumption expenditures, in private fixed investment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","are usually not additive. The residual line is the difference between the first line and the sum of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
