"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"33","14","Equals: Net national product","A027RC1","216,310.0","218,606.0","221,444.0","231,048.0","236,778.0","243,217.0","249,308.0","250,174.0","244,467.0","240,717.0","242,215.0","239,685.0","249,973.0","259,253.0","276,523.0","287,062.0","301,632.0","308,976.0","315,462.0","319,650.0","322,642.0","323,223.0","329,064.0","341,475.0","347,889.0","351,063.0","349,699.0","343,972.0","342,951.0","343,007.0","347,351.0","355,731.0","368,726.0","376,434.0","384,048.0","389,740.0","391,202.0","396,108.0","400,093.0","407,804.0","416,355.0","417,787.0","424,060.0","417,777.0","409,921.0","413,518.0","426,341.0","439,204.0","449,176.0","461,715.0","462,254.0","465,965.0","479,301.0","478,141.0","480,977.0","475,577.0","480,020.0","490,636.0","500,781.0","513,442.0","526,063.0","533,053.0","539,067.0","542,252.0","550,675.0","558,664.0","570,934.0","579,940.0","595,605.0","603,882.0","614,904.0","618,911.0","639,096.0","650,895.0","666,681.0","687,428.0","710,028.0","717,893.0","729,497.0","741,833.0","751,023.0","753,817.0","767,719.0","781,855.0","807,514.0","830,383.0","844,075.0","858,980.0","881,296.0","894,060.0","911,676.0","917,513.0"
"34","15","Less: Statistical discrepancy","A030RC1","2,758.0","2,717.0","2,122.0","3,814.0","674.0","-1,125.0","227.0","-866.0","827.0","664.0","2,014.0","3,381.0","3,297.0","425.0","621.0","632.0","3,444.0","3,414.0","4,543.0","2,297.0","3,731.0","2,369.0","1,672.0","2,537.0","2,873.0","3,218.0","3,536.0","5,421.0","2,731.0","2,477.0","3,424.0","2,880.0","3,415.0","1,759.0","1,962.0","1,292.0","-859.0","-1,752.0","-2,614.0","-3,048.0","-1,219.0","-1,869.0","623.0","907.0","-1,221.0","527.0","1,024.0","2,115.0","26.0","-1,450.0","1,797.0","222.0","238.0","-1,630.0","-205.0","-3,847.0","-1,331.0","-453.0","-82.0","-2,028.0","1,445.0","1,273.0","888.0","-3,928.0","-2,354.0","-3,387.0","350.0","-689.0","2,584.0","748.0","402.0","-3,795.0","-2,242.0","-1,692.0","2,837.0","4,193.0","6,487.0","4,527.0","4,797.0","4,676.0","7,514.0","3,642.0","2,119.0","366.0","5,055.0","6,675.0","1,302.0","-318.0","5,570.0","1,935.0","830.0","-1,871.0"
"35","16","Equals: National income","A032RC1","213,552.0","215,889.0","219,322.0","227,234.0","236,104.0","244,342.0","249,081.0","251,040.0","243,640.0","240,053.0","240,201.0","236,304.0","246,676.0","258,828.0","275,902.0","286,430.0","298,188.0","305,562.0","310,919.0","317,353.0","318,911.0","320,854.0","327,392.0","338,938.0","345,016.0","347,845.0","346,163.0","338,551.0","340,220.0","340,530.0","343,927.0","352,851.0","365,311.0","374,675.0","382,086.0","388,448.0","392,061.0","397,860.0","402,707.0","410,852.0","417,574.0","419,656.0","423,437.0","416,870.0","411,142.0","412,991.0","425,317.0","437,089.0","449,150.0","463,165.0","460,457.0","465,743.0","479,063.0","479,771.0","481,182.0","479,424.0","481,351.0","491,089.0","500,863.0","515,470.0","524,618.0","531,780.0","538,179.0","546,180.0","553,029.0","562,051.0","570,584.0","580,629.0","593,021.0","603,134.0","614,502.0","622,706.0","641,338.0","652,587.0","663,844.0","683,235.0","703,541.0","713,366.0","724,700.0","737,157.0","743,509.0","750,175.0","765,600.0","781,489.0","802,459.0","823,708.0","842,773.0","859,298.0","875,726.0","892,125.0","910,846.0","919,384.0"
"36",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","21,454.0","24,482.0","24,592.0","26,127.0","29,979.0","31,757.0","31,170.0","32,666.0","31,004.0","28,664.0","29,924.0","26,640.0","30,056.0","33,889.0","38,441.0","41,847.0","40,717.0","40,569.0","41,118.0","42,390.0","40,027.0","38,129.0","38,071.0","42,432.0","43,340.0","42,509.0","41,310.0","34,016.0","36,508.0","37,847.0","39,895.0","43,590.0","48,805.0","50,106.0","50,176.0","51,582.0","49,420.0","49,642.0","49,309.0","50,214.0","51,658.0","50,288.0","49,340.0","45,271.0","39,466.0","40,609.0","44,759.0","50,593.0","54,265.0","59,067.0","54,190.0","54,535.0","58,610.0","54,796.0","53,807.0","51,506.0","50,242.0","54,481.0","57,243.0","61,816.0","62,552.0","62,520.0","64,243.0","66,858.0","67,196.0","70,229.0","71,657.0","72,950.0","77,053.0","77,320.0","78,440.0","78,019.0","85,843.0","88,045.0","89,261.0","94,006.0","97,371.0","96,367.0","94,828.0","95,921.0","93,345.0","92,169.0","93,214.0","96,734.0","98,123.0","102,113.0","102,642.0","104,110.0","103,476.0","100,332.0","97,418.0","92,440.0"
"38","18","  Taxes on production and imports less subsidies \1\","W254RC1","17,173.0","17,326.0","17,670.0","18,675.0","18,581.0","19,375.0","19,395.0","19,404.0","19,788.0","20,427.0","20,729.0","20,695.0","20,868.0","21,658.0","23,612.0","22,305.0","23,942.0","22,945.0","23,613.0","24,303.0","25,278.0","26,131.0","26,541.0","27,455.0","28,024.0","28,731.0","28,648.0","28,964.0","28,556.0","28,126.0","28,421.0","29,164.0","29,989.0","30,906.0","31,915.0","32,275.0","32,737.0","33,047.0","33,704.0","34,517.0","34,864.0","35,350.0","35,959.0","35,792.0","35,734.0","36,048.0","36,328.0","37,326.0","38,622.0","39,364.0","40,634.0","41,356.0","42,672.0","43,067.0","43,813.0","44,052.0","44,204.0","44,455.0","45,084.0","46,073.0","47,112.0","47,522.0","48,672.0","49,130.0","49,973.0","50,762.0","51,623.0","52,250.0","52,943.0","53,866.0","55,233.0","56,118.0","57,260.0","57,368.0","57,528.0","58,652.0","57,801.0","58,899.0","59,684.0","60,664.0","61,572.0","62,960.0","65,062.0","66,910.0","69,331.0","71,220.0","73,473.0","74,908.0","76,249.0","78,437.0","80,549.0","82,053.0"
"39","19","  Contributions for government social insurance, domestic","A061RC1","6,348.0","5,964.0","5,160.0","4,784.0","4,848.0","4,552.0","4,580.0","4,484.0","5,176.0","5,072.0","4,796.0","4,516.0","5,312.0","5,312.0","5,496.0","5,808.0","6,616.0","6,692.0","6,556.0","6,672.0","6,944.0","6,824.0","6,872.0","7,052.0","7,064.0","7,136.0","7,172.0","7,052.0","8,068.0","8,032.0","8,052.0","8,144.0","8,876.0","9,040.0","9,196.0","9,252.0","9,856.0","9,964.0","9,992.0","10,136.0","11,396.0","11,428.0","11,500.0","11,328.0","11,328.0","11,252.0","11,420.0","11,536.0","13,656.0","13,904.0","13,860.0","13,916.0","16,424.0","16,456.0","16,508.0","16,388.0","16,740.0","16,904.0","17,064.0","17,312.0","18,888.0","19,108.0","19,192.0","19,280.0","21,336.0","21,548.0","21,756.0","22,036.0","22,036.0","22,272.0","22,516.0","22,724.0","22,888.0","23,196.0","23,552.0","24,028.0","30,376.0","30,840.0","31,924.0","32,204.0","33,632.0","34,580.0","35,240.0","36,016.0","37,588.0","38,424.0","39,072.0","39,696.0","42,908.0","43,692.0","44,624.0","45,284.0"
"40","20","  Net interest and miscellaneous payments on assets","W255RC1","2,279.0","2,423.0","2,552.0","2,561.0","2,547.0","2,580.0","2,671.0","2,677.0","2,796.0","2,856.0","2,938.0","2,984.0","3,136.0","3,207.0","3,196.0","3,293.0","3,441.0","3,660.0","3,825.0","3,900.0","3,949.0","4,090.0","4,162.0","4,261.0","4,525.0","4,682.0","4,879.0","5,060.0","5,309.0","5,575.0","5,807.0","6,032.0","6,193.0","6,347.0","6,309.0","6,353.0","6,679.0","6,837.0","7,144.0","7,119.0","7,829.0","8,048.0","8,285.0","8,281.0","9,096.0","9,641.0","9,870.0","9,960.0","8,887.0","9,851.0","9,890.0","10,194.0","10,272.0","10,250.0","10,861.0","11,306.0","11,770.0","12,333.0","12,721.0","13,461.0","13,297.0","14,253.0","14,723.0","15,123.0","14,782.0","14,982.0","15,454.0","15,910.0","16,688.0","17,258.0","18,023.0","18,196.0","19,136.0","19,577.0","20,146.0","20,143.0","21,330.0","22,005.0","22,829.0","23,887.0","24,707.0","25,583.0","25,966.0","26,370.0","26,847.0","27,324.0","27,670.0","28,368.0","31,168.0","32,871.0","34,600.0","35,694.0"
"41","21","  Business current transfer payments (net)","B029RC1","683.0","711.0","731.0","735.0","734.0","706.0","700.0","692.0","651.0","658.0","698.0","749.0","711.0","780.0","857.0","948.0","1,079.0","1,152.0","1,187.0","1,222.0","1,216.0","1,203.0","1,186.0","1,183.0","1,193.0","1,197.0","1,150.0","1,076.0","954.0","880.0","882.0","944.0","1,101.0","1,245.0","1,370.0","1,472.0","1,575.0","1,623.0","1,674.0","1,732.0","1,798.0","1,826.0","1,840.0","1,828.0","1,793.0","1,742.0","1,671.0","1,606.0","1,604.0","1,661.0","1,672.0","1,695.0","1,731.0","1,728.0","1,739.0","1,770.0","1,851.0","1,870.0","1,915.0","1,968.0","2,034.0","2,091.0","2,146.0","2,197.0","2,438.0","2,520.0","2,537.0","2,621.0","2,720.0","2,784.0","3,206.0","3,306.0","3,503.0","3,505.0","3,487.0","3,445.0","3,420.0","3,380.0","3,366.0","3,402.0","3,468.0","3,567.0","3,688.0","3,789.0","3,913.0","4,128.0","4,272.0","4,419.0","4,716.0","4,827.0","4,837.0","4,812.0"
"42","22","  Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","494.0","514.0","527.0","642.0","529.0","557.0","393.0","374.0","299.0","261.0","283.0","497.0","363.0","337.0","413.0","401.0","723.0","754.0","824.0","896.0","865.0","842.0","591.0","757.0","737.0","797.0","660.0","526.0","472.0","338.0","87.0","193.0","141.0","248.0","272.0","-43.0","323.0","344.0","344.0","206.0","13.0","-4.0","-32.0","42.0"
"43","23","Plus: Personal income receipts on assets","W210RC1","14,819.0","15,316.0","15,689.0","15,777.0","16,514.0","16,331.0","16,929.0","17,399.0","17,517.0","17,745.0","17,921.0","18,506.0","19,683.0","20,055.0","21,116.0","21,770.0","20,875.0","21,371.0","21,570.0","21,926.0","21,590.0","22,446.0","22,686.0","23,278.0","23,475.0","24,668.0","24,983.0","25,232.0","26,167.0","25,999.0","26,816.0","27,395.0","28,297.0","28,837.0","29,905.0","30,554.0","31,372.0","32,019.0","32,650.0","33,739.0","34,516.0","35,354.0","36,031.0","36,313.0","36,581.0","37,178.0","37,628.0","37,889.0","38,762.0","39,956.0","41,162.0","42,429.0","43,640.0","43,932.0","44,639.0","45,131.0","45,573.0","46,426.0","47,545.0","49,062.0","49,357.0","51,094.0","52,469.0","53,560.0","54,044.0","55,162.0","56,563.0","58,215.0","60,021.0","61,727.0","63,326.0","64,750.0","66,140.0","67,999.0","69,718.0","71,094.0","72,521.0","73,632.0","74,677.0","75,811.0","77,920.0","79,392.0","80,701.0","81,330.0","83,880.0","86,530.0","88,364.0","90,414.0","93,683.0","96,920.0","100,243.0","103,899.0"
"44","24","Plus: Personal current transfer receipts","A577RC1","9,720.0","9,588.0","13,456.0","10,516.0","10,692.0","10,436.0","10,112.0","9,768.0","10,472.0","11,044.0","11,540.0","11,792.0","20,212.0","13,788.0","10,808.0","11,080.0","11,092.0","11,416.0","11,584.0","11,552.0","11,392.0","11,524.0","12,272.0","12,340.0","12,352.0","12,312.0","12,512.0","12,888.0","13,500.0","14,100.0","14,476.0","15,180.0","15,288.0","15,612.0","15,868.0","15,968.0","16,336.0","16,572.0","17,068.0","17,332.0","18,212.0","19,436.0","19,636.0","20,824.0","22,116.0","23,908.0","24,188.0","23,652.0","24,008.0","23,932.0","24,184.0","24,832.0","24,636.0","25,276.0","26,040.0","27,008.0","28,832.0","29,688.0","29,872.0","29,408.0","30,000.0","29,992.0","30,424.0","31,152.0","32,648.0","31,688.0","31,960.0","32,540.0","33,568.0","33,208.0","33,504.0","33,736.0","35,032.0","34,640.0","38,140.0","36,900.0","37,844.0","37,880.0","39,600.0","43,144.0","46,084.0","47,224.0","48,704.0","50,044.0","52,424.0","55,916.0","57,340.0","58,696.0","60,444.0","61,536.0","62,896.0","64,340.0"
"45","25","Equals: Personal income","A065RC1","190,154.0","189,887.0","197,762.0","200,645.0","206,621.0","212,139.0","217,606.0","218,284.0","212,214.0","211,165.0","210,577.0","211,018.0","226,488.0","227,825.0","236,224.0","245,079.0","254,360.0","263,331.0","267,774.0","272,344.0","274,479.0","278,447.0","285,518.0","292,173.0","296,697.0","300,570.0","300,499.0","300,503.0","300,492.0","300,169.0","302,162.0","307,552.0","313,932.0","321,480.0","328,893.0","334,036.0","339,502.0","345,338.0","350,602.0","358,205.0","362,757.0","367,506.0","372,180.0","371,507.0","372,422.0","374,785.0","383,085.0","387,609.0","394,392.0","402,692.0","405,030.0","410,666.0","417,101.0","422,125.0","424,740.0","426,167.0","430,650.0","436,899.0","443,970.0","452,813.0","459,729.0","467,035.0","471,683.0","477,903.0","483,273.0","488,106.0","495,256.0","504,721.0","514,305.0","523,727.0","533,323.0","542,072.0","553,143.0","562,738.0","577,068.0","590,429.0","603,136.0","613,049.0","626,259.0","639,841.0","650,648.0","657,684.0","671,563.0","683,087.0","702,638.0","722,601.0","741,004.0","756,701.0","771,323.0","790,426.0","811,989.0","827,298.0"
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","26","  Gross domestic income (GDI)","A261RC1","240,322.0","243,550.0","247,993.0","256,495.0","265,499.0","274,022.0","279,270.0","281,522.0","274,543.0","271,028.0","271,248.0","267,603.0","277,912.0","290,310.0","307,889.0","319,688.0","332,928.0","341,041.0","347,231.0","354,282.0","356,464.0","359,045.0","366,412.0","378,704.0","385,599.0","389,041.0","388,160.0","381,100.0","383,193.0","384,239.0","388,172.0","397,468.0","410,338.0","420,467.0","428,963.0","436,495.0","441,350.0","448,523.0","454,597.0","464,326.0","471,797.0","474,704.0","479,692.0","474,774.0","469,574.0","472,259.0","485,629.0","498,265.0","511,037.0","525,691.0","523,399.0","529,100.0","543,109.0","544,327.0","546,217.0","544,910.0","547,280.0","557,883.0","568,310.0","583,652.0","593,731.0","601,307.0","608,687.0","617,060.0","625,033.0","635,222.0","644,610.0","655,529.0","668,565.0","680,009.0","692,405.0","702,219.0","721,490.0","734,061.0","747,347.0","768,911.0","790,841.0","802,626.0","816,001.0","830,188.0","838,532.0","847,416.0","864,495.0","882,835.0","906,080.0","929,622.0","951,045.0","970,447.0","989,849.0","1,009,426.0","1,031,186.0","1,042,612.0"
"48","27","  Average of GDP and GDI \2\","LA0000091","241,701.0","244,909.0","249,054.0","258,402.0","265,836.0","273,460.0","279,384.0","281,089.0","274,957.0","271,360.0","272,255.0","269,294.0","279,561.0","290,523.0","308,200.0","320,004.0","334,650.0","342,748.0","349,503.0","355,431.0","358,330.0","360,230.0","367,248.0","379,973.0","387,036.0","390,650.0","389,928.0","383,811.0","384,559.0","385,478.0","389,884.0","398,908.0","412,046.0","421,347.0","429,944.0","437,141.0","440,921.0","447,647.0","453,290.0","462,802.0","471,188.0","473,770.0","480,004.0","475,228.0","468,964.0","472,523.0","486,141.0","499,323.0","511,050.0","524,966.0","524,298.0","529,211.0","543,228.0","543,512.0","546,115.0","542,987.0","546,615.0","557,657.0","568,269.0","582,638.0","594,454.0","601,944.0","609,131.0","615,096.0","623,856.0","633,529.0","644,785.0","655,185.0","669,857.0","680,383.0","692,606.0","700,322.0","720,369.0","733,215.0","748,766.0","771,008.0","794,085.0","804,890.0","818,400.0","832,526.0","842,289.0","849,237.0","865,555.0","883,018.0","908,608.0","932,960.0","951,696.0","970,288.0","992,634.0","1,010,394.0","1,031,601.0","1,041,677.0"
"49","28","  Gross national income","A023RC1","241,300.0","244,645.0","249,124.0","257,731.0","266,890.0","275,501.0","280,753.0","282,993.0","275,929.0","272,357.0","272,521.0","268,736.0","279,140.0","291,626.0","309,496.0","321,297.0","334,465.0","342,924.0","349,227.0","356,434.0","358,465.0","361,064.0","368,394.0","380,643.0","387,507.0","391,093.0","389,969.0","382,928.0","385,193.0","386,237.0","390,210.0","399,811.0","412,761.0","422,865.0","431,410.0","439,022.0","444,201.0","451,361.0","457,531.0","466,886.0","474,882.0","478,071.0","482,925.0","477,308.0","472,204.0","474,953.0","488,234.0","500,850.0","513,620.0","528,291.0","526,229.0","532,130.0","546,036.0","547,331.0","549,381.0","548,266.0","550,856.0","561,283.0","571,812.0","587,249.0","597,332.0","605,299.0","612,738.0","621,790.0","629,540.0","639,559.0","649,048.0","660,154.0","673,623.0","684,884.0","697,453.0","706,917.0","726,925.0","739,702.0","752,600.0","773,698.0","795,839.0","807,678.0","820,968.0","835,451.0","843,753.0","852,496.0","870,184.0","888,419.0","911,897.0","935,622.0","957,297.0","976,718.0","996,183.0","1,015,587.0","1,037,134.0","1,048,629.0"
"50","29","  Gross national factor income \3\","X023RC1","223,444.0","226,608.0","230,723.0","238,321.0","247,575.0","255,420.0","260,658.0","262,897.0","255,490.0","251,272.0","251,094.0","247,292.0","257,561.0","269,188.0","285,027.0","298,044.0","309,444.0","318,827.0","324,427.0","330,909.0","331,971.0","333,730.0","340,667.0","352,005.0","358,290.0","361,165.0","360,171.0","352,888.0","355,683.0","357,231.0","360,907.0","369,703.0","381,671.0","390,714.0","398,125.0","405,275.0","409,889.0","416,691.0","422,153.0","430,637.0","438,220.0","440,895.0","445,126.0","439,688.0","434,677.0","437,163.0","450,235.0","461,918.0","472,900.0","486,752.0","483,396.0","488,437.0","501,104.0","501,979.0","503,436.0","502,070.0","504,502.0","514,697.0","524,530.0","538,711.0","547,823.0","555,349.0","561,507.0","570,062.0","576,406.0","585,523.0","594,064.0","604,387.0","617,095.0","627,392.0","638,423.0","646,736.0","665,425.0","678,032.0","690,925.0","711,075.0","734,146.0","745,061.0","757,831.0","771,192.0","778,572.0","785,721.0","801,162.0","817,763.0","838,330.0","859,930.0","879,208.0","897,185.0","915,205.0","932,327.0","951,780.0","961,722.0"
"51","30","  Net domestic product","A362RC1","215,332.0","217,511.0","220,313.0","229,812.0","235,387.0","241,738.0","247,825.0","248,703.0","243,081.0","239,388.0","240,942.0","238,552.0","248,745.0","257,937.0","274,916.0","285,453.0","300,095.0","307,093.0","313,466.0","317,498.0","320,641.0","321,204.0","327,082.0","339,536.0","345,981.0","349,011.0","347,890.0","342,144.0","340,951.0","341,009.0","345,313.0","353,388.0","366,303.0","374,036.0","381,601.0","387,213.0","388,351.0","393,270.0","397,159.0","405,244.0","413,270.0","414,420.0","420,827.0","415,243.0","407,291.0","410,824.0","423,736.0","436,619.0","446,593.0","459,115.0","459,424.0","462,935.0","476,374.0","475,137.0","477,813.0","472,221.0","476,444.0","487,236.0","497,279.0","509,845.0","522,462.0","529,061.0","535,016.0","537,522.0","546,168.0","554,327.0","566,496.0","575,315.0","590,547.0","599,007.0","609,856.0","614,213.0","633,661.0","645,254.0","661,428.0","682,641.0","705,030.0","712,841.0","724,530.0","736,570.0","745,802.0","748,737.0","762,030.0","776,271.0","801,697.0","824,383.0","837,823.0","852,709.0","874,962.0","887,899.0","905,728.0","911,496.0"
"52","31","  Net domestic income","W256RC1","212,574.0","214,794.0","218,191.0","225,998.0","234,713.0","242,863.0","247,598.0","249,569.0","242,254.0","238,724.0","238,928.0","235,171.0","245,448.0","257,512.0","274,295.0","284,821.0","296,651.0","303,679.0","308,923.0","315,201.0","316,910.0","318,835.0","325,410.0","336,999.0","343,108.0","345,793.0","344,354.0","336,723.0","338,220.0","338,532.0","341,889.0","350,508.0","362,888.0","372,277.0","379,639.0","385,921.0","389,210.0","395,022.0","399,773.0","408,292.0","414,489.0","416,289.0","420,204.0","414,336.0","408,512.0","410,297.0","422,712.0","434,504.0","446,567.0","460,565.0","457,627.0","462,713.0","476,136.0","476,767.0","478,018.0","476,068.0","477,775.0","487,689.0","497,361.0","511,873.0","521,017.0","527,788.0","534,128.0","541,450.0","548,522.0","557,714.0","566,146.0","576,004.0","587,963.0","598,259.0","609,454.0","618,008.0","635,903.0","646,946.0","658,591.0","678,448.0","698,543.0","708,314.0","719,733.0","731,894.0","738,288.0","745,095.0","759,911.0","775,905.0","796,642.0","817,708.0","836,521.0","853,027.0","869,392.0","885,964.0","904,898.0","913,367.0"
"53","32","  Net national factor income \4\","X032RC1","195,696.0","197,852.0","200,921.0","207,824.0","216,789.0","224,261.0","228,986.0","230,944.0","223,201.0","218,968.0","218,774.0","214,860.0","225,097.0","236,390.0","251,433.0","263,177.0","273,167.0","281,465.0","286,119.0","291,828.0","292,417.0","293,520.0","299,665.0","310,300.0","315,799.0","317,917.0","316,365.0","308,511.0","310,710.0","311,524.0","314,624.0","322,743.0","334,221.0","342,524.0","348,801.0","354,701.0","357,749.0","363,190.0","367,329.0","374,603.0","380,912.0","382,480.0","385,638.0","379,250.0","373,615.0","375,201.0","387,318.0","398,157.0","408,430.0","421,626.0","417,624.0","422,050.0","434,131.0","434,419.0","435,237.0","433,228.0","434,997.0","444,503.0","453,581.0","466,932.0","475,109.0","481,830.0","486,948.0","494,452.0","499,895.0","508,015.0","515,600.0","524,862.0","536,493.0","545,642.0","555,472.0","562,525.0","579,838.0","590,917.0","602,169.0","620,612.0","641,848.0","650,749.0","661,563.0","672,898.0","678,328.0","683,400.0","696,578.0","710,833.0","728,892.0","748,016.0","764,684.0","779,765.0","794,748.0","808,865.0","825,492.0","832,477.0"
"54","33","  Net domestic purchases","W367RC1","204,457.0","206,217.0","208,543.0","220,523.0","228,094.0","236,533.0","242,876.0","244,202.0","236,603.0","233,105.0","235,763.0","235,553.0","246,542.0","256,294.0","275,656.0","285,607.0","299,918.0","305,150.0","309,724.0","313,308.0","316,920.0","319,253.0","327,086.0","340,549.0","346,648.0","350,262.0","348,442.0","342,479.0","341,307.0","340,755.0","344,739.0","352,243.0","365,199.0","374,191.0","380,877.0","386,973.0","387,911.0","391,361.0","394,590.0","400,717.0","408,451.0","410,321.0","416,830.0","411,855.0","406,212.0","410,353.0","422,880.0","436,879.0","446,188.0","459,103.0","458,826.0","462,361.0","473,657.0","470,978.0","473,648.0","466,447.0","470,647.0","481,703.0","493,370.0","505,429.0","518,512.0","523,261.0","531,177.0","534,708.0","542,285.0","547,794.0","562,581.0","569,892.0","583,284.0","591,937.0","603,479.0","607,265.0","629,060.0","637,797.0","656,527.0","677,129.0","700,613.0","707,609.0","722,325.0","732,974.0","741,239.0","744,217.0","759,134.0","774,032.0","800,598.0","822,441.0","836,535.0","851,642.0","874,791.0","886,655.0","904,752.0","908,163.0"
"55","34","  Statistical discrepancy as a percentage of GDP","SB0000081","1.1","1.1","0.8","1.5","0.3","-0.4","0.1","-0.3","0.3","0.2","0.7","1.2","1.2","0.1","0.2","0.2","1.0","1.0","1.3","0.6","1.0","0.7","0.5","0.7","0.7","0.8","0.9","1.4","0.7","0.6","0.9","0.7","0.8","0.4","0.5","0.3","-0.2","-0.4","-0.6","-0.7","-0.3","-0.4","0.1","0.2","-0.3","0.1","0.2","0.4","0.0","-0.3","0.3","0.0","0.0","-0.3","0.0","-0.7","-0.2","-0.1","0.0","-0.3","0.2","0.2","0.1","-0.6","-0.4","-0.5","0.1","-0.1","0.4","0.1","0.1","-0.5","-0.3","-0.2","0.4","0.5","0.8","0.6","0.6","0.6","0.9","0.4","0.2","0.0","0.6","0.7","0.1","0.0","0.6","0.2","0.1","-0.2"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. The arithmetic average of gross domestic product and of gross domestic income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
