"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Current receipts","W005RC1","191,835.0","185,131.0","190,709.0","219,009.0","249,246.0","278,500.0","276,832.0","322,588.0","363,870.0","423,825.0","487,023.0","533,695.0","621,063.0","618,662.0","644,766.0","711,167.0","775,727.0","817,909.0","899,491.0","962,431.0","1,042,474.0","1,087,630.0","1,107,827.0","1,154,353.0","1,230,976.0","1,329,294.0","1,417,386.0","1,536,283.0","1,667,313.0","1,789,752.0","1,905,429.0","2,068,189.0","2,031,837.0","1,870,616.0","1,895,060.0","2,027,390.0","2,303,513.0","2,537,739.0","2,667,164.0","2,579,465.0","2,238,356.0","2,443,283.0","2,574,110.0","2,699,075.0","3,141,295.0","3,265,235.0"
"20","2","Current tax receipts","W006RC1","145,970.0","137,924.0","138,618.0","158,248.0","173,018.0","192,071.0","186,837.0","218,262.0","247,578.0","286,831.0","326,141.0","356,200.0","408,312.0","386,971.0","393,713.0","425,735.0","460,709.0","479,838.0","544,155.0","567,172.0","622,790.0","644,171.0","637,894.0","662,198.0","715,255.0","783,933.0","849,086.0","937,041.0","1,035,750.0","1,121,819.0","1,199,947.0","1,313,875.0","1,253,912.0","1,077,660.0","1,075,460.0","1,158,676.0","1,389,273.0","1,563,409.0","1,642,434.0","1,520,685.0","1,171,076.0","1,352,743.0","1,553,808.0","1,661,146.0","1,824,957.0","1,974,378.0"
"21","3","  Personal current taxes \1\","A074RC1","91,700.0","88,853.0","85,803.0","102,757.0","109,581.0","126,525.0","120,730.0","141,597.0","162,513.0","189,199.0","224,881.0","250,621.0","291,165.0","295,596.0","286,774.0","301,893.0","336,453.0","350,601.0","392,987.0","403,845.0","453,095.0","472,109.0","463,590.0","477,497.0","507,688.0","545,082.0","590,297.0","668,410.0","749,822.0","831,199.0","897,630.0","999,848.0","996,305.0","832,815.0","778,520.0","803,166.0","936,792.0","1,054,559.0","1,169,712.0","1,174,269.0","864,492.0","941,622.0","1,129,098.0","1,164,736.0","1,300,612.0","1,396,924.0"
"22","4","  Taxes on production and imports \2\","W007RC1","17,812.0","18,081.0","18,992.0","18,481.0","19,799.0","20,064.0","22,077.0","21,374.0","22,723.0","25,278.0","25,684.0","33,663.0","49,929.0","40,956.0","44,383.0","47,300.0","46,052.0","43,698.0","45,940.0","49,827.0","49,741.0","50,912.0","61,765.0","63,295.0","66,358.0","78,986.0","75,553.0","72,854.0","77,837.0","80,698.0","83,432.0","87,251.0","85,283.0","86,805.0","90,181.0","95,246.0","99,393.0","99,228.0","94,605.0","93,968.0","91,365.0","96,757.0","108,602.0","115,142.0","125,831.0","137,841.0"
"23","5","    Excise taxes","B234RC1","15,442.0","15,597.0","15,880.0","15,484.0","16,528.0","16,406.0","16,213.0","16,814.0","17,320.0","18,178.0","18,230.0","26,503.0","41,340.0","32,347.0","35,292.0","35,397.0","33,894.0","30,001.0","30,407.0","33,415.0","32,260.0","33,422.0","44,929.0","44,968.0","46,548.0","57,544.0","55,734.0","53,633.0","58,220.0","61,112.0","64,250.0","66,128.0","64,647.0","66,886.0","68,749.0","71,981.0","74,076.0","72,561.0","65,832.0","64,745.0","68,303.0","68,177.0","76,732.0","81,661.0","90,406.0","100,499.0"
"24","6","    Customs duties","B235RC1","2,370.0","2,484.0","3,112.0","2,997.0","3,271.0","3,658.0","5,864.0","4,560.0","5,403.0","7,100.0","7,454.0","7,160.0","8,589.0","8,609.0","9,091.0","11,903.0","12,158.0","13,697.0","15,533.0","16,412.0","17,481.0","17,490.0","16,836.0","18,327.0","19,810.0","21,442.0","19,819.0","19,221.0","19,617.0","19,586.0","19,182.0","21,123.0","20,636.0","19,919.0","21,432.0","23,265.0","25,317.0","26,667.0","28,773.0","29,223.0","23,062.0","28,580.0","31,870.0","33,481.0","35,425.0","37,342.0"
"25","7","  Taxes on corporate income","B075RC1","36,064.0","30,616.0","33,456.0","36,607.0","43,260.0","45,115.0","43,559.0","54,577.0","61,615.0","71,400.0","74,428.0","70,319.0","65,701.0","49,047.0","61,345.0","75,238.0","76,265.0","83,826.0","103,188.0","111,126.0","117,214.0","118,120.0","109,937.0","118,768.0","138,469.0","156,723.0","179,320.0","190,622.0","202,995.0","204,242.0","212,967.0","219,440.0","164,670.0","150,458.0","197,805.0","250,282.0","340,958.0","395,011.0","362,838.0","233,650.0","200,392.0","298,655.0","299,377.0","363,118.0","379,238.0","417,906.0"
"26","8","    Federal Reserve banks","B677RC1","3,019.0","3,494.0","3,357.0","3,231.0","4,341.0","5,550.0","5,382.0","5,870.0","5,937.0","7,006.0","9,279.0","11,706.0","14,024.0","15,205.0","14,229.0","16,054.0","17,796.0","17,804.0","17,739.0","17,364.0","21,646.0","23,608.0","20,778.0","16,774.0","15,987.0","20,470.0","23,389.0","20,083.0","20,659.0","26,561.0","25,410.0","25,344.0","27,089.0","24,495.0","22,022.0","18,078.0","21,468.0","29,052.0","34,598.0","31,689.0","47,430.0","79,268.0","75,424.0","88,418.0","79,633.0","96,902.0"
"27","9","    Other","A678RC1","33,045.0","27,122.0","30,099.0","33,376.0","38,919.0","39,565.0","38,177.0","48,707.0","55,678.0","64,394.0","65,149.0","58,613.0","51,677.0","33,842.0","47,116.0","59,184.0","58,469.0","66,022.0","85,449.0","93,762.0","95,568.0","94,512.0","89,159.0","101,994.0","122,482.0","136,253.0","155,931.0","170,539.0","182,336.0","177,681.0","187,557.0","194,096.0","137,581.0","125,963.0","175,783.0","232,204.0","319,490.0","365,959.0","328,240.0","201,961.0","152,962.0","219,387.0","223,953.0","274,700.0","299,605.0","321,004.0"
"28","10","  Taxes from the rest of the world","W008RC1","394.0","374.0","367.0","403.0","378.0","367.0","471.0","714.0","727.0","954.0","1,148.0","1,597.0","1,517.0","1,372.0","1,211.0","1,304.0","1,939.0","1,713.0","2,040.0","2,374.0","2,740.0","3,030.0","2,602.0","2,638.0","2,740.0","3,142.0","3,916.0","5,155.0","5,096.0","5,680.0","5,918.0","7,336.0","7,654.0","7,582.0","8,954.0","9,983.0","12,130.0","14,611.0","15,279.0","18,799.0","14,827.0","15,709.0","16,731.0","18,150.0","19,276.0","21,707.0"
"29","11","Contributions for government social insurance","W780RC1","43,314.0","45,504.0","50,330.0","58,258.0","74,546.0","84,085.0","88,054.0","99,786.0","111,078.0","128,715.0","149,798.0","163,631.0","193,009.0","206,043.0","223,068.0","254,129.0","277,909.0","298,933.0","317,431.0","354,779.0","377,963.0","402,040.0","420,613.0","443,965.0","465,517.0","496,152.0","521,903.0","545,413.0","579,432.0","617,402.0","654,826.0","698,571.0","723,253.0","739,421.0","763,243.0","808,910.0","853,391.0","905,689.0","947,242.0","974,381.0","950,798.0","970,905.0","903,992.0","938,138.0","1,093,371.0","1,145,195.0"
"30","12","  From persons","LA0000121","43,101.0","45,270.0","50,002.0","57,884.0","74,004.0","83,516.0","87,467.0","99,147.0","110,319.0","127,850.0","148,869.0","162,616.0","191,841.0","204,851.0","221,813.0","252,793.0","276,484.0","297,481.0","315,906.0","353,105.0","376,257.0","400,074.0","418,563.0","441,828.0","463,296.0","493,665.0","519,200.0","542,625.0","576,418.0","614,300.0","651,533.0","695,018.0","719,505.0","735,671.0","759,324.0","804,524.0","848,730.0","901,105.0","942,513.0","969,556.0","945,840.0","965,980.0","899,582.0","933,527.0","1,088,215.0","1,140,095.0"
"31","13","  From the rest of the world \3\","W781RC1","213.0","234.0","328.0","374.0","542.0","569.0","587.0","639.0","759.0","865.0","929.0","1,015.0","1,168.0","1,192.0","1,255.0","1,336.0","1,425.0","1,452.0","1,525.0","1,674.0","1,706.0","1,967.0","2,050.0","2,137.0","2,221.0","2,487.0","2,703.0","2,788.0","3,014.0","3,102.0","3,293.0","3,553.0","3,748.0","3,750.0","3,919.0","4,386.0","4,661.0","4,584.0","4,729.0","4,825.0","4,958.0","4,925.0","4,410.0","4,611.0","5,156.0","5,100.0"
"32","14","Income receipts on assets","W009RC1","2,816.0","3,207.0","3,614.0","3,760.0","4,019.0","4,513.0","5,254.0","6,223.0","7,066.0","8,946.0","11,208.0","14,363.0","19,227.0","23,407.0","24,709.0","27,715.0","30,136.0","32,114.0","28,198.0","30,217.0","28,867.0","30,441.0","30,006.0","25,652.0","26,594.0","23,577.0","23,812.0","26,642.0","25,494.0","21,514.0","21,077.0","25,602.0","26,411.0","21,752.0","23,509.0","25,344.0","27,250.0","28,951.0","33,406.0","33,868.0","48,533.0","54,579.0","56,402.0","52,636.0","163,212.0","74,778.0"
"33","15","  Interest receipts \4\","B094RC1","2,490.0","2,809.0","3,108.0","3,250.0","3,365.0","3,635.0","4,281.0","5,155.0","5,779.0","7,425.0","9,151.0","11,314.0","14,819.0","18,337.0","20,365.0","22,786.0","25,577.0","28,842.0","25,130.0","27,394.0","25,880.0","26,943.0","26,249.0","22,193.0","22,837.0","20,021.0","20,843.0","22,534.0","20,973.0","17,303.0","17,068.0","19,314.0","18,019.0","15,275.0","16,484.0","16,626.0","17,341.0","18,761.0","22,075.0","19,537.0","22,768.0","29,542.0","27,689.0","21,306.0","22,826.0","23,449.0"
"34","16","  Dividends","W053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","60.0","246.0","255.0","220.0","578.0","18,745.0","17,032.0","18,782.0","21,098.0","131,285.0","40,730.0"
"35","17","  Rents and royalties \5\","B1040C1","326.0","398.0","506.0","510.0","654.0","878.0","973.0","1,068.0","1,287.0","1,521.0","2,057.0","3,049.0","4,408.0","5,070.0","4,344.0","4,929.0","4,559.0","3,272.0","3,068.0","2,823.0","2,987.0","3,498.0","3,757.0","3,459.0","3,757.0","3,556.0","2,969.0","4,108.0","4,521.0","4,211.0","4,009.0","6,288.0","8,392.0","6,477.0","7,025.0","8,658.0","9,663.0","9,935.0","11,111.0","13,753.0","7,020.0","8,005.0","9,931.0","10,232.0","9,101.0","10,599.0"
"36","18","Current transfer receipts","W011RC1","998.0","959.0","928.0","1,120.0","1,048.0","1,081.0","1,106.0","1,223.0","1,577.0","2,228.0","2,543.0","3,142.0","3,128.0","4,381.0","5,220.0","6,274.0","8,596.0","7,611.0","10,206.0","9,607.0","11,787.0","13,309.0","17,187.0","18,419.0","20,154.0","21,591.0","17,536.0","22,727.0","20,064.0","21,466.0","22,377.0","24,823.0","25,463.0","24,930.0","26,169.0","29,574.0","32,657.0","37,897.0","42,037.0","49,689.0","67,199.0","68,140.0","67,057.0","56,092.0","71,085.0","80,568.0"
"37","19","  From business","W012RC1","937.0","871.0","863.0","985.0","920.0","966.0","981.0","1,077.0","1,409.0","2,045.0","2,358.0","2,910.0","2,869.0","3,681.0","4,240.0","5,246.0","7,401.0","6,293.0","8,177.0","6,778.0","8,701.0","9,896.0","13,304.0","14,316.0","15,112.0","15,948.0","11,362.0","15,558.0","12,144.0","12,693.0","12,441.0","13,357.0","14,041.0","13,674.0","14,467.0","15,872.0","16,850.0","19,469.0","21,471.0","27,005.0","44,434.0","43,765.0","44,997.0","28,565.0","42,289.0","46,138.0"
"38","20","  From persons","B233RC1","61.0","88.0","65.0","135.0","128.0","115.0","125.0","146.0","168.0","183.0","185.0","232.0","259.0","700.0","980.0","1,028.0","1,195.0","1,318.0","2,029.0","2,829.0","3,086.0","3,413.0","3,883.0","4,103.0","5,042.0","5,643.0","6,174.0","7,169.0","7,920.0","8,773.0","9,829.0","10,726.0","10,881.0","10,754.0","11,040.0","13,155.0","15,117.0","17,358.0","19,509.0","19,495.0","19,523.0","20,622.0","20,014.0","21,024.0","21,160.0","22,472.0"
"39","21","  From the rest of the world \6\","LA0000281",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","107.0","740.0","541.0","502.0","662.0","547.0","690.0","1,070.0","1,057.0","3,189.0","3,242.0","3,753.0","2,046.0","6,503.0","7,636.0","11,958.0"
"40","22","Current surplus of government enterprises \7\","B097RC1","-1,263.0","-2,463.0","-2,781.0","-2,377.0","-3,385.0","-3,250.0","-4,419.0","-2,906.0","-3,429.0","-2,895.0","-2,667.0","-3,641.0","-2,613.0","-2,140.0","-1,944.0","-2,686.0","-1,623.0","-587.0","-499.0","657.0","1,067.0","-2,332.0","2,127.0","4,120.0","3,456.0","4,040.0","5,049.0","4,460.0","6,574.0","7,551.0","7,202.0","5,318.0","2,798.0","6,853.0","6,680.0","4,885.0","943.0","1,794.0","2,045.0","842.0","750.0","-3,085.0","-7,149.0","-8,937.0","-11,330.0","-9,683.0"
"41","23","    Current expenditures","W013RC1","196,943.0","219,892.0","241,532.0","267,895.0","286,935.0","319,146.0","373,808.0","402,442.0","435,777.0","483,650.0","531,542.0","619,946.0","706,879.0","783,289.0","849,775.0","903,505.0","971,342.0","1,030,570.0","1,062,658.0","1,119,774.0","1,199,117.0","1,288,549.0","1,354,034.0","1,487,009.0","1,542,786.0","1,582,977.0","1,658,228.0","1,714,788.0","1,758,478.0","1,787,034.0","1,838,791.0","1,911,679.0","2,017,384.0","2,141,100.0","2,297,939.0","2,426,610.0","2,608,249.0","2,764,769.0","2,932,815.0","3,213,455.0","3,487,201.0","3,771,996.0","3,818,252.0","3,789,132.0","3,782,236.0","3,896,708.0"
"42","24","Consumption expenditures","A957RC1","100,423.0","102,292.0","106,611.0","112,172.0","113,913.0","122,466.0","132,925.0","139,004.0","149,597.0","161,965.0","175,989.0","202,111.0","231,300.0","255,658.0","277,853.0","292,030.0","316,751.0","336,493.0","347,772.0","360,836.0","380,163.0","401,815.0","423,941.0","430,211.0","427,700.0","427,331.0","427,659.0","428,418.0","438,696.0","436,433.0","455,570.0","475,057.0","505,391.0","560,327.0","628,454.0","681,373.0","723,441.0","763,940.0","798,350.0","879,822.0","933,702.0","1,003,905.0","1,006,061.0","1,007,834.0","961,279.0","955,277.0"
"43","25","Current transfer payments","W014RC1","64,547.0","79,517.0","95,045.0","111,510.0","124,582.0","145,505.0","184,080.0","199,606.0","214,029.0","233,876.0","255,893.0","300,860.0","331,079.0","360,387.0","384,089.0","396,968.0","419,816.0","445,284.0","452,564.0","481,873.0","522,242.0","571,069.0","598,659.0","720,211.0","767,329.0","802,623.0","843,741.0","891,479.0","920,808.0","949,110.0","986,257.0","1,037,588.0","1,129,711.0","1,237,622.0","1,327,908.0","1,393,146.0","1,479,841.0","1,577,389.0","1,678,797.0","1,896,081.0","2,142,942.0","2,333,221.0","2,327,001.0","2,300,842.0","2,346,003.0","2,443,933.0"
"44","26","  Government social benefits","W015RC1","46,341.0","56,357.0","66,891.0","73,820.0","85,702.0","104,602.0","134,319.0","145,995.0","155,022.0","165,402.0","186,067.0","223,840.0","255,007.0","285,985.0","307,218.0","313,413.0","329,880.0","348,661.0","361,467.0","382,943.0","416,854.0","453,183.0","500,262.0","557,979.0","589,924.0","615,827.0","653,884.0","689,644.0","715,710.0","730,344.0","748,381.0","782,110.0","850,198.0","927,103.0","977,587.0","1,030,191.0","1,095,635.0","1,201,618.0","1,277,526.0","1,480,030.0","1,632,227.0","1,774,431.0","1,796,930.0","1,801,544.0","1,841,994.0","1,896,775.0"
"45","27","    To persons","B087RC1","45,756.0","55,636.0","66,080.0","72,855.0","84,544.0","103,280.0","132,332.0","143,505.0","152,443.0","162,660.0","183,018.0","220,297.0","250,719.0","281,882.0","303,593.0","309,740.0","325,852.0","344,263.0","357,187.0","378,363.0","411,722.0","447,019.0","493,990.0","551,754.0","583,725.0","609,001.0","647,091.0","682,070.0","707,860.0","722,136.0","739,853.0","773,442.0","840,760.0","917,450.0","967,497.0","1,019,539.0","1,084,400.0","1,189,191.0","1,264,210.0","1,464,554.0","1,616,211.0","1,757,914.0","1,779,852.0","1,783,594.0","1,823,164.0","1,877,307.0"
"46","28","    To the rest of the world \8\","W016RC1","585.0","721.0","811.0","965.0","1,158.0","1,322.0","1,987.0","2,490.0","2,579.0","2,742.0","3,049.0","3,543.0","4,288.0","4,103.0","3,625.0","3,673.0","4,028.0","4,398.0","4,280.0","4,580.0","5,132.0","6,164.0","6,272.0","6,225.0","6,199.0","6,826.0","6,793.0","7,574.0","7,850.0","8,208.0","8,528.0","8,668.0","9,438.0","9,653.0","10,090.0","10,652.0","11,235.0","12,427.0","13,316.0","15,476.0","16,016.0","16,517.0","17,078.0","17,950.0","18,830.0","19,469.0"
"47","29","  Other current transfer payments","W010RC1","18,206.0","23,160.0","28,154.0","37,690.0","38,880.0","40,903.0","49,761.0","53,611.0","59,007.0","68,474.0","69,826.0","77,020.0","76,072.0","74,402.0","76,871.0","83,555.0","89,936.0","96,623.0","91,097.0","98,931.0","105,388.0","117,886.0","98,397.0","162,232.0","177,405.0","186,796.0","189,856.0","201,835.0","205,098.0","218,766.0","237,876.0","255,478.0","279,513.0","310,519.0","350,321.0","362,955.0","384,207.0","375,771.0","401,270.0","416,052.0","510,715.0","558,790.0","530,071.0","499,298.0","504,009.0","547,158.0"
"48","30","    Grants-in-aid to state and local governments","B089RC1","13,660.0","18,342.0","22,142.0","30,513.0","33,489.0","34,908.0","43,626.0","49,077.0","54,760.0","63,482.0","63,980.0","69,690.0","69,410.0","66,261.0","67,940.0","72,339.0","76,169.0","82,425.0","78,382.0","85,737.0","91,841.0","104,357.0","124,022.0","141,681.0","155,713.0","166,849.0","174,477.0","181,457.0","188,142.0","200,799.0","219,155.0","233,106.0","261,258.0","287,179.0","321,711.0","332,201.0","343,353.0","340,783.0","358,970.0","371,005.0","458,060.0","505,292.0","472,450.0","443,975.0","450,129.0","494,832.0"
"49","31","    To the rest of the world \6,8\","W017RC1","4,546.0","4,818.0","6,012.0","7,177.0","5,391.0","5,995.0","6,135.0","4,534.0","4,247.0","4,992.0","5,846.0","7,330.0","6,662.0","8,141.0","8,931.0","11,216.0","13,767.0","14,198.0","12,715.0","13,194.0","13,547.0","13,529.0","-25,625.0","20,551.0","21,692.0","19,947.0","15,379.0","20,378.0","16,956.0","17,967.0","18,722.0","22,371.0","18,256.0","23,340.0","28,610.0","30,753.0","40,853.0","34,988.0","42,298.0","45,046.0","52,655.0","53,497.0","57,620.0","55,323.0","53,880.0","52,325.0"
"50","32","Interest payments \4\","A091RC1","27,464.0","33,330.0","35,235.0","37,630.0","43,291.0","47,984.0","52,467.0","58,896.0","65,261.0","79,112.0","91,456.0","107,529.0","133,429.0","152,681.0","166,971.0","193,827.0","213,742.0","224,204.0","232,315.0","247,915.0","269,660.0","289,046.0","304,358.0","306,887.0","311,439.0","320,840.0","352,326.0","359,988.0","365,600.0","365,569.0","352,184.0","353,728.0","331,225.0","302,670.0","292,603.0","306,074.0","344,429.0","372,346.0","408,216.0","387,964.0","353,616.0","380,575.0","425,671.0","422,879.0","416,070.0","440,064.0"
"51","33","  To persons and business \4\","B092RC1","26,687.0","32,381.0","33,483.0","35,079.0","39,640.0","43,937.0","48,134.0","54,626.0","60,024.0","70,879.0","80,899.0","95,663.0","117,153.0","134,690.0","148,911.0","173,660.0","191,588.0","200,860.0","208,211.0","219,160.0","235,119.0","252,980.0","268,289.0","272,615.0","277,275.0","284,485.0","305,239.0","303,224.0","295,908.0","293,485.0","285,437.0","289,343.0","274,141.0","253,353.0","245,178.0","251,257.0","276,437.0","286,473.0","309,174.0","290,913.0","264,772.0","287,995.0","328,206.0","326,988.0","319,524.0","346,173.0"
"52","34","  To the rest of the world","B093RC1","777.0","949.0","1,752.0","2,551.0","3,651.0","4,047.0","4,333.0","4,270.0","5,237.0","8,233.0","10,557.0","11,866.0","16,276.0","17,991.0","18,060.0","20,167.0","22,154.0","23,344.0","24,104.0","28,755.0","34,541.0","36,066.0","36,069.0","34,272.0","34,164.0","36,355.0","47,087.0","56,764.0","69,692.0","72,084.0","66,747.0","64,385.0","57,084.0","49,317.0","47,425.0","54,817.0","67,992.0","85,873.0","99,042.0","97,051.0","88,844.0","92,580.0","97,465.0","95,891.0","96,545.0","93,891.0"
"53","35","Subsidies \7\","B096RC1","4,509.0","4,753.0","4,641.0","6,583.0","5,149.0","3,191.0","4,336.0","4,936.0","6,890.0","8,697.0","8,204.0","9,446.0","11,071.0","14,563.0","20,862.0","20,680.0","21,033.0","24,589.0","30,007.0","29,150.0","27,052.0","26,619.0","27,076.0","29,700.0","36,318.0","32,183.0","34,502.0","34,903.0","33,374.0","35,922.0","44,780.0","45,306.0","51,057.0","40,481.0","48,973.0","46,018.0","60,538.0","51,094.0","47,452.0","49,589.0","56,941.0","54,295.0","59,519.0","57,577.0","58,884.0","57,435.0"
"54","36","    Net federal government saving","A923RC1","-5,108.0","-34,761.0","-50,823.0","-48,886.0","-37,689.0","-40,646.0","-96,976.0","-79,854.0","-71,907.0","-59,825.0","-44,519.0","-86,251.0","-85,816.0","-164,627.0","-205,009.0","-192,337.0","-195,614.0","-212,661.0","-163,167.0","-157,343.0","-156,643.0","-200,919.0","-246,208.0","-332,656.0","-311,810.0","-253,683.0","-240,842.0","-178,505.0","-91,165.0","2,718.0","66,639.0","156,510.0","14,453.0","-270,484.0","-402,879.0","-399,221.0","-304,736.0","-227,030.0","-265,650.0","-633,991.0","-1,248,845.0","-1,328,714.0","-1,244,143.0","-1,090,057.0","-640,941.0","-631,474.0"
