"","Table 5#8#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"28","9","  Wholesale trade","A379RX1","130,097.0","133,094.0","135,490.0","136,519.0","139,014.0","140,940.0","143,728.0","146,814.0","146,923.0","149,499.0","151,353.0","154,513.0","154,135.0","156,743.0","160,343.0","161,413.0","163,623.0","163,213.0","162,861.0","165,764.0","170,746.0","175,544.0","174,870.0","181,159.0","178,073.0","173,977.0","174,751.0","173,359.0","174,331.0","179,968.0","184,432.0","184,828.0","188,558.0","191,351.0","195,802.0","199,767.0","206,183.0","208,944.0","209,895.0","215,718.0","220,216.0","222,554.0","225,147.0","226,397.0","229,733.0","233,490.0","233,457.0","232,365.0","237,790.0","235,334.0","235,910.0","238,955.0","237,598.0","239,015.0","238,200.0","235,945.0","232,630.0","227,957.0","232,033.0","234,721.0","238,776.0","242,623.0","250,982.0","253,014.0","255,720.0","257,575.0","258,308.0","259,760.0","262,242.0","264,803.0","270,262.0","269,113.0","269,450.0","271,265.0","270,203.0","277,622.0","283,156.0","286,586.0","289,169.0","288,065.0","286,952.0","291,569.0","292,150.0","291,662.0","293,901.0","298,248.0","300,835.0","301,241.0","303,389.0","299,516.0","300,797.0","305,590.0","306,390.0","308,970.0","310,452.0","315,278.0","316,519.0","317,750.0","320,483.0","321,966.0","321,543.0","326,512.0","331,664.0","339,479.0","344,945.0","349,061.0","352,613.0","353,912.0","354,760.0","356,136.0","353,831.0","356,522.0","363,298.0","373,743.0","379,071.0","388,352.0"
"29","10","    Durable goods","A380RX1","71,142.0","73,274.0","74,632.0","75,275.0","76,549.0","76,799.0","78,676.0","79,486.0","79,950.0","81,180.0","82,599.0","84,842.0","85,039.0","87,175.0","88,494.0","90,727.0","92,103.0","93,949.0","94,974.0","96,105.0","98,254.0","99,920.0","102,099.0","105,721.0","105,822.0","103,814.0","102,351.0","102,565.0","103,101.0","106,408.0","108,672.0","109,009.0","110,547.0","112,079.0","114,241.0","116,841.0","121,681.0","124,534.0","125,516.0","129,154.0","132,611.0","133,377.0","135,622.0","135,681.0","136,817.0","138,961.0","138,248.0","140,359.0","142,110.0","143,857.0","143,903.0","145,539.0","145,965.0","147,341.0","145,885.0","141,701.0","137,618.0","135,125.0","136,531.0","138,588.0","140,997.0","143,279.0","148,117.0","150,121.0","150,718.0","151,295.0","150,883.0","150,557.0","151,402.0","152,815.0","155,116.0","154,040.0","154,465.0","156,270.0","153,978.0","158,422.0","162,020.0","161,169.0","164,857.0","164,153.0","163,822.0","166,840.0","166,579.0","165,308.0","166,368.0","167,962.0","169,767.0","168,619.0","169,366.0","165,593.0","165,234.0","168,026.0","166,841.0","169,004.0","170,097.0","171,170.0","171,464.0","171,458.0","173,023.0","174,696.0","174,456.0","178,741.0","181,790.0","185,935.0","189,957.0","192,718.0","194,512.0","197,800.0","198,827.0","199,396.0","200,938.0","200,935.0","205,357.0","212,604.0","215,068.0","220,215.0"
"30","11","    Nondurable goods","A381RX1","58,121.0","58,852.0","59,863.0","60,221.0","61,450.0","63,317.0","64,121.0","66,598.0","66,142.0","67,516.0","67,833.0","68,586.0","67,901.0","68,159.0","70,596.0","69,021.0","69,849.0","67,330.0","65,913.0","67,694.0","70,467.0","73,557.0","70,672.0","73,276.0","70,005.0","67,934.0","70,300.0","68,639.0","69,067.0","71,332.0","73,514.0","73,558.0","75,788.0","77,036.0","79,349.0","80,623.0","81,942.0","81,617.0","81,498.0","83,569.0","84,429.0","86,062.0","86,313.0","87,548.0","89,731.0","91,274.0","91,947.0","88,709.0","92,280.0","88,120.0","88,615.0","89,962.0","88,044.0","87,982.0","88,734.0","91,082.0","92,238.0","90,065.0","92,855.0","93,376.0","94,977.0","96,500.0","99,951.0","99,766.0","102,099.0","103,493.0","104,873.0","106,992.0","108,798.0","109,929.0","113,421.0","113,537.0","113,347.0","113,019.0","114,983.0","117,839.0","119,547.0","124,962.0","122,969.0","122,592.0","121,700.0","123,137.0","124,198.0","125,359.0","126,608.0","129,671.0","130,324.0","132,349.0","133,893.0","134,396.0","136,426.0","138,366.0","140,958.0","141,110.0","141,401.0","145,755.0","146,854.0","148,362.0","149,513.0","148,991.0","148,813.0","148,900.0","150,932.0","154,685.0","155,751.0","156,928.0","158,743.0","155,906.0","155,547.0","156,404.0","151,692.0","154,845.0","156,211.0","158,454.0","161,686.0","165,637.0"
"31","12","      Merchant wholesalers","A802RX1","95,918.0","98,442.0","100,440.0","101,247.0","103,932.0","105,448.0","108,159.0","111,010.0","111,008.0","113,824.0","115,996.0","119,349.0","119,157.0","121,724.0","124,797.0","125,922.0","127,968.0","126,899.0","126,510.0","128,862.0","133,573.0","138,021.0","136,939.0","141,617.0","137,461.0","134,213.0","134,736.0","133,348.0","134,256.0","138,988.0","142,294.0","142,994.0","146,167.0","148,922.0","153,959.0","158,096.0","165,496.0","169,469.0","170,373.0","175,342.0","180,643.0","182,027.0","184,360.0","184,913.0","186,566.0","189,203.0","192,107.0","193,035.0","196,135.0","194,223.0","195,038.0","197,598.0","195,654.0","199,217.0","197,499.0","195,198.0","193,171.0","188,865.0","191,657.0","194,440.0","198,391.0","200,970.0","208,393.0","210,584.0","213,379.0","215,269.0","217,302.0","218,849.0","221,584.0","223,804.0","229,648.0","227,993.0","228,812.0","231,551.0","230,644.0","237,343.0","242,521.0","245,835.0","248,353.0","246,305.0","244,988.0","248,731.0","248,643.0","248,956.0","250,154.0","254,043.0","257,032.0","257,476.0","259,616.0","256,550.0","257,383.0","261,977.0","263,248.0","265,797.0","266,345.0","271,911.0","273,222.0","274,640.0","277,367.0","278,490.0","277,427.0","282,540.0","287,127.0","293,786.0","298,415.0","301,379.0","304,298.0","304,817.0","304,674.0","306,352.0","303,810.0","306,591.0","313,048.0","322,627.0","327,590.0","335,315.0"
"32","13","        Durable goods","B803RX1","55,601.0","57,537.0","58,709.0","59,179.0","60,657.0","60,897.0","62,806.0","63,718.0","64,360.0","65,865.0","67,578.0","70,055.0","70,229.0","72,358.0","73,463.0","75,628.0","76,801.0","78,086.0","78,705.0","80,024.0","82,050.0","84,245.0","86,014.0","88,783.0","88,359.0","86,033.0","84,542.0","85,119.0","85,725.0","88,665.0","90,344.0","89,772.0","91,702.0","93,515.0","96,162.0","98,907.0","103,628.0","106,506.0","107,607.0","110,864.0","113,499.0","113,922.0","116,313.0","116,612.0","117,883.0","119,924.0","119,844.0","122,215.0","123,744.0","125,344.0","124,747.0","126,024.0","126,288.0","127,617.0","125,953.0","122,475.0","118,896.0","116,241.0","117,688.0","119,680.0","122,341.0","124,134.0","128,482.0","130,187.0","130,727.0","131,101.0","131,101.0","131,298.0","132,214.0","133,866.0","136,243.0","135,057.0","135,630.0","137,787.0","135,610.0","139,796.0","143,310.0","142,447.0","146,071.0","144,625.0","144,237.0","147,085.0","146,337.0","145,267.0","145,989.0","147,209.0","149,375.0","148,305.0","149,288.0","145,831.0","144,954.0","147,969.0","147,198.0","149,462.0","150,136.0","151,990.0","152,464.0","152,573.0","154,055.0","155,227.0","154,475.0","158,872.0","161,552.0","165,040.0","168,588.0","170,746.0","172,054.0","174,690.0","175,097.0","175,774.0","176,995.0","177,179.0","181,430.0","188,265.0","190,603.0","194,647.0"
"33","14","        Nondurable goods","B804RX1","39,333.0","39,836.0","40,640.0","40,967.0","42,158.0","43,504.0","44,235.0","46,235.0","45,514.0","46,811.0","47,187.0","47,947.0","47,539.0","47,857.0","49,889.0","48,663.0","49,547.0","47,191.0","46,269.0","47,283.0","49,804.0","51,958.0","49,346.0","51,204.0","47,591.0","46,698.0","48,674.0","46,747.0","47,036.0","48,774.0","50,363.0","51,657.0","52,868.0","53,774.0","56,153.0","57,482.0","60,072.0","61,087.0","60,829.0","62,470.0","65,142.0","66,116.0","65,963.0","66,206.0","66,553.0","67,098.0","70,112.0","68,608.0","70,142.0","66,553.0","67,990.0","69,253.0","66,905.0","69,180.0","69,200.0","70,673.0","72,593.0","70,976.0","72,331.0","73,054.0","74,275.0","75,004.0","78,056.0","78,446.0","80,952.0","82,646.0","84,998.0","86,547.0","88,567.0","88,996.0","92,886.0","92,495.0","92,708.0","93,083.0","94,988.0","97,409.0","98,882.0","104,064.0","102,229.0","101,698.0","100,641.0","101,323.0","102,212.0","104,014.0","104,483.0","107,506.0","108,195.0","110,138.0","111,376.0","112,330.0","114,498.0","115,960.0","118,510.0","118,541.0","118,297.0","122,490.0","123,428.0","124,993.0","126,277.0","126,046.0","125,783.0","126,000.0","127,912.0","131,232.0","132,018.0","132,683.0","134,412.0","131,613.0","130,918.0","131,993.0","127,474.0","130,479.0","132,554.0","134,952.0","137,750.0","141,577.0"
"34","15","      Nonmerchant wholesalers","A805RX1","32,859.0","33,332.0","33,726.0","33,943.0","33,800.0","34,198.0","34,296.0","34,540.0","34,645.0","34,440.0","34,157.0","34,003.0","33,826.0","33,883.0","34,402.0","34,356.0","34,526.0","35,153.0","35,193.0","35,726.0","35,985.0","36,337.0","36,726.0","38,286.0","39,269.0","38,447.0","38,686.0","38,670.0","38,739.0","39,626.0","40,743.0","40,464.0","41,009.0","41,068.0","40,584.0","40,472.0","39,651.0","38,581.0","38,636.0","39,488.0","38,843.0","39,746.0","40,041.0","40,673.0","42,133.0","43,139.0","40,774.0","39,111.0","41,123.0","40,620.0","40,468.0","40,963.0","41,422.0","39,642.0","40,388.0","40,372.0","39,193.0","38,772.0","39,970.0","39,944.0","40,119.0","41,305.0","42,291.0","42,192.0","42,166.0","42,172.0","41,042.0","40,986.0","40,802.0","41,152.0","40,837.0","41,309.0","40,859.0","40,009.0","39,850.0","40,598.0","40,979.0","41,110.0","41,185.0","42,092.0","42,283.0","43,155.0","43,803.0","43,027.0","44,046.0","44,513.0","44,147.0","44,114.0","44,141.0","43,337.0","43,784.0","44,002.0","43,541.0","43,582.0","44,504.0","43,796.0","43,729.0","43,545.0","43,555.0","43,914.0","44,565.0","44,416.0","44,985.0","46,152.0","47,000.0","48,171.0","48,814.0","49,617.0","50,641.0","50,320.0","50,568.0","50,470.0","50,791.0","51,659.0","52,022.0","53,597.0"
"35","16","        Durable goods","B806RX1","13,522.0","13,740.0","13,923.0","14,068.0","13,975.0","13,992.0","14,042.0","14,001.0","13,895.0","13,750.0","13,599.0","13,519.0","13,543.0","13,628.0","13,827.0","13,958.0","14,152.0","14,616.0","14,942.0","14,847.0","15,009.0","14,687.0","15,056.0","15,793.0","16,176.0","16,341.0","16,314.0","16,055.0","16,022.0","16,397.0","16,897.0","17,571.0","17,334.0","17,176.0","16,890.0","16,868.0","17,108.0","17,179.0","17,123.0","17,517.0","18,233.0","18,511.0","18,471.0","18,295.0","18,228.0","18,369.0","17,875.0","17,742.0","17,962.0","18,125.0","18,607.0","18,925.0","19,061.0","19,136.0","19,252.0","18,598.0","18,099.0","18,147.0","18,158.0","18,268.0","18,152.0","18,585.0","19,095.0","19,377.0","19,438.0","19,609.0","19,285.0","18,879.0","18,848.0","18,701.0","18,703.0","18,761.0","18,658.0","18,428.0","18,282.0","18,595.0","18,748.0","18,736.0","18,872.0","19,449.0","19,487.0","19,692.0","20,080.0","19,889.0","20,188.0","20,528.0","20,270.0","20,181.0","20,002.0","19,665.0","20,091.0","19,957.0","19,588.0","19,543.0","19,917.0","19,276.0","19,129.0","19,030.0","19,127.0","19,584.0","20,019.0","19,991.0","20,359.0","20,993.0","21,466.0","22,036.0","22,487.0","23,108.0","23,672.0","23,584.0","23,889.0","23,723.0","23,933.0","24,397.0","24,540.0","25,584.0"
"36","17","        Nondurable goods","B807RX1","21,643.0","21,904.0","22,122.0","22,143.0","22,122.0","22,707.0","22,750.0","23,226.0","23,630.0","23,630.0","23,524.0","23,461.0","23,125.0","23,021.0","23,397.0","23,033.0","22,887.0","22,880.0","22,293.0","23,269.0","23,335.0","24,420.0","24,298.0","25,156.0","25,846.0","24,393.0","24,777.0","25,220.0","25,382.0","25,954.0","26,621.0","24,985.0","26,189.0","26,562.0","26,406.0","26,292.0","24,685.0","23,048.0","23,228.0","23,710.0","21,604.0","22,416.0","22,918.0","24,016.0","25,843.0","26,816.0","24,671.0","22,896.0","24,887.0","24,123.0","23,375.0","23,524.0","23,892.0","21,549.0","22,312.0","23,264.0","22,513.0","21,878.0","23,444.0","23,228.0","23,659.0","24,536.0","25,015.0","24,397.0","24,253.0","23,959.0","22,957.0","23,602.0","23,385.0","24,218.0","23,698.0","24,308.0","23,825.0","23,001.0","23,061.0","23,556.0","23,822.0","24,048.0","23,880.0","24,075.0","24,283.0","25,170.0","25,365.0","24,594.0","25,506.0","25,531.0","25,489.0","25,598.0","25,961.0","25,439.0","25,277.0","25,845.0","25,880.0","26,023.0","26,649.0","26,826.0","27,010.0","26,933.0","26,765.0","26,411.0","26,518.0","26,353.0","26,478.0","26,966.0","27,296.0","27,911.0","27,991.0","27,991.0","28,414.0","28,126.0","27,936.0","28,090.0","28,168.0","28,555.0","28,809.0","29,154.0"
"37","18","  Retail trade","A382RX1","112,419.0","113,671.0","117,015.0","118,867.0","118,018.0","119,778.0","121,199.0","118,944.0","125,682.0","129,047.0","135,209.0","135,091.0","136,930.0","139,674.0","141,622.0","145,570.0","148,843.0","153,071.0","153,099.0","157,295.0","156,242.0","155,578.0","153,608.0","154,960.0","148,584.0","146,614.0","148,169.0","147,167.0","152,616.0","155,369.0","157,334.0","158,518.0","160,688.0","162,707.0","165,366.0","167,643.0","172,033.0","174,492.0","175,321.0","178,826.0","179,044.0","182,937.0","179,978.0","178,706.0","176,632.0","175,435.0","174,555.0","173,622.0","174,490.0","178,249.0","181,439.0","183,255.0","178,609.0","178,970.0","182,393.0","179,075.0","181,156.0","185,749.0","189,390.0","193,674.0","203,717.0","207,495.0","208,250.0","217,320.0","218,749.0","221,859.0","225,613.0","234,087.0","241,300.0","241,936.0","238,220.0","237,815.0","248,750.0","254,119.0","252,976.0","260,915.0","258,621.0","261,611.0","264,768.0","269,240.0","277,529.0","278,214.0","277,995.0","285,024.0","280,932.0","284,864.0","285,186.0","283,251.0","277,218.0","278,505.0","281,964.0","283,843.0","282,648.0","285,391.0","286,180.0","288,882.0","299,410.0","301,634.0","302,406.0","305,685.0","310,010.0","318,129.0","322,253.0","328,039.0","334,139.0","338,989.0","340,390.0","341,311.0","337,332.0","341,601.0","347,892.0","349,384.0","350,547.0","356,271.0","360,595.0","363,714.0"
"38","19","    Durable goods","B383RX1","48,464.0","48,366.0","50,500.0","51,643.0","50,829.0","51,504.0","52,086.0","48,867.0","53,371.0","56,014.0","60,487.0","58,848.0","59,721.0","60,728.0","61,577.0","64,386.0","66,367.0","69,702.0","70,949.0","72,438.0","72,526.0","71,489.0","70,250.0","73,374.0","68,927.0","69,311.0","71,335.0","70,132.0","72,138.0","73,599.0","75,846.0","76,915.0","78,565.0","79,683.0","81,664.0","83,206.0","85,635.0","85,881.0","85,870.0","88,925.0","90,328.0","93,234.0","90,422.0","88,569.0","86,057.0","83,293.0","81,333.0","80,795.0","80,107.0","82,915.0","83,395.0","83,688.0","80,479.0","80,345.0","83,467.0","80,171.0","81,497.0","83,525.0","85,282.0","87,651.0","92,239.0","93,153.0","92,325.0","98,389.0","99,412.0","101,323.0","102,431.0","108,696.0","113,412.0","114,029.0","109,361.0","108,792.0","117,199.0","120,406.0","118,692.0","124,387.0","120,774.0","123,405.0","125,557.0","129,657.0","135,203.0","133,304.0","131,605.0","136,679.0","132,806.0","135,725.0","136,741.0","135,423.0","129,054.0","129,568.0","131,718.0","130,575.0","129,986.0","131,509.0","130,840.0","131,818.0","137,903.0","139,393.0","138,705.0","140,937.0","144,616.0","147,775.0","150,562.0","154,229.0","158,339.0","161,271.0","162,029.0","163,187.0","160,299.0","163,937.0","167,914.0","167,979.0","168,476.0","171,394.0","174,124.0","176,699.0"
"39","20","      Motor vehicle dealers \4\","B864RX1","26,698.0","26,295.0","27,891.0","28,894.0","27,838.0","28,581.0","29,117.0","24,987.0","29,482.0","32,118.0","36,556.0","33,970.0","33,898.0","33,861.0","33,616.0","34,956.0","36,612.0","38,932.0","39,997.0","41,732.0","40,975.0","39,578.0","38,712.0","41,947.0","37,937.0","38,632.0","40,547.0","38,371.0","40,087.0","40,466.0","41,971.0","42,387.0","43,960.0","45,072.0","46,643.0","48,431.0","49,824.0","48,913.0","48,415.0","51,774.0","53,486.0","56,705.0","53,490.0","51,867.0","48,990.0","45,938.0","44,202.0","44,075.0","36,716.0","39,616.0","39,651.0","39,246.0","36,875.0","37,447.0","40,604.0","36,697.0","37,303.0","38,312.0","39,412.0","41,136.0","44,494.0","44,108.0","43,008.0","47,858.0","47,922.0","49,466.0","49,329.0","55,545.0","58,810.0","59,026.0","53,226.0","54,000.0","62,421.0","63,408.0","61,208.0","65,196.0","60,469.0","62,700.0","63,646.0","67,220.0","72,590.0","69,973.0","66,847.0","71,959.0","66,893.0","69,203.0","70,905.0","70,392.0","65,022.0","65,805.0","67,560.0","66,433.0","66,831.0","67,822.0","67,393.0","67,816.0","73,056.0","73,968.0","71,943.0","71,732.0","74,642.0","75,363.0","76,855.0","79,075.0","82,509.0","84,220.0","83,022.0","84,589.0","80,824.0","83,839.0","87,432.0","87,070.0","85,925.0","86,664.0","88,366.0","92,238.0"
"40","21","      Other \4\","A865RX1","21,836.0","22,052.0","22,701.0","22,938.0","23,024.0","23,047.0","23,142.0","23,514.0","23,967.0","24,236.0","24,714.0","25,277.0","26,101.0","27,014.0","27,950.0","29,376.0","29,830.0","30,960.0","31,230.0","31,201.0","31,856.0","32,012.0","31,603.0","31,854.0","31,055.0","30,858.0","31,149.0","31,798.0","32,219.0","33,213.0","34,008.0","34,629.0","34,828.0","34,925.0","35,425.0","35,352.0","36,402.0","37,349.0","37,736.0","37,771.0","37,656.0","37,677.0","37,737.0","37,382.0","37,431.0","37,383.0","37,030.0","36,675.0","42,729.0","42,892.0","43,310.0","43,938.0","43,007.0","42,379.0","42,512.0","42,888.0","43,597.0","44,609.0","45,287.0","45,980.0","47,302.0","48,521.0","48,736.0","50,094.0","51,010.0","51,420.0","52,596.0","52,906.0","54,426.0","54,825.0","55,661.0","54,418.0","54,687.0","56,854.0","57,255.0","59,020.0","59,933.0","60,395.0","61,587.0","62,207.0","62,551.0","63,151.0","64,401.0","64,559.0","65,495.0","66,170.0","65,586.0","64,797.0","63,646.0","63,418.0","63,859.0","63,811.0","62,871.0","63,410.0","63,165.0","63,710.0","64,644.0","65,216.0","66,480.0","68,860.0","69,659.0","72,060.0","73,348.0","74,789.0","75,465.0","76,679.0","78,625.0","78,215.0","79,102.0","79,714.0","80,090.0","80,515.0","80,963.0","82,554.0","84,107.0","80,671.0"
"41","22","    Nondurable goods","B384RX1","63,012.0","64,452.0","65,527.0","66,164.0","66,204.0","67,287.0","68,122.0","69,484.0","71,374.0","71,854.0","73,168.0","74,971.0","75,905.0","77,646.0","78,724.0","79,659.0","80,850.0","81,576.0","80,273.0","82,949.0","81,799.0","82,250.0","81,586.0","79,539.0","77,882.0","75,377.0","74,726.0","75,035.0","78,487.0","79,722.0","79,226.0","79,247.0","79,641.0","80,488.0","81,015.0","81,638.0","83,487.0","85,831.0","86,738.0","86,885.0","85,468.0","86,224.0","86,361.0","87,178.0","87,934.0","89,912.0","91,288.0","90,952.0","92,716.0","93,419.0","96,301.0","97,925.0","96,769.0","97,326.0","97,247.0","97,666.0","98,314.0","100,853.0","102,682.0","104,461.0","109,826.0","112,855.0","114,720.0","117,170.0","117,471.0","118,517.0","121,284.0","122,819.0","124,882.0","124,806.0","126,565.0","126,831.0","128,374.0","130,296.0","131,176.0","132,834.0","134,806.0","134,823.0","135,623.0","135,451.0","137,695.0","140,787.0","142,638.0","144,107.0","144,358.0","145,094.0","144,217.0","143,703.0","144,836.0","145,613.0","146,765.0","150,201.0","149,617.0","150,752.0","152,426.0","154,180.0","158,221.0","158,815.0","160,524.0","161,339.0","161,479.0","166,507.0","167,546.0","169,310.0","170,855.0","172,518.0","173,113.0","172,656.0","171,903.0","172,031.0","173,980.0","175,554.0","176,335.0","179,000.0","180,570.0","180,882.0"
"42","23","  Other","A385RX1","60,201.0","61,430.0","62,348.0","62,552.0","62,436.0","62,162.0","62,277.0","63,252.0","63,956.0","65,018.0","64,783.0","65,550.0","66,443.0","67,610.0","68,132.0","68,797.0","69,569.0","69,954.0","70,953.0","72,338.0","75,618.0","75,173.0","75,297.0","77,059.0","75,955.0","76,428.0","77,350.0","79,118.0","80,347.0","81,481.0","80,238.0","79,956.0","82,885.0","82,782.0","85,984.0","85,973.0","87,606.0","88,811.0","91,348.0","91,134.0","91,768.0","91,988.0","91,635.0","91,068.0","87,941.0","89,232.0","88,303.0","89,548.0","91,454.0","90,578.0","95,492.0","99,628.0","100,501.0","100,919.0","99,423.0","96,546.0","98,861.0","98,384.0","96,610.0","95,406.0","95,400.0","94,877.0","95,375.0","96,833.0","98,315.0","99,439.0","101,232.0","102,360.0","104,119.0","106,856.0","107,553.0","106,151.0","106,829.0","107,277.0","107,154.0","108,862.0","108,320.0","107,823.0","107,282.0","107,212.0","106,255.0","103,810.0","103,812.0","102,389.0","102,989.0","103,234.0","102,085.0","98,442.0","99,177.0","101,452.0","101,563.0","102,404.0","104,228.0","104,236.0","104,210.0","105,514.0","104,741.0","107,265.0","107,690.0","109,259.0","110,416.0","112,229.0","112,025.0","114,580.0","115,666.0","115,384.0","115,414.0","117,294.0","117,237.0","117,658.0","118,544.0","119,228.0","121,530.0","123,821.0","125,749.0","127,042.0"
"43","24","    Durable goods","B386RX1","5,034.0","5,012.0","5,634.0","5,521.0","5,473.0","5,253.0","5,036.0","5,265.0","5,318.0","5,160.0","4,594.0","4,232.0","4,708.0","4,835.0","4,685.0","4,747.0","5,595.0","5,316.0","5,972.0","6,303.0","6,577.0","6,053.0","6,371.0","6,381.0","5,832.0","5,577.0","5,981.0","6,054.0","6,406.0","6,339.0","5,823.0","5,882.0","5,946.0","6,634.0","6,601.0","6,188.0","6,767.0","7,381.0","7,709.0","7,373.0","7,752.0","7,966.0","7,946.0","7,332.0","7,163.0","6,117.0","6,135.0","6,935.0","7,396.0","7,311.0","7,441.0","7,227.0","7,773.0","8,065.0","8,044.0","8,458.0","8,663.0","8,481.0","8,603.0","7,417.0","8,497.0","8,636.0","8,177.0","7,580.0","7,645.0","7,202.0","6,817.0","6,995.0","6,756.0","6,435.0","5,964.0","5,906.0","5,838.0","6,001.0","6,127.0","6,260.0","6,093.0","5,732.0","5,403.0","5,834.0","5,933.0","6,001.0","6,092.0","6,538.0","7,044.0","7,049.0","6,890.0","6,481.0","5,555.0","5,325.0","6,005.0","5,978.0","6,806.0","6,951.0","6,448.0","6,659.0","5,927.0","6,222.0","6,339.0","7,023.0","7,581.0","7,606.0","7,794.0","7,798.0","8,005.0","7,743.0","7,723.0","7,855.0","8,449.0","7,952.0","8,211.0","8,333.0","8,610.0","8,957.0","9,346.0","9,577.0"
"44","25","    Nondurable goods","B387RX1","56,198.0","57,483.0","57,714.0","58,037.0","57,972.0","57,926.0","58,271.0","59,028.0","59,686.0","60,938.0","61,316.0","62,505.0","62,886.0","63,940.0","64,643.0","65,254.0","65,076.0","65,802.0","66,077.0","67,130.0","70,187.0","70,283.0","70,084.0","71,862.0","71,290.0","72,029.0","72,559.0","74,284.0","75,172.0","76,396.0","75,662.0","75,314.0","78,225.0","77,426.0","80,713.0","81,125.0","82,184.0","82,766.0","85,008.0","85,145.0","85,405.0","85,422.0","85,094.0","85,118.0","82,118.0","84,329.0","83,377.0","83,942.0","85,475.0","84,672.0","89,484.0","93,790.0","94,231.0","94,420.0","92,943.0","89,756.0","91,902.0","91,566.0","89,688.0","89,443.0","88,555.0","87,919.0","88,788.0","90,737.0","92,166.0","93,663.0","95,786.0","96,765.0","98,731.0","101,767.0","102,897.0","101,533.0","102,278.0","102,578.0","102,340.0","103,938.0","103,550.0","103,395.0","103,167.0","102,679.0","101,615.0","99,081.0","98,996.0","97,140.0","97,277.0","97,523.0","96,515.0","93,219.0","94,797.0","97,308.0","96,787.0","97,663.0","98,720.0","98,593.0","99,042.0","100,161.0","100,093.0","102,360.0","102,682.0","103,593.0","104,199.0","106,009.0","105,608.0","108,194.0","109,081.0","109,066.0","109,117.0","110,889.0","110,235.0","111,160.0","111,799.0","112,371.0","114,446.0","116,418.0","117,971.0","119,071.0"
"45","26","Residual","A968RX1","12,800.0","12,400.0","12,200.0","12,700.0","12,000.0","11,200.0","11,300.0","9,200.0","9,500.0","9,000.0","9,200.0","7,400.0","8,100.0","7,900.0","7,700.0","8,000.0","6,700.0","8,800.0","10,600.0","9,100.0","6,100.0","4,500.0","4,800.0","2,100.0","4,200.0","5,700.0","4,500.0","3,200.0","2,300.0","1,000.0","1,200.0","2,400.0","900.0","500.0","-200.0","-100.0","-300.0","300.0","900.0","200.0","1,600.0","2,000.0","2,400.0","2,800.0","2,400.0","1,600.0","400.0","-100.0","200.0","500.0","400.0","-200.0","-1,200.0","-900.0","-1,400.0","-3,600.0","-4,900.0","-4,200.0","-5,500.0","-4,800.0","-5,400.0","-4,900.0","-4,600.0","-2,800.0","-3,400.0","-3,600.0","-4,400.0","-5,900.0","-6,000.0","-6,800.0","-8,100.0","-9,300.0","-8,000.0","-6,600.0","-7,200.0","-6,400.0","-6,700.0","-7,000.0","-5,600.0","-4,200.0","-2,500.0","-2,800.0","-3,100.0","-2,600.0","-3,200.0","-3,200.0","-3,100.0","-8,900.0","-10,700.0","-11,800.0","-12,400.0","-13,900.0","-15,500.0","-15,600.0","-16,500.0","-18,100.0","-17,000.0","-17,500.0","-17,000.0","-15,800.0","-15,500.0","-14,700.0","-14,300.0","-13,900.0","-13,000.0","-11,500.0","-10,600.0","-9,400.0","-9,500.0","-8,700.0","-7,300.0","-8,300.0","-7,000.0","-6,000.0","-6,500.0","-4,300.0"
