"","Table 3#4# Personal Current Tax Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Personal current taxes \1\","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,671.0","197,879.0","229,649.0","268,913.0","299,512.0","345,780.0","354,743.0","352,879.0","377,916.0","417,813.0","437,806.0","489,587.0","505,939.0","567,734.0","594,668.0","588,901.0","612,802.0","648,755.0","693,072.0","748,406.0","837,083.0","931,820.0","1,032,420.0","1,112,116.0","1,236,556.0","1,239,323.0","1,054,665.0","1,005,323.0","1,050,612.0","1,213,227.0","1,357,059.0","1,493,194.0","1,507,806.0","1,152,263.0","1,239,251.0","1,453,166.0","1,511,400.0","1,672,765.0","1,780,243.0"
"20","2","Federal","A074RC1","91,700.0","88,853.0","85,803.0","102,757.0","109,581.0","126,525.0","120,730.0","141,597.0","162,513.0","189,199.0","224,881.0","250,621.0","291,165.0","295,596.0","286,774.0","301,893.0","336,453.0","350,601.0","392,987.0","403,845.0","453,095.0","472,109.0","463,590.0","477,497.0","507,688.0","545,082.0","590,297.0","668,410.0","749,822.0","831,199.0","897,630.0","999,848.0","996,305.0","832,815.0","778,520.0","803,166.0","936,792.0","1,054,559.0","1,169,712.0","1,174,269.0","864,492.0","941,622.0","1,129,098.0","1,164,736.0","1,300,612.0","1,396,924.0"
"21","3","  Income taxes","B231RC1","91,700.0","88,853.0","85,803.0","102,757.0","109,581.0","126,525.0","120,730.0","141,597.0","162,513.0","189,199.0","224,881.0","250,621.0","291,165.0","295,596.0","286,774.0","301,893.0","336,453.0","350,601.0","392,987.0","403,845.0","453,095.0","472,109.0","463,590.0","477,497.0","507,688.0","545,082.0","590,297.0","668,410.0","749,822.0","831,199.0","897,630.0","999,848.0","996,305.0","832,815.0","778,520.0","803,166.0","936,792.0","1,054,559.0","1,169,712.0","1,174,269.0","864,492.0","941,622.0","1,129,098.0","1,164,736.0","1,300,612.0","1,396,924.0"
"22","4","    Withheld","PTN0181","74,574.0","76,222.0","75,999.0","91,341.0","104,508.0","118,874.0","120,236.0","132,484.0","149,198.0","173,024.0","202,379.0","229,729.0","261,067.0","264,494.0","265,730.0","284,061.0","304,269.0","318,516.0","326,451.0","346,524.0","371,735.0","397,052.0","400,825.0","408,937.0","434,721.0","465,902.0","501,426.0","548,820.0","595,325.0","648,486.0","717,882.0","779,501.0","800,723.0","733,653.0","725,199.0","748,580.0","804,040.0","867,152.0","951,135.0","948,103.0","833,121.0","883,391.0","986,874.0","1,052,602.0","1,083,361.0","1,148,236.0"
"23","5","    Declarations and settlements \2\","PTN1001","27,355.0","25,990.0","24,324.0","25,761.0","27,307.0","31,675.0","34,928.0","36,651.0","42,813.0","48,318.0","56,401.0","64,551.0","77,831.0","86,258.0","81,883.0","82,677.0","98,906.0","104,225.0","139,440.0","129,649.0","151,560.0","148,513.0","142,941.0","148,348.0","148,551.0","156,292.0","174,803.0","208,930.0","248,293.0","282,733.0","304,928.0","354,451.0","344,430.0","280,694.0","232,209.0","241,490.0","313,180.0","383,799.0","425,337.0","512,426.0","304,751.0","311,111.0","374,472.0","351,018.0","446,366.0","481,356.0"
"24","6","    Less: Refunds","PTN2001","10,229.0","13,359.0","14,520.0","14,345.0","22,234.0","24,024.0","34,434.0","27,538.0","29,498.0","32,143.0","33,899.0","43,659.0","47,733.0","55,156.0","60,839.0","64,845.0","66,722.0","72,140.0","72,904.0","72,328.0","70,200.0","73,456.0","80,176.0","79,788.0","75,584.0","77,112.0","85,932.0","89,340.0","93,796.0","100,020.0","125,180.0","134,104.0","148,848.0","181,532.0","178,888.0","186,904.0","180,428.0","196,392.0","206,760.0","286,260.0","273,380.0","252,880.0","232,248.0","238,884.0","229,116.0","232,668.0"
"25","7","  Other taxes \3\","B035RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","8","State and local","W071RC1","12,806.0","14,217.0","15,902.0","20,883.0","22,826.0","24,523.0","26,877.0","31,074.0","35,366.0","40,450.0","44,032.0","48,891.0","54,615.0","59,147.0","66,105.0","76,023.0","81,360.0","87,205.0","96,600.0","102,094.0","114,639.0","122,559.0","125,311.0","135,305.0","141,067.0","147,990.0","158,109.0","168,673.0","181,998.0","201,221.0","214,486.0","236,708.0","243,018.0","221,850.0","226,803.0","247,446.0","276,435.0","302,500.0","323,482.0","333,537.0","287,771.0","297,629.0","324,068.0","346,664.0","372,153.0","383,319.0"
"27","9","  Income taxes","B245RC1","9,769.0","10,903.0","12,440.0","17,197.0","18,864.0","20,351.0","22,453.0","26,259.0","30,385.0","34,981.0","38,214.0","42,594.0","47,912.0","51,887.0","58,285.0","67,471.0","72,122.0","77,449.0","85,959.0","90,599.0","102,270.0","109,594.0","111,720.0","120,377.0","126,225.0","132,241.0","141,737.0","152,326.0","164,667.0","183,020.0","195,532.0","217,354.0","223,336.0","201,328.0","204,698.0","223,644.0","251,511.0","276,152.0","296,376.0","307,019.0","259,505.0","267,149.0","292,874.0","314,281.0","339,225.0","349,900.0"
"28","10","  Motor vehicle licenses","S210301","1,879.0","2,054.0","2,167.0","2,368.0","2,607.0","2,696.0","2,825.0","3,142.0","3,323.0","3,557.0","3,749.0","3,964.0","4,193.0","4,550.0","4,868.0","5,337.0","5,862.0","6,286.0","6,753.0","7,301.0","7,753.0","8,104.0","8,387.0","9,153.0","8,927.0","9,169.0","9,746.0","9,303.0","9,922.0","10,415.0","10,798.0","11,408.0","11,325.0","11,928.0","12,658.0","13,677.0","14,021.0","14,682.0","14,990.0","14,902.0","15,391.0","16,321.0","16,967.0","17,763.0","17,930.0","18,161.0"
"29","11","  Property taxes","S210401","793.0","837.0","861.0","876.0","889.0","863.0","906.0","914.0","894.0","1,046.0","1,143.0","1,232.0","1,273.0","1,385.0","1,534.0","1,643.0","1,787.0","2,036.0","2,305.0","2,479.0","2,771.0","2,972.0","3,223.0","3,652.0","3,623.0","4,061.0","4,166.0","4,536.0","4,618.0","4,835.0","5,131.0","4,848.0","5,065.0","5,173.0","5,753.0","5,732.0","6,199.0","6,640.0","6,939.0","7,027.0","7,437.0","7,519.0","7,345.0","7,302.0","7,557.0","7,727.0"
"30","12","  Other taxes \4\","S210501","365.0","423.0","434.0","442.0","466.0","613.0","693.0","759.0","764.0","866.0","926.0","1,101.0","1,237.0","1,325.0","1,418.0","1,572.0","1,589.0","1,434.0","1,583.0","1,715.0","1,845.0","1,889.0","1,981.0","2,123.0","2,292.0","2,519.0","2,460.0","2,508.0","2,791.0","2,951.0","3,025.0","3,098.0","3,292.0","3,421.0","3,694.0","4,393.0","4,704.0","5,026.0","5,177.0","4,589.0","5,438.0","6,640.0","6,882.0","7,318.0","7,441.0","7,531.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Excludes estate and gift taxes, which are classified in the NIPAs as capital transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Estimates of personal current tax receipts do not include deductions for federal refundable tax credits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","The amounts by which federal refundable tax credits reduce personal current tax liabilities are recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","in the NIPAs as social benefits to persons, not as reductions to personal current tax receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Consists of the dividends tax in 1933-34 and of the automobile use tax in 1942-46.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","4. Consists largely of hunting, fishing, and other personal licenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
