"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"35","17","        Intermediate goods and services purchased \3\","W113RX1","181,571.0","183,985.0","206,369.0","238,963.0","272,405.0","295,769.0","301,689.0","310,864.0","310,569.0","345,646.0","374,432.0","396,186.0","366,754.0","355,548.0","313,853.0","299,095.0"
"36","18","          Durable goods","W114RX1","25,549.0","25,491.0","25,793.0","27,219.0","29,745.0","32,901.0","33,378.0","36,426.0","39,775.0","46,394.0","49,305.0","50,816.0","48,192.0","48,183.0","42,247.0","39,544.0"
"37","19","          Nondurable goods","W115RX1","24,141.0","27,312.0","31,634.0","34,322.0","39,470.0","43,374.0","44,175.0","43,598.0","43,345.0","46,513.0","50,862.0","51,142.0","47,235.0","45,003.0","39,402.0","37,208.0"
"38","20","          Services","W116RX1","130,749.0","130,436.0","148,728.0","177,280.0","203,233.0","219,545.0","224,208.0","230,842.0","227,326.0","252,777.0","274,265.0","294,312.0","271,443.0","262,669.0","232,510.0","222,638.0"
"39","21","      Less: Own-account investment \4\","W117RX1","25,886.0","26,274.0","29,198.0","30,658.0","31,496.0","31,343.0","32,212.0","33,008.0","33,968.0","34,417.0","34,829.0","34,739.0","35,714.0","35,909.0","35,545.0","34,388.0"
"40","22","      Less: Sales to other sectors","W118RX1","6,595.0","8,737.0","6,592.0","6,216.0","6,807.0","7,247.0","10,257.0","9,446.0","7,696.0","8,841.0","9,530.0","10,483.0","12,157.0","8,228.0","7,669.0","8,686.0"
"41","23","    Defense consumption expenditures \1\","A997RX1","429,363.0","423,251.0","435,346.0","458,958.0","494,634.0","519,940.0","525,714.0","530,969.0","539,472.0","576,702.0","613,288.0","636,008.0","626,240.0","611,262.0","570,500.0","548,892.0"
"42","24","      Gross output of general government","W085RX1","443,452.0","438,267.0","452,421.0","477,705.0","514,115.0","539,211.0","546,448.0","553,531.0","562,179.0","600,069.0","636,543.0","659,034.0","650,932.0","635,621.0","594,196.0","571,819.0"
"43","25","        Value added","W086RX1","311,574.0","308,082.0","308,061.0","312,194.0","320,837.0","328,327.0","333,825.0","335,732.0","340,320.0","353,963.0","373,452.0","385,426.0","390,964.0","387,450.0","378,439.0","371,929.0"
"44","26","          Compensation of general government employees","B237RX1","194,662.0","193,215.0","194,443.0","199,475.0","206,422.0","210,236.0","210,986.0","207,835.0","207,139.0","214,930.0","228,806.0","236,227.0","238,598.0","233,949.0","225,679.0","220,998.0"
"45","27","          Consumption of general government fixed capital \2\","B432RX1","116,013.0","114,206.0","113,316.0","112,993.0","114,928.0","118,506.0","123,056.0","127,946.0","133,180.0","139,030.0","144,646.0","149,198.0","152,384.0","153,549.0","152,825.0","150,999.0"
"46","28","        Intermediate goods and services purchased \3\","W087RX1","134,815.0","133,103.0","146,356.0","166,547.0","193,663.0","211,044.0","212,809.0","217,953.0","222,010.0","246,130.0","263,091.0","273,609.0","260,071.0","248,401.0","216,400.0","200,718.0"
"47","29","          Durable goods","A998RX1","24,289.0","24,048.0","24,217.0","25,214.0","27,698.0","30,640.0","30,876.0","33,614.0","36,916.0","43,154.0","45,807.0","46,947.0","44,596.0","44,537.0","38,865.0","36,046.0"
"48","30","          Nondurable goods","A725RX1","14,978.0","15,714.0","16,163.0","18,463.0","19,992.0","22,739.0","22,890.0","22,378.0","22,630.0","23,366.0","24,449.0","23,572.0","24,147.0","23,077.0","19,726.0","17,805.0"
"49","31","          Services","A489RX1","94,807.0","92,796.0","105,557.0","122,722.0","145,632.0","157,432.0","158,809.0","161,660.0","162,083.0","179,520.0","192,835.0","203,186.0","191,051.0","180,600.0","157,758.0","146,950.0"
"50","32","      Less: Own-account investment \4\","W088RX1","11,891.0","12,447.0","14,313.0","15,809.0","16,355.0","16,207.0","16,856.0","17,817.0","19,226.0","19,521.0","19,458.0","19,460.0","20,945.0","20,938.0","20,258.0","19,658.0"
"51","33","      Less: Sales to other sectors","W089RX1","2,534.0","2,793.0","2,785.0","2,875.0","3,121.0","3,123.0","3,930.0","4,803.0","3,509.0","3,862.0","3,797.0","3,564.0","3,752.0","3,427.0","3,453.0","3,287.0"
"52","34","    Nondefense consumption expenditures \1\","A542RX1","214,098.0","222,701.0","235,430.0","253,265.0","264,078.0","270,396.0","274,033.0","282,542.0","282,295.0","299,759.0","320,414.0","339,188.0","323,452.0","330,313.0","317,947.0","319,112.0"
"53","35","      Gross output of general government","W128RX1","232,407.0","242,647.0","254,293.0","271,534.0","282,964.0","289,695.0","295,739.0","302,398.0","301,223.0","319,634.0","341,518.0","361,385.0","346,595.0","350,004.0","337,355.0","339,168.0"
"54","36","        Value added","W129RX1","186,785.0","192,835.0","194,949.0","199,385.0","204,388.0","205,108.0","206,974.0","209,577.0","212,824.0","220,207.0","230,177.0","238,829.0","239,929.0","242,880.0","240,032.0","240,947.0"
"55","37","          Compensation of general government employees","W130RX1","125,339.0","129,226.0","129,155.0","131,646.0","134,869.0","133,576.0","133,315.0","133,351.0","134,159.0","139,161.0","146,685.0","152,966.0","151,274.0","151,967.0","147,521.0","147,358.0"
"56","38","          Consumption of general government fixed capital \2\","B546RX1","62,308.0","64,454.0","66,287.0","68,150.0","69,928.0","71,751.0","73,769.0","76,248.0","78,644.0","81,033.0","83,492.0","85,855.0","88,710.0","91,000.0","92,677.0","93,788.0"
"57","39","        Intermediate goods and services purchased \3\","W131RX1","46,808.0","50,904.0","60,010.0","72,379.0","78,719.0","84,696.0","88,867.0","92,906.0","88,518.0","99,485.0","111,341.0","122,566.0","106,672.0","107,138.0","97,436.0","98,332.0"
"58","40","          Durable goods","A543RX1","1,380.0","1,520.0","1,630.0","1,999.0","2,064.0","2,280.0","2,495.0","2,796.0","2,856.0","3,241.0","3,498.0","3,869.0","3,596.0","3,647.0","3,384.0","3,507.0"
"59","41","          Nondurable goods","A729RX1","9,605.0","11,697.0","15,227.0","15,756.0","19,127.0","20,478.0","21,092.0","21,017.0","20,483.0","23,027.0","26,413.0","27,620.0","22,668.0","21,521.0","19,392.0","19,325.0"
"60","42","            Commodity Credit Corporation inventory change","B826RX1","154.0","949.0","950.0","118.0","-137.0","-1,041.0","-536.0","-41.0","-13.0","-143.0","128.0","-147.0","-3.0","-28.0","72.0","-7.0"
"61","43","            Other nondurable goods","B828RX1","9,451.0","10,748.0","14,277.0","15,637.0","19,264.0","21,519.0","21,628.0","21,058.0","20,496.0","23,170.0","26,285.0","27,767.0","22,672.0","21,549.0","19,321.0","19,333.0"
"62","44","          Services","A544RX1","35,941.0","37,648.0","43,182.0","54,577.0","57,582.0","62,091.0","65,399.0","69,199.0","65,238.0","73,255.0","81,430.0","91,108.0","80,423.0","82,031.0","74,684.0","75,562.0"
"63","45","      Less: Own-account investment \4\","W136RX1","14,045.0","13,864.0","14,911.0","14,857.0","15,147.0","15,142.0","15,362.0","15,193.0","14,742.0","14,896.0","15,371.0","15,278.0","14,770.0","14,972.0","15,289.0","14,733.0"
"64","46","      Less: Sales to other sectors","W137RX1","4,029.0","5,874.0","3,790.0","3,332.0","3,676.0","4,111.0","6,298.0","4,659.0","4,190.0","4,979.0","5,733.0","6,920.0","8,407.0","4,833.0","4,257.0","5,417.0"
"65","47","State and local consumption expenditures \1\","A991RX1","1,327,626.0","1,355,493.0","1,401,325.0","1,439,525.0","1,430,329.0","1,431,722.0","1,439,965.0","1,450,724.0","1,474,108.0","1,477,363.0","1,508,360.0","1,469,710.0","1,430,383.0","1,417,550.0","1,411,385.0","1,420,933.0"
"66","48","      Gross output of general government","W138RX1","1,665,868.0","1,710,938.0","1,777,037.0","1,822,984.0","1,815,405.0","1,820,147.0","1,831,144.0","1,850,923.0","1,877,352.0","1,878,855.0","1,913,902.0","1,881,663.0","1,843,333.0","1,827,964.0","1,820,589.0","1,830,859.0"
"67","49","        Value added","W139RX1","1,156,285.0","1,180,686.0","1,208,872.0","1,232,584.0","1,240,452.0","1,244,778.0","1,253,628.0","1,264,062.0","1,281,838.0","1,298,891.0","1,303,990.0","1,295,199.0","1,280,720.0","1,273,976.0","1,271,402.0","1,278,558.0"
"68","50","          Compensation of general government employees","B251RX1","1,038,331.0","1,056,902.0","1,079,563.0","1,098,297.0","1,102,328.0","1,102,863.0","1,108,059.0","1,114,694.0","1,128,094.0","1,140,637.0","1,141,874.0","1,130,146.0","1,113,321.0","1,104,650.0","1,100,384.0","1,105,887.0"
"69","51","          Consumption of general government fixed capital \2\","B986RX1","117,818.0","123,433.0","128,849.0","133,795.0","137,695.0","141,660.0","145,451.0","149,336.0","153,748.0","158,260.0","162,116.0","165,121.0","167,595.0","169,580.0","171,306.0","172,976.0"
"70","52","        Intermediate goods and services purchased \3\","W140RX1","510,443.0","530,855.0","568,259.0","590,488.0","574,906.0","575,307.0","577,462.0","586,753.0","595,397.0","580,572.0","609,912.0","586,537.0","563,026.0","554,583.0","549,896.0","553,013.0"
"71","53","          Durable goods","B989RX1","19,123.0","20,492.0","22,040.0","22,334.0","21,974.0","22,454.0","22,868.0","23,493.0","24,259.0","24,141.0","25,084.0","24,118.0","23,372.0","23,239.0","22,982.0","23,157.0"
"72","54","          Nondurable goods","B337RX1","169,881.0","176,895.0","189,055.0","196,021.0","191,684.0","194,301.0","195,954.0","200,104.0","205,321.0","201,023.0","212,046.0","202,754.0","194,921.0","192,273.0","191,063.0","192,449.0"
"73","55","          Services","A988RX1","321,925.0","333,745.0","357,403.0","372,508.0","361,638.0","358,987.0","359,031.0","363,482.0","365,987.0","355,472.0","372,782.0","359,709.0","344,744.0","339,039.0","335,741.0","337,256.0"
"74","56","      Less: Own-account investment \4\","W144RX1","27,263.0","28,848.0","31,132.0","31,833.0","31,630.0","31,948.0","32,885.0","34,220.0","35,253.0","36,105.0","36,158.0","34,589.0","34,025.0","33,065.0","31,927.0","31,899.0"
"75","57","      Less: Sales to other sectors","W145RX1","311,321.0","326,835.0","344,782.0","351,819.0","353,655.0","356,678.0","358,462.0","366,202.0","368,136.0","365,447.0","369,384.0","377,377.0","378,982.0","377,395.0","377,295.0","378,053.0"
"76","58","        Tuition and related educational charges","B1065X1","77,127.0","79,792.0","80,243.0","80,302.0","80,268.0","77,753.0","77,770.0","78,565.0","78,433.0","78,270.0","79,173.0","80,979.0","80,354.0","78,899.0","77,957.0","77,017.0"
"77","59","        Health and hospital charges","B1066X1","136,683.0","143,370.0","155,426.0","156,156.0","153,392.0","153,973.0","150,399.0","154,546.0","158,581.0","162,130.0","166,959.0","170,559.0","173,317.0","173,518.0","174,698.0","176,981.0"
"78","60","        Other sales \5\","W146RX1","99,949.0","105,849.0","110,566.0","116,277.0","120,683.0","125,071.0","130,344.0","133,056.0","131,031.0","125,019.0","123,252.0","125,837.0","125,342.0","125,084.0","124,830.0","124,370.0"
"79","61","Residual","W100RX1","-4,800.0","-4,500.0","-4,000.0","-3,200.0","-1,500.0","-1,100.0","-900.0","-200.0","-100.0","-600.0","400.0","-300.0","-500.0","-856.0","-999.0","-773.0"
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Government consumption expenditures are services (such as education and national defense) produced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","by government that are valued at their cost of production. Excludes government sales to other sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","and government own-account investment (construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2. Consumption of fixed capital, or depreciation, is included in government gross output as a partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","measure of the services of general government fixed assets; the use of depreciation assumes a zero net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","4. Own-account investment is measured in current dollars by compensation of general government employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","and related expenditures for goods and services and is classified as investment in structures, software,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","and research and development in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","5. Includes federal purchases of research and development produced by state and local general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","are usually not additive. The residual line is the difference between the first line and the sum of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
