"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","Construction","B1705C0",775,795,813,926,1094,1214,1336,1370,1526,1751,1977,2066,2256,2618,2804,3121,3627,4595,4204
"14","7","Manufacturing","A1706C0",444,533,536,604,603,693,714,779,810,985,1136,1573,1551,1550,1993,2577,3107,3257,3352
"15","8","  Durable goods","B1707C0",293,352,357,384,401,474,477,502,529,633,712,897,847,835,1188,1559,1948,1698,1872
"16","9","  Nondurable goods","B1708C0",151,181,179,220,202,219,237,277,281,352,424,676,704,715,805,1018,1159,1559,1480
"17","10","Transportation and public utilities","A1709C0",890,969,1011,1186,1314,1549,1677,1786,2126,2553,3065,3271,3472,3907,4277,5184,6209,7634,8766
"18","11","  Transportation","B1710C0",630,694,709,848,949,1142,1186,1172,1407,1769,2151,2250,2355,2549,2793,2948,3284,3747,3838
"19","12","  Communication","B1711C0",31,34,41,49,52,64,66,112,133,156,172,197,223,402,459,885,1323,1802,2764
"20","13","  Electric, gas, and sanitary services","B1712C0",229,241,261,289,313,343,425,502,586,628,742,824,894,956,1025,1351,1602,2085,2164
"21","14","Wholesale trade","B1713C0",429,429,484,528,548,614,619,649,607,682,743,754,712,880,988,929,997,927,1045
"22","15","Retail trade","B1714C0",1477,1497,1534,1614,1729,1731,1841,1985,2172,2482,2870,2955,3801,4171,4522,4881,5711,5093,5470
"23","16","Finance, insurance, and real estate","A1715C0",4043,4499,5043,5881,6722,7622,8455,9024,9796,10945,13209,15514,19926,20978,26387,32740,37754,42969,41752
"24","17","  Finance and insurance","B1716C0",142,159,177,198,229,258,324,312,425,426,791,777,1582,2023,2309,2454,2645,2818,2167
"25","18","  Real estate \1\","A1717C0",3901,4340,4866,5683,6493,7364,8131,8712,9371,10519,12418,14737,18344,18955,24078,30286,35109,40151,39585
"26","21","Services","B1720C0",2314,2488,2627,2929,3243,3686,4335,4631,5258,5950,6917,7883,10453,12058,14612,18013,20912,21937,21713
"27","22","  Hotels and other lodging places","B2616C0",373,420,452,483,504,586,673,689,730,917,1124,1146,1569,1807,2288,2853,3731,4075,4639
"28","23","  Personal services","B2617C0",336,368,351,391,381,377,404,396,476,495,544,539,642,686,853,1110,1302,1400,1331
"29","24","  Business services","B2618C0",348,402,436,539,697,867,1175,1273,1551,1802,2104,2529,3440,4445,5281,5842,6984,7095,6310
"30","25","  Auto repair, services, and parking","B2619C0",201,191,216,227,261,276,285,355,392,441,555,615,650,803,1000,1123,1430,1438,1505
"31","26","  Miscellaneous repair services","B2620C0",84,90,98,101,120,133,148,136,154,184,235,263,246,367,427,635,429,562,519
"32","27","  Motion pictures","B2621C0",24,28,43,46,58,144,276,233,129,147,74,168,155,122,238,732,509,644,496
"33","28","  Amusement and recreation services","B2622C0",179,172,192,233,251,295,292,375,426,401,441,491,617,747,971,922,1231,1214,1045
"34","29","  Health services","B2623C0",435,441,444,472,474,480,502,579,643,712,771,883,1041,1310,1635,1810,2224,2123,2883
"35","30","  Legal services","B2624C0",130,153,160,169,189,204,205,197,232,285,338,386,508,654,812,1027,1248,1588,1275
"36","31","  Other \2\","B2625C0",204,223,235,268,308,324,375,398,525,566,731,863,1585,1117,1107,1959,1824,1798,1710
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gardens; membership organizations; and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
